env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,250.0,0.0,,,,,,
10000,0.0,250.0,0.0,0.0426,243.9024,0.0976,0.4928,0.0019,711.5202
20000,0.0,250.0,0.0,0.0118,250.0,0.025,0.1411,0.0001,996.6225
30000,0.2723,182.7,0.3,0.0542,238.0952,0.119,0.082,0.0001,995.966
40000,0.0,250.0,0.0,0.1066,227.2727,0.2955,0.0602,0.0002,987.8443
50000,0.6539,87.8,0.7,0.1616,212.766,0.383,0.0498,0.0005,971.9751
60000,0.6716,82.9,0.7,0.2524,196.0784,0.5098,0.045,0.0009,972.3305
70000,0.9507,13.7,1.0,0.4648,144.9275,0.8551,0.0431,0.0012,963.8662
80000,0.9629,10.3,1.0,0.5578,119.0476,0.8929,0.0418,0.0015,950.5822
90000,0.9611,10.8,1.0,0.644,99.0099,0.9703,0.04,0.0019,939.7536
100000,0.4784,131.0,0.5,0.6588,93.4579,1.0,0.0374,0.0021,928.9037
110000,0.868,33.9,0.9,0.7129,79.3651,0.9921,0.0345,0.002,919.6338
120000,0.9622,10.5,1.0,0.7588,67.1141,1.0,0.0315,0.0019,914.4398
130000,0.9665,9.3,1.0,0.7982,55.8659,1.0,0.0287,0.002,912.5567
140000,0.9658,9.5,1.0,0.8025,54.9451,1.0,0.0259,0.002,897.9155
150000,0.9654,9.6,1.0,0.8171,50.7614,1.0,0.0234,0.002,898.8944
160000,0.96,11.1,1.0,0.8444,43.29,1.0,0.0215,0.002,892.3396
170000,0.9636,10.1,1.0,0.8431,43.6681,1.0,0.0201,0.002,890.2433
180000,0.9654,9.6,1.0,0.8574,39.5257,1.0,0.0191,0.002,883.6541
190000,0.9672,9.1,1.0,0.8676,36.7647,1.0,0.0181,0.0019,880.6641
200000,0.8708,33.1,0.9,0.8767,34.2466,1.0,0.0171,0.0019,869.1365
210000,0.9622,10.5,1.0,0.8808,33.1126,1.0,0.0164,0.0019,860.7505
220000,0.9496,14.0,1.0,0.8842,32.1543,1.0,0.0157,0.0019,859.0801
230000,0.9651,9.7,1.0,0.893,29.7619,1.0,0.0151,0.0019,864.0753
240000,0.9658,9.5,1.0,0.8935,29.5858,1.0,0.0146,0.0018,856.1886
250000,0.9633,10.2,1.0,0.9023,27.1003,1.0,0.0141,0.0018,854.5722
260000,0.9629,10.3,1.0,0.9004,27.7008,1.0,0.0136,0.0018,858.1605
270000,0.9629,10.3,1.0,0.9065,25.974,1.0,0.0132,0.0018,863.4899
280000,0.9665,9.3,1.0,0.9111,24.7525,1.0,0.0128,0.0018,858.984
290000,0.9669,9.2,1.0,0.9102,24.8756,1.0,0.0125,0.0018,854.1505
300000,0.9654,9.6,1.0,0.9164,23.31,1.0,0.0122,0.0018,845.1559
310000,0.9629,10.3,1.0,0.9165,23.1481,1.0,0.0118,0.0018,852.6324
320000,0.9636,10.1,1.0,0.9202,22.1729,1.0,0.0116,0.0018,851.1027
330000,0.9672,9.1,1.0,0.9209,21.978,1.0,0.0112,0.0018,851.2321
340000,0.9647,9.8,1.0,0.9254,20.7039,1.0,0.011,0.0018,849.4837
350000,0.9633,10.2,1.0,0.9284,19.8807,1.0,0.0107,0.0018,845.8219
360000,0.9647,9.8,1.0,0.9265,20.4082,1.0,0.0104,0.0017,842.7855
370000,0.9672,9.1,1.0,0.9309,19.1939,1.0,0.0102,0.0017,840.3657
380000,0.9626,10.4,1.0,0.9319,18.9394,1.0,0.01,0.0017,844.0619
390000,0.9636,10.1,1.0,0.9327,18.6916,1.0,0.0098,0.0017,837.8821
400000,0.9687,8.7,1.0,0.9336,18.4502,1.0,0.0096,0.0017,841.7356
410000,0.9662,9.4,1.0,0.9343,18.2482,1.0,0.0095,0.0017,838.2279
420000,0.9676,9.0,1.0,0.9363,17.6991,1.0,0.0094,0.0017,837.5198
430000,0.9651,9.7,1.0,0.9376,17.3611,1.0,0.0092,0.0017,836.8444
440000,0.9662,9.4,1.0,0.9379,17.2414,1.0,0.009,0.0017,833.1118
450000,0.9615,10.7,1.0,0.9387,17.0068,1.0,0.0089,0.0016,836.5396
460000,0.9672,9.1,1.0,0.9394,16.835,1.0,0.0087,0.0016,833.3713
470000,0.9651,9.7,1.0,0.9404,16.5563,1.0,0.0086,0.0016,833.5182
480000,0.9644,9.9,1.0,0.942,16.1031,1.0,0.0085,0.0016,832.8151
490000,0.9662,9.4,1.0,0.9427,15.949,1.0,0.0084,0.0016,827.7343
500000,0.9633,10.2,1.0,0.9438,15.6006,1.0,0.0083,0.0016,829.2468
510000,0.9647,9.8,1.0,0.9435,15.6986,1.0,0.0082,0.0016,828.7894
520000,0.9626,10.4,1.0,0.9441,15.528,1.0,0.0081,0.0016,825.6403
530000,0.9597,11.2,1.0,0.9464,14.881,1.0,0.0079,0.0015,828.255
540000,0.9662,9.4,1.0,0.9457,15.083,1.0,0.0078,0.0015,826.0544
550000,0.9665,9.3,1.0,0.9462,14.9477,1.0,0.0078,0.0016,826.6631
560000,0.9618,10.6,1.0,0.9467,14.8148,1.0,0.0076,0.0015,825.3438
570000,0.968,8.9,1.0,0.9472,14.6413,1.0,0.0076,0.0015,825.8876
580000,0.9611,10.8,1.0,0.9481,14.4092,1.0,0.0075,0.0015,832.1
590000,0.9658,9.5,1.0,0.9486,14.2653,1.0,0.0074,0.0015,827.576
600000,0.9629,10.3,1.0,0.9488,14.2248,1.0,0.0073,0.0015,825.0517
610000,0.9622,10.5,1.0,0.9496,14.0252,1.0,0.0073,0.0015,824.5276
620000,0.9629,10.3,1.0,0.9494,14.0449,1.0,0.0072,0.0015,821.4594
630000,0.9665,9.3,1.0,0.9505,13.7552,1.0,0.0071,0.0015,813.2504
640000,0.9633,10.2,1.0,0.9502,13.8313,1.0,0.0071,0.0015,813.3978
650000,0.9611,10.8,1.0,0.9511,13.587,1.0,0.007,0.0015,817.0997
660000,0.9644,9.9,1.0,0.9517,13.4228,1.0,0.007,0.0014,814.5924
670000,0.9647,9.8,1.0,0.9521,13.2979,1.0,0.0069,0.0014,808.5371
680000,0.9629,10.3,1.0,0.9513,13.5501,1.0,0.0068,0.0014,811.8503
690000,0.9665,9.3,1.0,0.9521,13.2979,1.0,0.0068,0.0014,808.6819
700000,0.9636,10.1,1.0,0.9515,13.4953,1.0,0.0067,0.0014,803.5439
710000,0.9651,9.7,1.0,0.9519,13.3511,1.0,0.0067,0.0014,807.4969
720000,0.964,10.0,1.0,0.9528,13.1062,1.0,0.0067,0.0014,810.3469
730000,0.9622,10.5,1.0,0.9532,13.0039,1.0,0.0066,0.0014,807.569
740000,0.9654,9.6,1.0,0.954,12.7714,1.0,0.0066,0.0014,805.6075
750000,0.9658,9.5,1.0,0.9538,12.8535,1.0,0.0065,0.0014,802.625
760000,0.9629,10.3,1.0,0.9544,12.6582,1.0,0.0064,0.0014,803.6166
770000,0.964,10.0,1.0,0.9545,12.6263,1.0,0.0064,0.0014,800.959
780000,0.964,10.0,1.0,0.9551,12.4844,1.0,0.0064,0.0014,797.6868
790000,0.9644,9.9,1.0,0.9549,12.5156,1.0,0.0063,0.0013,798.563
800000,0.9651,9.7,1.0,0.9542,12.7389,1.0,0.0063,0.0013,800.449
810000,0.9669,9.2,1.0,0.9536,12.8866,1.0,0.0062,0.0013,798.4338
820000,0.964,10.0,1.0,0.9553,12.4224,1.0,0.0062,0.0013,794.1673
830000,0.964,10.0,1.0,0.9557,12.3001,1.0,0.0061,0.0013,798.5641
840000,0.964,10.0,1.0,0.9555,12.3609,1.0,0.0061,0.0013,795.3936
850000,0.9654,9.6,1.0,0.9559,12.2549,1.0,0.0061,0.0012,794.6574
860000,0.9651,9.7,1.0,0.9565,12.0773,1.0,0.006,0.0012,789.7524
870000,0.9665,9.3,1.0,0.9568,12.0048,1.0,0.006,0.0012,792.4694
880000,0.9672,9.1,1.0,0.9568,12.0048,1.0,0.0059,0.0012,796.398
890000,0.9651,9.7,1.0,0.9572,11.8906,1.0,0.0059,0.0012,795.6699
900000,0.9669,9.2,1.0,0.9566,12.0627,1.0,0.0059,0.0012,796.3927
910000,0.9654,9.6,1.0,0.9575,11.7786,1.0,0.0058,0.0011,795.0264
920000,0.9665,9.3,1.0,0.9567,12.0192,1.0,0.0058,0.0011,790.05
930000,0.9593,11.3,1.0,0.957,11.9474,1.0,0.0058,0.0011,787.1425
940000,0.9636,10.1,1.0,0.9577,11.7371,1.0,0.0057,0.0011,789.9398
950000,0.9676,9.0,1.0,0.9574,11.8483,1.0,0.0057,0.0011,791.3392
960000,0.9665,9.3,1.0,0.9576,11.7647,1.0,0.0057,0.0011,783.9863
970000,0.9672,9.1,1.0,0.9577,11.7647,1.0,0.0057,0.001,786.5928
980000,0.9687,8.7,1.0,0.9581,11.6414,1.0,0.0056,0.001,786.1291
990000,0.9672,9.1,1.0,0.9584,11.534,1.0,0.0056,0.001,786.2226
1000000,0.9644,9.9,1.0,0.9581,11.655,1.0,0.0055,0.001,786.6779
1010000,0.9647,9.8,1.0,0.9587,11.4811,1.0,0.0055,0.001,786.9187
1020000,0.9654,9.6,1.0,0.9587,11.4679,1.0,0.0055,0.001,787.1485
1030000,0.9579,11.7,1.0,0.959,11.3895,1.0,0.0054,0.001,783.0165
1040000,0.9647,9.8,1.0,0.9584,11.5607,1.0,0.0055,0.001,783.6484
1050000,0.9618,10.6,1.0,0.9591,11.3507,1.0,0.0054,0.001,785.7426
1060000,0.9626,10.4,1.0,0.9587,11.4679,1.0,0.0054,0.001,784.7983
1070000,0.9633,10.2,1.0,0.9595,11.2486,1.0,0.0053,0.0009,783.4643
1080000,0.968,8.9,1.0,0.9591,11.3766,1.0,0.0054,0.0009,785.1776
1090000,0.9669,9.2,1.0,0.9585,11.534,1.0,0.0053,0.0009,781.84
1100000,0.9665,9.3,1.0,0.959,11.3895,1.0,0.0053,0.0009,778.4378
