env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,
10000,0.0,640.0,0.0,0.0,666.6667,0.0,0.001,0.0013,806.4868
20000,0.0,640.0,0.0,0.074,588.2353,0.1176,0.0004,0.0,946.5782
30000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0001,1030.9241
40000,0.0,640.0,0.0,0.0114,666.6667,0.0667,0.0004,0.0001,1029.9512
50000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0001,976.3215
60000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0001,989.2049
70000,0.0,640.0,0.0,0.1005,588.2353,0.1765,0.0004,0.0,985.7569
80000,0.0,640.0,0.0,0.01,666.6667,0.0667,0.0004,0.0001,986.2145
90000,0.0,640.0,0.0,0.0,625.0,0.0,0.0003,0.0001,977.1
100000,0.0,640.0,0.0,0.0304,625.0,0.125,0.0003,0.0001,977.8999
110000,0.0,640.0,0.0,0.0,625.0,0.0,0.0003,0.0001,953.3656
120000,0.0,640.0,0.0,0.0139,666.6667,0.0667,0.0004,0.0001,966.3092
130000,0.0,640.0,0.0,0.0942,588.2353,0.1176,0.0004,0.0001,971.7974
140000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0002,957.0739
150000,0.0,640.0,0.0,0.2089,526.3158,0.3684,0.0004,0.0002,960.0105
160000,0.0,640.0,0.0,0.1124,555.5556,0.2222,0.0004,0.0003,962.1745
170000,0.0,640.0,0.0,0.2015,526.3158,0.4211,0.0004,0.0003,950.3758
180000,0.0,640.0,0.0,0.1615,555.5556,0.3333,0.0004,0.0004,941.842
190000,0.0,640.0,0.0,0.2305,500.0,0.35,0.0005,0.0004,941.6339
200000,0.0,640.0,0.0,0.1587,555.5556,0.2222,0.0005,0.0004,944.3053
210000,0.0,640.0,0.0,0.3028,454.5455,0.4545,0.0005,0.0004,942.1826
220000,0.0,640.0,0.0,0.2072,526.3158,0.4211,0.0005,0.0005,945.7317
230000,0.0,640.0,0.0,0.2112,500.0,0.45,0.0005,0.0006,935.1965
240000,0.0,640.0,0.0,0.3535,434.7826,0.5652,0.0006,0.0006,934.0457
250000,0.097,578.1,0.1,0.3438,434.7826,0.5652,0.0006,0.0007,931.781
260000,0.0966,578.4,0.1,0.2304,526.3158,0.4211,0.0006,0.0007,928.2856
270000,0.0,640.0,0.0,0.2556,476.1905,0.4286,0.0007,0.0009,920.631
280000,0.0,640.0,0.0,0.1909,526.3158,0.3158,0.0007,0.0008,918.6595
290000,0.0,640.0,0.0,0.2608,476.1905,0.4762,0.0007,0.0008,930.421
300000,0.0,640.0,0.0,0.2374,526.3158,0.4211,0.0007,0.0008,929.323
310000,0.0,640.0,0.0,0.2111,500.0,0.45,0.0007,0.0007,922.7657
320000,0.0,640.0,0.0,0.2991,476.1905,0.4762,0.0007,0.0007,916.3692
330000,0.2113,511.1,0.3,0.4072,384.6154,0.6538,0.0008,0.0007,914.701
340000,0.0,640.0,0.0,0.3064,454.5455,0.5,0.0008,0.0007,913.0096
350000,0.0949,579.6,0.1,0.2985,476.1905,0.4286,0.0008,0.0007,918.038
360000,0.0,640.0,0.0,0.3143,434.7826,0.4783,0.0008,0.0007,910.2318
370000,0.3089,448.8,0.4,0.3253,454.5455,0.5,0.0008,0.0007,910.7654
380000,0.1875,520.9,0.2,0.5406,312.5,0.6875,0.0008,0.0008,913.9793
390000,0.097,578.1,0.1,0.3143,454.5455,0.5,0.0008,0.0008,909.6548
400000,0.0954,579.3,0.1,0.4161,370.3704,0.5926,0.0008,0.0008,905.5351
410000,0.0,640.0,0.0,0.4405,370.3704,0.6296,0.0008,0.0008,902.4551
