env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,,
10000,0.0,640.0,0.0,0.0336,625.0,0.0625,-0.0,0.0019,0.0009,128.878
20000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0001,0.0,594.6711
30000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,594.7562
40000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,591.2913
50000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,588.3001
60000,0.0,640.0,0.0,0.01,625.0,0.0625,-0.0,0.0,0.0,587.4726
70000,0.0,640.0,0.0,0.0072,666.6667,0.0667,-0.0,0.0,0.0,586.8359
80000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,585.6592
90000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,585.8778
100000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,583.4521
110000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,580.1796
120000,0.0,640.0,0.0,0.019,625.0,0.0625,-0.0,0.0,0.0,579.55
130000,0.0,640.0,0.0,0.0193,625.0,0.0625,-0.0,0.0,0.0,580.8011
140000,0.0,640.0,0.0,0.0355,625.0,0.125,-0.0,0.0,0.0,577.0283
150000,0.0,640.0,0.0,0.0196,625.0,0.0625,-0.0,0.0,0.0,572.5661
160000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,575.727
170000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,574.0234
180000,0.0,640.0,0.0,0.0184,625.0,0.0625,-0.0,0.0,0.0,575.0764
190000,0.0,640.0,0.0,0.0194,666.6667,0.0667,-0.0,0.0,0.0,572.6282
200000,0.0,640.0,0.0,0.0277,588.2353,0.0588,-0.0,0.0,0.0,571.578
210000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,572.2048
220000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,570.3538
230000,0.0,640.0,0.0,0.013,666.6667,0.0667,-0.0,0.0,0.0,569.3701
240000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,569.0088
250000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,569.5769
260000,0.0,640.0,0.0,0.0145,625.0,0.0625,-0.0,0.0,0.0,565.173
270000,0.0,640.0,0.0,0.0233,666.6667,0.0667,-0.0,0.0,0.0,567.7334
280000,0.0,640.0,0.0,0.0374,588.2353,0.0588,-0.0,0.0,0.0,566.1761
290000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0001,0.0,0.0,566.3859
300000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0001,0.0,0.0,564.9849
310000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0001,0.0,0.0,565.1725
320000,0.0,640.0,0.0,0.0264,666.6667,0.0667,-0.0001,0.0,0.0,564.5509
330000,0.0,640.0,0.0,0.0669,588.2353,0.1176,-0.0001,0.0,0.0,557.2108
340000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0001,0.0,0.0,559.8444
350000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0001,0.0,0.0,560.8767
360000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0001,0.0,0.0,559.6291
370000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0001,0.0,0.0,558.9271
380000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0001,0.0,0.0,560.769
390000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0001,0.0,0.0,556.7262
400000,0.0,640.0,0.0,0.0139,625.0,0.0625,-0.0001,0.0,0.0,558.2874
410000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0002,0.0,0.0,557.9957
420000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0002,0.0,0.0,558.4004
