env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,-1.0,4.1,0.0,,,,,,
10000,0.1675,122.0,0.3,-0.9914,6.5833,0.0046,1.194,0.008,495.526
20000,0.4144,88.9,0.7,-0.9949,6.8074,0.0027,0.6342,0.0015,672.1415
30000,0.8162,29.4,1.0,-0.9911,6.7385,0.0047,0.3808,0.0018,669.1325
40000,0.8194,28.9,1.0,-0.9889,7.278,0.0058,0.3296,0.0021,668.461
50000,0.8675,21.2,1.0,-0.9877,7.2307,0.0065,0.2971,0.0023,666.3178
60000,0.7594,36.9,0.9,-0.9929,7.5131,0.0038,0.2872,0.0023,666.8057
70000,0.6169,59.7,0.9,-0.9833,7.5873,0.0091,0.2803,0.0023,666.2332
80000,0.645,55.2,0.9,-0.9852,7.9239,0.0079,0.2746,0.0023,664.1094
90000,0.905,15.2,1.0,-0.9653,8.0192,0.0184,0.27,0.0023,661.6904
100000,0.9119,14.1,1.0,-0.9701,8.3264,0.0158,0.267,0.0023,661.5268
110000,0.83,27.2,1.0,-0.9549,8.643,0.0242,0.2656,0.0022,656.6746
120000,0.7994,30.5,0.9,-0.9557,8.3963,0.0235,0.2641,0.002,656.717
130000,0.865,21.6,1.0,-0.9534,8.8261,0.0247,0.2629,0.0019,656.2657
140000,0.9044,15.3,1.0,-0.9392,9.009,0.0324,0.263,0.0019,655.1761
150000,0.9,16.0,1.0,-0.9234,8.8261,0.0406,0.2624,0.0019,648.6353
160000,0.9119,14.1,1.0,-0.8992,9.6339,0.0539,0.2627,0.0018,646.1359
170000,0.8938,17.0,1.0,-0.9073,9.6993,0.0495,0.2623,0.0018,642.4635
180000,0.9169,13.3,1.0,-0.8619,9.4967,0.0731,0.2625,0.0017,646.4218
190000,0.79,32.0,0.9,-0.8372,9.99,0.0869,0.2626,0.0017,646.5643
200000,0.9044,15.3,1.0,-0.8357,9.4518,0.087,0.2626,0.0017,643.0335
210000,0.9094,14.5,1.0,-0.7981,10.3093,0.1072,0.2633,0.0016,640.0641
220000,0.9106,14.3,1.0,-0.7874,10.2041,0.1133,0.2639,0.0015,642.0943
230000,0.9019,15.7,1.0,-0.7615,10.1833,0.1263,0.2641,0.0015,637.2534
240000,0.9281,11.5,1.0,-0.7523,10.4275,0.1314,0.2647,0.0015,638.982
250000,0.9075,14.8,1.0,-0.7157,10.3199,0.1507,0.265,0.0014,640.6909
260000,0.8956,16.7,1.0,-0.7056,10.4493,0.1557,0.2657,0.0013,634.159
270000,0.9181,13.1,1.0,-0.6786,10.2987,0.1699,0.2661,0.0013,638.0322
280000,0.9137,13.8,1.0,-0.6529,10.3199,0.1837,0.2663,0.0013,633.6837
290000,0.9256,11.9,1.0,-0.6244,10.5708,0.1987,0.2667,0.0013,637.2409
300000,0.92,12.8,1.0,-0.5844,11.0497,0.2199,0.2676,0.0013,634.7131
310000,0.9119,14.1,1.0,-0.6242,10.7181,0.1983,0.2678,0.0012,631.7374
320000,0.9206,12.7,1.0,-0.5994,10.9529,0.2125,0.2683,0.0015,634.4324
330000,0.9169,13.3,1.0,-0.5187,11.0132,0.2544,0.2683,0.0012,632.2298
340000,0.9081,14.7,1.0,-0.4957,10.8108,0.2659,0.2687,0.0012,629.7737
350000,0.9231,12.3,1.0,-0.4742,11.3895,0.2779,0.2695,0.0012,629.6956
360000,0.9194,12.9,1.0,-0.4486,11.0988,0.2908,0.2696,0.0012,632.1545
370000,0.9262,11.8,1.0,-0.4824,11.3122,0.2738,0.2698,0.0012,627.4387
380000,0.9219,12.5,1.0,-0.4463,11.6686,0.2929,0.2698,0.0012,628.9377
390000,0.9106,14.3,1.0,-0.435,10.9529,0.2979,0.2708,0.0012,626.9292
400000,0.9056,15.1,1.0,-0.3975,11.4025,0.3181,0.2709,0.0012,626.2883
410000,0.9275,11.6,1.0,-0.3671,11.6686,0.3337,0.2716,0.0011,627.257
420000,0.9219,12.5,1.0,-0.3098,11.7233,0.3634,0.2717,0.0011,628.4667
430000,0.915,13.6,1.0,-0.2687,11.6414,0.3853,0.2718,0.0011,625.608
440000,0.9275,11.6,1.0,-0.289,11.0132,0.3744,0.2724,0.0011,623.8266
450000,0.91,14.4,1.0,-0.2028,11.8343,0.4201,0.2725,0.0011,627.107
460000,0.9275,11.6,1.0,-0.2655,11.6822,0.3867,0.273,0.0011,626.4165
470000,0.9175,13.2,1.0,-0.2099,11.9048,0.4155,0.2732,0.0011,620.7293
480000,0.8662,21.4,1.0,-0.2227,11.1857,0.4083,0.2737,0.0011,619.968
490000,0.9206,12.7,1.0,-0.1311,12.1803,0.4568,0.2735,0.0011,616.9696
500000,0.9175,13.2,1.0,-0.18,11.8624,0.4318,0.2743,0.0011,614.0651
510000,0.9331,10.7,1.0,-0.1157,11.7509,0.4642,0.2747,0.0011,612.8307
520000,0.9062,15.0,1.0,-0.1374,12.0337,0.4537,0.2749,0.001,614.8187
