env_steps,return,length,success,train/return,train/length,train/success,op_loss,rp_loss,critic_loss,FPS
0,-1.0,3.4,0.0,,,,,,,
10000,0.0,144.0,0.0,-0.9937,6.6578,0.0033,1.1864,0.0179,0.0075,402.9048
20000,0.4838,79.4,0.8,-0.9927,6.5876,0.004,0.5498,0.001,0.0017,645.3381
30000,0.665,52.0,0.9,-0.9948,6.7568,0.0027,0.3731,0.0003,0.0018,646.4453
40000,0.6275,58.0,0.9,-0.9936,6.8306,0.0034,0.3205,0.0002,0.0019,643.3389
50000,0.7775,35.6,1.0,-0.9893,7.0522,0.0056,0.2896,0.0002,0.0021,642.5066
60000,0.7744,36.1,1.0,-0.9899,7.5643,0.0053,0.2814,0.0002,0.0023,639.3938
70000,0.8819,18.9,1.0,-0.987,7.6864,0.0069,0.275,0.0002,0.0023,641.4602
80000,0.9212,12.6,1.0,-0.979,7.9745,0.0112,0.2699,0.0002,0.0019,636.8529
90000,0.8425,25.2,1.0,-0.9761,7.9554,0.0127,0.2651,0.0002,0.0021,638.9024
100000,0.8844,18.5,1.0,-0.9649,8.1699,0.0188,0.2618,0.0002,0.0023,636.7706
110000,0.9038,15.4,1.0,-0.9593,8.4104,0.0219,0.2595,0.0002,0.0023,633.1699
120000,0.9156,13.5,1.0,-0.9371,8.3963,0.0336,0.2587,0.0002,0.0023,631.4168
130000,0.8913,17.4,1.0,-0.9306,8.7873,0.0369,0.2584,0.0002,0.0023,628.561
140000,0.9075,14.8,1.0,-0.9531,8.7951,0.0246,0.2576,0.0002,0.0021,625.1474
150000,0.8875,18.0,1.0,-0.9334,8.6207,0.0353,0.2571,0.0002,0.0019,626.4889
160000,0.935,10.4,1.0,-0.9051,9.3809,0.0507,0.2573,0.0002,0.0018,624.0507
170000,0.9131,13.9,1.0,-0.9146,9.3023,0.0456,0.2573,0.0002,0.0017,623.2599
180000,0.7556,37.5,0.9,-0.8659,9.1408,0.0713,0.2578,0.0001,0.0017,618.6278
190000,0.9294,11.3,1.0,-0.8277,9.8425,0.0915,0.2578,0.0001,0.0016,620.8444
200000,0.9031,15.5,1.0,-0.833,9.8717,0.0888,0.2582,0.0001,0.0016,614.514
210000,0.9244,12.1,1.0,-0.7965,9.8912,0.1078,0.2584,0.0001,0.0015,620.8968
220000,0.9044,15.3,1.0,-0.7671,10.2775,0.1233,0.2588,0.0001,0.0015,619.8734
230000,0.9256,11.9,1.0,-0.7881,9.8425,0.1122,0.2591,0.0001,0.0015,615.9535
240000,0.9006,15.9,1.0,-0.7364,10.1112,0.1395,0.2596,0.0001,0.0014,617.7131
250000,0.925,12.0,1.0,-0.7472,10.2041,0.1337,0.2599,0.0001,0.0014,617.1919
260000,0.9069,14.9,1.0,-0.7442,10.1937,0.1356,0.2605,0.0001,0.0014,612.9767
270000,0.9106,14.3,1.0,-0.7146,10.4932,0.1511,0.261,0.0001,0.0013,611.9094
280000,0.9,16.0,1.0,-0.6497,10.4603,0.1851,0.2615,0.0001,0.0013,610.4111
290000,0.9237,12.2,1.0,-0.6645,10.6952,0.1775,0.2622,0.0001,0.0013,608.8952
300000,0.8887,17.8,1.0,-0.5818,10.7181,0.2208,0.2627,0.0001,0.0013,608.3185
310000,0.9231,12.3,1.0,-0.6059,10.929,0.2087,0.2628,0.0001,0.0013,607.8411
320000,0.8794,19.3,1.0,-0.5676,10.9409,0.2287,0.263,0.0001,0.0013,607.8877
330000,0.9081,14.7,1.0,-0.5744,10.7643,0.225,0.2634,0.0001,0.0013,605.4999
340000,0.9194,12.9,1.0,-0.4959,10.846,0.2657,0.2641,0.0001,0.0013,603.7417
350000,0.9231,12.3,1.0,-0.5244,11.3122,0.2511,0.2644,0.0001,0.0012,605.0692
360000,0.9206,12.7,1.0,-0.4919,10.917,0.2675,0.2646,0.0001,0.0012,606.5954
370000,0.915,13.6,1.0,-0.3933,11.274,0.3202,0.265,0.0001,0.0012,606.734
380000,0.9212,12.6,1.0,-0.4372,11.7509,0.2973,0.2659,0.0001,0.0012,599.4785
390000,0.9194,12.9,1.0,-0.4326,11.0375,0.2991,0.2659,0.0001,0.0012,602.4732
400000,0.9138,13.8,1.0,-0.402,11.4679,0.3154,0.2664,0.0001,0.0012,606.442
410000,0.9137,13.8,1.0,-0.3416,11.2994,0.3469,0.2665,0.0001,0.0011,598.5475
420000,0.925,12.0,1.0,-0.2999,11.8483,0.3697,0.2671,0.0001,0.0011,602.7733
430000,0.9138,13.8,1.0,-0.3634,11.4155,0.3356,0.2672,0.0001,0.0011,603.4417
440000,0.9169,13.3,1.0,-0.2572,11.4025,0.3911,0.2679,0.0001,0.0011,598.6474
450000,0.9225,12.4,1.0,-0.2749,11.9332,0.3831,0.2683,0.0001,0.0011,601.006
460000,0.9406,9.5,1.0,-0.2545,11.7647,0.3929,0.2684,0.0001,0.0011,598.8603
470000,0.9275,11.6,1.0,-0.1992,12.1507,0.4216,0.2689,0.0001,0.0011,597.9657
480000,0.9194,12.9,1.0,-0.2219,11.3636,0.4091,0.2693,0.0001,0.0011,597.1235
490000,0.93,11.2,1.0,-0.2001,11.655,0.4207,0.2698,0.0001,0.0011,594.6322
500000,0.9269,11.7,1.0,-0.1896,11.919,0.4267,0.2701,0.0001,0.0011,595.0541
510000,0.9256,11.9,1.0,-0.1113,12.2399,0.4676,0.2702,0.0001,0.0011,594.362
520000,0.9219,12.5,1.0,-0.1014,11.8203,0.4716,0.2706,0.0001,0.0011,591.5976
530000,0.9019,15.7,1.0,-0.087,12.0627,0.4801,0.2712,0.0001,0.001,592.8684
540000,0.9269,11.7,1.0,-0.1434,11.7925,0.4505,0.2716,0.0001,0.001,593.0101
550000,0.9294,11.3,1.0,-0.0389,12.6582,0.5051,0.2716,0.0001,0.001,583.7611
560000,0.9206,12.7,1.0,-0.0284,12.0482,0.5096,0.2721,0.0001,0.001,589.1113
570000,0.8975,16.4,1.0,-0.0032,11.976,0.5234,0.2724,0.0001,0.001,591.2539
580000,0.9231,12.3,1.0,-0.0036,12.0192,0.5228,0.2728,0.0001,0.001,585.9031
590000,0.9256,11.9,1.0,0.0362,12.1065,0.5436,0.273,0.0001,0.001,588.6345
