env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.06,136.0,0.1,-0.9915,6.4599,0.0045,0.0905,0.0063,482.7369
20000,0.2188,115.4,0.4,-0.9975,6.8446,0.0014,0.0928,0.0018,956.4905
30000,0.7694,36.9,1.0,-0.9974,6.8446,0.0014,0.0913,0.0017,951.4705
40000,0.3244,103.3,0.7,-0.9908,6.8681,0.0048,0.0936,0.0017,945.7017
50000,0.6913,49.4,1.0,-0.9891,7.1685,0.0057,0.0955,0.0023,938.0833
60000,0.3794,94.5,0.7,-0.9859,7.593,0.0076,0.0955,0.0038,811.5366
70000,0.6481,53.1,0.8,-0.9942,7.6628,0.0031,0.0959,0.008,803.5107
80000,0.4681,81.9,0.8,-0.988,7.8555,0.0063,0.0981,0.0108,815.3528
90000,0.825,28.0,1.0,-0.9833,8.2102,0.009,0.097,0.0095,933.6652
100000,0.5856,63.1,0.8,-0.9735,8.2919,0.0141,0.0955,0.0079,928.5705
110000,0.5481,70.7,0.9,-0.9798,8.3752,0.0109,0.096,0.0072,932.7415
120000,0.7856,32.7,0.9,-0.967,8.8652,0.0177,0.0963,0.008,919.1161
130000,0.7806,35.1,1.0,-0.9736,8.6957,0.0139,0.0958,0.0099,924.3817
140000,0.8575,22.8,1.0,-0.9652,8.7719,0.0184,0.0951,0.0091,863.2796
150000,0.7312,43.0,1.0,-0.958,8.9686,0.0224,0.0954,0.0101,915.4281
160000,0.8512,23.8,1.0,-0.9299,9.4518,0.0378,0.096,0.0076,909.2095
170000,0.82,28.8,1.0,-0.9403,9.311,0.0317,0.0953,0.0072,907.1639
180000,0.8369,26.1,1.0,-0.9349,9.1241,0.0347,0.0957,0.0065,905.6616
190000,0.7994,32.1,1.0,-0.9223,9.7943,0.0411,0.0945,0.0062,751.6061
200000,0.6612,54.2,1.0,-0.915,10.02,0.0451,0.0949,0.0064,805.1486
210000,0.8306,27.1,1.0,-0.8971,9.5969,0.0547,0.0937,0.0052,809.7332
220000,0.805,31.2,1.0,-0.8866,9.9108,0.0605,0.094,0.0058,813.8314
230000,0.8975,16.4,1.0,-0.8418,10.1215,0.084,0.0946,0.0046,822.4674
240000,0.91,14.4,1.0,-0.8276,10.5485,0.0918,0.0944,0.0042,818.9239
250000,0.8838,18.6,1.0,-0.8223,10.2145,0.094,0.0933,0.0033,820.8182
260000,0.805,31.2,1.0,-0.7889,10.5932,0.1123,0.0945,0.0031,820.1519
270000,0.8994,16.1,1.0,-0.7597,10.1729,0.1272,0.0943,0.0029,815.2115
280000,0.8631,21.9,1.0,-0.7696,10.1626,0.122,0.0934,0.0027,813.6149
290000,0.8975,16.4,1.0,-0.755,10.8342,0.13,0.0936,0.0026,810.4178
300000,0.8956,16.7,1.0,-0.661,11.0619,0.1792,0.0938,0.0025,813.1051
310000,0.9044,15.3,1.0,-0.6901,11.1732,0.1642,0.093,0.0023,809.9711
320000,0.9019,15.7,1.0,-0.6454,11.5207,0.1878,0.0931,0.0023,807.6326
330000,0.8962,16.6,1.0,-0.6266,11.7509,0.1986,0.093,0.0023,805.2157
340000,0.8581,22.7,1.0,-0.6656,10.7181,0.1768,0.0933,0.0022,803.139
350000,0.9131,13.9,1.0,-0.5868,11.976,0.2192,0.0929,0.0023,803.7631
360000,0.9081,14.7,1.0,-0.6038,11.0988,0.2098,0.0927,0.0022,800.8656
370000,0.8131,29.9,1.0,-0.6003,11.6009,0.2111,0.0913,0.0021,802.1277
380000,0.9106,14.3,1.0,-0.5524,11.7371,0.2371,0.0919,0.0021,799.8601
390000,0.8856,18.3,1.0,-0.5063,12.1803,0.2619,0.0923,0.0022,798.5294
400000,0.9156,13.5,1.0,-0.5326,12.285,0.2482,0.0918,0.0022,796.4967
410000,0.9019,15.7,1.0,-0.4643,11.9474,0.2832,0.0912,0.0021,798.3874
420000,0.9225,12.4,1.0,-0.4153,12.6263,0.3093,0.0914,0.0021,799.3141
430000,0.8875,18.0,1.0,-0.4671,12.1951,0.2817,0.0915,0.0021,795.9893
440000,0.8669,21.3,1.0,-0.4061,12.1655,0.3139,0.0905,0.0021,794.8468
450000,0.8906,17.5,1.0,-0.3475,12.3001,0.3456,0.0896,0.0021,795.9645
460000,0.9081,14.7,1.0,-0.3963,12.4224,0.3193,0.0904,0.002,790.0004
470000,0.8837,18.6,1.0,-0.4297,12.6103,0.3014,0.0906,0.0025,790.3925
480000,0.905,15.2,1.0,-0.3438,12.3762,0.3465,0.0895,0.0018,788.9107
490000,0.9119,14.1,1.0,-0.3273,12.5628,0.3555,0.0893,0.002,787.5598
500000,0.905,15.2,1.0,-0.3054,12.7065,0.3672,0.0895,0.002,782.9388
510000,0.9069,14.9,1.0,-0.2548,12.6582,0.3949,0.0898,0.0021,781.6901
520000,0.9044,15.3,1.0,-0.2531,12.7551,0.3941,0.0896,0.002,781.0956
530000,0.9,16.0,1.0,-0.1895,12.8041,0.4277,0.0894,0.0022,780.8315
540000,0.9113,14.2,1.0,-0.203,13.5318,0.4222,0.0885,0.0021,779.3009
550000,0.9206,12.7,1.0,-0.1695,13.2275,0.4392,0.0879,0.002,780.2255
560000,0.9088,14.6,1.0,-0.2345,13.2275,0.4048,0.0873,0.002,780.4378
570000,0.9375,10.0,1.0,-0.1925,12.987,0.4273,0.0879,0.0019,777.6614
580000,0.8881,17.9,1.0,-0.1591,12.5945,0.4433,0.0872,0.002,778.1241
590000,0.9025,15.6,1.0,-0.0705,13.7174,0.4911,0.087,0.002,775.4714
600000,0.9169,13.3,1.0,-0.1329,13.3156,0.4581,0.0864,0.0025,775.7882
610000,0.8819,18.9,1.0,-0.072,13.3156,0.49,0.0861,0.0019,774.745
620000,0.8981,16.3,1.0,-0.0096,13.1234,0.5223,0.086,0.0021,774.1574
630000,0.9106,14.3,1.0,-0.0595,13.587,0.4959,0.0849,0.0023,773.0399
