env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,-1.0,2.9,0.0,,,,,,,
10000,0.0,144.0,0.0,-0.9909,6.8353,0.0048,-1.8932,4.4773,0.0134,164.7413
20000,0.0,144.0,0.0,-0.9951,6.6756,0.0027,-2.0601,5.1189,0.0045,541.1619
30000,0.0,144.0,0.0,-0.9923,6.8823,0.0041,-2.104,5.276,0.0039,538.5154
40000,0.2162,98.8,0.5,-0.9946,6.993,0.0028,-2.1324,5.3782,0.0029,535.5205
50000,0.465,82.4,0.8,-0.9946,7.0721,0.0028,-2.156,5.4578,0.0028,534.0351
60000,0.5737,68.2,1.0,-0.9971,7.6161,0.0015,-2.1746,5.518,0.003,533.3254
70000,0.6575,53.2,0.9,-0.9817,7.5529,0.0098,-2.1899,5.5641,0.0034,528.5667
80000,0.63,57.6,0.9,-0.9859,7.5815,0.0076,-2.2019,5.5947,0.0039,526.6352
90000,0.5569,69.3,0.9,-0.9834,8.0,0.0088,-2.2141,5.6271,0.0043,526.641
100000,0.775,36.0,1.0,-0.9851,7.9872,0.008,-2.2264,5.6703,0.0036,524.0693
110000,0.8069,30.9,1.0,-0.9764,8.3963,0.0126,-2.2379,5.7095,0.0037,522.4729
120000,0.5281,73.9,0.9,-0.9583,8.244,0.0223,-2.2469,5.7386,0.0041,520.1413
130000,0.5437,69.8,0.8,-0.9738,8.7413,0.014,-2.2562,5.7646,0.0039,521.6933
140000,0.0612,137.4,0.2,-0.9636,8.5911,0.0198,-2.2637,5.7913,0.0042,518.6438
150000,0.5788,67.4,1.0,-0.9548,8.9047,0.024,-2.2716,5.8157,0.0043,518.1184
160000,0.7744,36.1,1.0,-0.9639,9.1912,0.0193,-2.2794,5.839,0.0039,515.7222
170000,0.7937,33.0,1.0,-0.9659,9.5329,0.0181,-2.2866,5.8646,0.0039,515.0339
180000,0.7525,39.6,1.0,-0.9478,9.98,0.0279,-2.293,5.8853,0.0039,512.8573
190000,0.4325,89.2,0.9,-0.952,9.542,0.0258,-2.2979,5.9011,0.0038,510.0731
200000,0.0944,133.7,0.3,-0.9222,10.1729,0.0417,-2.3026,5.9111,0.0038,509.4481
210000,0.6969,46.9,0.9,-0.9451,10.0301,0.0291,-2.307,5.9264,0.0037,506.7994
220000,0.68,51.2,1.0,-0.9094,10.7066,0.0482,-2.3123,5.9417,0.004,506.873
230000,0.7863,34.2,1.0,-0.9105,10.5708,0.0476,-2.3148,5.9479,0.0039,504.2241
240000,0.8337,26.6,1.0,-0.9192,10.7296,0.0429,-2.3178,5.9581,0.0039,503.0618
250000,0.8156,29.5,1.0,-0.8872,10.5374,0.0601,-2.3217,5.9653,0.0039,501.3933
260000,0.835,26.4,1.0,-0.8731,10.5932,0.0678,-2.3257,5.9764,0.0041,501.62
270000,0.6956,48.7,1.0,-0.8916,10.7411,0.058,-2.3274,5.9808,0.0041,499.496
280000,0.8738,20.2,1.0,-0.8961,10.6838,0.0556,-2.3326,5.9979,0.0041,497.6081
290000,0.6075,59.6,0.8,-0.8276,11.2108,0.0919,-2.333,5.9957,0.0041,496.7675
300000,0.8319,26.9,1.0,-0.8512,11.8343,0.0793,-2.3375,6.0095,0.0042,497.0529
310000,0.705,47.2,1.0,-0.8361,12.0627,0.0881,-2.3397,6.0134,0.004,495.3454
320000,0.8119,30.1,1.0,-0.7906,12.1212,0.1115,-2.3425,6.0235,0.0041,493.6423
330000,0.84,25.6,1.0,-0.7817,12.4069,0.1166,-2.3435,6.0255,0.0041,491.9257
340000,0.7656,37.5,1.0,-0.7829,12.2699,0.1153,-2.3477,6.036,0.004,493.565
350000,0.8544,23.3,1.0,-0.7897,12.285,0.1118,-2.3496,6.0402,0.0038,490.6674
360000,0.7869,34.1,1.0,-0.6977,13.1234,0.1614,-2.3517,6.049,0.0039,490.9985
370000,0.8244,28.1,1.0,-0.7174,13.3156,0.1505,-2.3538,6.0521,0.0042,491.1933
380000,0.8869,18.1,1.0,-0.7165,12.3609,0.1508,-2.3554,6.0541,0.0041,490.0828
390000,0.7875,34.0,1.0,-0.6507,12.8535,0.1864,-2.3583,6.0649,0.004,487.3154
400000,0.8638,21.8,1.0,-0.6641,13.245,0.1788,-2.3602,6.0709,0.0038,487.2593
410000,0.8581,22.7,1.0,-0.5793,13.0548,0.2245,-2.3616,6.0724,0.004,486.9858
420000,0.8988,16.2,1.0,-0.597,12.9534,0.2137,-2.3634,6.0767,0.0039,485.2404
430000,0.8231,28.3,1.0,-0.5391,13.21,0.2444,-2.3652,6.0816,0.0039,484.922
440000,0.8825,18.8,1.0,-0.5756,13.4228,0.2255,-2.367,6.0872,0.0039,484.0191
450000,0.8069,30.9,1.0,-0.4913,13.4228,0.2698,-2.3688,6.0912,0.0038,482.6607
460000,0.9125,14.0,1.0,-0.4525,13.089,0.2906,-2.37,6.0996,0.0038,482.6441
470000,0.8994,16.1,1.0,-0.4578,13.2626,0.2878,-2.3715,6.1008,0.0038,482.8653
480000,0.9075,14.8,1.0,-0.3823,14.2653,0.3281,-2.3728,6.104,0.0036,480.6812
490000,0.9006,15.9,1.0,-0.453,13.3156,0.2903,-2.3745,6.1085,0.0036,479.2904
500000,0.9,16.0,1.0,-0.4235,13.3511,0.3071,-2.3753,6.1092,0.0035,481.0499
510000,0.8763,19.8,1.0,-0.3589,14.0449,0.3399,-2.378,6.1197,0.0033,479.4716
520000,0.9169,13.3,1.0,-0.2938,14.0449,0.375,-2.3776,6.1157,0.0034,477.8406
530000,0.8819,18.9,1.0,-0.3273,14.1643,0.3569,-2.3798,6.122,0.0034,478.487
540000,0.9081,14.7,1.0,-0.2982,14.1443,0.372,-2.3808,6.125,0.0031,476.5795
550000,0.9044,15.3,1.0,-0.2615,13.6986,0.3918,-2.3825,6.1293,0.003,474.3794
560000,0.9044,15.3,1.0,-0.2413,13.4771,0.4003,-2.3833,6.131,0.0031,475.8779
570000,0.8669,21.3,1.0,-0.2075,13.4771,0.4191,-2.3839,6.1334,0.0031,474.6392
580000,0.9069,14.9,1.0,-0.1777,14.2248,0.4353,-2.3848,6.1328,0.0032,473.688
590000,0.895,16.8,1.0,-0.1242,13.7741,0.4628,-2.3858,6.1361,0.003,473.8767
600000,0.9037,15.4,1.0,-0.1581,13.7741,0.4449,-2.387,6.1414,0.0031,472.6431
610000,0.9238,12.2,1.0,-0.107,13.7741,0.4711,-2.3879,6.1408,0.003,472.4044
620000,0.8706,20.7,1.0,-0.0217,13.587,0.5163,-2.3887,6.1417,0.0029,473.692
630000,0.8725,20.4,1.0,-0.1411,13.8889,0.4542,-2.3904,6.1487,0.0028,470.6244
640000,0.8862,18.2,1.0,-0.0503,14.1643,0.5028,-2.391,6.1483,0.0028,470.7468
650000,0.9119,14.1,1.0,-0.0428,13.986,0.5063,-2.3916,6.1507,0.0028,471.3062
660000,0.9056,15.1,1.0,-0.0737,13.0039,0.4876,-2.3926,6.1521,0.0028,469.9693
670000,0.9163,13.4,1.0,-0.0277,13.8889,0.5139,-2.3935,6.1574,0.0027,470.5634
680000,0.9238,12.2,1.0,-0.0481,13.8313,0.5035,-2.3947,6.1606,0.0026,469.9621
690000,0.8856,18.3,1.0,0.0352,14.3266,0.5473,-2.3941,6.1549,0.0027,469.0232
700000,0.9313,11.0,1.0,-0.0194,12.7551,0.5166,-2.3961,6.1624,0.0026,468.4556
710000,0.8944,16.9,1.0,-0.0443,13.4953,0.5047,-2.3968,6.1643,0.0026,468.8162
720000,0.8944,16.9,1.0,0.0838,13.587,0.5707,-2.3972,6.1645,0.0026,468.5734
730000,0.8987,16.2,1.0,0.015,12.9366,0.5343,-2.3987,6.171,0.0025,467.7687
740000,0.9169,13.3,1.0,0.0645,13.6426,0.5607,-2.3987,6.1687,0.0025,468.3115
750000,0.9194,12.9,1.0,0.1391,13.5318,0.5995,-2.4,6.1728,0.0025,466.6528
760000,0.92,12.8,1.0,0.0813,13.369,0.5695,-2.4014,6.1777,0.0025,466.2048
770000,0.915,13.6,1.0,0.1735,13.5685,0.6174,-2.4017,6.1771,0.0024,466.5808
780000,0.8819,18.9,1.0,0.1276,13.7931,0.5945,-2.4022,6.1782,0.0024,466.9336
790000,0.9056,15.1,1.0,0.1976,13.6054,0.6299,-2.4031,6.183,0.0024,464.6888
800000,0.92,12.8,1.0,0.1075,13.6054,0.5837,-2.4038,6.1832,0.0023,465.0693
810000,0.9062,15.0,1.0,0.1454,12.9702,0.6018,-2.4042,6.1847,0.0024,464.9738
820000,0.9013,15.8,1.0,0.1359,13.0378,0.5971,-2.4054,6.1877,0.0023,464.9472
830000,0.8962,16.6,1.0,0.2553,13.2802,0.6587,-2.4054,6.1867,0.0023,464.8855
840000,0.9156,13.5,1.0,0.1939,13.7741,0.6281,-2.4066,6.1915,0.0023,463.1606
850000,0.905,15.2,1.0,0.2617,13.8889,0.6639,-2.4068,6.1905,0.0023,463.6811
860000,0.91,14.4,1.0,0.2569,13.5135,0.6608,-2.4074,6.1919,0.0023,464.6885
870000,0.9213,12.6,1.0,0.2019,13.3511,0.6315,-2.4079,6.1941,0.0022,463.301
880000,0.9119,14.1,1.0,0.2845,13.8504,0.6759,-2.4081,6.1933,0.0022,463.7166
