env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,-0.8006,1.5,0.1,,,,,,,
10000,0.0,144.0,0.0,-0.868,6.5359,0.0673,-2.3391,6.6576,0.1021,170.7549
20000,0.0,144.0,0.0,-0.8582,6.7159,0.0725,-2.6061,7.9643,0.1041,684.7357
30000,0.0,144.0,0.0,-0.8749,6.93,0.0638,-2.7147,8.5368,0.102,680.0388
40000,0.0,144.0,0.0,-0.8423,7.1276,0.0805,-2.6512,8.0273,0.1009,673.0517
50000,0.0,144.0,0.0,-0.871,6.8681,0.0659,-2.7794,8.765,0.099,671.8603
60000,0.0,144.0,0.0,-0.8478,7.8555,0.0778,-2.8237,8.989,0.0978,670.1173
70000,0.0,144.0,0.0,-0.8503,7.8186,0.0766,-2.8473,9.0918,0.096,666.2494
80000,0.0,144.0,0.0,-0.8364,7.8309,0.0838,-2.8681,9.181,0.094,664.2866
90000,0.0,144.0,0.0,-0.8392,8.0645,0.0823,-2.8848,9.2495,0.0928,665.761
100000,0.0,144.0,0.0,-0.8563,8.4602,0.0736,-2.901,9.3204,0.0918,659.8352
110000,0.0,144.0,0.0,-0.8897,8.6059,0.0568,-2.9148,9.3796,0.0903,650.2855
120000,0.0,144.0,0.0,-0.8699,8.7719,0.0667,-2.928,9.4375,0.0885,652.6543
130000,0.0,144.0,0.0,-0.8741,9.1158,0.0647,-2.9488,9.5415,0.087,649.65
140000,0.0,144.0,0.0,-0.8465,8.9606,0.0789,-2.9736,9.6729,0.0859,642.8425
150000,0.0,144.0,0.0,-0.8744,9.6339,0.0645,-2.9842,9.7222,0.085,646.1073
160000,0.0,144.0,0.0,-0.8752,9.7847,0.0646,-2.9933,9.7604,0.0841,642.808
170000,0.0,144.0,0.0,-0.857,9.6246,0.0731,-3.0018,9.7954,0.083,641.3417
180000,0.0,144.0,0.0,-0.8647,10.4603,0.0701,-3.011,9.8372,0.0821,642.4293
190000,0.0,144.0,0.0,-0.866,10.6496,0.0692,-3.0177,9.8647,0.0811,636.1028
200000,0.0,144.0,0.0,-0.8663,10.1729,0.0692,-3.0251,9.8934,0.0797,633.698
210000,0.0,144.0,0.0,-0.8567,11.1359,0.0735,-3.0316,9.9235,0.0789,630.2936
220000,0.0,144.0,0.0,-0.8501,10.7296,0.0773,-3.0381,9.9504,0.0783,632.7503
230000,0.0,144.0,0.0,-0.8428,12.3001,0.0812,-3.0434,9.9707,0.077,632.6499
240000,0.0,144.0,0.0,-0.8253,11.4025,0.0901,-3.0501,10.0002,0.0766,625.5315
250000,0.0,144.0,0.0,-0.8462,11.9474,0.08,-3.0544,10.0169,0.0756,627.8153
260000,0.0,144.0,0.0,-0.8858,11.6822,0.0596,-3.0598,10.0382,0.0749,625.1072
270000,0.0,144.0,0.0,-0.8518,11.7925,0.0767,-3.0639,10.0552,0.0741,620.8935
280000,0.0,144.0,0.0,-0.9005,12.9702,0.0519,-3.0688,10.0764,0.0737,622.6798
290000,0.0,144.0,0.0,-0.8485,13.4771,0.0782,-3.0723,10.0904,0.0727,623.8609
300000,0.0,144.0,0.0,-0.8578,13.4048,0.0737,-3.0766,10.1066,0.0721,621.0372
310000,0.0,144.0,0.0,-0.8663,13.986,0.0699,-3.0801,10.1235,0.0715,616.1093
320000,0.0,144.0,0.0,-0.8878,14.8588,0.0579,-3.0833,10.1327,0.071,618.5203
330000,0.0,144.0,0.0,-0.8479,15.2207,0.0791,-3.0866,10.1458,0.0697,609.2693
340000,0.0,144.0,0.0,-0.8687,15.2905,0.0688,-3.09,10.1602,0.0696,616.7817
