env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.4413,81.4,0.5,-0.8748,6.6357,0.0637,1.1383,0.0148,483.5749
20000,0.8831,18.7,1.0,-0.8825,6.3532,0.0597,0.7438,0.0162,672.0196
30000,0.9087,14.6,1.0,-0.7899,6.6225,0.1073,0.4733,0.0121,670.8478
40000,0.9313,11.0,1.0,-0.8108,6.4767,0.0965,0.3839,0.009,666.2589
50000,0.9225,12.4,1.0,-0.7759,6.7843,0.1147,0.3413,0.0067,662.9822
60000,0.9569,6.9,1.0,-0.792,6.9881,0.1062,0.3196,0.0055,664.608
70000,0.96,6.4,1.0,-0.7768,6.9979,0.1141,0.3047,0.0049,664.0908
80000,0.9463,8.6,1.0,-0.7273,7.2674,0.1395,0.2926,0.0045,662.3345
90000,0.965,5.6,1.0,-0.7067,7.0671,0.1505,0.2834,0.0042,660.7389
100000,0.9531,7.5,1.0,-0.6904,7.2516,0.1588,0.2764,0.0039,657.2186
110000,0.9519,7.7,1.0,-0.6356,7.2098,0.1867,0.2701,0.0036,653.2497
120000,0.9631,5.9,1.0,-0.5755,7.1633,0.2178,0.2656,0.0034,653.8116
130000,0.9512,7.8,1.0,-0.5913,7.6805,0.2097,0.263,0.0032,653.7893
140000,0.955,7.2,1.0,-0.5862,7.5586,0.2124,0.2607,0.0029,652.2089
150000,0.9662,5.4,1.0,-0.5569,7.0522,0.2271,0.259,0.0028,648.4741
160000,0.9506,7.9,1.0,-0.4908,7.6982,0.2617,0.2577,0.0026,645.4658
170000,0.9363,10.2,1.0,-0.5015,7.4349,0.2558,0.2564,0.0025,649.0952
180000,0.9375,10.0,1.0,-0.4463,7.6511,0.2846,0.2555,0.0024,644.1585
190000,0.9625,6.0,1.0,-0.4102,7.716,0.3032,0.2548,0.0023,646.6297
200000,0.9525,7.6,1.0,-0.3834,7.4738,0.3169,0.254,0.0022,641.8671
210000,0.9488,8.2,1.0,-0.33,7.6161,0.3442,0.2535,0.0022,641.087
220000,0.9556,7.1,1.0,-0.3268,7.4683,0.3458,0.2529,0.0021,638.603
230000,0.9344,10.5,1.0,-0.3625,7.7882,0.3279,0.2522,0.002,641.0623
240000,0.9431,9.1,1.0,-0.2819,7.9177,0.3698,0.2519,0.002,639.8699
250000,0.9469,8.5,1.0,-0.2328,7.8125,0.3945,0.2514,0.0019,638.9072
260000,0.9356,10.3,1.0,-0.2483,7.6805,0.3863,0.2515,0.0018,637.4071
270000,0.9569,6.9,1.0,-0.2615,7.593,0.3797,0.2512,0.0018,635.6071
280000,0.9481,8.3,1.0,-0.2024,7.4294,0.4094,0.2508,0.0017,633.9053
290000,0.9544,7.3,1.0,-0.1608,7.5758,0.4311,0.2507,0.0017,633.0709
300000,0.9569,6.9,1.0,-0.1473,7.5529,0.4381,0.2502,0.0016,632.6227
310000,0.9381,9.9,1.0,-0.1439,7.6104,0.4399,0.2499,0.0016,630.588
320000,0.9637,5.8,1.0,-0.123,7.9491,0.4515,0.2499,0.0016,634.313
330000,0.9456,8.7,1.0,-0.0511,7.8003,0.4875,0.2497,0.0015,632.3644
340000,0.9563,7.0,1.0,-0.0336,7.3584,0.496,0.2496,0.0015,630.7748
350000,0.9506,7.9,1.0,-0.0304,7.4906,0.4981,0.2494,0.0015,625.601
360000,0.9694,4.9,1.0,-0.0109,7.6453,0.5084,0.2493,0.0015,626.2087
370000,0.9631,5.9,1.0,0.0587,7.776,0.5443,0.2492,0.0014,627.5519
380000,0.9619,6.1,1.0,0.0435,7.7101,0.5359,0.2489,0.0014,625.0118
390000,0.9531,7.5,1.0,0.0892,7.6161,0.559,0.2489,0.0014,622.6954
400000,0.9469,8.5,1.0,0.0874,7.2359,0.5579,0.2484,0.0014,619.4474
410000,0.95,8.0,1.0,0.1113,7.6161,0.5704,0.2486,0.0014,621.26
420000,0.9638,5.8,1.0,0.0922,7.6982,0.5612,0.2483,0.0013,619.2183
430000,0.9625,6.0,1.0,0.1522,8.0257,0.5923,0.2483,0.0013,618.9513
440000,0.9419,9.3,1.0,0.1699,7.4294,0.6003,0.2483,0.0013,617.8392
450000,0.9656,5.5,1.0,0.1825,7.57,0.6071,0.2489,0.0013,617.3716
460000,0.9456,8.7,1.0,0.245,7.6746,0.6393,0.2482,0.0013,615.9011
470000,0.9637,5.8,1.0,0.2386,7.5815,0.6353,0.2484,0.0013,614.5325
480000,0.9525,7.6,1.0,0.2581,7.5131,0.6454,0.2482,0.0013,614.7982
490000,0.9594,6.5,1.0,0.2496,7.5988,0.6413,0.2483,0.0012,613.6996
500000,0.9594,6.5,1.0,0.2286,7.77,0.6309,0.2482,0.0012,615.4046
510000,0.96,6.4,1.0,0.2502,7.5358,0.6413,0.2484,0.0012,610.7505
520000,0.9412,9.4,1.0,0.2793,7.3475,0.6561,0.2484,0.0012,611.4568
530000,0.9606,6.3,1.0,0.2948,7.764,0.6654,0.2483,0.0012,609.4786
540000,0.9556,7.1,1.0,0.33,7.4738,0.6824,0.2485,0.0012,605.7366
550000,0.9306,11.1,1.0,0.331,7.8989,0.6833,0.2484,0.0012,608.922
560000,0.9675,5.2,1.0,0.3637,7.5988,0.6998,0.2484,0.0012,607.9109
570000,0.9531,7.5,1.0,0.3409,7.734,0.6883,0.2487,0.0012,607.3058
580000,0.9531,7.5,1.0,0.3652,7.758,0.7005,0.2486,0.0012,608.935
590000,0.9463,8.6,1.0,0.3959,7.6278,0.7162,0.2486,0.0011,608.0818
600000,0.9525,7.6,1.0,0.4172,7.6453,0.7271,0.2489,0.0011,607.3081
610000,0.9556,7.1,1.0,0.4119,7.6746,0.7245,0.2491,0.0011,606.7263
620000,0.9394,9.7,1.0,0.4524,7.7042,0.745,0.2491,0.0011,605.3973
630000,0.9644,5.7,1.0,0.4218,7.5643,0.7292,0.2493,0.0011,599.3828
640000,0.9575,6.8,1.0,0.464,7.5815,0.7506,0.2489,0.0011,601.2171
650000,0.9519,7.7,1.0,0.4531,7.6046,0.7452,0.249,0.0011,601.3638
660000,0.9412,9.4,1.0,0.481,7.837,0.7602,0.2492,0.0011,601.1704
670000,0.9525,7.6,1.0,0.4386,7.4963,0.7376,0.2492,0.0011,598.7554
680000,0.9525,7.6,1.0,0.4418,7.6982,0.7398,0.2492,0.0011,601.8485
690000,0.9581,6.7,1.0,0.4936,7.6687,0.7661,0.2497,0.0011,600.9913
700000,0.9369,10.1,1.0,0.4785,7.6628,0.7586,0.2496,0.0011,600.3127
710000,0.9456,8.7,1.0,0.5028,7.4738,0.7706,0.2494,0.001,597.2735
720000,0.9531,7.5,1.0,0.4921,7.4405,0.7649,0.2494,0.001,596.9478
730000,0.95,8.0,1.0,0.5204,7.4349,0.7792,0.2497,0.001,598.6673
740000,0.9469,8.5,1.0,0.5273,7.326,0.7824,0.2494,0.001,598.7058
750000,0.9637,5.8,1.0,0.5492,7.4571,0.7942,0.2497,0.001,597.0154
760000,0.9538,7.4,1.0,0.5817,7.2674,0.8103,0.2498,0.001,597.1384
