env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,,
10000,0.8256,27.9,1.0,-0.8583,6.6181,0.0721,0.0016,0.0149,0.0181,501.3645
20000,0.7131,44.3,0.9,-0.8377,6.6269,0.0828,0.0015,0.0001,0.022,849.8208
30000,0.8169,29.3,1.0,-0.832,6.6313,0.0855,0.001,0.0,0.0169,856.5659
40000,0.7525,38.0,0.9,-0.8102,6.4475,0.0967,0.0009,0.0,0.0135,842.6745
50000,0.5406,67.1,0.6,-0.7807,6.5789,0.1118,0.0009,0.0,0.0109,850.4962
60000,0.7831,33.1,0.9,-0.7753,7.1891,0.115,0.0009,0.0,0.0108,840.3211
70000,0.7394,40.1,0.9,-0.7535,7.1891,0.1258,0.0009,0.0,0.0096,840.3092
80000,0.9488,8.2,1.0,-0.7491,7.3206,0.1281,0.0008,0.0,0.0084,844.659
90000,0.925,12.0,1.0,-0.7075,7.2202,0.1495,0.0008,0.0,0.008,832.5801
100000,0.7594,38.5,1.0,-0.7045,7.2098,0.1514,0.0008,0.0,0.0076,836.544
110000,0.9025,15.6,1.0,-0.6327,7.5873,0.1882,0.0008,0.0,0.0075,835.912
120000,0.9469,8.5,1.0,-0.622,7.7459,0.1936,0.0008,0.0,0.0069,830.2898
130000,0.9381,9.9,1.0,-0.5889,7.4683,0.2106,0.0008,0.0,0.0063,831.4727
140000,0.92,12.8,1.0,-0.5843,7.4516,0.2131,0.0008,0.0,0.0058,829.96
150000,0.8775,19.6,1.0,-0.5675,7.6628,0.2222,0.0008,0.0,0.0054,827.9836
160000,0.9594,6.5,1.0,-0.5193,7.7821,0.2467,0.0008,0.0,0.0052,823.1384
170000,0.9088,14.6,1.0,-0.483,7.8064,0.2654,0.0008,0.0,0.0049,823.7542
180000,0.9256,11.9,1.0,-0.4398,7.5301,0.2869,0.0008,0.0,0.0047,820.0911
190000,0.9587,6.6,1.0,-0.4612,7.9114,0.2769,0.0008,0.0,0.0045,819.2348
200000,0.9456,8.7,1.0,-0.4151,7.5529,0.2998,0.0008,0.0,0.0043,814.4635
210000,0.8275,27.6,1.0,-0.3531,7.5988,0.3321,0.0008,0.0,0.0042,799.1011
220000,0.9375,10.0,1.0,-0.387,7.8927,0.3149,0.0008,0.0,0.004,806.6855
230000,0.9081,14.7,1.0,-0.3473,7.6923,0.3354,0.0008,0.0,0.0039,807.1999
240000,0.9631,5.9,1.0,-0.3199,7.8864,0.3494,0.0009,0.0,0.0039,801.3975
250000,0.9094,14.5,1.0,-0.3128,7.758,0.353,0.0009,0.0,0.0038,805.1674
260000,0.9519,7.7,1.0,-0.2408,7.9051,0.3897,0.0009,0.0,0.0036,800.6039
270000,0.9563,7.0,1.0,-0.2103,7.9302,0.406,0.0009,0.0,0.0035,796.9132
280000,0.9538,7.4,1.0,-0.2514,7.758,0.3848,0.0009,0.0,0.0034,787.8079
290000,0.9556,7.1,1.0,-0.1921,7.734,0.4145,0.0009,0.0,0.0033,793.6567
300000,0.9481,8.3,1.0,-0.1421,8.0775,0.4418,0.0009,0.0,0.0033,796.4167
310000,0.9513,7.8,1.0,-0.1323,7.6628,0.4452,0.0009,0.0,0.0032,795.1289
320000,0.9087,14.6,1.0,-0.0787,8.1169,0.474,0.0009,0.0,0.0031,792.8466
330000,0.9331,10.7,1.0,-0.1256,8.0841,0.4495,0.0009,0.0,0.0031,789.8993
340000,0.9587,6.6,1.0,-0.0674,7.6746,0.4789,0.0009,0.0,0.003,788.1667
350000,0.9419,9.3,1.0,0.0032,7.7882,0.5156,0.0009,0.0,0.0029,784.5958
360000,0.945,8.8,1.0,0.0054,7.776,0.5171,0.0009,0.0,0.0029,786.0664
370000,0.9587,6.6,1.0,0.0053,7.9177,0.517,0.0009,0.0,0.0028,781.8708
380000,0.9637,5.8,1.0,0.0295,8.0972,0.5296,0.0009,0.0,0.0028,784.4348
390000,0.9394,9.7,1.0,0.0535,7.5358,0.5403,0.0009,0.0,0.0027,782.8798
400000,0.9519,7.7,1.0,0.0988,7.8247,0.5649,0.0009,0.0,0.0027,785.0181
410000,0.9463,8.6,1.0,0.0632,7.8678,0.546,0.0009,0.0,0.0026,775.1431
420000,0.9506,7.9,1.0,0.1621,8.0,0.5976,0.0009,0.0,0.0026,778.2658
430000,0.97,4.8,1.0,0.1425,7.9808,0.5874,0.0009,0.0,0.0026,775.3648
440000,0.9456,8.7,1.0,0.1713,7.8555,0.6017,0.0009,0.0,0.0026,766.1951
450000,0.9394,9.7,1.0,0.1363,7.8864,0.5836,0.0009,0.0,0.0025,770.0961
460000,0.9556,7.1,1.0,0.1947,7.77,0.6138,0.0009,0.0,0.0025,769.9807
470000,0.9662,5.4,1.0,0.241,7.77,0.6371,0.0009,0.0,0.0025,767.4526
480000,0.9494,8.1,1.0,0.1884,7.6746,0.6101,0.0009,0.0,0.0025,766.64
490000,0.9537,7.4,1.0,0.2615,8.0515,0.6481,0.0009,0.0,0.0024,773.7831
500000,0.95,8.0,1.0,0.2622,8.0451,0.6484,0.0009,0.0,0.0024,772.917
510000,0.9444,8.9,1.0,0.2495,7.4683,0.6408,0.0009,0.0,0.0024,769.387
520000,0.965,5.6,1.0,0.3412,7.6453,0.6881,0.0009,0.0,0.0023,760.19
530000,0.9569,6.9,1.0,0.2613,7.9114,0.6479,0.0009,0.0,0.0024,758.2778
540000,0.9569,6.9,1.0,0.2807,7.77,0.6573,0.001,0.0,0.0024,764.9824
550000,0.9481,8.3,1.0,0.3593,7.7459,0.6971,0.001,0.0,0.0023,764.6493
560000,0.9575,6.8,1.0,0.3421,7.9051,0.6893,0.001,0.0,0.0023,763.5592
570000,0.9444,8.9,1.0,0.3363,7.5988,0.6854,0.001,0.0,0.0023,755.8191
580000,0.9694,4.9,1.0,0.4094,7.5415,0.7225,0.001,0.0,0.0023,761.3572
