env_steps,return,length,success,train/return,train/length,train/success,op_loss,rp_loss,critic_loss,FPS
0,-0.1,129.7,0.0,,,,,,,
10000,0.3894,88.1,0.4,-0.8429,6.5617,0.0801,1.0963,0.033,0.0292,416.0101
20000,0.8181,27.5,0.9,-0.8633,6.3939,0.0697,0.7146,0.0006,0.0179,652.3491
30000,0.7562,37.4,0.9,-0.8393,6.6007,0.0818,0.4602,0.0003,0.0118,651.0188
40000,0.865,21.6,1.0,-0.7987,6.8027,0.1027,0.3814,0.0003,0.0104,643.1816
50000,0.94,9.6,1.0,-0.7903,6.8166,0.107,0.3388,0.0002,0.009,644.5117
60000,0.9575,6.8,1.0,-0.774,6.8353,0.1155,0.3171,0.0002,0.0073,643.6728
70000,0.9444,8.9,1.0,-0.7257,6.9348,0.1401,0.3031,0.0002,0.006,643.4776
80000,0.9481,8.3,1.0,-0.6913,7.0274,0.1581,0.2908,0.0002,0.0053,640.5096
90000,0.96,6.4,1.0,-0.6828,7.1531,0.1624,0.282,0.0002,0.0048,634.8032
100000,0.9538,7.4,1.0,-0.6426,7.2359,0.1831,0.2749,0.0002,0.0044,637.3824
110000,0.9412,9.4,1.0,-0.6146,7.7101,0.1981,0.2702,0.0002,0.004,636.3922
120000,0.955,7.2,1.0,-0.6276,7.2886,0.191,0.2666,0.0002,0.0036,634.7956
130000,0.9525,7.6,1.0,-0.6001,7.485,0.2051,0.264,0.0002,0.0033,633.83
140000,0.9331,10.7,1.0,-0.5413,7.3584,0.2347,0.262,0.0002,0.003,624.733
150000,0.9763,3.8,1.0,-0.5409,7.6336,0.2359,0.2606,0.0002,0.0028,626.3565
160000,0.9544,7.3,1.0,-0.4889,7.391,0.2624,0.2594,0.0002,0.0026,623.6481
170000,0.9437,9.0,1.0,-0.4292,7.6628,0.2935,0.258,0.0002,0.0025,625.3903
180000,0.9531,7.5,1.0,-0.4195,7.3584,0.298,0.2572,0.0002,0.0024,625.399
190000,0.9306,11.1,1.0,-0.3516,7.6982,0.3333,0.256,0.0002,0.0023,620.9144
200000,0.9656,5.5,1.0,-0.3803,7.764,0.3183,0.2555,0.0002,0.0022,623.6545
210000,0.9487,8.2,1.0,-0.3639,7.4571,0.3266,0.2549,0.0002,0.0021,619.5217
220000,0.9306,11.1,1.0,-0.3129,7.6687,0.3535,0.2542,0.0002,0.002,619.2498
230000,0.9581,6.7,1.0,-0.3465,7.5415,0.3356,0.2535,0.0002,0.002,621.1221
240000,0.9369,10.1,1.0,-0.2514,7.758,0.384,0.2535,0.0001,0.0019,620.2963
250000,0.9394,9.7,1.0,-0.2695,7.764,0.3758,0.253,0.0001,0.0018,616.7583
260000,0.9563,7.0,1.0,-0.2212,7.4239,0.4001,0.2532,0.0001,0.0018,617.2084
270000,0.9631,5.9,1.0,-0.222,7.722,0.4,0.2526,0.0001,0.0018,611.4616
280000,0.9669,5.3,1.0,-0.2089,7.9114,0.4074,0.2522,0.0001,0.0017,612.6045
290000,0.9519,7.7,1.0,-0.1564,7.8003,0.4337,0.2525,0.0001,0.0017,609.8665
300000,0.9481,8.3,1.0,-0.1811,7.728,0.4212,0.2525,0.0001,0.0016,611.4399
310000,0.9556,7.1,1.0,-0.0839,7.8927,0.4712,0.2523,0.0001,0.0016,616.5152
320000,0.9519,7.7,1.0,-0.0927,7.764,0.4658,0.2519,0.0001,0.0016,615.093
330000,0.9656,5.5,1.0,-0.0702,7.716,0.4776,0.2521,0.0001,0.0016,611.6789
340000,0.9688,5.0,1.0,-0.0025,7.6923,0.5123,0.2517,0.0001,0.0015,608.6701
350000,0.9525,7.6,1.0,-0.0197,7.77,0.5035,0.2517,0.0001,0.0015,605.3077
360000,0.9681,5.1,1.0,0.0046,7.5873,0.5159,0.251,0.0001,0.0015,605.5924
370000,0.9406,9.5,1.0,0.0483,7.7519,0.5388,0.2511,0.0001,0.0015,606.3432
380000,0.9425,9.2,1.0,0.0336,7.7101,0.5312,0.2511,0.0001,0.0014,601.3408
390000,0.96,6.4,1.0,0.0905,7.874,0.5606,0.2513,0.0001,0.0014,604.9859
400000,0.9537,7.4,1.0,0.0842,7.837,0.5572,0.2512,0.0001,0.0014,605.8062
410000,0.9412,9.4,1.0,0.1163,7.5815,0.5724,0.2512,0.0001,0.0014,601.8515
420000,0.9612,6.2,1.0,0.1239,7.9491,0.5779,0.2512,0.0001,0.0013,602.2548
430000,0.9519,7.7,1.0,0.132,7.9177,0.5819,0.2513,0.0001,0.0013,599.9437
440000,0.95,8.0,1.0,0.1497,7.7042,0.5909,0.2511,0.0001,0.0013,602.7703
450000,0.9494,8.1,1.0,0.2007,7.8555,0.6167,0.251,0.0001,0.0013,603.5296
460000,0.9537,7.4,1.0,0.1971,7.5301,0.6145,0.2511,0.0001,0.0013,599.9671
470000,0.9587,6.6,1.0,0.2608,7.8678,0.6475,0.2511,0.0001,0.0013,599.9713
480000,0.9463,8.6,1.0,0.1963,7.5301,0.6137,0.2512,0.0001,0.0013,596.3491
490000,0.96,6.4,1.0,0.2373,7.7459,0.6352,0.251,0.0001,0.0013,595.5876
500000,0.9619,6.1,1.0,0.2591,7.8125,0.6469,0.2513,0.0001,0.0012,591.6585
510000,0.9638,5.8,1.0,0.312,7.5415,0.6735,0.2511,0.0001,0.0012,593.5219
520000,0.9556,7.1,1.0,0.2637,7.5758,0.6485,0.2514,0.0001,0.0012,591.7736
530000,0.94,9.6,1.0,0.3319,7.8927,0.6843,0.2511,0.0001,0.0012,589.0514
540000,0.9356,10.3,1.0,0.3576,7.57,0.6964,0.2512,0.0001,0.0012,591.6589
550000,0.9575,6.8,1.0,0.3233,7.728,0.6793,0.2516,0.0001,0.0012,586.5464
560000,0.9563,7.0,1.0,0.3813,7.734,0.7092,0.2512,0.0001,0.0012,589.5073
570000,0.9625,6.0,1.0,0.3555,7.6982,0.6959,0.2513,0.0001,0.0011,590.5843
580000,0.9625,6.0,1.0,0.3949,7.6511,0.7154,0.2514,0.0001,0.0011,591.4027
590000,0.9394,9.7,1.0,0.4041,7.2046,0.719,0.2514,0.0001,0.0011,590.2885
600000,0.9487,8.2,1.0,0.4296,7.9681,0.7339,0.2516,0.0001,0.0011,591.1197
610000,0.94,9.6,1.0,0.4621,7.5188,0.7496,0.2514,0.0001,0.0011,587.9355
620000,0.9406,9.5,1.0,0.4438,7.6453,0.7408,0.2517,0.0001,0.0011,584.0726
630000,0.9625,6.0,1.0,0.434,7.622,0.7355,0.2518,0.0001,0.0011,580.7029
640000,0.9581,6.7,1.0,0.4558,7.5075,0.7462,0.2517,0.0001,0.0011,587.9214
650000,0.9463,8.6,1.0,0.4737,7.8864,0.7563,0.2519,0.0001,0.0011,587.2949
660000,0.9688,5.0,1.0,0.4949,7.8802,0.7675,0.2521,0.0001,0.0011,583.3061
670000,0.9456,8.7,1.0,0.4691,7.5245,0.7532,0.2518,0.0001,0.0011,582.7424
680000,0.9463,8.6,1.0,0.4611,7.4738,0.7489,0.2522,0.0001,0.0011,581.4964
690000,0.9569,6.9,1.0,0.5286,7.7042,0.7843,0.2523,0.0001,0.0011,582.6485
700000,0.9437,9.0,1.0,0.4703,7.6394,0.754,0.2521,0.0001,0.001,577.7724
710000,0.95,8.0,1.0,0.4857,7.4294,0.7615,0.2521,0.0001,0.001,584.2461
720000,0.935,10.4,1.0,0.4918,7.3638,0.7644,0.2525,0.0001,0.001,582.9282
730000,0.9412,9.4,1.0,0.5313,7.5415,0.7851,0.2523,0.0001,0.001,581.4649
740000,0.9656,5.5,1.0,0.539,7.8186,0.7897,0.2524,0.0001,0.001,579.9574
750000,0.9575,6.8,1.0,0.5457,7.5415,0.7926,0.2522,0.0001,0.001,580.7391
760000,0.9469,8.5,1.0,0.5714,7.2886,0.8047,0.2524,0.0001,0.001,581.8901
770000,0.9506,7.9,1.0,0.5557,7.3638,0.7968,0.253,0.0001,0.001,581.2932
780000,0.9644,5.7,1.0,0.5274,7.8064,0.7838,0.2526,0.0001,0.001,580.9933
790000,0.9481,8.3,1.0,0.5815,7.8802,0.8117,0.2529,0.0001,0.001,578.6388
800000,0.9594,6.5,1.0,0.5804,7.6687,0.8106,0.2526,0.0001,0.001,576.5438
810000,0.9394,9.7,1.0,0.5911,7.6336,0.816,0.2531,0.0001,0.001,573.6269
820000,0.9481,8.3,1.0,0.5878,7.6453,0.8142,0.2532,0.0001,0.001,574.7798
830000,0.9519,7.7,1.0,0.6022,7.5019,0.8207,0.2533,0.0001,0.001,576.9422
840000,0.9494,8.1,1.0,0.6301,7.4239,0.8352,0.2531,0.0001,0.001,574.9677
850000,0.9581,6.7,1.0,0.6399,7.446,0.8399,0.2532,0.0001,0.001,571.3506
860000,0.9594,6.5,1.0,0.6556,7.5415,0.8484,0.2531,0.0001,0.0009,566.271
870000,0.9563,7.0,1.0,0.6361,7.3638,0.838,0.2533,0.0001,0.0009,568.1949
880000,0.9644,5.7,1.0,0.6001,7.3368,0.8195,0.2537,0.0001,0.0009,564.0233
890000,0.9556,7.1,1.0,0.651,7.5472,0.846,0.2533,0.0001,0.0009,567.364
900000,0.9594,6.5,1.0,0.6376,7.485,0.8391,0.2537,0.0001,0.0009,566.8738
910000,0.9506,7.9,1.0,0.6361,7.5131,0.8385,0.2533,0.0001,0.0009,569.4889
920000,0.9656,5.5,1.0,0.667,7.4184,0.8539,0.2536,0.0001,0.0009,568.1731
930000,0.9594,6.5,1.0,0.6793,7.7399,0.8615,0.2537,0.0001,0.0009,569.1231
940000,0.95,8.0,1.0,0.6634,7.5245,0.8525,0.2537,0.0001,0.0009,567.7381
950000,0.9506,7.9,1.0,0.6567,7.6104,0.8493,0.2541,0.0001,0.0009,568.0358
960000,0.9531,7.5,1.0,0.6915,7.4906,0.8667,0.2538,0.0001,0.0009,567.0591
970000,0.9525,7.6,1.0,0.6861,7.5131,0.864,0.254,0.0001,0.0009,563.6672
980000,0.9456,8.7,1.0,0.7125,7.5529,0.8776,0.254,0.0001,0.0009,563.1096
990000,0.9456,8.7,1.0,0.71,7.5758,0.8765,0.2541,0.0001,0.0009,562.2653
1000000,0.9425,9.2,1.0,0.7038,7.2622,0.8722,0.2542,0.0001,0.0009,562.4551
1010000,0.9387,9.8,1.0,0.6821,7.5075,0.8619,0.2545,0.0001,0.0009,558.502
1020000,0.9525,7.6,1.0,0.7159,7.5758,0.8795,0.2543,0.0001,0.0009,564.4037
1030000,0.9494,8.1,1.0,0.6911,7.391,0.8662,0.2545,0.0001,0.0009,562.0561
1040000,0.9319,10.9,1.0,0.7153,7.5245,0.8789,0.2549,0.0001,0.0009,562.8669
1050000,0.9463,8.6,1.0,0.7072,7.3964,0.8743,0.2547,0.0001,0.0009,560.1501
1060000,0.9537,7.4,1.0,0.7137,7.6923,0.8785,0.2543,0.0001,0.0009,557.2434
1070000,0.9556,7.1,1.0,0.717,7.5529,0.8799,0.255,0.0001,0.0009,562.0539
1080000,0.9569,6.9,1.0,0.7449,7.3964,0.8935,0.2544,0.0001,0.0009,560.5298
1090000,0.95,8.0,1.0,0.7188,7.3099,0.8801,0.2549,0.0001,0.0009,553.5803
1100000,0.9413,9.4,1.0,0.7316,7.2411,0.8863,0.2548,0.0001,0.0009,555.3586
1110000,0.9662,5.4,1.0,0.7468,7.4571,0.8949,0.2551,0.0001,0.0009,554.9724
1120000,0.9569,6.9,1.0,0.7184,7.5873,0.8809,0.255,0.0001,0.0009,558.8569
1130000,0.9581,6.7,1.0,0.7284,7.5758,0.8856,0.2553,0.0001,0.0009,555.688
1140000,0.9675,5.2,1.0,0.7323,7.6923,0.8877,0.2554,0.0001,0.0009,557.7314
1150000,0.9631,5.9,1.0,0.7626,7.446,0.9025,0.2549,0.0001,0.0009,556.2083
1160000,0.9631,5.9,1.0,0.7274,7.4738,0.8849,0.2554,0.0001,0.0009,554.4794
1170000,0.9488,8.2,1.0,0.7603,7.4516,0.9016,0.2556,0.0001,0.0009,552.554
1180000,0.9519,7.7,1.0,0.7492,7.6628,0.8966,0.2556,0.0001,0.0009,553.7093
1190000,0.9519,7.7,1.0,0.7534,7.4349,0.8981,0.2555,0.0001,0.0009,553.9915
1200000,0.9594,6.5,1.0,0.7527,7.5131,0.8978,0.2557,0.0001,0.0009,554.3896
1210000,0.9575,6.8,1.0,0.7606,7.7459,0.9024,0.2554,0.0001,0.0008,553.5559
1220000,0.9338,10.6,1.0,0.7717,7.6982,0.9084,0.2557,0.0001,0.0009,554.6191
1230000,0.9375,10.0,1.0,0.7816,7.5188,0.9128,0.2561,0.0001,0.0008,549.0772
1240000,0.955,7.2,1.0,0.7722,7.5415,0.908,0.2557,0.0001,0.0009,549.5338
1250000,0.9437,9.0,1.0,0.7719,7.3638,0.9072,0.256,0.0001,0.0008,546.3146
1260000,0.9656,5.5,1.0,0.7772,7.3746,0.91,0.2561,0.0001,0.0008,550.4506
1270000,0.9513,7.8,1.0,0.797,7.3964,0.9201,0.2562,0.0001,0.0008,550.5665
1280000,0.9569,6.9,1.0,0.7744,7.57,0.9092,0.2564,0.0001,0.0008,548.0422
1290000,0.9631,5.9,1.0,0.7822,7.4906,0.9131,0.2564,0.0001,0.0008,547.2389
1300000,0.9638,5.8,1.0,0.7931,7.2674,0.9179,0.2564,0.0001,0.0008,551.1051
1310000,0.955,7.2,1.0,0.7835,7.5815,0.9136,0.2563,0.0001,0.0008,552.2053
1320000,0.9625,6.0,1.0,0.7761,7.2622,0.9092,0.2567,0.0001,0.0008,551.1392
