env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0023,0.0009,0.0009,153.0872
20000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0044,0.0001,0.0,184.6102
30000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0112,0.0001,0.0,181.461
40000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0115,0.0001,0.0,186.2015
50000,0.0,270.0,0.0,0.0187,270.2703,0.0541,-0.0113,0.0001,0.0,132.4945
60000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0105,0.0,0.0,186.5376
70000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0105,0.0,0.0,192.3883
80000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0104,0.0,0.0,176.0829
90000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.01,0.0,0.0,177.4227
100000,0.0,270.0,0.0,0.0062,263.1579,0.0263,-0.01,0.0,0.0,186.6182
110000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0101,0.0,0.0,184.7541
120000,0.0,270.0,0.0,0.0123,270.2703,0.0541,-0.0097,0.0,0.0,175.6316
130000,0.0,270.0,0.0,0.0037,270.2703,0.027,-0.0079,0.0,0.0,185.2696
140000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0078,0.0,0.0,180.9039
150000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0077,0.0,0.0,181.6421
160000,0.0,270.0,0.0,0.0095,270.2703,0.027,-0.0079,0.0,0.0,182.973
170000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0077,0.0,0.0,178.4735
180000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0073,0.0,0.0,188.952
190000,0.0,270.0,0.0,0.0,263.1579,0.0,-0.0071,0.0,0.0,183.1264
200000,0.0,270.0,0.0,0.021,270.2703,0.0811,-0.0067,0.0,0.0,179.121
210000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0067,0.0,0.0,178.0782
220000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.007,0.0,0.0,180.1683
230000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0072,0.0,0.0,179.7005
240000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0072,0.0,0.0,177.5564
250000,0.0,270.0,0.0,0.0056,270.2703,0.027,-0.0072,0.0,0.0,186.5435
260000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0072,0.0,0.0,178.4209
270000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0076,0.0,0.0,182.715
280000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0077,0.0,0.0,181.1356
290000,0.0,270.0,0.0,0.0,263.1579,0.0,-0.0072,0.0,0.0,180.9338
300000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0074,0.0,0.0,185.4891
310000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0079,0.0,0.0,180.0147
320000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0076,0.0,0.0,182.7014
330000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0077,0.0,0.0,178.6208
340000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.008,0.0,0.0,186.5359
350000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.008,0.0,0.0,177.5083
360000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0082,0.0,0.0,183.5586
370000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0083,0.0,0.0,179.533
380000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0083,0.0,0.0,179.4592
390000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.008,0.0,0.0,180.8537
400000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0084,0.0,0.0,176.4584
410000,0.0,270.0,0.0,0.004,270.2703,0.027,-0.0082,0.0,0.0,183.5157
