env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.6705,0.0008,795.7351
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.3211,0.0,1001.7387
30000,0.0,270.0,0.0,0.0,270.2703,0.0,0.2192,0.0,997.0509
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1752,0.0,987.4532
50000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1577,0.0,983.2043
60000,0.0,270.0,0.0,0.0,270.2703,0.0,0.147,0.0,963.176
70000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1389,0.0,975.6118
80000,0.0,270.0,0.0,0.0,270.2703,0.0,0.134,0.0,975.7462
90000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1282,0.0,964.333
100000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1204,0.0,962.9902
110000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1151,0.0,959.3175
120000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1115,0.0,958.8791
130000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1078,0.0,952.4091
140000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1053,0.0,960.462
150000,0.0,270.0,0.0,0.0,270.2703,0.0,0.103,0.0,957.0154
160000,0.0,270.0,0.0,0.0049,270.2703,0.027,0.1001,0.0,793.8408
170000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0984,0.0,931.3
180000,0.0,270.0,0.0,0.0,270.2703,0.0,0.097,0.0,943.5783
190000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0957,0.0,936.2449
200000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0944,0.0,931.7183
210000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0934,0.0,928.1412
220000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0922,0.0,934.9156
230000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0915,0.0,931.8043
240000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0905,0.0,917.6638
250000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0907,0.0,908.9108
260000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0898,0.0,924.7306
270000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0894,0.0,931.209
280000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0896,0.0,917.1781
290000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0892,0.0,915.6006
300000,0.0,270.0,0.0,0.0,270.2703,0.0,0.089,0.0,926.4106
310000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0882,0.0,922.0566
320000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0882,0.0,909.7786
330000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0879,0.0,911.4442
340000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0872,0.0,915.85
350000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0864,0.0,903.109
360000,0.0,270.0,0.0,0.0072,270.2703,0.027,0.086,0.0,899.3839
370000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0853,0.0,912.1776
380000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0849,0.0,910.0248
390000,0.0,270.0,0.0,0.0082,270.2703,0.027,0.0847,0.0,903.4626
400000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0855,0.0,896.9244
410000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0848,0.0,901.0464
420000,0.0,270.0,0.0,0.0,270.2703,0.0,0.084,0.0,902.5624
430000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0847,0.0,897.0109
440000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0844,0.0,887.8233
450000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0842,0.0,886.257
460000,0.0,270.0,0.0,0.0215,270.2703,0.0541,0.0844,0.0,899.2953
470000,0.0,270.0,0.0,0.0165,263.1579,0.0263,0.0841,0.0,892.3067
480000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0844,0.0,887.0443
490000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0844,0.0,896.5235
500000,0.0,270.0,0.0,0.0042,270.2703,0.027,0.0848,0.0,889.079
510000,0.0,270.0,0.0,0.0,270.2703,0.0,0.085,0.0,878.8971
520000,0.0,270.0,0.0,0.0,270.2703,0.0,0.085,0.0,889.4713
530000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0849,0.0,893.4096
540000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0851,0.0,890.7842
550000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0853,0.0,877.2471
560000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0851,0.0,885.8249
570000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0848,0.0,889.4325
580000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0847,0.0,888.7956
590000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0846,0.0,874.338
600000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0849,0.0,880.6433
610000,0.0,270.0,0.0,0.013,270.2703,0.027,0.0851,0.0,877.9443
620000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0845,0.0,878.7317
630000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0845,0.0,868.2241
640000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0845,0.0,879.0677
650000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0845,0.0,882.2509
660000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0844,0.0,871.9903
670000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0845,0.0,874.8727
680000,0.0,270.0,0.0,0.0041,270.2703,0.027,0.0846,0.0,875.1447
690000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0847,0.0,874.9844
700000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0841,0.0,870.9536
710000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0837,0.0,862.1462
720000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0835,0.0,873.5447
730000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0836,0.0,873.4016
740000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0834,0.0,864.6281
750000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0839,0.0,860.6098
760000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0837,0.0,865.472
770000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0836,0.0,866.3036
780000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0828,0.0,852.1154
790000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0832,0.0,851.3646
800000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0829,0.0,860.9884
810000,0.0,270.0,0.0,0.0,270.2703,0.0,0.084,0.0,861.7977
820000,0.0,270.0,0.0,0.0,270.2703,0.0,0.083,0.0,857.8845
830000,0.0,270.0,0.0,0.0156,270.2703,0.027,0.0824,0.0,853.5228
840000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0825,0.0,855.3579
850000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0823,0.0,854.3029
860000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0822,0.0,843.8422
870000,0.0,270.0,0.0,0.0,270.2703,0.0,0.082,0.0,851.3033
880000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0818,0.0,855.1371
890000,0.0,270.0,0.0,0.0,270.2703,0.0,0.082,0.0,858.3434
900000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0817,0.0,848.4116
910000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0811,0.0,851.6752
920000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0808,0.0,857.305
930000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0807,0.0,855.5632
940000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0807,0.0,849.2581
950000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0809,0.0,847.2232
960000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0802,0.0,851.8742
970000,0.0,270.0,0.0,0.0104,270.2703,0.027,0.0803,0.0,845.6752
980000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0799,0.0,844.9982
990000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0797,0.0,849.8911
1000000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0797,0.0,852.1799
1010000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0792,0.0,848.0411
1020000,0.0,270.0,0.0,0.0,270.2703,0.0,0.079,0.0,842.1372
1030000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0794,0.0,845.1752
1040000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0787,0.0,847.8457
1050000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0786,0.0,847.0141
1060000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0784,0.0,832.7492
1070000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0781,0.0,845.8331
1080000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0787,0.0,847.6767
1090000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0776,0.0,844.7012
