env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0,142.8571,0.0,0.005,0.0002,0.0009,125.6001
20000,0.0,324.0,0.0,0.0,114.9425,0.0,0.0049,-0.0,0.0,731.206
30000,0.0,324.0,0.0,0.0,121.9512,0.0,0.0048,-0.0,0.0,729.7364
40000,0.0,324.0,0.0,0.0078,125.0,0.0125,0.0048,-0.0,0.0,725.0915
50000,0.0,324.0,0.0,0.013,144.9275,0.029,0.0048,-0.0,0.0,725.3124
60000,0.0,324.0,0.0,0.0218,129.8701,0.0519,0.0048,0.0,0.0001,716.7948
70000,0.0,324.0,0.0,0.007,140.8451,0.0141,0.0048,-0.0,0.0001,724.8327
80000,0.0,324.0,0.0,0.0111,136.9863,0.0274,0.0048,-0.0,0.0001,716.5878
90000,0.0,324.0,0.0,0.0107,133.3333,0.0133,0.0048,0.0,0.0002,720.7569
100000,0.0,324.0,0.0,0.0078,112.3596,0.0112,0.0048,-0.0,0.0002,713.5295
110000,0.0,324.0,0.0,0.0321,119.0476,0.0714,0.0049,0.0,0.0003,719.8556
120000,0.0,324.0,0.0,0.0522,140.8451,0.0986,0.0049,0.0,0.0006,717.6143
130000,0.0,324.0,0.0,0.0253,138.8889,0.0556,0.0049,0.0,0.0008,705.964
140000,0.0,324.0,0.0,0.0347,136.9863,0.0685,0.0049,-0.0,0.0008,705.3128
150000,0.0,324.0,0.0,0.0735,129.8701,0.1429,0.0049,-0.0,0.0008,710.7956
160000,0.0,324.0,0.0,0.0991,161.2903,0.1935,0.0049,-0.0,0.0009,705.1791
170000,0.0,324.0,0.0,0.0776,107.5269,0.1398,0.0049,-0.0,0.0009,700.8569
180000,0.0,324.0,0.0,0.0855,116.2791,0.1395,0.0049,0.0,0.0009,701.7125
190000,0.0,324.0,0.0,0.1655,103.0928,0.2577,0.0049,-0.0,0.0009,705.7638
200000,0.0911,294.8,0.1,0.2361,102.0408,0.3367,0.0049,0.0,0.001,699.9513
210000,0.3667,206.4,0.4,0.2086,75.7576,0.2955,0.0049,-0.0,0.0011,696.2177
220000,0.2814,233.5,0.3,0.2493,84.7458,0.3305,0.0049,-0.0,0.0013,696.1678
230000,0.5783,141.0,0.7,0.3878,86.9565,0.5478,0.0049,-0.0,0.0016,695.6062
240000,0.3722,204.4,0.4,0.3931,74.6269,0.5075,0.0049,0.0,0.0018,697.7541
250000,0.47,172.8,0.5,0.4256,79.3651,0.5714,0.0049,0.0,0.0019,689.1878
260000,0.7367,87.6,0.8,0.4718,71.9424,0.6043,0.0049,-0.0,0.002,690.1657
270000,0.5914,136.3,0.7,0.4745,69.4444,0.6111,0.0049,0.0,0.002,691.4403
280000,0.7547,81.1,0.8,0.5346,64.5161,0.6581,0.0049,-0.0,0.0021,690.5899
290000,0.8308,57.3,0.9,0.6389,63.6943,0.7834,0.0049,-0.0,0.0021,685.8852
300000,0.7517,82.2,0.8,0.6274,55.2486,0.7514,0.0049,-0.0,0.0021,684.9035
310000,0.6631,110.5,0.7,0.5776,54.6448,0.694,0.0049,-0.0,0.0022,689.2614
320000,0.6478,119.6,0.8,0.6221,56.8182,0.7557,0.0049,0.0,0.0022,677.1595
330000,0.8319,56.9,0.9,0.6519,51.0204,0.7704,0.0049,-0.0,0.0021,682.9082
340000,0.7806,75.4,0.9,0.679,47.619,0.7952,0.0049,-0.0,0.0022,683.1246
350000,0.8531,49.3,0.9,0.6947,47.619,0.8095,0.0049,0.0,0.0021,678.0604
360000,0.9319,24.5,1.0,0.6485,46.729,0.757,0.0049,-0.0,0.0022,675.9667
370000,0.66,111.6,0.7,0.7094,44.6429,0.817,0.0049,-0.0,0.0022,677.3837
380000,0.7406,86.2,0.8,0.7512,43.6681,0.8646,0.0049,0.0,0.0022,677.4981
390000,0.9486,18.5,1.0,0.743,44.2478,0.854,0.0049,-0.0,0.0022,677.1929
400000,0.7728,78.2,0.9,0.7739,40.0,0.876,0.0049,-0.0,0.0022,669.6981
410000,0.8561,48.2,0.9,0.7733,38.7597,0.8721,0.0049,-0.0,0.0022,671.8525
420000,0.8525,49.5,0.9,0.7604,37.7358,0.8566,0.0049,0.0,0.0023,673.4489
430000,0.9467,19.2,1.0,0.8256,37.3134,0.9254,0.0049,-0.0,0.0023,667.555
440000,0.9422,20.8,1.0,0.7941,36.4964,0.8869,0.0049,0.0,0.0023,667.7415
450000,0.8547,48.7,0.9,0.8104,34.7222,0.9028,0.0049,-0.0,0.0023,669.5449
460000,0.8425,53.1,0.9,0.8013,34.4828,0.8931,0.0049,-0.0,0.0023,667.4879
470000,0.6619,110.9,0.7,0.8141,34.0136,0.9014,0.0049,-0.0,0.0023,662.5383
480000,0.7608,78.9,0.8,0.8451,33.2226,0.9336,0.0049,-0.0,0.0024,666.1506
490000,0.955,16.2,1.0,0.7869,32.4675,0.8701,0.0049,0.0,0.0023,666.321
500000,0.9508,17.7,1.0,0.8431,32.0513,0.9295,0.0049,0.0,0.0024,668.5126
510000,0.9561,15.8,1.0,0.8337,30.6748,0.9141,0.0049,0.0,0.0024,658.8229
520000,0.9536,16.7,1.0,0.8573,30.4878,0.939,0.0049,-0.0,0.0024,664.2931
530000,0.9453,19.7,1.0,0.8488,29.0698,0.9273,0.0049,0.0,0.0024,661.0578
540000,0.7636,77.9,0.8,0.8626,29.2398,0.9415,0.0049,0.0,0.0024,658.9864
550000,0.8553,48.5,0.9,0.8666,28.9855,0.9449,0.0049,-0.0,0.0024,659.2422
560000,0.9558,15.9,1.0,0.8605,28.49,0.9373,0.0049,-0.0,0.0024,663.8822
570000,0.9519,17.3,1.0,0.8824,27.3973,0.9562,0.0049,-0.0,0.0024,663.2082
580000,0.9444,20.0,1.0,0.869,26.6667,0.9413,0.0049,0.0,0.0024,656.9454
590000,0.955,16.2,1.0,0.862,26.178,0.9319,0.0049,-0.0,0.0024,659.7977
600000,0.9533,16.8,1.0,0.8822,26.0417,0.9531,0.0049,0.0,0.0024,658.3279
610000,0.8583,47.4,0.9,0.8837,26.8817,0.957,0.0049,0.0,0.0024,659.7478
620000,0.9553,16.1,1.0,0.8916,25.5102,0.9617,0.0049,0.0,0.0024,656.3596
630000,0.9114,31.9,1.0,0.8956,25.8398,0.9664,0.0049,-0.0,0.0025,662.0011
640000,0.9542,16.5,1.0,0.8772,24.5098,0.9436,0.0049,0.0,0.0024,659.6218
650000,0.9489,18.4,1.0,0.8824,24.3902,0.9488,0.0049,-0.0,0.0024,657.7646
660000,0.9525,17.1,1.0,0.903,24.2131,0.9685,0.0049,0.0,0.0024,651.2498
670000,0.9544,16.4,1.0,0.9025,24.2131,0.9685,0.0049,0.0,0.0024,654.6428
680000,0.9533,16.8,1.0,0.9082,24.0385,0.9736,0.0049,-0.0,0.0024,653.528
690000,0.9558,15.9,1.0,0.9109,23.2558,0.9744,0.0049,-0.0,0.0025,651.3965
700000,0.9533,16.8,1.0,0.9094,24.0964,0.9759,0.0049,0.0,0.0025,649.9245
710000,0.9553,16.1,1.0,0.9185,22.8833,0.9817,0.0049,-0.0,0.0024,649.6569
720000,0.9575,15.3,1.0,0.9111,23.3645,0.9743,0.0049,0.0,0.0024,652.1541
730000,0.9553,16.1,1.0,0.9159,23.0415,0.9793,0.0049,-0.0,0.0024,648.734
740000,0.9572,15.4,1.0,0.8988,21.8818,0.9584,0.0049,0.0,0.0024,650.8322
