env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,291.7,0.0,0.0,72.4638,0.0,0.0012,0.0011,525.0983
20000,0.0,324.0,0.0,0.0,65.3595,0.0,0.0004,0.0,707.2789
30000,0.0,324.0,0.0,0.0,68.0272,0.0,0.0003,0.0,706.0513
40000,0.0,324.0,0.0,0.0,56.8182,0.0,0.0003,0.0,701.8501
50000,0.0,324.0,0.0,0.0,67.5676,0.0,0.0003,0.0,698.6084
60000,0.0,324.0,0.0,0.0,63.6943,0.0,0.0003,0.0,697.297
70000,0.0,324.0,0.0,0.0,66.2252,0.0,0.0003,0.0,693.2451
80000,0.0,324.0,0.0,0.0,74.6269,0.0,0.0003,0.0,694.169
90000,0.0,324.0,0.0,0.0,71.9424,0.0,0.0003,0.0,686.5058
100000,0.0,324.0,0.0,0.0,76.9231,0.0,0.0004,0.0,687.2399
110000,0.0,324.0,0.0,0.0054,71.9424,0.0144,0.0004,0.0,688.3044
120000,0.0,324.0,0.0,0.0,72.9927,0.0,0.0004,0.0,686.9309
130000,0.0,324.0,0.0,0.0,86.9565,0.0,0.0004,0.0,686.4792
140000,0.0,324.0,0.0,0.0038,78.7402,0.0079,0.0004,0.0,686.0426
150000,0.0,324.0,0.0,0.0043,90.9091,0.0091,0.0004,0.0,683.2085
160000,0.0,324.0,0.0,0.0,83.3333,0.0,0.0004,0.0,681.3927
170000,0.0,324.0,0.0,0.0,68.4932,0.0,0.0005,0.0,677.7238
180000,0.0,324.0,0.0,0.0147,76.9231,0.0308,0.0005,0.0,675.6103
190000,0.0,324.0,0.0,0.0118,76.3359,0.0153,0.0005,0.0,677.5615
200000,0.0,324.0,0.0,0.0121,64.9351,0.0195,0.0005,0.0001,673.1483
210000,0.0,324.0,0.0,0.0,61.7284,0.0,0.0005,0.0001,671.4568
220000,0.0,324.0,0.0,0.0218,68.9655,0.0276,0.0005,0.0001,671.7515
230000,0.0,324.0,0.0,0.0094,68.9655,0.0276,0.0005,0.0002,670.0451
240000,0.0,324.0,0.0,0.0323,70.922,0.0496,0.0005,0.0003,666.7703
250000,0.0,324.0,0.0,0.0223,79.3651,0.0397,0.0006,0.0004,664.183
260000,0.0939,293.8,0.1,0.0802,64.9351,0.1104,0.0006,0.0005,664.5982
270000,0.0,324.0,0.0,0.083,75.7576,0.1212,0.0006,0.0007,666.7791
280000,0.0,324.0,0.0,0.0452,73.5294,0.0588,0.0007,0.001,658.3127
290000,0.0908,294.9,0.1,0.127,65.7895,0.1645,0.0007,0.0012,662.8238
300000,0.0908,294.9,0.1,0.1434,70.922,0.1844,0.0007,0.0014,663.0928
310000,0.0914,294.7,0.1,0.2035,69.4444,0.2639,0.0008,0.0016,661.6689
320000,0.0,324.0,0.0,0.2252,72.4638,0.3043,0.0008,0.0018,661.1756
330000,0.085,297.0,0.1,0.1647,68.9655,0.2138,0.0008,0.0019,660.0742
340000,0.1886,263.3,0.2,0.1863,67.5676,0.2432,0.0009,0.002,659.579
350000,0.1808,266.1,0.2,0.2007,70.922,0.2624,0.0009,0.002,654.9048
360000,0.1667,271.2,0.2,0.2344,75.188,0.3008,0.0009,0.002,659.8456
370000,0.1917,262.2,0.2,0.2481,71.4286,0.3071,0.001,0.0019,653.7032
380000,0.3789,202.0,0.4,0.2801,74.0741,0.3556,0.001,0.0019,653.7267
390000,0.1861,264.2,0.2,0.2589,77.5194,0.3256,0.001,0.0019,651.766
400000,0.3525,211.5,0.4,0.312,62.8931,0.3836,0.001,0.002,648.9177
410000,0.1869,263.9,0.2,0.2454,79.3651,0.3016,0.0011,0.002,650.0553
420000,0.1917,262.2,0.2,0.319,77.5194,0.4031,0.0011,0.002,653.9355
430000,0.2836,232.7,0.3,0.295,93.4579,0.3925,0.0011,0.0021,649.8082
440000,0.3728,204.2,0.4,0.32,83.3333,0.4083,0.0011,0.0021,649.4678
450000,0.1908,262.5,0.2,0.3459,86.9565,0.4261,0.0011,0.0021,649.9393
460000,0.1917,262.2,0.2,0.3727,70.4225,0.4577,0.0012,0.0022,649.9518
470000,0.3775,202.5,0.4,0.3888,79.3651,0.4683,0.0012,0.0023,649.8981
480000,0.3747,203.5,0.4,0.3824,66.6667,0.4467,0.0012,0.0023,648.3678
490000,0.6528,114.2,0.7,0.3697,74.6269,0.4328,0.0012,0.0024,645.4452
500000,0.4242,189.3,0.5,0.4024,74.0741,0.4889,0.0012,0.0025,647.2928
510000,0.3672,206.2,0.4,0.418,63.2911,0.4937,0.0012,0.0026,644.3841
520000,0.3725,204.3,0.4,0.3626,75.7576,0.4394,0.0012,0.0026,640.0394
530000,0.1914,262.3,0.2,0.384,62.8931,0.4591,0.0013,0.0026,647.3308
540000,0.2756,235.6,0.3,0.4302,77.5194,0.5116,0.0013,0.0027,644.3992
550000,0.4492,180.3,0.5,0.4456,72.4638,0.5217,0.0013,0.0026,641.2029
560000,0.3797,201.7,0.4,0.4459,64.9351,0.526,0.0013,0.0026,639.7593
570000,0.2833,232.8,0.3,0.5258,69.4444,0.6389,0.0013,0.0027,642.0686
580000,0.6642,110.1,0.7,0.4722,54.9451,0.5549,0.0013,0.0028,638.2234
590000,0.2864,231.7,0.3,0.469,66.2252,0.5563,0.0013,0.0028,641.1908
600000,0.2839,232.6,0.3,0.5177,53.4759,0.5936,0.0013,0.0028,637.2181
610000,0.4717,172.2,0.5,0.5288,59.8802,0.6048,0.0013,0.0028,635.5529
620000,0.4719,172.1,0.5,0.5627,74.6269,0.6791,0.0014,0.003,638.2796
630000,0.5742,138.9,0.6,0.5426,54.3478,0.6196,0.0014,0.0029,640.4806
640000,0.4756,170.8,0.5,0.6121,60.241,0.7048,0.0014,0.003,640.2032
650000,0.7656,77.2,0.8,0.5866,58.8235,0.6824,0.0014,0.003,640.0031
660000,0.3703,205.1,0.4,0.611,54.9451,0.7088,0.0014,0.0031,633.0655
670000,0.4744,171.2,0.5,0.5921,55.8659,0.6648,0.0014,0.003,631.3902
680000,0.7567,80.4,0.8,0.5734,63.6943,0.6624,0.0014,0.0031,631.3262
690000,0.4736,171.5,0.5,0.6008,53.4759,0.6898,0.0014,0.0031,629.8444
700000,0.6544,113.6,0.7,0.6014,50.7614,0.6853,0.0014,0.0031,631.1531
710000,0.4736,171.5,0.5,0.6907,62.5,0.7812,0.0014,0.0032,630.6865
720000,0.2867,231.6,0.3,0.6684,55.2486,0.7624,0.0015,0.0032,632.2395
730000,0.5647,142.3,0.6,0.6977,51.2821,0.7897,0.0015,0.0032,630.472
740000,0.9058,33.9,1.0,0.6583,52.0833,0.7448,0.0015,0.0033,630.2733
750000,0.5739,139.0,0.6,0.7175,50.5051,0.8081,0.0015,0.0033,629.0289
760000,0.7572,80.2,0.8,0.6858,49.505,0.7772,0.0015,0.0033,630.2875
770000,0.7661,77.0,0.8,0.7005,47.1698,0.783,0.0015,0.0034,629.0457
780000,0.5706,140.2,0.6,0.7148,45.045,0.8063,0.0015,0.0034,625.3775
790000,0.8369,55.1,0.9,0.7159,49.7512,0.801,0.0015,0.0034,626.3368
800000,0.7619,78.5,0.8,0.6886,50.7614,0.7716,0.0015,0.0034,621.2601
810000,0.7625,78.3,0.8,0.6864,55.2486,0.7735,0.0015,0.0034,625.0395
820000,0.66,111.6,0.7,0.7619,49.7512,0.8408,0.0015,0.0034,624.0131
830000,0.7492,83.1,0.8,0.7701,49.505,0.8614,0.0015,0.0035,627.0349
840000,0.7622,78.4,0.8,0.7533,44.2478,0.8451,0.0015,0.0035,623.0616
850000,0.5681,141.1,0.6,0.736,48.7805,0.8244,0.0015,0.0035,620.4908
860000,0.7606,79.0,0.8,0.7266,47.8469,0.8134,0.0016,0.0035,621.2128
870000,0.6428,117.8,0.7,0.7305,51.0204,0.8214,0.0016,0.0035,620.763
880000,0.7533,81.6,0.8,0.7377,52.0833,0.8229,0.0016,0.0035,622.0664
890000,0.9442,20.1,1.0,0.7631,46.0829,0.8433,0.0016,0.0036,621.7058
900000,0.9494,18.2,1.0,0.7879,46.729,0.8785,0.0016,0.0035,619.2917
910000,0.9444,20.0,1.0,0.772,39.2157,0.8471,0.0016,0.0036,616.3622
920000,0.7583,79.8,0.8,0.7926,41.4938,0.8797,0.0016,0.0036,618.9825
930000,0.9486,18.5,1.0,0.8012,40.0,0.884,0.0016,0.0037,614.4166
940000,0.7525,81.9,0.8,0.8311,38.7597,0.9225,0.0016,0.0037,620.0696
950000,0.7539,81.4,0.8,0.8173,41.1523,0.8971,0.0016,0.0037,620.1187
960000,0.7531,81.7,0.8,0.7944,42.9185,0.8712,0.0016,0.0037,615.2911
970000,0.8592,47.1,0.9,0.8079,35.5872,0.8861,0.0016,0.0037,614.4873
980000,0.9461,19.4,1.0,0.7952,45.4545,0.8727,0.0016,0.0037,617.5806
990000,0.9542,16.5,1.0,0.8058,45.2489,0.8959,0.0016,0.0037,614.9691
1000000,0.8492,50.7,0.9,0.8164,36.7647,0.8971,0.0016,0.0037,613.4391
1010000,0.9553,16.1,1.0,0.832,33.0033,0.9109,0.0016,0.0037,617.0031
1020000,0.8592,47.1,0.9,0.8338,36.2319,0.9058,0.0016,0.0038,618.3889
1030000,0.8581,47.5,0.9,0.7865,41.1523,0.8601,0.0016,0.0038,617.5377
