env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,34.9,0.0,0.0,40.8163,0.0,-0.0145,0.0073,0.0011,89.6074
20000,0.0,66.2,0.0,0.0,41.3223,0.0,-0.0013,0.0,0.0,159.662
30000,0.0,98.8,0.0,0.0,33.8983,0.0,-0.003,0.0,0.0,159.9789
40000,0.0,66.3,0.0,0.0,29.4985,0.0,-0.0035,0.0,0.0,161.0207
50000,0.0,227.1,0.0,0.0,36.9004,0.0,-0.0037,0.0,0.0,162.5987
60000,0.0,324.0,0.0,0.0,39.0625,0.0,-0.0037,0.0,0.0,161.3673
70000,0.0,324.0,0.0,0.0,59.8802,0.0,-0.0039,0.0,0.0,160.2043
80000,0.0,324.0,0.0,0.0,59.1716,0.0,-0.0038,0.0,0.0,159.9738
90000,0.0,324.0,0.0,0.0,55.8659,0.0,-0.0037,0.0,0.0,158.6561
100000,0.0,324.0,0.0,0.0,55.2486,0.0,-0.0039,0.0,0.0,160.2722
110000,0.0,324.0,0.0,0.0,62.5,0.0,-0.0038,0.0,0.0,160.1461
120000,0.0,324.0,0.0,0.0,49.7512,0.0,-0.0039,0.0,0.0,158.738
130000,0.0,324.0,0.0,0.0,65.7895,0.0,-0.004,0.0,0.0,160.7239
140000,0.0,324.0,0.0,0.0,54.3478,0.0,-0.004,0.0,0.0,158.0521
150000,0.0,324.0,0.0,0.0,58.1395,0.0,-0.0039,0.0,0.0,158.121
160000,0.0,324.0,0.0,0.0,54.6448,0.0,-0.0039,0.0,0.0,161.261
170000,0.0,324.0,0.0,0.0,51.2821,0.0,-0.0038,0.0,0.0,159.5461
180000,0.0,324.0,0.0,0.0,55.8659,0.0,-0.0039,0.0,0.0,159.1088
190000,0.0,324.0,0.0,0.0,61.3497,0.0,-0.004,0.0,0.0,157.1021
200000,0.0,292.1,0.0,0.0027,44.4444,0.0044,-0.0039,0.0,0.0,159.0028
210000,0.0,324.0,0.0,0.0031,44.4444,0.0044,-0.004,0.0,0.0,158.043
220000,0.0,294.9,0.0,0.0057,39.6825,0.0079,-0.004,0.0,0.0,157.9402
230000,0.0,324.0,0.0,0.0034,35.9712,0.0036,-0.0039,0.0,0.0,158.8342
240000,0.0,324.0,0.0,0.0052,36.3636,0.0073,-0.0039,0.0,0.0,158.4739
250000,0.0,324.0,0.0,0.0028,40.9836,0.0041,-0.0039,0.0,0.0,157.4106
260000,0.0,291.7,0.0,0.0069,42.9185,0.0086,-0.004,0.0,0.0,158.399
270000,0.0,324.0,0.0,0.0127,40.8163,0.0204,-0.0039,0.0,0.0,159.4865
280000,0.0,324.0,0.0,0.0084,46.2963,0.0093,-0.004,0.0,0.0,158.6096
290000,0.0,227.1,0.0,0.0125,45.045,0.018,-0.0041,0.0,0.0001,160.4337
300000,0.0,36.0,0.0,0.0176,20.1613,0.0222,-0.004,0.0001,0.0003,157.9474
310000,0.1928,4.8,0.2,0.0054,15.6495,0.0063,-0.004,0.0,0.0002,157.3324
320000,0.0,6.4,0.0,0.009,12.4844,0.01,-0.004,0.0,0.0003,159.456
330000,0.0,242.8,0.0,0.0134,21.7391,0.0152,-0.0041,0.0001,0.0005,157.6947
340000,0.0,260.2,0.0,0.0233,49.505,0.0297,-0.0041,0.0001,0.0006,160.3023
350000,0.0,324.0,0.0,0.0075,81.9672,0.0082,-0.0042,0.0001,0.0007,158.0896
360000,0.0,324.0,0.0,0.0257,123.4568,0.037,-0.004,0.0001,0.0007,157.9747
370000,0.0128,323.0,0.1,0.0465,123.4568,0.0617,-0.0042,0.0001,0.0007,155.8223
380000,0.0,324.0,0.0,0.0601,128.2051,0.0769,-0.0042,0.0001,0.0008,158.3921
390000,0.0,292.8,0.0,0.0621,104.1667,0.0938,-0.0042,0.0002,0.0008,158.7369
400000,0.0,324.0,0.0,0.1328,93.4579,0.1589,-0.0044,0.0001,0.0009,157.3565
410000,0.0,324.0,0.0,0.0905,79.3651,0.1111,-0.0045,0.0001,0.001,157.7685
420000,0.0964,292.9,0.1,0.1235,88.4956,0.1504,-0.0044,0.0001,0.0011,156.4465
430000,0.0942,293.7,0.1,0.1316,88.4956,0.1681,-0.0043,0.0002,0.0011,157.3276
440000,0.0964,292.9,0.1,0.1442,87.7193,0.193,-0.0043,0.0003,0.0013,157.2781
450000,0.0956,293.2,0.1,0.1613,80.6452,0.1855,-0.0044,0.0003,0.0011,156.9944
460000,0.0956,293.2,0.1,0.2036,77.5194,0.2558,-0.0046,0.0003,0.0011,156.8555
470000,0.0,324.0,0.0,0.21,75.188,0.2481,-0.0043,0.0003,0.0011,158.1562
480000,0.0964,292.9,0.1,0.1934,69.9301,0.2308,-0.0045,0.0004,0.0011,156.8425
490000,0.0961,293.0,0.1,0.2051,68.9655,0.2414,-0.0047,0.0005,0.0012,157.5778
500000,0.2875,231.3,0.3,0.1999,64.5161,0.2323,-0.0046,0.0005,0.0013,157.9534
510000,0.0956,293.2,0.1,0.2441,68.9655,0.2897,-0.0047,0.0005,0.0013,157.3147
520000,0.2878,231.2,0.3,0.2431,61.7284,0.284,-0.0048,0.0006,0.0014,156.7781
530000,0.4344,185.6,0.5,0.2224,80.6452,0.2661,-0.0048,0.0006,0.0014,157.292
540000,0.2858,231.9,0.3,0.3036,77.5194,0.3488,-0.0047,0.0007,0.0015,158.2098
550000,0.0,324.0,0.0,0.2749,84.0336,0.3361,-0.005,0.0007,0.0016,157.2854
560000,0.2872,231.4,0.3,0.288,68.9655,0.3379,-0.0048,0.0007,0.0016,156.1184
570000,0.2819,233.3,0.3,0.2877,74.6269,0.3284,-0.005,0.0007,0.0017,157.6329
580000,0.17,270.0,0.2,0.3024,70.922,0.3617,-0.0049,0.0008,0.0017,157.865
590000,0.0936,293.9,0.1,0.291,72.9927,0.3358,-0.005,0.0009,0.0017,157.8654
600000,0.2844,232.4,0.3,0.359,71.9424,0.4173,-0.005,0.0009,0.0018,156.4817
610000,0.2728,236.6,0.3,0.4261,66.6667,0.5067,-0.0054,0.0009,0.0018,156.7387
620000,0.2717,237.0,0.3,0.4672,81.9672,0.5574,-0.0049,0.001,0.0019,158.3586
630000,0.3969,199.1,0.5,0.4771,63.6943,0.5605,-0.0054,0.0011,0.002,157.8541
640000,0.3831,200.5,0.4,0.486,68.9655,0.5655,-0.0054,0.0011,0.0021,159.5567
650000,0.4769,170.3,0.5,0.5506,65.7895,0.6447,-0.0054,0.0011,0.0021,156.0904
660000,0.385,199.8,0.4,0.5068,61.7284,0.5864,-0.0052,0.0012,0.0022,157.7573
670000,0.5675,141.3,0.6,0.4555,61.3497,0.5215,-0.0054,0.0014,0.0023,158.156
680000,0.5078,162.8,0.6,0.5243,64.9351,0.6104,-0.0055,0.0013,0.0023,158.5641
690000,0.6647,109.9,0.7,0.5116,62.8931,0.5912,-0.0055,0.0015,0.0024,154.6463
700000,0.4697,172.9,0.5,0.5414,54.0541,0.6162,-0.0054,0.0015,0.0024,158.2508
710000,0.5647,142.3,0.6,0.6044,50.0,0.68,-0.0056,0.0016,0.0026,156.7964
720000,0.5697,140.5,0.6,0.6294,53.1915,0.7234,-0.0056,0.0017,0.0026,157.2429
730000,0.4772,170.2,0.5,0.5697,66.6667,0.6733,-0.0059,0.0017,0.0027,159.507
740000,0.3833,200.4,0.4,0.6694,46.9484,0.7465,-0.0057,0.0019,0.0027,156.8306
750000,0.4722,172.0,0.5,0.6327,49.7512,0.7015,-0.0059,0.0019,0.0027,158.1424
760000,0.3956,199.6,0.5,0.6537,55.5556,0.7444,-0.0058,0.0019,0.0028,155.9008
770000,0.5717,139.8,0.6,0.6815,51.2821,0.7692,-0.006,0.0019,0.0028,157.2999
780000,0.5756,138.4,0.6,0.6586,54.3478,0.7337,-0.0061,0.0022,0.0028,155.5499
790000,0.6631,110.5,0.7,0.6696,56.1798,0.7416,-0.0057,0.0022,0.0028,156.0801
800000,0.4781,169.9,0.5,0.7263,46.729,0.8037,-0.0057,0.0022,0.0029,155.4095
810000,0.5686,140.9,0.6,0.703,55.5556,0.7889,-0.0058,0.0022,0.0029,158.1183
820000,0.6625,110.7,0.7,0.7658,44.4444,0.8533,-0.0061,0.0023,0.0029,155.7787
830000,0.5519,146.9,0.6,0.6989,42.9185,0.7768,-0.0062,0.0025,0.003,155.8469
840000,0.7253,91.7,0.8,0.7281,43.8596,0.807,-0.0061,0.0025,0.003,157.0993
850000,0.6589,112.0,0.7,0.7747,40.3226,0.8589,-0.0064,0.0027,0.0031,155.3625
860000,0.66,111.6,0.7,0.7515,39.6825,0.8294,-0.0064,0.0026,0.0031,158.7456
870000,0.5717,139.8,0.6,0.7407,46.729,0.8271,-0.0062,0.0025,0.0031,156.6435
880000,0.4067,195.6,0.5,0.8024,38.4615,0.8769,-0.0065,0.0025,0.0031,155.656
890000,0.7603,79.1,0.8,0.7812,33.2226,0.8472,-0.0065,0.0027,0.0032,157.5215
900000,0.7608,78.9,0.8,0.7583,42.5532,0.8298,-0.0065,0.0027,0.0032,157.6113
910000,0.8586,47.3,0.9,0.7674,35.8423,0.8459,-0.0067,0.0028,0.0032,156.2295
920000,0.9131,31.3,1.0,0.7274,42.735,0.7991,-0.0065,0.0029,0.0032,156.8243
930000,0.6669,109.1,0.7,0.8069,38.61,0.888,-0.0065,0.0029,0.0032,155.5382
940000,0.7589,79.6,0.8,0.7829,39.3701,0.8622,-0.0068,0.0029,0.0032,158.2599
950000,0.7608,78.9,0.8,0.7554,44.4444,0.8444,-0.0068,0.0031,0.0033,155.4094
960000,0.6558,113.1,0.7,0.8032,36.63,0.8828,-0.0065,0.0032,0.0033,155.5976
970000,0.7636,77.9,0.8,0.799,41.6667,0.8792,-0.0064,0.0031,0.0033,154.2179
980000,0.9567,15.6,1.0,0.8119,38.1679,0.8969,-0.0068,0.0032,0.0034,155.1505
990000,0.8606,46.6,0.9,0.8215,36.7647,0.9007,-0.0069,0.0033,0.0033,155.992
1000000,0.5747,138.7,0.6,0.8099,35.8423,0.8853,-0.0069,0.0031,0.0034,155.4095
1010000,0.9506,17.8,1.0,0.8199,35.5872,0.8932,-0.0075,0.0031,0.0033,156.5241
1020000,0.5703,140.3,0.6,0.8105,40.1606,0.8996,-0.0072,0.0032,0.0034,156.3956
1030000,0.3881,202.3,0.5,0.824,36.1011,0.8989,-0.0069,0.0033,0.0034,154.5569
1040000,0.8594,47.0,0.9,0.8267,34.7222,0.9028,-0.0072,0.0033,0.0034,154.2618
1050000,0.4692,173.1,0.5,0.8153,32.4675,0.8896,-0.0071,0.0034,0.0036,155.6071
1060000,0.7589,79.6,0.8,0.8221,40.9836,0.9139,-0.007,0.0039,0.0033,156.5488
1070000,0.8547,48.7,0.9,0.8315,33.3333,0.9033,-0.0073,0.0042,0.0034,156.2387
1080000,0.8511,50.0,0.9,0.8563,34.3643,0.9313,-0.0073,0.004,0.0034,157.4413
1090000,0.7586,79.7,0.8,0.8444,30.6748,0.9202,-0.0067,0.0039,0.0034,158.4264
1100000,0.7625,78.3,0.8,0.8541,30.1205,0.9217,-0.0071,0.004,0.0035,155.2453
1110000,0.5403,151.1,0.6,0.8483,33.67,0.9327,-0.007,0.0037,0.0034,154.7831
1120000,0.8156,62.8,0.9,0.8417,34.3643,0.9175,-0.0071,0.0038,0.0033,156.2659
1130000,0.9561,15.8,1.0,0.86,29.9401,0.9281,-0.0073,0.0038,0.0034,156.4876
