env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,120.0,0.0,,,,,,
10000,0.0,120.0,0.0,0.0,120.4819,0.0,0.001,0.0011,710.2191
20000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,804.371
30000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,803.9373
40000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,795.4517
50000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,796.8069
60000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,795.1809
70000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,793.4847
80000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,790.0599
90000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,790.7098
100000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,780.7746
110000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,781.8547
120000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,776.4498
130000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,775.2691
140000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,780.701
150000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,772.5979
160000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,774.6984
170000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,771.6231
180000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,772.2721
190000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,765.2464
200000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,760.4904
210000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,761.5108
220000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,764.5091
230000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,762.1715
240000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,753.8037
250000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,756.1195
260000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,753.3651
270000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,749.4428
280000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,756.2736
290000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,749.3842
300000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,899.8527
310000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,1003.7851
320000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,1001.8375
330000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,999.8201
340000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,993.2361
350000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,983.156
360000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,978.3245
370000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,979.3391
380000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,977.2493
390000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,975.053
400000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,972.4179
410000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,972.852
420000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,971.9012
430000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,971.5818
440000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,973.2103
450000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,966.9234
460000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,968.4818
470000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,964.662
480000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,963.5497
490000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,962.3042
500000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,962.4913
510000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0004,0.0,964.8171
520000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,954.2282
