env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0011,0.0012,590.6529
20000,0.0,288.0,0.0,0.0148,285.7143,0.0286,0.0004,0.0,761.8517
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0,750.5464
40000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0001,0.0,754.8243
50000,0.0,288.0,0.0,0.0101,285.7143,0.0286,0.0001,0.0,755.1316
60000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0001,0.0,740.9163
70000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0002,0.0,749.6801
80000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0,747.1622
90000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0003,0.0,744.4641
100000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0004,0.0,742.3998
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,736.0773
120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,734.3797
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,735.3596
140000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,735.4127
150000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,732.9489
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,733.3068
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,732.4085
180000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,729.2263
190000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,727.652
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,724.286
210000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,723.705
220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,721.3674
230000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,717.5959
240000,0.0,288.0,0.0,0.0091,285.7143,0.0286,0.0005,0.0,718.545
250000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,718.5258
260000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,717.519
270000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,715.6068
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,712.227
290000,0.0,288.0,0.0,0.0115,285.7143,0.0286,0.0006,0.0,712.4388
300000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,714.3593
310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,713.273
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,710.688
330000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,708.2388
340000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,711.2819
350000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,705.6864
360000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,704.3639
370000,0.0,288.0,0.0,0.0075,285.7143,0.0286,0.0006,0.0,707.5691
380000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,697.8944
390000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,700.2999
400000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,705.6385
410000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,703.1123
420000,0.0,288.0,0.0,0.0125,285.7143,0.0286,0.0006,0.0,703.1689
430000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,704.0468
440000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,700.1405
450000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,698.8969
460000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,697.6866
470000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,697.1446
480000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,698.0245
490000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,690.8761
500000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,689.678
510000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,687.9676
520000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,689.8538
530000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,696.6636
540000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,691.4138
550000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,690.1889
560000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,689.088
570000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,692.0766
580000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,688.4794
590000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,687.6526
600000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,686.4599
610000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,685.4969
620000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,681.6333
630000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,677.9531
640000,0.0,288.0,0.0,0.0087,285.7143,0.0286,0.0007,0.0,681.0845
650000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,678.6947
660000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,679.692
