env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0028,0.0012,0.0021,132.4673
20000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0021,0.0001,0.0,176.5896
30000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0099,0.0001,0.0,176.852
40000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0126,0.0001,0.0,177.6419
50000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0135,0.0001,0.0,176.2122
60000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0129,0.0001,0.0,176.4863
70000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0123,0.0001,0.0,177.9552
80000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0127,0.0001,0.0,176.5964
90000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0119,0.0,0.0,173.9091
100000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0117,0.0,0.0,176.1861
110000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0117,0.0,0.0,176.6856
120000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.011,0.0,0.0,176.9866
130000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.011,0.0,0.0,176.452
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0107,0.0,0.0,174.662
150000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0102,0.0,0.0,174.2558
160000,0.0,288.0,0.0,0.003,285.7143,0.0286,-0.0098,0.0,0.0,173.6509
170000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0076,0.0,0.0,176.861
180000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0074,0.0,0.0,174.7673
190000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0071,0.0,0.0,177.3299
200000,0.0,288.0,0.0,0.0117,285.7143,0.0286,-0.0072,0.0,0.0,173.7346
210000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0072,0.0,0.0,174.5285
220000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0075,0.0,0.0,174.2529
230000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0071,0.0,0.0,172.4661
240000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0073,0.0,0.0,173.9152
250000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0071,0.0,0.0,173.5472
260000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0075,0.0,0.0,174.2934
270000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0077,0.0,0.0,172.1325
280000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.008,0.0,0.0,175.6668
290000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0077,0.0,0.0,172.1502
300000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0078,0.0,0.0,172.6747
310000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0082,0.0,0.0,171.2503
320000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0081,0.0,0.0,171.453
330000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0082,0.0,0.0,172.9684
340000,0.0,288.0,0.0,0.0146,285.7143,0.0286,-0.0078,0.0,0.0,171.6417
350000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0079,0.0,0.0,172.7804
360000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0078,0.0,0.0,172.1733
370000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0086,0.0,0.0,174.3783
380000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0082,0.0,0.0,172.3491
390000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0081,0.0,0.0,171.9061
400000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0084,0.0,0.0,172.3672
