env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0072,0.0001,0.0012,136.2422
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0073,-0.0,0.0,793.0452
30000,0.0,288.0,0.0,0.0108,285.7143,0.0286,0.0073,-0.0,0.0,783.0252
40000,0.0,288.0,0.0,0.0172,285.7143,0.0286,0.0073,-0.0,0.0,791.5905
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0073,-0.0,0.0,787.6111
60000,0.0,288.0,0.0,0.0096,285.7143,0.0286,0.0073,-0.0,0.0,779.6162
70000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0073,-0.0,0.0,783.2486
80000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0073,-0.0,0.0,773.2033
90000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0073,-0.0,0.0,779.8634
100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,772.7352
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0073,-0.0,0.0,766.0612
120000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,773.3529
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,766.1935
140000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,766.8178
150000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,768.9951
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,760.827
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,761.8335
180000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,753.7688
190000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,757.4035
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,757.2965
210000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,751.6492
220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,760.4972
230000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,756.3575
240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,745.1853
250000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,754.0881
260000,0.0,288.0,0.0,0.0055,285.7143,0.0286,0.0074,0.0,0.0,734.3866
270000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,742.1959
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,749.0757
290000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,740.8027
300000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,744.889
310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,746.5392
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,735.3641
330000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,743.1024
340000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,735.9138
350000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,734.8585
360000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,735.8559
370000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,729.4266
380000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,732.6379
390000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,734.0223
400000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,727.5054
410000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,730.2048
420000,0.0,288.0,0.0,0.0066,285.7143,0.0286,0.0074,0.0,0.0,732.126
430000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,722.7106
440000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,728.9711
450000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,724.6704
460000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,722.7824
470000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,725.9449
480000,0.0,288.0,0.0,0.0149,285.7143,0.0286,0.0074,0.0,0.0,720.6099
490000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,721.6052
500000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,720.954
510000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,719.6859
520000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,727.2679
530000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,722.5758
540000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,719.0509
550000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,722.8154
560000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,718.1937
570000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,707.0597
580000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,720.7537
590000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,715.8811
600000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,713.5532
610000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,717.3904
620000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,710.7216
630000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,717.352
640000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,716.9355
650000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,710.9303
660000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,720.2481
670000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,712.5175
680000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,709.6567
690000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,712.8815
700000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,712.4065
710000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,704.6756
720000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,706.6889
730000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,708.0146
740000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,704.6082
750000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,705.6107
760000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,707.6869
770000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,698.7744
780000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,703.0991
790000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,704.9444
800000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,698.5165
810000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,702.5902
820000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,698.2767
830000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,700.6795
840000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,701.4555
850000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,693.4992
860000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,0.0,0.0,697.6588
870000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,-0.0,0.0,692.1214
880000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,695.2413
890000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,697.8141
900000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0074,-0.0,0.0,695.6277
910000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,692.2499
920000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0074,0.0,0.0,695.4382
