env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0055,0.0013,0.001,116.7795
20000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0152,0.0001,0.0,186.26
30000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0159,0.0001,0.0,192.6399
40000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0148,0.0001,0.0,188.7868
50000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0142,0.0001,0.0,187.1674
60000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0138,0.0001,0.0,188.1081
70000,0.0,288.0,0.0,0.0054,285.7143,0.0286,-0.0133,0.0001,0.0,189.7269
80000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0127,0.0,0.0,182.7999
90000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0124,0.0,0.0,189.8827
100000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0121,0.0,0.0,184.1312
110000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0119,0.0,0.0,185.364
120000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0112,0.0,0.0,190.4797
130000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0081,0.0,0.0,184.0182
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0078,0.0,0.0,195.4261
150000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0071,0.0,0.0,180.4126
160000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0075,0.0,0.0,185.3733
170000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0072,0.0,0.0,182.0799
180000,0.0,288.0,0.0,0.0154,285.7143,0.0286,-0.0073,0.0,0.0,180.9798
190000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0073,0.0,0.0,179.4185
200000,0.0,288.0,0.0,0.0029,285.7143,0.0286,-0.0076,0.0,0.0,183.159
210000,0.0,288.0,0.0,0.0082,294.1176,0.0294,-0.007,0.0,0.0,187.7369
220000,0.0,288.0,0.0,0.0089,285.7143,0.0286,-0.0073,0.0,0.0,178.6871
230000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0074,0.0,0.0,176.6384
240000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0073,0.0,0.0,176.1092
250000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0078,0.0,0.0,187.6453
260000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0076,0.0,0.0,186.992
270000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0078,0.0,0.0,181.5463
280000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0079,0.0,0.0,193.6823
290000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0078,0.0,0.0,190.8065
300000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0076,0.0,0.0,180.5376
310000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0079,0.0,0.0,186.4329
320000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0079,0.0,0.0,186.4652
330000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0078,0.0,0.0,190.8964
340000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0081,0.0,0.0,184.5366
350000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0081,0.0,0.0,177.6061
360000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.008,0.0,0.0,183.3478
370000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0082,0.0,0.0,178.843
380000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0083,0.0,0.0,180.9266
390000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0082,0.0,0.0,187.2032
400000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0082,0.0,0.0,188.8106
410000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0083,0.0,0.0,180.9225
420000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.008,0.0,0.0,190.2922
430000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0084,0.0,0.0,182.4803
440000,0.0,288.0,0.0,0.0055,294.1176,0.0294,-0.0082,0.0,0.0,179.3956
450000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.008,0.0,0.0,183.5481
460000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0085,0.0,0.0,187.0609
470000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0087,0.0,0.0,184.1618
480000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0088,0.0,0.0,182.9927
490000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0091,0.0,0.0,183.6228
500000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0085,0.0,0.0,178.444
510000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0089,0.0,0.0,183.881
520000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0084,0.0,0.0,183.7022
530000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0093,0.0,0.0,185.4183
540000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0089,0.0,0.0,188.6559
550000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0088,0.0,0.0,180.601
560000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0086,0.0,0.0,182.8199
570000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0089,0.0,0.0,178.0907
580000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.009,0.0,0.0,186.7364
590000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.009,0.0,0.0,190.9174
600000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0089,0.0,0.0,182.1035
610000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0087,0.0,0.0,184.7382
620000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0088,0.0,0.0,177.4026
630000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0095,0.0,0.0,181.5032
640000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0093,0.0,0.0,179.3084
650000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0095,0.0,0.0,190.6374
660000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0095,0.0,0.0,188.2093
670000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0097,0.0,0.0,180.5347
680000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0095,0.0,0.0,182.0809
690000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0091,0.0,0.0,178.0253
700000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0098,0.0,0.0,178.6012
710000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0096,0.0,0.0,180.6832
720000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0097,0.0,0.0,186.5529
730000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0099,0.0,0.0,181.3303
740000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0101,0.0,0.0,180.9872
750000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0099,0.0,0.0,177.4563
760000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0095,0.0,0.0,188.0295
770000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0097,0.0,0.0,187.2391
780000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0099,0.0,0.0,181.7502
790000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0103,0.0,0.0,184.1754
800000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0106,0.0,0.0,182.6506
810000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.01,0.0,0.0,180.2288
820000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0103,0.0,0.0,182.4438
830000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0103,0.0,0.0,181.3976
