env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0033,333.3333,0.0333,0.0011,0.0008,593.8173
20000,0.0,324.0,0.0,0.0324,312.5,0.0625,0.0004,0.0,888.6634
30000,0.0,324.0,0.0,0.0151,322.5806,0.0323,0.0004,0.0001,876.9017
40000,0.0,324.0,0.0,0.0468,303.0303,0.1212,0.0005,0.0002,890.5892
50000,0.0,324.0,0.0,0.0633,312.5,0.1562,0.0005,0.0002,870.4282
60000,0.0,324.0,0.0,0.0387,312.5,0.1562,0.0005,0.0002,880.428
70000,0.0,324.0,0.0,0.0686,303.0303,0.1818,0.0006,0.0003,899.8321
80000,0.0,324.0,0.0,0.0755,312.5,0.2188,0.0006,0.0003,888.6589
90000,0.1711,269.6,0.2,0.0942,294.1176,0.2059,0.0006,0.0003,863.3888
100000,0.0,324.0,0.0,0.1417,285.7143,0.3429,0.0007,0.0004,864.3212
110000,0.0,324.0,0.0,0.0778,303.0303,0.2424,0.0007,0.0005,865.3817
120000,0.0,324.0,0.0,0.163,277.7778,0.3056,0.0008,0.0006,876.7648
130000,0.0,324.0,0.0,0.2077,263.1579,0.4211,0.0008,0.0006,865.0956
140000,0.0658,303.9,0.1,0.2486,256.4103,0.5128,0.0009,0.0006,837.1526
150000,0.0892,295.5,0.1,0.2147,256.4103,0.4359,0.0009,0.0007,848.1169
160000,0.0,324.0,0.0,0.2662,250.0,0.6,0.001,0.0008,852.4386
170000,0.0,324.0,0.0,0.2987,238.0952,0.5714,0.001,0.0009,843.5565
180000,0.0,324.0,0.0,0.3357,227.2727,0.6364,0.001,0.0009,853.5525
190000,0.0917,294.6,0.1,0.3304,232.5581,0.6512,0.0011,0.001,822.1369
200000,0.1814,265.9,0.2,0.3003,232.5581,0.6279,0.0011,0.001,858.4072
210000,0.0906,295.0,0.1,0.3342,232.5581,0.6279,0.0012,0.001,824.4652
220000,0.3122,226.0,0.4,0.3789,208.3333,0.6875,0.0012,0.001,832.5199
230000,0.1722,269.2,0.2,0.3343,227.2727,0.5682,0.0012,0.0011,833.5034
240000,0.1633,272.4,0.2,0.3388,222.2222,0.6889,0.0012,0.0012,825.8172
250000,0.2836,236.3,0.4,0.3824,212.766,0.6809,0.0013,0.0012,827.4873
260000,0.0,324.0,0.0,0.4264,200.0,0.72,0.0013,0.0013,826.3631
270000,0.0956,293.2,0.1,0.4623,181.8182,0.7273,0.0013,0.0013,833.3832
280000,0.1831,265.3,0.2,0.4909,175.4386,0.807,0.0014,0.0014,829.5369
290000,0.3475,213.3,0.4,0.5862,147.0588,0.8971,0.0014,0.0016,826.1694
300000,0.4433,182.4,0.5,0.4922,172.4138,0.8276,0.0014,0.0016,822.98
310000,0.2392,248.7,0.3,0.5801,144.9275,0.8261,0.0015,0.0017,817.6596
320000,0.1631,272.5,0.2,0.5743,149.2537,0.8806,0.0015,0.0017,817.5054
330000,0.3642,207.3,0.4,0.6102,136.9863,0.8904,0.0015,0.0018,819.0655
340000,0.5969,134.3,0.7,0.6163,135.1351,0.8784,0.0015,0.0019,800.6607
350000,0.2144,257.6,0.3,0.7018,104.1667,0.9375,0.0016,0.0019,815.9371
360000,0.2061,260.6,0.3,0.6999,105.2632,0.9368,0.0016,0.002,803.2609
370000,0.3622,208.0,0.4,0.6931,108.6957,0.9457,0.0016,0.0021,787.3742
380000,0.6839,106.6,0.8,0.7116,101.0101,0.9394,0.0016,0.0022,788.0796
390000,0.6556,116.8,0.8,0.7702,82.6446,0.9835,0.0017,0.0023,792.6539
400000,0.8372,55.0,0.9,0.775,79.3651,0.9683,0.0017,0.0024,804.8131
410000,0.7403,86.3,0.8,0.8077,71.4286,1.0,0.0017,0.0025,784.2269
420000,0.6508,114.9,0.7,0.8237,60.9756,0.9817,0.0018,0.0027,785.7716
430000,0.7489,83.2,0.8,0.8036,70.4225,0.993,0.0018,0.0028,778.3031
440000,0.8272,58.6,0.9,0.8234,62.8931,0.9811,0.0018,0.0028,809.9693
450000,0.7475,83.7,0.8,0.8534,52.6316,0.9947,0.0018,0.0029,793.837
460000,0.9414,21.1,1.0,0.8534,52.6316,0.9947,0.0019,0.0029,781.075
470000,0.9147,30.7,1.0,0.8594,50.5051,1.0,0.0019,0.0031,769.9777
480000,0.7622,78.4,0.8,0.8595,50.7614,1.0,0.0019,0.0031,788.0055
490000,0.8417,53.4,0.9,0.8725,45.8716,1.0,0.0019,0.0032,776.4021
500000,0.9358,23.1,1.0,0.8716,46.2963,1.0,0.002,0.0032,770.8643
510000,0.9283,25.8,1.0,0.874,45.2489,1.0,0.002,0.0032,794.9034
520000,0.9369,22.7,1.0,0.8791,43.4783,1.0,0.002,0.0032,770.0898
530000,0.9456,19.6,1.0,0.8917,39.0625,1.0,0.002,0.0032,770.4823
540000,0.9458,19.5,1.0,0.8896,39.6825,1.0,0.002,0.0032,753.2347
550000,0.9139,31.0,1.0,0.8913,39.0625,1.0,0.0021,0.0033,761.4921
560000,0.8561,48.2,0.9,0.8992,36.3636,1.0,0.0021,0.0033,760.3499
570000,0.9464,19.3,1.0,0.9044,34.3643,1.0,0.0021,0.0033,756.0477
580000,0.8508,50.1,0.9,0.9049,34.2466,1.0,0.0021,0.0033,755.9006
590000,0.7975,69.3,0.9,0.9025,35.0877,1.0,0.0021,0.0033,761.8655
600000,0.9508,17.7,1.0,0.9088,32.8947,1.0,0.0021,0.0033,757.5298
610000,0.8558,48.3,0.9,0.9116,31.746,1.0,0.0021,0.0033,759.2493
620000,0.955,16.2,1.0,0.9105,32.2581,1.0,0.0022,0.0033,750.861
630000,0.9497,18.1,1.0,0.9133,31.4465,1.0,0.0022,0.0033,752.8713
640000,0.9578,15.2,1.0,0.9132,30.9598,1.0,0.0022,0.0034,757.0904
650000,0.9444,20.0,1.0,0.9205,28.7356,1.0,0.0022,0.0034,754.0908
660000,0.9536,16.7,1.0,0.9154,30.3951,1.0,0.0022,0.0034,744.226
670000,0.9547,16.3,1.0,0.916,30.2115,1.0,0.0022,0.0034,756.2706
680000,0.9517,17.4,1.0,0.9186,29.5858,1.0,0.0022,0.0034,757.2558
690000,0.9539,16.6,1.0,0.92,28.49,1.0,0.0022,0.0034,740.7602
700000,0.9561,15.8,1.0,0.9223,28.0112,1.0,0.0022,0.0034,743.76
710000,0.9564,15.7,1.0,0.9232,27.6243,1.0,0.0022,0.0034,759.0462
720000,0.9533,16.8,1.0,0.921,28.49,1.0,0.0022,0.0033,749.5195
730000,0.9375,22.5,1.0,0.9269,26.3158,1.0,0.0023,0.0033,752.2663
740000,0.9531,16.9,1.0,0.9266,26.3852,1.0,0.0023,0.0034,672.7156
750000,0.9553,16.1,1.0,0.9298,25.3165,1.0,0.0023,0.0034,762.5044
760000,0.9553,16.1,1.0,0.9289,25.5754,1.0,0.0023,0.0033,761.6047
770000,0.9572,15.4,1.0,0.9328,24.2131,1.0,0.0023,0.0033,763.5518
