env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0033,333.3333,0.0333,0.0017,0.0014,110.4127
20000,0.0,324.0,0.0,0.0344,312.5,0.0938,0.0001,0.0,275.5473
30000,0.0,324.0,0.0,0.0121,322.5806,0.0323,0.0001,0.0,284.2346
40000,0.0,324.0,0.0,0.0129,322.5806,0.0323,0.0001,0.0,272.1172
50000,0.0,324.0,0.0,0.0331,312.5,0.125,0.0001,0.0,275.3373
60000,0.0,324.0,0.0,0.0164,322.5806,0.0645,0.0001,0.0,274.06
70000,0.0,324.0,0.0,0.0722,303.0303,0.1818,0.0001,0.0001,271.0938
80000,0.0,324.0,0.0,0.0435,312.5,0.0938,0.0001,0.0001,268.5206
90000,0.0,324.0,0.0,0.1044,294.1176,0.2059,0.0001,0.0002,275.9052
100000,0.0,324.0,0.0,0.0226,312.5,0.0625,0.0001,0.0002,273.2079
110000,0.0,324.0,0.0,0.1839,270.2703,0.3784,0.0002,0.0003,271.2256
120000,0.0,324.0,0.0,0.0928,303.0303,0.1818,0.0001,0.0004,281.0819
130000,0.0,324.0,0.0,0.1728,270.2703,0.3514,0.0001,0.0004,273.5179
140000,0.0,324.0,0.0,0.3221,232.5581,0.6279,0.0002,0.0005,268.0564
150000,0.0675,303.3,0.1,0.2288,256.4103,0.4872,0.0003,0.0006,269.5894
160000,0.3814,201.1,0.4,0.4162,204.0816,0.7551,0.0003,0.0008,268.8019
170000,0.1883,263.4,0.2,0.4849,178.5714,0.8036,0.0004,0.001,274.9576
180000,0.3731,204.1,0.4,0.6257,129.8701,0.9091,0.0006,0.0013,261.5706
190000,0.0,324.0,0.0,0.6776,116.2791,0.9419,0.0009,0.0017,259.8589
200000,0.5736,139.1,0.6,0.7221,96.1538,0.9519,0.0012,0.0022,257.6906
210000,0.8558,48.3,0.9,0.7512,88.4956,0.9735,0.0012,0.0024,253.32
220000,0.7178,98.0,0.9,0.735,94.3396,0.9528,0.0017,0.0024,251.7156
230000,0.765,77.4,0.8,0.7798,78.125,0.9844,0.0022,0.0024,257.3139
240000,0.5669,141.5,0.6,0.7814,78.125,0.9766,0.0026,0.0024,251.1423
250000,0.9494,18.2,1.0,0.8093,68.4932,1.0,0.0031,0.0024,248.3069
260000,0.9539,16.6,1.0,0.8347,59.5238,1.0,0.0033,0.0025,253.5953
270000,0.8522,49.6,0.9,0.8369,58.8235,1.0,0.0039,0.0025,249.4292
280000,0.8219,60.5,0.9,0.8332,60.6061,0.9939,0.0042,0.0025,246.49
290000,0.9525,17.1,1.0,0.8246,61.7284,0.9877,0.0045,0.0025,245.7117
300000,0.8556,48.4,0.9,0.8526,53.1915,0.9947,0.0049,0.0025,240.6173
310000,0.8594,47.0,0.9,0.8643,49.0196,1.0,0.0051,0.0025,242.3843
320000,0.8611,46.4,0.9,0.8474,53.7634,0.9839,0.0054,0.0025,242.8279
330000,0.9306,25.0,1.0,0.8752,45.045,1.0,0.0059,0.0026,246.8771
340000,0.8581,47.5,0.9,0.8799,43.29,1.0,0.0066,0.0026,245.9185
350000,0.8397,54.1,0.9,0.8754,44.6429,0.9955,0.0068,0.0027,269.3034
360000,0.8519,49.7,0.9,0.8795,43.1034,0.9957,0.0074,0.0027,255.8578
370000,0.9508,17.7,1.0,0.8918,39.0625,1.0,0.0078,0.0026,252.0961
380000,0.8583,47.4,0.9,0.8915,39.0625,1.0,0.0081,0.0027,257.444
390000,0.8564,48.1,0.9,0.8888,40.0,1.0,0.0085,0.0026,257.4969
400000,0.9242,27.3,1.0,0.9014,35.461,1.0,0.0092,0.0027,259.6192
410000,0.7072,98.2,0.8,0.9001,35.9712,1.0,0.0093,0.0027,255.7507
420000,0.9542,16.5,1.0,0.9098,32.4675,1.0,0.0097,0.0026,256.2193
430000,0.5761,138.2,0.6,0.9091,32.6797,1.0,0.0097,0.0026,254.3222
440000,0.9583,15.0,1.0,0.914,30.9598,1.0,0.0102,0.0027,250.0965
450000,0.9561,15.8,1.0,0.9129,31.4465,1.0,0.0104,0.0026,258.7263
460000,0.8617,46.2,0.9,0.9163,30.03,1.0,0.0108,0.0026,254.855
470000,0.9558,15.9,1.0,0.9171,29.8507,1.0,0.0111,0.0026,253.7158
480000,0.9569,15.5,1.0,0.918,29.5858,1.0,0.0113,0.0026,262.2495
490000,0.9564,15.7,1.0,0.9211,28.3286,1.0,0.0114,0.0025,257.7914
500000,0.9586,14.9,1.0,0.9235,27.5482,1.0,0.0117,0.0025,264.5854
510000,0.9528,17.0,1.0,0.9255,26.8097,1.0,0.0121,0.0025,251.5755
520000,0.9558,15.9,1.0,0.9242,27.3224,1.0,0.0121,0.0024,252.2641
530000,0.9572,15.4,1.0,0.9272,26.2467,1.0,0.0123,0.0024,253.8749
540000,0.9589,14.8,1.0,0.9293,25.3807,1.0,0.0124,0.0024,250.6354
550000,0.9575,15.3,1.0,0.9295,25.3807,1.0,0.0124,0.0024,249.8265
560000,0.9553,16.1,1.0,0.931,24.8756,1.0,0.0127,0.0024,248.6954
570000,0.9575,15.3,1.0,0.9309,24.8756,1.0,0.0128,0.0024,250.5656
580000,0.9575,15.3,1.0,0.9319,24.5098,1.0,0.0129,0.0023,252.3263
590000,0.7633,78.0,0.8,0.9312,24.7525,1.0,0.0129,0.0023,258.4051
600000,0.9572,15.4,1.0,0.9336,23.9234,1.0,0.0131,0.0022,256.6566
610000,0.9561,15.8,1.0,0.9378,22.3714,1.0,0.0136,0.0022,256.8703
620000,0.9606,14.2,1.0,0.9355,23.2558,1.0,0.0137,0.0022,254.4128
630000,0.9572,15.4,1.0,0.9352,23.31,1.0,0.014,0.0022,257.3612
640000,0.9583,15.0,1.0,0.9368,22.7273,1.0,0.0141,0.0022,251.7225
650000,0.9581,15.1,1.0,0.9365,22.8833,1.0,0.0143,0.0022,251.2637
660000,0.9589,14.8,1.0,0.9384,22.1729,1.0,0.0141,0.0022,255.4612
670000,0.9586,14.9,1.0,0.9388,22.0264,1.0,0.0142,0.0022,248.5399
680000,0.9561,15.8,1.0,0.9393,21.8341,1.0,0.0142,0.0021,255.1307
690000,0.9578,15.2,1.0,0.9411,21.2314,1.0,0.0146,0.0021,252.7657
700000,0.9583,15.0,1.0,0.9406,21.3675,1.0,0.0145,0.0021,254.949
710000,0.9581,15.1,1.0,0.9389,22.0264,1.0,0.0148,0.0021,254.8638
720000,0.9572,15.4,1.0,0.9415,21.0526,1.0,0.0148,0.002,250.7023
730000,0.9586,14.9,1.0,0.9416,21.0084,1.0,0.0147,0.002,251.0349
740000,0.9581,15.1,1.0,0.942,20.8768,1.0,0.0143,0.002,254.3538
750000,0.9594,14.6,1.0,0.9413,21.1416,1.0,0.0149,0.002,260.7861
760000,0.9567,15.6,1.0,0.943,20.4918,1.0,0.0148,0.002,252.0879
770000,0.9581,15.1,1.0,0.9429,20.5761,1.0,0.0149,0.002,252.6291
780000,0.9589,14.8,1.0,0.9435,20.3252,1.0,0.0152,0.002,262.1068
