env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0158,322.5806,0.0645,0.0062,-0.0002,0.0006,221.2881
20000,0.0,324.0,0.0,0.0271,322.5806,0.0645,0.0061,0.0,0.0,791.2771
30000,0.0,324.0,0.0,0.0114,322.5806,0.0645,0.0061,0.0,0.0001,794.5973
40000,0.0,324.0,0.0,0.0163,312.5,0.0312,0.006,0.0,0.0001,791.641
50000,0.0,324.0,0.0,0.0033,333.3333,0.0333,0.006,0.0,0.0001,780.7663
60000,0.0,324.0,0.0,0.0082,312.5,0.0312,0.006,0.0,0.0001,775.9875
70000,0.0,324.0,0.0,0.0246,322.5806,0.0645,0.006,0.0,0.0002,777.3052
80000,0.0,324.0,0.0,0.0275,312.5,0.0938,0.006,0.0,0.0002,782.3055
90000,0.0,324.0,0.0,0.0576,312.5,0.1875,0.006,0.0,0.0001,773.9551
100000,0.0,324.0,0.0,0.0487,312.5,0.125,0.006,0.0,0.0001,770.5684
110000,0.0,324.0,0.0,0.0326,312.5,0.0938,0.006,0.0,0.0002,773.6781
120000,0.0,324.0,0.0,0.1042,294.1176,0.2059,0.006,0.0,0.0002,768.674
130000,0.0,324.0,0.0,0.0989,303.0303,0.2424,0.006,0.0,0.0002,766.7689
140000,0.0758,300.3,0.1,0.1059,294.1176,0.2353,0.006,0.0,0.0003,763.4162
150000,0.0,324.0,0.0,0.1216,285.7143,0.2571,0.006,0.0,0.0004,752.9817
160000,0.0,324.0,0.0,0.1566,277.7778,0.3056,0.006,0.0,0.0005,756.3924
170000,0.0,324.0,0.0,0.1773,277.7778,0.3611,0.006,0.0,0.0006,755.5646
180000,0.0942,293.7,0.1,0.1854,263.1579,0.3158,0.006,0.0,0.0006,754.3426
190000,0.0794,299.0,0.1,0.1919,270.2703,0.4054,0.006,0.0,0.0007,754.3395
200000,0.0,324.0,0.0,0.1914,270.2703,0.4054,0.006,0.0,0.0007,750.6286
210000,0.0,324.0,0.0,0.1437,285.7143,0.3429,0.006,0.0,0.0007,753.1181
220000,0.0903,295.1,0.1,0.2574,250.0,0.5,0.006,0.0,0.0007,748.3762
230000,0.2822,233.2,0.3,0.2847,243.9024,0.5366,0.006,0.0,0.0008,742.5245
240000,0.0956,293.2,0.1,0.3457,217.3913,0.6087,0.006,0.0,0.0009,737.4542
250000,0.0,324.0,0.0,0.2585,256.4103,0.5385,0.006,0.0,0.0009,740.7197
260000,0.0,324.0,0.0,0.3443,217.3913,0.6087,0.006,0.0,0.0009,736.0406
270000,0.1858,264.3,0.2,0.3124,232.5581,0.5814,0.006,0.0,0.001,729.8065
280000,0.16,273.6,0.2,0.3974,204.0816,0.6735,0.006,-0.0,0.0011,734.1727
290000,0.3583,209.4,0.4,0.3483,222.2222,0.5556,0.006,0.0,0.0011,723.4205
300000,0.1231,286.9,0.2,0.2929,232.5581,0.4884,0.006,-0.0,0.0011,724.7796
310000,0.0864,296.5,0.1,0.3847,208.3333,0.6458,0.006,0.0,0.0012,727.4498
320000,0.0,324.0,0.0,0.5148,169.4915,0.7966,0.006,-0.0,0.0012,726.2391
330000,0.1908,262.5,0.2,0.5287,163.9344,0.8197,0.006,0.0,0.0013,729.2983
340000,0.3294,219.8,0.4,0.3758,208.3333,0.6042,0.006,-0.0,0.0014,722.4917
350000,0.2667,238.8,0.3,0.4093,200.0,0.68,0.006,0.0,0.0015,714.8219
360000,0.4203,190.7,0.5,0.4281,196.0784,0.7451,0.006,-0.0,0.0015,712.648
370000,0.2703,237.5,0.3,0.3422,227.2727,0.5682,0.006,0.0,0.0015,712.1932
380000,0.5544,146.0,0.6,0.469,181.8182,0.7455,0.006,-0.0,0.0016,713.146
390000,0.0931,294.1,0.1,0.2964,232.5581,0.5349,0.006,-0.0,0.0015,707.3046
400000,0.0903,295.1,0.1,0.3834,208.3333,0.625,0.006,-0.0,0.0016,709.4297
410000,0.2761,235.4,0.3,0.4112,200.0,0.66,0.006,0.0,0.0017,706.8278
420000,0.0914,294.7,0.1,0.3265,227.2727,0.5682,0.006,0.0,0.0017,702.5839
430000,0.4614,175.9,0.5,0.4605,185.1852,0.7037,0.006,0.0,0.0017,703.1494
440000,0.0894,295.4,0.1,0.4418,185.1852,0.6667,0.006,0.0,0.0017,705.9737
450000,0.2819,233.3,0.3,0.5727,147.0588,0.7941,0.006,-0.0,0.0018,709.4107
460000,0.2794,234.2,0.3,0.5151,169.4915,0.7458,0.006,-0.0,0.0019,703.4977
470000,0.2572,242.2,0.3,0.4224,196.0784,0.6667,0.006,-0.0,0.002,705.3291
480000,0.3889,202.0,0.5,0.47,175.4386,0.7018,0.006,0.0,0.002,701.054
490000,0.2722,236.8,0.3,0.5086,172.4138,0.8103,0.006,0.0,0.002,700.8738
500000,0.2269,253.1,0.3,0.4307,188.6792,0.6415,0.006,0.0,0.002,703.1158
510000,0.2781,234.7,0.3,0.505,172.4138,0.8103,0.006,-0.0,0.0021,702.3575
520000,0.1436,279.5,0.2,0.4287,196.0784,0.6275,0.006,0.0,0.0021,703.3759
530000,0.0914,294.7,0.1,0.4606,185.1852,0.7222,0.006,0.0,0.0022,695.0636
540000,0.2125,258.3,0.3,0.4733,178.5714,0.7679,0.006,-0.0,0.0022,698.7757
550000,0.435,185.4,0.5,0.5456,153.8462,0.7846,0.006,0.0,0.0022,697.4297
560000,0.0914,294.7,0.1,0.5494,158.7302,0.8571,0.006,-0.0,0.0022,689.5531
570000,0.2375,249.3,0.3,0.6104,133.3333,0.8133,0.006,-0.0,0.0022,694.3833
580000,0.2989,230.8,0.4,0.5262,161.2903,0.7419,0.006,0.0,0.0023,693.8837
590000,0.1828,265.4,0.2,0.5706,149.2537,0.8209,0.006,-0.0,0.0024,689.2346
600000,0.3669,209.9,0.5,0.511,169.4915,0.7797,0.006,-0.0,0.0024,691.8243
610000,0.4294,187.4,0.5,0.4818,172.4138,0.7241,0.006,-0.0,0.0025,689.6727
620000,0.1786,266.9,0.2,0.5431,156.25,0.7812,0.0059,-0.0,0.0025,689.0788
630000,0.675,109.8,0.8,0.5518,153.8462,0.7846,0.006,-0.0,0.0025,689.8335
640000,0.2728,236.6,0.3,0.5716,151.5152,0.8333,0.0059,0.0,0.0025,691.7325
650000,0.4297,187.3,0.5,0.6108,135.1351,0.8649,0.006,-0.0,0.0025,692.4799
660000,0.3067,228.0,0.4,0.5399,153.8462,0.7538,0.0059,0.0,0.0025,685.1131
670000,0.45,180.0,0.5,0.6093,136.9863,0.8219,0.0059,-0.0,0.0026,685.8849
680000,0.5447,149.5,0.6,0.5528,151.5152,0.7576,0.0059,0.0,0.0026,684.5301
690000,0.3711,204.8,0.4,0.5835,140.8451,0.8028,0.0059,0.0,0.0026,680.5917
700000,0.4911,168.8,0.6,0.5999,140.8451,0.8732,0.0059,-0.0,0.0026,683.1538
710000,0.5342,153.3,0.6,0.6114,133.3333,0.8533,0.0059,0.0,0.0027,679.3448
720000,0.4069,195.5,0.5,0.6571,119.0476,0.8929,0.0059,-0.0,0.0028,677.0643
730000,0.5525,146.7,0.6,0.7064,103.0928,0.9175,0.0059,0.0,0.0028,675.5746
740000,0.3681,205.9,0.4,0.6612,117.6471,0.8588,0.0059,0.0,0.0028,678.5048
750000,0.6378,119.6,0.7,0.6901,107.5269,0.9032,0.0059,-0.0,0.0028,676.1773
760000,0.4656,174.4,0.5,0.7183,99.0099,0.9406,0.0059,0.0,0.0029,674.8039
770000,0.5983,133.8,0.7,0.6516,121.9512,0.8659,0.0059,-0.0,0.0029,674.7647
780000,0.3603,208.7,0.4,0.6697,114.9425,0.8506,0.0059,-0.0,0.0029,673.614
790000,0.5631,142.9,0.6,0.6881,106.383,0.9043,0.0059,-0.0,0.003,674.6711
800000,0.5403,151.1,0.6,0.7384,92.5926,0.9167,0.0059,0.0,0.003,674.6508
810000,0.5675,144.9,0.7,0.7445,89.2857,0.9375,0.0059,0.0,0.0031,663.3448
820000,0.5017,165.0,0.6,0.7326,93.4579,0.9439,0.0059,-0.0,0.0033,672.052
830000,0.6481,115.9,0.7,0.7031,103.0928,0.9072,0.0059,-0.0,0.0033,665.8929
840000,0.4617,175.8,0.5,0.7543,86.2069,0.9397,0.0059,0.0,0.0033,669.0824
850000,0.6244,124.4,0.7,0.7445,90.9091,0.9545,0.0059,-0.0,0.0033,663.4013
860000,0.4711,172.4,0.5,0.7486,89.2857,0.9375,0.0059,0.0,0.0033,667.0515
870000,0.2783,234.6,0.3,0.7556,84.7458,0.9407,0.0059,-0.0,0.0033,661.4805
880000,0.7458,84.3,0.8,0.7521,86.2069,0.9224,0.0059,-0.0,0.0034,659.3834
890000,0.6433,117.6,0.7,0.7801,77.5194,0.9457,0.0059,-0.0,0.0034,643.3371
