env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0047,333.3333,0.0333,0.8838,0.0011,713.0046
20000,0.0,324.0,0.0,0.0362,312.5,0.0938,0.4687,0.0001,984.4338
30000,0.0,324.0,0.0,0.0115,322.5806,0.0323,0.3428,0.0,976.4446
40000,0.0,324.0,0.0,0.0375,312.5,0.125,0.2873,0.0,972.226
50000,0.0,324.0,0.0,0.0177,322.5806,0.0645,0.2538,0.0,966.5424
60000,0.0,324.0,0.0,0.0205,312.5,0.0625,0.2288,0.0,959.5283
70000,0.0,324.0,0.0,0.0715,303.0303,0.1818,0.2135,0.0001,960.3463
80000,0.0,324.0,0.0,0.0269,322.5806,0.0645,0.205,0.0002,949.0348
90000,0.0,324.0,0.0,0.0621,312.5,0.2188,0.1973,0.0002,955.4008
100000,0.0,324.0,0.0,0.0176,312.5,0.0312,0.1928,0.0002,949.8825
110000,0.0,324.0,0.0,0.0196,322.5806,0.0645,0.1887,0.0002,946.4748
120000,0.0,324.0,0.0,0.0,322.5806,0.0,0.1851,0.0002,947.2163
130000,0.0,324.0,0.0,0.0154,322.5806,0.0645,0.1829,0.0002,941.0968
140000,0.0,324.0,0.0,0.0574,303.0303,0.1212,0.1814,0.0002,938.0269
150000,0.0,324.0,0.0,0.0491,312.5,0.0938,0.1793,0.0002,939.1044
160000,0.0,324.0,0.0,0.1056,294.1176,0.2647,0.1775,0.0002,936.1338
170000,0.0,324.0,0.0,0.0471,312.5,0.0938,0.1764,0.0002,931.5557
180000,0.0,324.0,0.0,0.1397,285.7143,0.2571,0.1748,0.0003,927.0185
190000,0.0,324.0,0.0,0.0087,322.5806,0.0323,0.1735,0.0003,931.4805
200000,0.0,324.0,0.0,0.0385,312.5,0.1562,0.1723,0.0003,927.5256
210000,0.0,324.0,0.0,0.0756,303.0303,0.1515,0.1719,0.0003,924.9164
220000,0.0,324.0,0.0,0.0431,312.5,0.125,0.1704,0.0003,919.945
230000,0.0,324.0,0.0,0.1062,294.1176,0.1765,0.1689,0.0003,918.6228
