env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0496,277.7778,0.0556,-0.0,0.0016,0.0015,126.3609
20000,0.0,288.0,0.0,0.013,285.7143,0.0286,-0.0,0.0001,0.0001,587.3097
30000,0.0,288.0,0.0,0.0076,285.7143,0.0286,-0.0,0.0001,0.0001,586.0299
40000,0.0,288.0,0.0,0.0057,285.7143,0.0286,-0.0,0.0001,0.0001,583.9204
50000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,586.1426
60000,0.0,288.0,0.0,0.0162,285.7143,0.0286,-0.0,0.0001,0.0,583.467
70000,0.0,288.0,0.0,0.024,285.7143,0.0857,-0.0,0.0001,0.0,579.6767
80000,0.0,288.0,0.0,0.0115,285.7143,0.0286,-0.0,0.0001,0.0,579.7253
90000,0.0,288.0,0.0,0.0226,277.7778,0.0278,-0.0,0.0001,0.0,579.1274
100000,0.0,288.0,0.0,0.0253,285.7143,0.0571,-0.0,0.0001,0.0,577.8037
110000,0.0,288.0,0.0,0.044,277.7778,0.0833,-0.0,0.0001,0.0,577.4829
120000,0.0,288.0,0.0,0.0086,285.7143,0.0286,-0.0,0.0001,0.0,577.2985
130000,0.0,288.0,0.0,0.0251,277.7778,0.0278,-0.0,0.0001,0.0001,574.7134
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0002,0.0001,573.4685
150000,0.0,288.0,0.0,0.0423,277.7778,0.0556,-0.0,0.0002,0.0001,573.5123
160000,0.0,288.0,0.0,0.0056,285.7143,0.0286,-0.0,0.0002,0.0001,572.2636
170000,0.0,288.0,0.0,0.0363,285.7143,0.0857,-0.0,0.0001,0.0001,570.2338
180000,0.0,288.0,0.0,0.0587,270.2703,0.1081,-0.0,0.0001,0.0001,569.1812
190000,0.0,288.0,0.0,0.0206,277.7778,0.0278,-0.0,0.0001,0.0002,568.7776
200000,0.0,288.0,0.0,0.0532,277.7778,0.0833,-0.0,0.0002,0.0003,566.9266
210000,0.0,288.0,0.0,0.0436,277.7778,0.0833,-0.0,0.0002,0.0002,564.2814
220000,0.0,288.0,0.0,0.043,277.7778,0.0833,-0.0,0.0002,0.0003,565.5486
230000,0.0,288.0,0.0,0.0207,277.7778,0.0556,-0.0,0.0001,0.0003,563.2613
240000,0.0,288.0,0.0,0.0484,277.7778,0.0833,-0.0,0.0001,0.0004,563.2478
250000,0.0,288.0,0.0,0.0769,270.2703,0.1622,-0.0,0.0001,0.0004,563.0728
260000,0.0,288.0,0.0,0.0334,277.7778,0.0833,-0.0,0.0002,0.0003,561.0376
270000,0.0,288.0,0.0,0.027,285.7143,0.0857,-0.0,0.0002,0.0003,561.4386
280000,0.0,288.0,0.0,0.0049,285.7143,0.0286,-0.0,0.0002,0.0003,557.2648
290000,0.0,288.0,0.0,0.0174,285.7143,0.0571,-0.0001,0.0002,0.0003,553.1411
300000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0001,0.0004,559.0221
310000,0.0,288.0,0.0,0.0534,270.2703,0.1081,-0.0001,0.0001,0.0003,556.1994
320000,0.0,288.0,0.0,0.0387,285.7143,0.0857,-0.0001,0.0002,0.0003,558.206
330000,0.0,288.0,0.0,0.0281,277.7778,0.0556,-0.0001,0.0002,0.0003,557.1588
340000,0.0,288.0,0.0,0.0126,285.7143,0.0286,-0.0001,0.0002,0.0003,553.6506
350000,0.0,288.0,0.0,0.0486,277.7778,0.0833,-0.0001,0.0002,0.0003,555.6
360000,0.0,288.0,0.0,0.0875,263.1579,0.1316,-0.0001,0.0001,0.0003,554.0044
370000,0.0,288.0,0.0,0.0242,277.7778,0.0833,-0.0001,0.0001,0.0003,553.0767
