env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0496,277.7778,0.0556,0.0008,0.0006,579.5698
20000,0.0,288.0,0.0,0.0606,270.2703,0.0811,0.0003,0.0002,752.4698
30000,0.0,288.0,0.0,0.0877,263.1579,0.1842,0.0002,0.0005,753.3564
40000,0.0,288.0,0.0,0.0519,277.7778,0.0556,0.0002,0.0006,743.1137
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0006,744.3431
60000,0.0,288.0,0.0,0.0238,285.7143,0.0286,0.0002,0.0005,737.1388
70000,0.0703,268.7,0.1,0.0463,277.7778,0.1111,0.0002,0.0005,740.7608
80000,0.0,288.0,0.0,0.0601,270.2703,0.1622,0.0002,0.0006,735.6764
90000,0.0912,262.0,0.1,0.1011,263.1579,0.1842,0.0002,0.0006,735.5737
100000,0.0,288.0,0.0,0.0947,263.1579,0.2105,0.0002,0.0007,729.384
110000,0.0,288.0,0.0,0.1954,238.0952,0.3571,0.0002,0.0009,724.316
120000,0.0609,271.7,0.1,0.2739,212.766,0.4468,0.0002,0.0011,719.8723
130000,0.0872,263.3,0.1,0.2093,232.5581,0.3721,0.0003,0.0012,718.6572
140000,0.0891,262.7,0.1,0.31,204.0816,0.5306,0.0003,0.0014,717.1508
150000,0.0956,260.6,0.1,0.4379,175.4386,0.7544,0.0003,0.0018,711.1556
160000,0.0,288.0,0.0,0.3902,185.1852,0.7037,0.0004,0.0021,711.3809
170000,0.1819,236.2,0.2,0.4467,169.4915,0.7966,0.0005,0.0022,705.4667
180000,0.0866,263.5,0.1,0.4963,153.8462,0.8,0.0005,0.0022,704.323
190000,0.2916,207.5,0.4,0.6293,116.2791,0.9419,0.0006,0.0022,702.549
200000,0.1916,233.1,0.2,0.6097,123.4568,0.9259,0.0006,0.0023,698.405
210000,0.4984,147.7,0.6,0.6199,119.0476,0.9524,0.0006,0.0025,694.3612
220000,0.4637,155.6,0.5,0.6203,120.4819,0.9398,0.0007,0.0025,691.2531
230000,0.1712,239.6,0.2,0.7541,78.125,0.9922,0.0007,0.0024,691.2222
240000,0.8331,50.2,0.9,0.7686,74.6269,1.0,0.0008,0.0026,683.5804
250000,0.5472,132.1,0.6,0.7948,64.9351,1.0,0.0008,0.0027,681.5593
260000,0.9522,15.3,1.0,0.7985,64.5161,1.0,0.0009,0.0028,679.9154
270000,0.7438,75.6,0.8,0.8142,59.1716,0.9941,0.0009,0.0029,671.9563
280000,0.7766,68.3,0.9,0.8267,55.5556,1.0,0.0009,0.003,672.6984
290000,0.815,56.0,0.9,0.8483,48.5437,1.0,0.001,0.003,673.357
300000,0.7531,72.6,0.8,0.8449,49.505,1.0,0.001,0.0031,668.1247
310000,0.7431,75.8,0.8,0.8613,44.843,1.0,0.0011,0.003,666.5
320000,0.9391,19.5,1.0,0.856,45.6621,1.0,0.0011,0.003,662.4246
330000,0.6672,96.9,0.7,0.8576,45.6621,1.0,0.0011,0.0031,664.5947
340000,0.8203,54.3,0.9,0.8766,39.3701,1.0,0.0012,0.0031,663.1051
350000,0.9419,18.6,1.0,0.8841,37.1747,1.0,0.0012,0.0032,656.3084
360000,0.96,12.8,1.0,0.877,39.3701,1.0,0.0012,0.0032,655.4772
370000,0.9437,18.0,1.0,0.887,36.2319,1.0,0.0013,0.0032,658.0014
380000,0.9437,18.0,1.0,0.8871,35.9712,1.0,0.0013,0.0031,656.2927
390000,0.7694,67.4,0.8,0.8937,34.0136,1.0,0.0013,0.0031,651.8378
400000,0.6716,95.5,0.7,0.8967,33.1126,1.0,0.0013,0.0031,649.9108
410000,0.9313,22.0,1.0,0.9039,30.7692,1.0,0.0014,0.0032,646.5278
420000,0.8678,39.1,0.9,0.9032,30.9598,1.0,0.0014,0.0031,648.8863
430000,0.8603,41.5,0.9,0.909,29.2398,1.0,0.0014,0.0032,645.6107
440000,0.8578,42.3,0.9,0.9132,27.6243,1.0,0.0014,0.0031,642.4215
450000,0.7016,89.1,0.8,0.9134,27.7008,1.0,0.0015,0.0031,644.3464
460000,0.9634,11.7,1.0,0.9177,26.3852,1.0,0.0015,0.0032,643.5628
470000,0.8562,42.8,0.9,0.9122,28.0899,1.0,0.0015,0.0031,644.4027
480000,0.9587,13.2,1.0,0.9183,26.2467,1.0,0.0015,0.0031,642.595
490000,0.9625,12.0,1.0,0.9238,24.2718,1.0,0.0015,0.0031,642.0157
500000,0.8491,45.1,0.9,0.9224,24.8139,1.0,0.0016,0.0031,641.2129
510000,0.955,14.4,1.0,0.9285,22.8833,1.0,0.0016,0.0031,639.37
520000,0.9613,12.4,1.0,0.9301,22.4215,1.0,0.0016,0.0032,637.6372
530000,0.8675,39.2,0.9,0.9316,21.8818,1.0,0.0016,0.0032,639.6296
540000,0.9566,13.9,1.0,0.9324,21.645,1.0,0.0016,0.0033,637.2465
550000,0.9478,16.7,1.0,0.9358,20.5761,1.0,0.0016,0.0032,638.6975
560000,0.8941,33.9,1.0,0.9353,20.7039,1.0,0.0017,0.0032,635.4117
570000,0.9603,12.7,1.0,0.9344,21.0084,1.0,0.0017,0.0032,636.2678
580000,0.8628,40.7,0.9,0.9392,19.4553,1.0,0.0017,0.0032,637.4997
590000,0.9669,10.6,1.0,0.9369,20.1613,1.0,0.0017,0.0032,634.2641
600000,0.9672,10.5,1.0,0.9382,19.7628,1.0,0.0017,0.0031,638.6684
610000,0.9663,10.8,1.0,0.9417,18.6916,1.0,0.0017,0.0031,637.83
620000,0.9322,21.7,1.0,0.9427,18.315,1.0,0.0017,0.0031,633.6651
630000,0.9669,10.6,1.0,0.94,19.1939,1.0,0.0017,0.0031,631.6223
640000,0.9578,13.5,1.0,0.9417,18.6567,1.0,0.0017,0.0031,634.2496
650000,0.9631,11.8,1.0,0.943,18.2482,1.0,0.0018,0.0031,629.3224
660000,0.9669,10.6,1.0,0.9444,17.7936,1.0,0.0018,0.0031,630.2875
670000,0.8588,42.0,0.9,0.9462,17.2414,1.0,0.0018,0.0031,631.7417
680000,0.9647,11.3,1.0,0.9448,17.6678,1.0,0.0018,0.0031,629.0051
690000,0.9534,14.9,1.0,0.9458,17.331,1.0,0.0018,0.0031,626.0652
700000,0.9606,12.6,1.0,0.9469,16.9779,1.0,0.0018,0.0031,627.5658
710000,0.8806,38.2,1.0,0.9477,16.7785,1.0,0.0018,0.0031,628.3128
720000,0.9575,13.6,1.0,0.9486,16.4204,1.0,0.0018,0.003,626.9606
730000,0.9587,13.2,1.0,0.9505,15.8479,1.0,0.0018,0.003,627.1465
740000,0.9597,12.9,1.0,0.9473,16.8919,1.0,0.0018,0.003,625.0478
750000,0.9631,11.8,1.0,0.9495,16.129,1.0,0.0018,0.0031,623.3109
760000,0.8672,39.3,0.9,0.9497,16.1031,1.0,0.0018,0.0029,626.7482
770000,0.9662,10.8,1.0,0.9513,15.6006,1.0,0.0018,0.0029,625.5749
780000,0.9497,16.1,1.0,0.9514,15.5521,1.0,0.0018,0.0029,626.1347
790000,0.9616,12.3,1.0,0.953,15.0376,1.0,0.0018,0.0029,625.0618
800000,0.9653,11.1,1.0,0.9527,15.1286,1.0,0.0018,0.003,624.8937
810000,0.7706,67.0,0.8,0.9526,15.1745,1.0,0.0018,0.0028,623.0107
820000,0.9641,11.5,1.0,0.9545,14.5349,1.0,0.0018,0.0028,623.3092
830000,0.9669,10.6,1.0,0.9539,14.771,1.0,0.0018,0.0029,621.8578
840000,0.9609,12.5,1.0,0.9545,14.556,1.0,0.0018,0.0028,618.8908
850000,0.9641,11.5,1.0,0.9529,15.0602,1.0,0.0019,0.0028,619.8366
860000,0.9653,11.1,1.0,0.9553,14.2857,1.0,0.0019,0.0028,620.5938
870000,0.9456,17.4,1.0,0.954,14.7493,1.0,0.0019,0.0028,622.6305
880000,0.9634,11.7,1.0,0.9552,14.3472,1.0,0.0019,0.0027,618.7954
890000,0.9691,9.9,1.0,0.9553,14.2857,1.0,0.0019,0.0027,618.5544
900000,0.9587,13.2,1.0,0.9566,13.9082,1.0,0.0019,0.0027,618.2366
910000,0.9681,10.2,1.0,0.9569,13.7552,1.0,0.0019,0.0027,616.7764
920000,0.9597,12.9,1.0,0.9553,14.3062,1.0,0.0019,0.0027,617.496
930000,0.9663,10.8,1.0,0.9577,13.5501,1.0,0.0019,0.0027,614.4535
940000,0.9703,9.5,1.0,0.9568,13.8504,1.0,0.0019,0.0026,616.5254
950000,0.9563,14.0,1.0,0.9585,13.2979,1.0,0.0019,0.0027,613.6635
960000,0.9619,12.2,1.0,0.9574,13.6426,1.0,0.0019,0.0026,615.9882
970000,0.965,11.2,1.0,0.9584,13.2979,1.0,0.0019,0.0026,614.1998
980000,0.9638,11.6,1.0,0.9572,13.6799,1.0,0.0019,0.0026,613.7309
990000,0.9603,12.7,1.0,0.9569,13.8122,1.0,0.0019,0.0026,615.8842
1000000,0.9688,10.0,1.0,0.9581,13.4048,1.0,0.0019,0.0026,611.9016
1010000,0.97,9.6,1.0,0.9584,13.2979,1.0,0.0019,0.0025,612.4088
1020000,0.865,40.0,0.9,0.9593,13.0378,1.0,0.0019,0.0025,609.4481
1030000,0.9716,9.1,1.0,0.959,13.089,1.0,0.0019,0.0025,613.5996
1040000,0.9584,13.3,1.0,0.9596,12.9366,1.0,0.0019,0.0025,609.587
1050000,0.9678,10.3,1.0,0.9588,13.21,1.0,0.0019,0.0025,613.4059
1060000,0.9688,10.0,1.0,0.96,12.8041,1.0,0.0019,0.0025,613.4047
1070000,0.9666,10.7,1.0,0.9606,12.6103,1.0,0.0019,0.0024,612.4945
1080000,0.8928,34.3,1.0,0.961,12.4844,1.0,0.0019,0.0024,613.1618
1090000,0.9675,10.4,1.0,0.9596,12.9032,1.0,0.0019,0.0024,609.6696
1100000,0.8631,40.6,0.9,0.9596,12.9534,1.0,0.0019,0.0024,613.2866
1110000,0.9578,13.5,1.0,0.9611,12.4224,1.0,0.0019,0.0024,609.2873
1120000,0.8681,39.0,0.9,0.9604,12.6582,1.0,0.0019,0.0024,610.6074
1130000,0.9578,13.5,1.0,0.9612,12.4224,1.0,0.0019,0.0023,612.5825
1140000,0.9653,11.1,1.0,0.9612,12.4069,1.0,0.0019,0.0023,605.3357
1150000,0.9697,9.7,1.0,0.9612,12.4224,1.0,0.0019,0.0024,608.4155
1160000,0.9697,9.7,1.0,0.9612,12.4224,1.0,0.0019,0.0023,607.1613
1170000,0.9731,8.6,1.0,0.9612,12.4224,1.0,0.0019,0.0023,605.8493
1180000,0.965,11.2,1.0,0.962,12.1507,1.0,0.0019,0.0022,607.6625
1190000,0.9631,11.8,1.0,0.9611,12.4533,1.0,0.0019,0.0023,605.23
1200000,0.96,12.8,1.0,0.961,12.4688,1.0,0.0019,0.0023,605.4483
1210000,0.9669,10.6,1.0,0.9624,12.0337,1.0,0.0019,0.0022,601.0062
1220000,0.9688,10.0,1.0,0.9609,12.5156,1.0,0.0019,0.0022,599.7078
1230000,0.9609,12.5,1.0,0.9622,12.0773,1.0,0.0019,0.0022,603.4204
1240000,0.9666,10.7,1.0,0.9621,12.1212,1.0,0.0019,0.0022,602.9787
1250000,0.9625,12.0,1.0,0.9623,12.0773,1.0,0.0019,0.0022,600.8857
1260000,0.9691,9.9,1.0,0.9625,11.9904,1.0,0.0019,0.0022,598.8421
1270000,0.9606,12.6,1.0,0.9633,11.7371,1.0,0.0019,0.0021,598.3291
1280000,0.9688,10.0,1.0,0.9629,11.8765,1.0,0.0019,0.0021,596.944
1290000,0.9684,10.1,1.0,0.9626,11.9617,1.0,0.0019,0.0021,596.3691
1300000,0.9672,10.5,1.0,0.963,11.8343,1.0,0.0019,0.0021,593.2436
1310000,0.9669,10.6,1.0,0.9626,11.976,1.0,0.0019,0.0021,594.9719
1320000,0.9638,11.6,1.0,0.9626,11.9617,1.0,0.0019,0.0021,596.2083
1330000,0.9684,10.1,1.0,0.9631,11.8203,1.0,0.0019,0.0021,595.0895
1340000,0.9688,10.0,1.0,0.963,11.8483,1.0,0.0019,0.002,594.0533
1350000,0.9662,10.8,1.0,0.9637,11.6144,1.0,0.0019,0.0021,593.8015
1360000,0.97,9.6,1.0,0.9631,11.8343,1.0,0.0019,0.002,592.7981
1370000,0.9669,10.6,1.0,0.9632,11.7786,1.0,0.0019,0.002,593.8985
1380000,0.9709,9.3,1.0,0.9628,11.9048,1.0,0.0019,0.002,590.9487
1390000,0.9491,16.3,1.0,0.9636,11.6414,1.0,0.0019,0.002,593.4081
1400000,0.9675,10.4,1.0,0.9629,11.8624,1.0,0.0019,0.002,590.4327
1410000,0.9666,10.7,1.0,0.9636,11.6414,1.0,0.0019,0.002,590.5892
1420000,0.9678,10.3,1.0,0.963,11.8483,1.0,0.0019,0.0019,591.5095
1430000,0.9659,10.9,1.0,0.9645,11.3507,1.0,0.0019,0.0019,590.4279
1440000,0.9653,11.1,1.0,0.9639,11.5473,1.0,0.0019,0.0019,591.724
1450000,0.9638,11.6,1.0,0.9636,11.6414,1.0,0.0019,0.0019,592.8503
1460000,0.9709,9.3,1.0,0.9633,11.7371,1.0,0.0018,0.0019,587.4967
1470000,0.9563,14.0,1.0,0.9639,11.534,1.0,0.0018,0.0019,591.9968
1480000,0.9703,9.5,1.0,0.964,11.534,1.0,0.0018,0.0018,593.0915
1490000,0.97,9.6,1.0,0.9637,11.6144,1.0,0.0018,0.0019,589.8511
1500000,0.9669,10.6,1.0,0.9646,11.3379,1.0,0.0018,0.0018,589.8006
1510000,0.9628,11.9,1.0,0.9642,11.4679,1.0,0.0018,0.0018,588.2807
1520000,0.9681,10.2,1.0,0.9645,11.3379,1.0,0.0018,0.0018,586.6297
1530000,0.9688,10.0,1.0,0.9634,11.7233,1.0,0.0018,0.0018,584.4844
1540000,0.9709,9.3,1.0,0.9648,11.274,1.0,0.0018,0.0018,585.0799
1550000,0.97,9.6,1.0,0.9646,11.325,1.0,0.0018,0.0018,585.7338
