env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0009,0.0006,599.5986
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,755.5406
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0,754.7372
40000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0002,0.0,756.1008
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0001,0.0,750.2104
60000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0,739.0577
70000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0,740.8
80000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0003,0.0,739.8609
90000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,741.7158
100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,729.7318
110000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,739.9447
120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,737.9746
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,731.1327
140000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,726.7709
150000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,727.3723
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,724.4061
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,725.0705
180000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,721.7248
190000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,718.5611
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,713.4434
210000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,715.3364
220000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,720.3342
230000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,713.3087
240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,718.3809
250000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,714.8959
260000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,710.635
270000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,713.1412
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,707.3572
290000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,710.6953
300000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,708.8899
310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,706.116
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,702.8965
330000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,706.4969
340000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,703.4294
350000,0.0,288.0,0.0,0.008,285.7143,0.0286,0.0007,0.0,699.2549
360000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,703.7054
370000,0.0,288.0,0.0,0.0137,285.7143,0.0286,0.0007,0.0,701.9155
380000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,702.2452
390000,0.0,288.0,0.0,0.004,294.1176,0.0294,0.0007,0.0,701.366
400000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,699.3735
410000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,697.0925
420000,0.0,288.0,0.0,0.0084,285.7143,0.0286,0.0008,0.0,694.4723
430000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0008,0.0,697.3867
440000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,695.9121
450000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,693.553
460000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,689.0094
470000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0008,0.0,688.6875
480000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,688.3356
490000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,687.3606
500000,0.0,288.0,0.0,0.0063,285.7143,0.0286,0.0008,0.0,688.3299
510000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0008,0.0,684.9748
520000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,686.7454
530000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,685.1935
540000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,684.7843
550000,0.0,288.0,0.0,0.0101,285.7143,0.0286,0.0008,0.0,683.394
560000,0.0,288.0,0.0,0.0084,294.1176,0.0294,0.0008,0.0,684.4622
570000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0008,0.0,687.3538
580000,0.0,288.0,0.0,0.0096,285.7143,0.0286,0.0008,0.0,684.5927
