env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.0,144.0,0.0,-0.9926,6.6138,0.004,0.0805,0.0048,419.3566
20000,0.1388,125.0,0.2,-0.9924,6.6845,0.004,0.0819,0.0018,875.918
30000,0.7706,35.1,0.9,-0.9949,6.7114,0.0027,0.089,0.0026,876.9857
40000,0.8444,24.9,1.0,-0.9835,7.2993,0.0088,0.0902,0.0033,870.8434
50000,0.8413,25.4,1.0,-0.9878,7.1429,0.0064,0.0885,0.004,872.1036
60000,0.9006,15.9,1.0,-0.9828,7.6336,0.0092,0.0899,0.0041,869.6186
70000,0.9163,13.4,1.0,-0.9844,7.5415,0.0083,0.0909,0.0043,859.9294
80000,0.7681,37.1,1.0,-0.9791,7.8927,0.011,0.0912,0.0045,858.3296
90000,0.8781,19.5,1.0,-0.9684,7.9554,0.0167,0.0919,0.0047,859.6353
100000,0.7775,35.6,1.0,-0.9589,8.3264,0.0216,0.0914,0.0053,858.6112
110000,0.8294,27.3,1.0,-0.9588,8.3752,0.0218,0.0908,0.0054,853.943
120000,0.8819,18.9,1.0,-0.9596,8.6059,0.0215,0.0912,0.0048,853.1622
130000,0.8863,18.2,1.0,-0.9626,8.6505,0.0199,0.0901,0.0043,846.3513
140000,0.8663,21.4,1.0,-0.9472,8.8183,0.0282,0.0904,0.0038,843.2659
150000,0.8725,20.4,1.0,-0.9375,8.7566,0.0333,0.0911,0.0044,846.0382
160000,0.8669,21.3,1.0,-0.9469,9.1575,0.0284,0.0906,0.0049,842.4581
170000,0.8794,19.3,1.0,-0.9232,9.2851,0.0409,0.0906,0.0053,836.889
180000,0.89,17.6,1.0,-0.9071,9.4429,0.0491,0.0902,0.0043,834.6205
190000,0.8631,21.9,1.0,-0.8797,9.8039,0.0637,0.0914,0.0042,834.9823
200000,0.9263,11.8,1.0,-0.8696,9.9602,0.0697,0.0909,0.004,831.3087
210000,0.8812,19.0,1.0,-0.8417,10.0301,0.0843,0.0908,0.0035,829.0002
220000,0.9131,13.9,1.0,-0.8488,10.395,0.08,0.0905,0.0036,828.8776
230000,0.8669,21.3,1.0,-0.8395,10.1937,0.0846,0.0905,0.0038,820.4989
240000,0.8844,18.5,1.0,-0.8102,10.5263,0.1011,0.0896,0.0038,822.3717
250000,0.8694,20.9,1.0,-0.7999,10.7296,0.1062,0.09,0.0039,824.6966
260000,0.8962,16.6,1.0,-0.8056,10.1937,0.103,0.0901,0.0039,815.9968
270000,0.9419,9.3,1.0,-0.7906,10.2987,0.1112,0.0894,0.0036,811.9478
280000,0.9,16.0,1.0,-0.7948,10.352,0.1087,0.0905,0.0034,813.5634
290000,0.8825,18.8,1.0,-0.7693,10.6952,0.123,0.0894,0.0038,813.533
300000,0.9287,11.4,1.0,-0.7248,11.236,0.1461,0.0892,0.0042,809.5251
310000,0.9256,11.9,1.0,-0.6948,11.0619,0.1626,0.0894,0.0034,810.7843
320000,0.9056,15.1,1.0,-0.6968,11.2486,0.1609,0.0891,0.0036,806.8509
330000,0.91,14.4,1.0,-0.6517,11.5207,0.1843,0.0885,0.0026,805.1992
340000,0.9175,13.2,1.0,-0.5958,11.325,0.214,0.0879,0.0024,807.2187
350000,0.9062,15.0,1.0,-0.5913,11.7786,0.2155,0.0877,0.0023,802.208
360000,0.9206,12.7,1.0,-0.5473,11.5607,0.2393,0.0879,0.0022,800.7668
370000,0.9119,14.1,1.0,-0.5414,11.0742,0.2425,0.0882,0.0023,801.1052
380000,0.9219,12.5,1.0,-0.5185,11.325,0.2548,0.0881,0.0021,803.7645
390000,0.9381,9.9,1.0,-0.5218,10.8814,0.2524,0.0873,0.0022,801.745
400000,0.9262,11.8,1.0,-0.468,11.4811,0.2813,0.0873,0.0022,800.3572
410000,0.9188,13.0,1.0,-0.4542,11.3507,0.2883,0.088,0.0021,797.0556
420000,0.9287,11.4,1.0,-0.4156,12.1212,0.3091,0.0871,0.0021,797.5804
430000,0.9094,14.5,1.0,-0.4162,12.1065,0.3087,0.0864,0.0021,796.0611
440000,0.9163,13.4,1.0,-0.3242,11.534,0.3564,0.0863,0.0021,789.2891
450000,0.9225,12.4,1.0,-0.3195,11.8343,0.3598,0.0867,0.0021,793.074
460000,0.9125,14.0,1.0,-0.3618,12.1212,0.337,0.0867,0.002,786.8153
470000,0.8663,21.4,1.0,-0.3368,12.3457,0.3506,0.0854,0.002,789.3034
480000,0.9181,13.1,1.0,-0.2739,11.7233,0.3822,0.086,0.002,786.8334
490000,0.8975,16.4,1.0,-0.2749,12.2699,0.3828,0.0855,0.002,787.4376
500000,0.9119,14.1,1.0,-0.2946,12.7065,0.3723,0.0857,0.002,788.0972
510000,0.9062,15.0,1.0,-0.2401,12.1507,0.401,0.0847,0.0019,785.9745
520000,0.9156,13.5,1.0,-0.226,12.3457,0.4074,0.0847,0.0019,781.2534
