env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.0,144.0,0.0,-0.9937,6.68,0.0033,0.0009,0.0051,427.9451
20000,0.0,144.0,0.0,-0.9927,6.4851,0.0039,0.0007,0.0011,684.8978
30000,0.5138,76.2,0.9,-0.9961,6.9061,0.0021,0.0005,0.0036,685.5037
40000,0.7419,41.3,1.0,-0.9882,6.8776,0.0062,0.0003,0.0025,683.9125
50000,0.25,112.0,0.5,-0.9907,7.2202,0.0051,0.0002,0.0022,681.5412
60000,0.8869,18.1,1.0,-0.9886,7.4906,0.006,0.0002,0.0018,681.1602
70000,0.8906,17.5,1.0,-0.9888,7.4738,0.006,0.0002,0.0033,680.9152
80000,0.1144,130.5,0.3,-0.9902,7.657,0.0054,0.0002,0.0023,677.0085
90000,0.88,19.2,1.0,-0.9792,7.874,0.011,0.0001,0.002,674.1788
100000,0.7531,39.5,1.0,-0.9693,8.1367,0.0163,0.0002,0.0052,672.8162
110000,0.855,23.2,1.0,-0.9695,8.0775,0.0162,0.0006,0.0028,671.0376
120000,0.895,16.8,1.0,-0.9568,8.5106,0.023,0.0004,0.0037,669.9835
130000,0.8869,18.1,1.0,-0.9424,9.009,0.0306,0.0004,0.004,669.0663
140000,0.9269,11.7,1.0,-0.917,8.7642,0.0438,0.0004,0.0038,666.8197
150000,0.9187,13.0,1.0,-0.9179,8.7489,0.0437,0.0004,0.0031,664.3193
160000,0.9081,14.7,1.0,-0.8864,9.2421,0.0601,0.0004,0.0024,663.5903
170000,0.9037,15.4,1.0,-0.8526,9.5511,0.0783,0.0005,0.002,661.261
180000,0.9225,12.4,1.0,-0.8581,9.7371,0.075,0.0005,0.0018,659.3426
190000,0.9069,14.9,1.0,-0.8519,9.5785,0.0785,0.0005,0.0017,659.7461
200000,0.9144,13.7,1.0,-0.8326,9.8814,0.0889,0.0005,0.0016,657.5017
210000,0.9338,10.6,1.0,-0.8292,9.8912,0.091,0.0005,0.002,656.6576
