env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,,
10000,0.0,144.0,0.0,-0.9961,6.8353,0.0021,-2.0173,4.9961,0.0187,112.1755
20000,0.0,144.0,0.0,-0.9951,6.5232,0.0026,-2.1263,5.3895,0.0049,534.0422
30000,0.0,144.0,0.0,-0.9938,6.5488,0.0033,-2.1634,5.5365,0.0046,534.7778
40000,0.0,144.0,0.0,-0.9973,7.0373,0.0014,-2.1908,5.6317,0.0039,535.3055
50000,0.0,144.0,0.0,-0.9907,7.0472,0.0049,-2.2108,5.6958,0.0039,531.0519
60000,0.0,144.0,0.0,-0.9973,7.0323,0.0014,-2.2283,5.75,0.0036,528.5906
70000,0.1038,130.6,0.2,-0.9973,7.6336,0.0015,-2.2452,5.8043,0.0031,530.6358
80000,0.5262,75.8,1.0,-0.9943,7.657,0.0031,-2.2586,5.8491,0.0028,527.15
90000,0.6787,49.8,0.9,-0.9912,7.9302,0.0048,-2.2735,5.9017,0.0029,525.4252
100000,0.0787,134.6,0.2,-0.9865,8.0128,0.0072,-2.2821,5.9268,0.0035,522.2815
110000,0.2963,104.6,0.5,-0.9829,8.1367,0.009,-2.2925,5.9571,0.0043,518.0372
120000,0.7394,41.7,1.0,-0.9794,8.4531,0.011,-2.3009,5.9844,0.0041,516.4453
130000,0.7488,40.2,1.0,-0.9669,8.8261,0.0177,-2.31,6.0101,0.0043,516.0505
140000,0.6531,53.9,0.9,-0.9709,8.6207,0.0155,-2.3169,6.0296,0.0049,513.8521
150000,0.6913,49.4,1.0,-0.9752,9.542,0.0134,-2.3237,6.0499,0.0048,512.827
160000,0.6731,52.3,1.0,-0.9673,9.2336,0.0175,-2.3301,6.0674,0.0044,510.8205
170000,0.7944,32.9,1.0,-0.9526,9.6246,0.025,-2.3359,6.0849,0.0045,508.7198
180000,0.7169,45.3,1.0,-0.9405,9.9108,0.0317,-2.3416,6.1021,0.0046,507.5121
190000,0.5094,75.3,0.8,-0.9385,9.9404,0.0328,-2.3468,6.1192,0.0048,506.0609
200000,0.6731,52.3,1.0,-0.9694,9.6246,0.0164,-2.3511,6.1298,0.0045,503.5001
210000,0.59,65.6,1.0,-0.9199,10.2564,0.0431,-2.3559,6.1453,0.0046,502.1799
220000,0.6137,61.8,1.0,-0.9092,10.2987,0.0484,-2.3595,6.1562,0.0046,502.195
230000,0.5856,66.3,1.0,-0.9056,10.5152,0.0505,-2.364,6.1676,0.0045,500.7959
240000,0.7475,40.4,1.0,-0.9022,11.1111,0.0522,-2.3672,6.1776,0.0047,498.2961
250000,0.8369,26.1,1.0,-0.8954,10.7643,0.056,-2.371,6.1851,0.0047,496.1767
260000,0.8244,28.1,1.0,-0.8901,10.7875,0.0583,-2.3749,6.1977,0.0046,495.5223
270000,0.7787,35.4,1.0,-0.8939,10.8814,0.0566,-2.3783,6.209,0.0046,494.1692
280000,0.8206,28.7,1.0,-0.8381,11.0375,0.0861,-2.3821,6.2206,0.0048,493.3887
290000,0.7288,43.4,1.0,-0.8371,12.3762,0.0879,-2.385,6.2289,0.0048,492.6024
300000,0.7606,38.3,1.0,-0.8348,12.1359,0.0886,-2.3866,6.2361,0.0046,490.1463
310000,0.8344,26.5,1.0,-0.8332,12.0627,0.0893,-2.3894,6.2388,0.0047,491.8762
320000,0.8588,22.6,1.0,-0.8172,12.3916,0.0979,-2.393,6.2534,0.0046,489.8541
330000,0.5031,77.9,0.9,-0.7776,12.2699,0.119,-2.3938,6.2532,0.0046,489.6779
340000,0.8012,31.8,1.0,-0.8021,13.089,0.106,-2.3966,6.2573,0.0046,487.3452
350000,0.8806,19.1,1.0,-0.8124,13.369,0.1003,-2.4002,6.271,0.0045,486.5406
360000,0.8175,29.2,1.0,-0.719,12.4378,0.1493,-2.4017,6.2756,0.0046,485.2731
370000,0.8675,21.2,1.0,-0.7348,13.5501,0.1423,-2.4034,6.2792,0.0046,484.0309
380000,0.91,14.4,1.0,-0.6976,12.9534,0.1619,-2.406,6.2866,0.0046,482.9121
390000,0.9012,15.8,1.0,-0.7044,13.8504,0.1579,-2.4083,6.2936,0.0044,482.6076
400000,0.8088,30.6,1.0,-0.6663,13.8889,0.1792,-2.4095,6.2957,0.0044,481.7121
410000,0.8544,23.3,1.0,-0.6745,14.3472,0.175,-2.4116,6.3024,0.0044,481.7967
420000,0.8531,23.5,1.0,-0.6691,13.9082,0.1766,-2.4134,6.3045,0.0043,480.5176
430000,0.8637,21.8,1.0,-0.5943,13.624,0.2166,-2.4155,6.3131,0.0045,481.4078
440000,0.7969,32.5,1.0,-0.6487,14.3885,0.1885,-2.4153,6.3102,0.0043,478.0968
450000,0.895,16.8,1.0,-0.5698,14.245,0.2293,-2.418,6.3183,0.004,477.1308
460000,0.785,34.4,1.0,-0.5661,14.6199,0.2325,-2.4191,6.3195,0.0041,478.0462
470000,0.8244,28.1,1.0,-0.5195,13.8504,0.2562,-2.4211,6.3262,0.0041,476.2823
480000,0.8869,18.1,1.0,-0.5516,14.9477,0.2407,-2.4224,6.3297,0.004,476.7215
490000,0.9056,15.1,1.0,-0.5652,15.3846,0.2323,-2.4237,6.3332,0.0042,474.9468
500000,0.8519,23.7,1.0,-0.4809,14.881,0.2783,-2.4253,6.3369,0.004,474.9277
510000,0.805,31.2,1.0,-0.4564,15.3139,0.291,-2.4271,6.3439,0.0039,480.2138
520000,0.8588,22.6,1.0,-0.4432,15.5039,0.2977,-2.4261,6.3375,0.0039,479.279
530000,0.8019,31.7,1.0,-0.3608,15.2439,0.3415,-2.4291,6.3483,0.0039,476.6064
540000,0.8781,19.5,1.0,-0.3256,16.0256,0.3606,-2.4296,6.3478,0.0038,469.1109
550000,0.9075,14.8,1.0,-0.3655,14.6628,0.3372,-2.4321,6.3576,0.0038,469.9041
560000,0.88,19.2,1.0,-0.3445,15.8983,0.3514,-2.4317,6.3535,0.0037,469.1696
570000,0.9044,15.3,1.0,-0.3134,14.2045,0.3651,-2.4321,6.3546,0.0036,468.2323
580000,0.8819,18.9,1.0,-0.2076,16.1812,0.4223,-2.4335,6.3587,0.0036,466.3383
590000,0.8819,18.9,1.0,-0.2271,15.625,0.4109,-2.4344,6.3601,0.0035,467.2158
600000,0.8656,21.5,1.0,-0.1732,15.8228,0.4399,-2.4357,6.3641,0.0036,466.5169
610000,0.8875,18.0,1.0,-0.2144,15.0376,0.418,-2.4368,6.3668,0.0035,466.0356
620000,0.8594,22.5,1.0,-0.1507,15.1057,0.4502,-2.4379,6.3698,0.0034,466.1134
630000,0.9094,14.5,1.0,-0.1129,13.986,0.4699,-2.4397,6.3768,0.0034,466.0589
640000,0.8656,21.5,1.0,-0.1797,15.625,0.4359,-2.4385,6.3685,0.0034,464.68
650000,0.9294,11.3,1.0,-0.1395,14.9254,0.4567,-2.4416,6.3819,0.0035,465.7792
660000,0.8875,18.0,1.0,-0.1489,14.7059,0.4515,-2.4404,6.3761,0.0034,465.0211
670000,0.8244,28.1,1.0,-0.068,15.1057,0.494,-2.4414,6.3787,0.0034,464.293
680000,0.8862,18.2,1.0,-0.0936,14.9477,0.4798,-2.4425,6.3818,0.0034,462.9756
690000,0.89,17.6,1.0,-0.0988,14.771,0.4771,-2.4438,6.3868,0.0033,463.3141
700000,0.8794,19.3,1.0,-0.0678,14.9925,0.4933,-2.4432,6.3791,0.0034,460.3643
710000,0.9062,15.0,1.0,-0.0888,15.0602,0.4834,-2.4449,6.3863,0.0033,460.9595
720000,0.9231,12.3,1.0,0.0012,15.2672,0.5313,-2.4456,6.3876,0.0032,461.9379
730000,0.8919,17.3,1.0,0.0286,14.7059,0.5441,-2.447,6.3925,0.0032,462.084
740000,0.8931,17.1,1.0,0.0396,15.1057,0.5498,-2.4465,6.3884,0.0032,462.0206
750000,0.8375,26.0,1.0,0.0381,15.2207,0.5495,-2.4479,6.3946,0.0032,461.1137
760000,0.9019,15.7,1.0,0.0179,15.0602,0.5392,-2.4486,6.3943,0.0031,460.2546
770000,0.8806,19.1,1.0,0.0958,14.8588,0.5795,-2.4494,6.3991,0.0031,460.2044
780000,0.8944,16.9,1.0,0.0567,14.0845,0.5577,-2.4492,6.3951,0.0032,459.542
790000,0.8906,17.5,1.0,0.1065,15.1976,0.5866,-2.4511,6.4037,0.0031,458.8262
800000,0.8775,19.6,1.0,0.0531,14.6843,0.5565,-2.4501,6.3974,0.0029,459.4329
810000,0.8981,16.3,1.0,0.1124,14.7493,0.5885,-2.4523,6.4054,0.0029,459.2831
820000,0.8969,16.5,1.0,0.2054,14.881,0.6369,-2.4521,6.4035,0.003,456.6017
830000,0.8794,19.3,1.0,0.1642,15.4321,0.6157,-2.4522,6.4035,0.0029,458.369
840000,0.8869,18.1,1.0,0.2193,14.9925,0.6432,-2.4531,6.4052,0.0029,458.6144
850000,0.8938,17.0,1.0,0.1688,15.015,0.6186,-2.4538,6.4082,0.0028,457.9938
860000,0.8587,22.6,1.0,0.2049,15.2207,0.6362,-2.4536,6.4052,0.0028,456.3923
870000,0.9075,14.8,1.0,0.1841,14.4928,0.6246,-2.455,6.4124,0.0028,456.0804
880000,0.8463,24.6,1.0,0.2649,15.3846,0.6692,-2.4552,6.411,0.0027,454.1086
890000,0.9044,15.3,1.0,0.2662,15.015,0.6682,-2.4564,6.4157,0.0027,456.2422
