env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,-1.0,2.6,0.0,,,,,,
10000,0.0137,143.4,0.1,-0.9963,6.5488,0.002,1.17,0.0063,395.0449
20000,0.7325,41.2,0.9,-0.9949,6.7981,0.0027,0.544,0.0012,675.8191
30000,0.4562,82.2,0.7,-0.9924,6.8353,0.0041,0.3694,0.0016,674.6689
40000,0.8875,18.0,1.0,-0.9877,7.2464,0.0065,0.322,0.0026,666.9315
50000,0.7819,34.9,1.0,-0.9919,7.326,0.0044,0.2973,0.0028,670.2063
60000,0.7844,34.5,1.0,-0.9859,7.5188,0.0075,0.2879,0.0027,661.8279
70000,0.7937,33.0,1.0,-0.9858,7.6923,0.0077,0.2817,0.0028,662.3992
80000,0.8619,22.1,1.0,-0.9742,8.0321,0.0137,0.2769,0.0028,661.1665
90000,0.8675,21.2,1.0,-0.9685,7.9745,0.0167,0.2739,0.0027,662.2741
100000,0.8938,17.0,1.0,-0.9784,8.2372,0.0115,0.2714,0.0024,658.6549
110000,0.9356,10.3,1.0,-0.9509,8.673,0.026,0.2694,0.0023,657.5611
120000,0.84,25.6,1.0,-0.9471,8.5616,0.0283,0.2678,0.0022,656.8914
130000,0.8919,17.3,1.0,-0.9439,8.8339,0.03,0.2672,0.002,650.5549
140000,0.9169,13.3,1.0,-0.9422,9.058,0.0308,0.2669,0.0019,652.3717
150000,0.8863,18.2,1.0,-0.9184,8.8652,0.0434,0.2667,0.0018,650.6584
160000,0.905,15.2,1.0,-0.9157,9.1827,0.045,0.2666,0.0017,647.081
170000,0.91,14.4,1.0,-0.8878,9.8232,0.0599,0.2665,0.0017,649.4115
180000,0.9275,11.6,1.0,-0.8676,9.6061,0.0701,0.2666,0.0017,647.184
190000,0.9125,14.0,1.0,-0.8294,10.2145,0.0909,0.267,0.0017,644.543
200000,0.9281,11.5,1.0,-0.8064,9.99,0.1029,0.2674,0.0016,642.5859
210000,0.9175,13.2,1.0,-0.7862,9.9701,0.1137,0.2678,0.0016,642.28
220000,0.9175,13.2,1.0,-0.7869,10.101,0.1131,0.2682,0.0015,640.4395
230000,0.9119,14.1,1.0,-0.7543,10.2354,0.13,0.2682,0.0015,641.3483
240000,0.8987,16.2,1.0,-0.7097,10.3842,0.1537,0.2688,0.0015,641.6003
250000,0.9181,13.1,1.0,-0.7116,10.5932,0.1525,0.2688,0.0014,634.988
260000,0.9231,12.3,1.0,-0.741,10.2145,0.1369,0.2692,0.0014,637.9915
270000,0.9225,12.4,1.0,-0.69,10.1215,0.164,0.2696,0.0013,635.2257
280000,0.9275,11.6,1.0,-0.7039,10.3306,0.157,0.2701,0.0013,634.5906
290000,0.9244,12.1,1.0,-0.6785,10.1729,0.1699,0.2701,0.0013,634.4324
300000,0.9244,12.1,1.0,-0.606,10.7411,0.2084,0.2705,0.0013,630.0418
310000,0.9156,13.5,1.0,-0.6136,10.6496,0.2045,0.2711,0.0013,632.2528
320000,0.92,12.8,1.0,-0.577,11.3122,0.224,0.271,0.0012,632.0191
330000,0.915,13.6,1.0,-0.5616,11.1359,0.2316,0.2712,0.0012,629.9515
340000,0.9131,13.9,1.0,-0.4745,11.2108,0.278,0.2716,0.0012,639.2425
350000,0.9125,14.0,1.0,-0.4526,11.274,0.2886,0.272,0.0012,639.041
360000,0.9237,12.2,1.0,-0.4835,11.1982,0.2721,0.2723,0.0012,640.0059
370000,0.9187,13.0,1.0,-0.4053,11.2108,0.3139,0.2725,0.0012,638.0901
380000,0.9188,13.0,1.0,-0.3983,11.5875,0.3175,0.2728,0.0012,628.664
390000,0.905,15.2,1.0,-0.4258,11.0988,0.303,0.2729,0.0012,625.5424
400000,0.9181,13.1,1.0,-0.3696,11.4155,0.3322,0.2732,0.0011,625.0798
410000,0.9187,13.0,1.0,-0.3797,11.5207,0.3272,0.2733,0.0011,626.2566
420000,0.9181,13.1,1.0,-0.3299,11.3507,0.353,0.2735,0.0011,622.1104
430000,0.9175,13.2,1.0,-0.2784,11.274,0.3799,0.2739,0.0011,623.5515
440000,0.9281,11.5,1.0,-0.2936,11.5607,0.3723,0.2739,0.0011,621.1102
450000,0.9306,11.1,1.0,-0.2577,11.5741,0.3912,0.2744,0.0011,618.028
460000,0.9275,11.6,1.0,-0.2669,11.6144,0.3856,0.2743,0.0011,619.0214
470000,0.9238,12.2,1.0,-0.1887,12.0337,0.4272,0.2744,0.0011,618.4769
480000,0.9331,10.7,1.0,-0.2565,11.6686,0.3909,0.2751,0.0011,619.18
