env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,-1.0,88.4,0.0,,,,,,,
10000,0.0,256.0,0.0,-0.9983,9.3371,0.0009,-0.0266,0.0477,0.0077,128.4105
20000,0.3743,166.6,0.6,-0.9948,9.1659,0.0027,-0.0305,0.0432,0.0011,651.9556
30000,0.1313,193.9,0.4,-0.9982,9.3721,0.0009,-0.0372,0.0449,0.0035,648.272
40000,0.2189,205.1,0.4,-0.9981,9.7276,0.001,-0.054,0.0446,0.0013,647.6028
50000,0.078,239.5,0.2,-0.9964,9.7182,0.0019,-0.0793,0.0373,0.0009,645.1525
60000,0.5474,125.9,0.9,-0.9982,9.6525,0.001,-0.0833,0.038,0.001,641.9221
70000,0.2868,191.5,0.6,-0.9909,9.8135,0.0049,-0.0825,0.0376,0.0008,639.6866
80000,0.3309,181.8,0.7,-0.9926,9.9701,0.004,-0.0882,0.0381,0.0011,638.6147
90000,0.7588,68.6,1.0,-0.9884,10.2564,0.0062,-0.0889,0.0394,0.0014,638.3144
100000,0.4602,150.7,0.9,-0.9979,11.2108,0.0011,-0.0942,0.0409,0.0014,637.9002
110000,0.0806,241.6,0.3,-0.9935,11.6279,0.0035,-0.0992,0.0436,0.0014,635.8759
120000,0.1116,232.8,0.3,-0.9895,11.1857,0.0056,-0.0966,0.0445,0.0013,635.1857
130000,0.8748,35.6,1.0,-0.9935,11.6414,0.0035,-0.085,0.0444,0.0018,639.0057
140000,0.5098,130.9,0.7,-0.9866,11.7647,0.0071,-0.0819,0.0434,0.0015,629.9426
150000,0.0,256.0,0.0,-0.9784,12.7389,0.0115,-0.0972,0.0455,0.0014,629.8445
160000,0.904,27.3,1.0,-0.9775,11.9048,0.0119,-0.1063,0.0485,0.0013,629.2588
170000,0.2685,196.7,0.6,-0.9809,12.6422,0.0101,-0.1222,0.0486,0.0013,629.2065
180000,0.6312,104.9,1.0,-0.9851,13.0378,0.0078,-0.1784,0.0493,0.0012,627.8552
190000,0.8239,50.1,1.0,-0.9796,13.4228,0.0107,-0.1975,0.0505,0.0014,626.2514
200000,0.8365,46.5,1.0,-0.9706,14.3062,0.0157,-0.2205,0.0511,0.0015,627.4638
210000,0.8871,32.1,1.0,-0.9606,14.0252,0.021,-0.2333,0.0521,0.0016,625.4991
220000,0.634,104.1,1.0,-0.9725,13.1579,0.0145,-0.2201,0.0528,0.0021,621.9248
230000,0.7409,73.7,1.0,-0.9523,14.245,0.0256,-0.2267,0.0543,0.002,624.916
240000,0.1119,232.7,0.3,-0.9629,15.1057,0.0196,-0.2427,0.0549,0.0021,622.0408
250000,0.8639,38.7,1.0,-0.9663,14.9031,0.0179,-0.2454,0.0553,0.0022,620.3361
260000,0.0,256.0,0.0,-0.9528,14.0449,0.0253,-0.2335,0.0561,0.0031,619.4131
270000,0.71,82.5,1.0,-0.9567,15.3374,0.023,-0.2194,0.0576,0.0028,621.2579
280000,0.1845,214.9,0.4,-0.9275,17.6056,0.0387,-0.2137,0.0584,0.0029,619.0695
290000,0.8988,28.8,1.0,-0.9315,17.3611,0.0365,-0.2492,0.0582,0.0029,619.451
300000,0.1755,214.6,0.3,-0.8916,17.5747,0.058,-0.2445,0.058,0.003,619.2163
310000,0.0,256.0,0.0,-0.8952,17.3611,0.0556,-0.2537,0.0584,0.0032,613.6533
320000,0.8214,50.8,1.0,-0.8626,18.7266,0.073,-0.2584,0.0588,0.0033,616.5224
330000,0.0,256.0,0.0,-0.9025,17.7936,0.0516,-0.2593,0.0598,0.0033,614.0105
340000,0.8868,32.2,1.0,-0.9182,18.2482,0.0438,-0.2615,0.0596,0.0035,613.557
350000,0.8334,47.4,1.0,-0.8904,18.6916,0.0579,-0.2655,0.0599,0.0037,610.443
360000,0.8407,45.3,1.0,-0.8878,18.5874,0.0595,-0.2693,0.0609,0.0037,609.3394
370000,0.1643,217.8,0.3,-0.8383,19.4932,0.0858,-0.2697,0.0603,0.0037,611.4253
380000,0.4854,140.7,0.8,-0.8543,18.8324,0.0772,-0.2791,0.0617,0.0035,608.6712
390000,0.8168,52.1,1.0,-0.8552,20.202,0.0768,-0.2655,0.0617,0.0037,608.8508
400000,0.4678,140.0,0.6,-0.8514,19.8807,0.0795,-0.2369,0.0604,0.0039,605.0935
410000,0.4388,151.1,0.7,-0.8523,20.2429,0.0789,-0.2221,0.0634,0.0038,607.3933
420000,0.8801,34.1,1.0,-0.8018,19.9601,0.1058,-0.2465,0.0615,0.0038,605.952
430000,0.1068,231.3,0.2,-0.7202,22.0751,0.1501,-0.2566,0.0626,0.0037,607.5305
440000,0.7796,62.7,1.0,-0.7248,19.9203,0.1454,-0.2594,0.0638,0.004,594.5986
450000,0.9314,19.5,1.0,-0.6317,21.0526,0.1958,-0.2721,0.0642,0.004,578.0937
460000,0.9146,24.3,1.0,-0.5851,20.6612,0.219,-0.2598,0.0628,0.0043,575.7257
470000,0.858,40.4,1.0,-0.5046,21.3675,0.2628,-0.2372,0.0636,0.0044,612.6524
480000,0.8443,44.3,1.0,-0.5091,20.79,0.2599,-0.2491,0.062,0.0044,611.8511
490000,0.749,16.5,0.9,-0.4367,19.8807,0.2962,-0.282,0.0607,0.0041,605.0779
500000,0.8871,32.1,1.0,-0.472,21.5983,0.2786,-0.2877,0.0587,0.0041,605.0561
510000,0.6502,93.8,0.8,-0.3846,21.097,0.3249,-0.2936,0.0579,0.0042,601.5062
520000,0.8625,39.1,1.0,-0.5177,20.4918,0.2541,-0.2923,0.0587,0.0043,601.404
