env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,100.0,0.0,,,,,,
10000,0.7588,26.8,1.0,-0.7917,5.1948,0.1065,0.1942,0.0305,410.5038
20000,0.8983,11.3,1.0,-0.7501,5.152,0.1278,0.1983,0.0226,877.5505
30000,0.9154,9.4,1.0,-0.7659,5.1361,0.1197,0.2012,0.0152,867.8168
40000,0.8497,16.7,1.0,-0.7322,5.1706,0.137,0.2011,0.0121,870.4539
50000,0.8992,11.2,1.0,-0.726,5.2798,0.1404,0.1988,0.0089,867.4429
60000,0.9316,7.6,1.0,-0.7013,5.5096,0.1537,0.1989,0.0065,867.1054
70000,0.9424,6.4,1.0,-0.6441,5.4142,0.1825,0.2001,0.0061,863.1804
80000,0.9451,6.1,1.0,-0.6305,5.5772,0.1896,0.1994,0.0048,852.7789
90000,0.928,8.0,1.0,-0.6047,5.4855,0.203,0.1996,0.0052,852.9792
100000,0.9307,7.7,1.0,-0.6023,5.5928,0.2041,0.1988,0.0047,853.414
110000,0.9523,5.3,1.0,-0.5376,5.8173,0.2379,0.1978,0.0046,850.9184
120000,0.9298,7.8,1.0,-0.5239,5.6306,0.2444,0.1973,0.0043,847.5408
130000,0.9433,6.3,1.0,-0.5351,5.7013,0.2383,0.1961,0.0041,843.9687
140000,0.9478,5.8,1.0,-0.4898,5.7143,0.2623,0.1968,0.0048,844.139
150000,0.9244,8.4,1.0,-0.4821,5.6593,0.2666,0.1962,0.0038,842.9374
160000,0.9721,3.1,1.0,-0.4418,5.8038,0.2867,0.1953,0.0036,839.135
170000,0.9244,8.4,1.0,-0.3809,5.9277,0.3183,0.195,0.0036,837.4835
180000,0.9694,3.4,1.0,-0.3866,6.0938,0.3157,0.1948,0.0032,830.6271
190000,0.9406,6.6,1.0,-0.4082,6.0606,0.3042,0.1958,0.0037,829.6765
200000,0.8442,16.2,0.9,-0.3594,6.0386,0.3291,0.1927,0.0031,831.2176
210000,0.91,10.0,1.0,-0.3326,6.1425,0.3434,0.1939,0.0036,826.094
220000,0.8505,15.5,0.9,-0.3416,6.3091,0.3394,0.1921,0.003,821.8562
