env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,100.0,0.0,,,,,,
10000,0.9253,8.3,1.0,-0.7869,5.1467,0.1091,0.001,0.02,417.4753
20000,0.9325,7.5,1.0,-0.7771,5.0556,0.1138,0.0015,0.014,682.7108
30000,0.8938,11.8,1.0,-0.7571,5.211,0.124,0.0016,0.011,681.3418
40000,0.7885,23.5,1.0,-0.7765,5.1975,0.1143,0.0016,0.008,678.7805
50000,0.7795,24.5,1.0,-0.7356,5.5188,0.1352,0.0016,0.006,678.8018
60000,0.7542,26.2,0.9,-0.7238,5.5036,0.1414,0.0016,0.0045,676.4385
70000,0.8695,14.5,1.0,-0.6951,5.6275,0.1559,0.0016,0.004,665.2007
80000,0.7417,28.7,1.0,-0.6859,5.7208,0.1608,0.0016,0.004,672.2624
90000,0.8551,16.1,1.0,-0.671,5.7013,0.1682,0.0016,0.0043,673.0153
100000,0.8443,17.3,1.0,-0.6286,5.685,0.1904,0.0017,0.0044,668.7544
110000,0.8875,12.5,1.0,-0.6437,5.7274,0.1827,0.0017,0.0045,665.0842
120000,0.7597,26.7,1.0,-0.6021,5.8582,0.2045,0.0017,0.0046,662.543
130000,0.91,10.0,1.0,-0.5686,5.8962,0.2211,0.0017,0.0048,664.2588
140000,0.856,16.0,1.0,-0.5537,6.1125,0.2286,0.0017,0.0048,663.4839
150000,0.9307,7.7,1.0,-0.5003,5.7604,0.2563,0.0017,0.0049,658.7287
160000,0.9253,8.3,1.0,-0.4836,6.0827,0.2652,0.0018,0.0049,656.4381
170000,0.9181,9.1,1.0,-0.4759,6.0901,0.2698,0.0018,0.005,658.8367
180000,0.8614,15.4,1.0,-0.4165,6.1805,0.2998,0.0018,0.0051,653.8102
190000,0.9316,7.6,1.0,-0.4289,6.1275,0.2935,0.0018,0.0052,650.9386
200000,0.9244,8.4,1.0,-0.3762,6.1125,0.3203,0.0018,0.0051,649.9996
210000,0.9343,7.3,1.0,-0.3654,6.0864,0.3268,0.0018,0.005,647.0695
220000,0.9361,7.1,1.0,-0.3181,6.2112,0.3516,0.0018,0.0049,645.1626
