env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,100.0,0.0,,,,,,,
10000,0.6875,32.5,0.8,-0.793,5.1073,0.1057,-0.0653,0.1931,0.0288,132.0012
20000,0.8974,11.4,1.0,-0.7476,5.0556,0.1289,-0.144,0.1699,0.031,663.1906
30000,0.9262,8.2,1.0,-0.7475,5.0813,0.1291,-0.171,0.1605,0.0197,665.4269
40000,0.6677,34.7,0.8,-0.7429,5.1813,0.1316,-0.1812,0.1552,0.0153,659.7872
50000,0.9487,5.7,1.0,-0.7133,5.2854,0.1469,-0.1841,0.1541,0.0113,657.4353
60000,0.9532,5.2,1.0,-0.697,5.4855,0.1552,-0.1851,0.153,0.009,656.4389
70000,0.9046,10.6,1.0,-0.6466,5.5432,0.1813,-0.1919,0.1509,0.008,653.551
80000,0.8839,12.9,1.0,-0.6357,5.7737,0.1871,-0.1995,0.1471,0.0081,654.0359
90000,0.9163,9.3,1.0,-0.6562,5.6561,0.1765,-0.2069,0.1445,0.007,650.3431
100000,0.9415,6.5,1.0,-0.619,5.5617,0.1958,-0.2197,0.1436,0.0066,650.3066
110000,0.9244,8.4,1.0,-0.5791,5.8685,0.216,-0.2283,0.1451,0.0062,646.6084
120000,0.9055,10.5,1.0,-0.5482,5.7803,0.2318,-0.2361,0.1442,0.0067,647.6783
130000,0.8767,13.7,1.0,-0.5372,5.9102,0.2382,-0.2392,0.1428,0.0058,643.1632
140000,0.4956,51.6,0.6,-0.559,6.2189,0.227,-0.243,0.1439,0.0064,641.9234
150000,0.7046,30.6,0.8,-0.5696,6.0716,0.221,-0.2442,0.1431,0.0068,643.0733
160000,0.9487,5.7,1.0,-0.519,6.2461,0.2473,-0.2452,0.1418,0.0063,641.7992
170000,0.8083,21.3,1.0,-0.4967,6.0643,0.2583,-0.2503,0.1406,0.0055,638.0004
180000,0.901,11.0,1.0,-0.4547,6.2422,0.2803,-0.2505,0.1405,0.0069,635.9037
190000,0.775,25.0,1.0,-0.4359,6.3131,0.2904,-0.2496,0.1395,0.0058,636.4057
200000,0.8551,16.1,1.0,-0.4053,6.4061,0.3062,-0.2431,0.1382,0.0069,633.2908
210000,0.901,11.0,1.0,-0.4088,6.1881,0.3038,-0.2463,0.1348,0.0057,629.4479
220000,0.9469,5.9,1.0,-0.3697,6.3613,0.3251,-0.2485,0.1358,0.0057,629.5622
230000,0.2956,71.6,0.4,-0.345,6.3694,0.3363,-0.2498,0.1344,0.0066,629.1607
240000,0.7938,21.8,0.9,-0.368,6.3532,0.3253,-0.2502,0.1346,0.005,627.0897
250000,0.8641,15.1,1.0,-0.3036,6.592,0.3586,-0.2507,0.1341,0.0054,630.5467
260000,0.9397,6.7,1.0,-0.3206,6.6578,0.3502,-0.2528,0.1333,0.0049,625.587
270000,0.9055,10.5,1.0,-0.3017,6.5317,0.3592,-0.2535,0.1328,0.0055,623.3961
280000,0.8632,15.2,1.0,-0.2672,6.4725,0.3773,-0.2554,0.1329,0.004,623.5623
290000,0.9352,7.2,1.0,-0.2921,6.7522,0.3646,-0.2531,0.1329,0.0042,624.166
300000,0.9568,4.8,1.0,-0.2239,6.6622,0.3997,-0.2535,0.133,0.0043,623.9432
310000,0.9109,9.9,1.0,-0.2804,7.2993,0.3723,-0.2537,0.1312,0.0046,625.8794
320000,0.856,16.0,1.0,-0.2437,7.1891,0.3904,-0.2524,0.1309,0.0044,624.5938
330000,0.9478,5.8,1.0,-0.1929,7.0522,0.4168,-0.2558,0.1303,0.005,617.8825
340000,0.9064,10.4,1.0,-0.1642,6.7935,0.4307,-0.2571,0.1285,0.0041,618.311
350000,0.9334,7.4,1.0,-0.19,7.148,0.4182,-0.2586,0.129,0.004,616.1855
360000,0.9289,7.9,1.0,-0.2157,7.446,0.4051,-0.2593,0.1283,0.006,614.9135
370000,0.9343,7.3,1.0,-0.2045,7.764,0.4115,-0.2589,0.1287,0.0037,615.0847
380000,0.8569,15.9,1.0,-0.1842,7.6864,0.4228,-0.2627,0.1269,0.0046,610.4451
390000,0.8731,14.1,1.0,-0.2021,7.2464,0.4116,-0.2619,0.1261,0.0042,606.896
400000,0.8569,15.9,1.0,-0.1995,7.6628,0.4146,-0.2635,0.1266,0.0041,609.3351
410000,0.8893,12.3,1.0,-0.1392,7.7459,0.4462,-0.2647,0.1258,0.0044,612.5498
420000,0.8641,15.1,1.0,-0.0926,7.764,0.4697,-0.2658,0.1255,0.004,606.4496
430000,0.8236,19.6,1.0,-0.0479,7.5815,0.4928,-0.2662,0.1245,0.004,604.6806
440000,0.9262,8.2,1.0,-0.0409,7.4963,0.4955,-0.2659,0.1255,0.004,604.9066
450000,0.8794,13.4,1.0,-0.0151,7.5131,0.5094,-0.2659,0.1244,0.0036,604.8924
460000,0.892,12.0,1.0,-0.019,7.5758,0.5076,-0.2646,0.1233,0.0037,603.8451
470000,0.9262,8.2,1.0,0.0173,7.8186,0.527,-0.2614,0.1222,0.0039,606.1921
480000,0.8209,19.9,1.0,-0.0205,7.8125,0.5062,-0.2627,0.1239,0.0044,607.4185
490000,0.8992,11.2,1.0,0.0214,7.9681,0.5283,-0.2629,0.1238,0.0042,603.9834
500000,0.8875,12.5,1.0,0.0579,8.0645,0.5492,-0.2669,0.1224,0.0037,606.5013
510000,0.9577,4.7,1.0,0.0084,8.1301,0.5228,-0.2647,0.1214,0.0038,599.1437
520000,0.9262,8.2,1.0,0.0323,8.0775,0.5355,-0.2639,0.1187,0.0041,598.4547
530000,0.9181,9.1,1.0,0.0551,7.6687,0.546,-0.2613,0.1181,0.0042,598.4006
540000,0.9505,5.5,1.0,0.1547,7.6923,0.5977,-0.2658,0.118,0.0041,598.7498
550000,0.8938,11.8,1.0,0.1732,8.15,0.6088,-0.2675,0.1181,0.004,595.2006
560000,0.9118,9.8,1.0,0.1514,7.9491,0.597,-0.2697,0.1181,0.004,596.2729
570000,0.9352,7.2,1.0,0.1705,7.9177,0.6057,-0.2676,0.1171,0.0041,595.7095
580000,0.9379,6.9,1.0,0.1581,8.4459,0.6014,-0.2659,0.119,0.004,594.7343
590000,0.9433,6.3,1.0,0.1587,8.0386,0.5997,-0.2654,0.1175,0.0045,595.6906
600000,0.946,6.0,1.0,0.1823,8.7566,0.613,-0.2668,0.1169,0.0039,594.7244
610000,0.9154,9.4,1.0,0.1885,8.3472,0.616,-0.2671,0.1172,0.0045,594.8278
620000,0.9019,10.9,1.0,0.2528,8.1833,0.6473,-0.2691,0.1151,0.0043,593.5917
