env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,-0.6036,1.5,0.2,,,,,,,
10000,0.0,100.0,0.0,-0.7944,5.152,0.1051,-2.2716,6.3608,0.1307,122.4944
20000,0.0,100.0,0.0,-0.7897,5.1948,0.1075,-2.5323,7.5192,0.123,683.6259
30000,0.0,100.0,0.0,-0.8001,5.3821,0.1023,-2.5802,7.7199,0.1213,685.5304
40000,0.0,100.0,0.0,-0.7995,5.5006,0.1029,-2.6746,8.241,0.1181,684.6091
50000,0.0,100.0,0.0,-0.7762,5.4855,0.1146,-2.6853,8.2823,0.1164,677.3435
60000,0.0,100.0,0.0,-0.805,5.7078,0.0999,-2.7667,8.7133,0.1163,674.9051
70000,0.0,100.0,0.0,-0.8024,5.9207,0.1012,-2.7912,8.8197,0.1141,672.8366
80000,0.0,100.0,0.0,-0.7887,6.0938,0.1085,-2.8111,8.9066,0.1121,670.6075
90000,0.0,100.0,0.0,-0.8239,6.25,0.0906,-2.827,8.9705,0.1116,671.4786
100000,0.0,100.0,0.0,-0.7908,6.25,0.1075,-2.8435,9.0442,0.1094,667.1209
110000,0.0,100.0,0.0,-0.7773,6.5833,0.1145,-2.8554,9.0856,0.1088,663.3156
120000,0.0,100.0,0.0,-0.8281,6.7568,0.0885,-2.868,9.1398,0.1072,661.5609
130000,0.0,100.0,0.0,-0.804,6.993,0.1007,-2.8809,9.1966,0.1058,659.6058
140000,0.0,100.0,0.0,-0.8028,6.9396,0.1013,-2.8919,9.2391,0.1041,657.2308
150000,0.0,100.0,0.0,-0.822,7.2727,0.0916,-2.9017,9.2801,0.1031,656.4351
160000,0.0,100.0,0.0,-0.7814,7.3206,0.1127,-2.9116,9.3236,0.1016,653.0463
170000,0.0,100.0,0.0,-0.8283,7.8555,0.0888,-2.9203,9.3551,0.1001,651.3181
180000,0.0,100.0,0.0,-0.8331,7.7882,0.0864,-2.9279,9.3887,0.0988,651.1995
190000,0.0,100.0,0.0,-0.8002,7.9302,0.1039,-2.8816,9.1023,0.0981,643.2473
200000,0.0,100.0,0.0,-0.7787,8.058,0.1144,-2.8716,8.9685,0.0965,643.4407
210000,0.0,100.0,0.0,-0.7913,8.2372,0.1087,-2.9046,9.1507,0.096,642.5249
220000,0.0,100.0,0.0,-0.8196,8.4388,0.0937,-2.9146,9.1984,0.0948,642.3422
230000,0.0,100.0,0.0,-0.8216,8.7413,0.0927,-2.9219,9.2293,0.094,638.4017
240000,0.0,100.0,0.0,-0.8112,8.8417,0.0981,-2.9255,9.2371,0.0929,637.4731
250000,0.0,100.0,0.0,-0.81,9.2678,0.0982,-2.9253,9.2262,0.0919,635.9301
260000,0.0,100.0,0.0,-0.8144,9.2336,0.097,-2.9331,9.2653,0.0909,637.0355
270000,0.0,100.0,0.0,-0.8048,9.4877,0.1015,-2.9375,9.2838,0.0895,636.4437
280000,0.0,100.0,0.0,-0.8332,9.7466,0.0867,-2.9417,9.3,0.0887,636.5813
290000,0.0,100.0,0.0,-0.7732,10.4167,0.1187,-2.9459,9.3169,0.0877,627.4726
300000,0.0,100.0,0.0,-0.8049,10.142,0.1014,-2.9499,9.3308,0.0866,629.7826
310000,0.0,100.0,0.0,-0.8051,10.2987,0.103,-2.9543,9.35,0.0859,624.7176
320000,0.0,100.0,0.0,-0.8154,10.8225,0.0963,-2.9577,9.3632,0.0849,626.52
330000,0.0,100.0,0.0,-0.8025,11.0865,0.1042,-2.9611,9.3744,0.0843,624.6189
340000,0.0,100.0,0.0,-0.8139,11.0254,0.097,-2.9645,9.3889,0.0835,623.8232
350000,0.0,100.0,0.0,-0.7923,11.7647,0.1082,-2.9687,9.407,0.0829,621.8992
360000,0.0,100.0,0.0,-0.8,11.8483,0.1043,-2.971,9.4136,0.082,617.6626
370000,0.0,100.0,0.0,-0.8055,11.5075,0.1024,-2.974,9.4275,0.0812,617.1297
380000,0.0,100.0,0.0,-0.8019,12.1951,0.1049,-2.9778,9.4427,0.08,618.3233
390000,0.0,100.0,0.0,-0.8159,12.6263,0.096,-2.9803,9.4537,0.0794,614.5965
400000,0.0,100.0,0.0,-0.8102,12.6904,0.1015,-2.9516,9.2788,0.0784,614.9815
410000,0.0,100.0,0.0,-0.8243,12.837,0.0924,-2.8856,8.9088,0.0781,611.6346
420000,0.0,100.0,0.0,-0.8002,13.0208,0.1055,-2.9018,8.9725,0.077,612.9693
430000,0.0,100.0,0.0,-0.7965,14.6628,0.1085,-2.9736,9.3823,0.0764,611.7047
440000,0.0,100.0,0.0,-0.8014,14.1044,0.1058,-2.9808,9.4224,0.0755,606.9712
450000,0.0,100.0,0.0,-0.8031,14.1643,0.1048,-2.9851,9.4437,0.075,607.0155
460000,0.0,100.0,0.0,-0.8008,15.4083,0.1048,-2.9869,9.449,0.074,605.695
470000,0.0,100.0,0.0,-0.8123,14.9254,0.1,-2.9902,9.4653,0.0734,604.3431
480000,0.0,100.0,0.0,-0.7937,15.361,0.1091,-2.9917,9.4705,0.0726,603.3808
490000,0.0,100.0,0.0,-0.7909,16.129,0.1113,-2.9947,9.4835,0.0718,601.3057
500000,0.0,100.0,0.0,-0.7674,16.7224,0.1237,-2.9966,9.4913,0.0711,601.0516
510000,0.0,100.0,0.0,-0.7988,17.6678,0.1078,-2.9988,9.4984,0.0704,598.7433
520000,0.0,100.0,0.0,-0.8698,17.094,0.0701,-3.0021,9.5149,0.0695,596.2468
530000,0.0,100.0,0.0,-0.7887,16.0772,0.1125,-3.0029,9.5159,0.0692,596.1043
540000,0.0,100.0,0.0,-0.8023,17.762,0.1083,-2.9713,9.3358,0.0685,594.864
550000,0.0,100.0,0.0,-0.8147,16.8919,0.0997,-3.0106,9.6127,0.0677,591.6773
560000,0.0,100.0,0.0,-0.8306,18.3486,0.0899,-3.0265,9.7254,0.0672,592.3172
570000,0.0,100.0,0.0,-0.855,18.4162,0.0773,-3.0317,9.762,0.0667,592.7033
580000,0.0,100.0,0.0,-0.7807,18.9753,0.1157,-3.034,9.773,0.066,592.36
590000,0.0,100.0,0.0,-0.8104,20.4918,0.1004,-3.0364,9.7835,0.0654,590.5641
600000,0.0,100.0,0.0,-0.8484,19.4932,0.0799,-3.0384,9.7948,0.0647,590.4806
610000,0.0,100.0,0.0,-0.8046,21.8818,0.1028,-3.0398,9.7992,0.0641,592.1423
620000,0.0,100.0,0.0,-0.7654,21.8818,0.1204,-3.042,9.8082,0.0636,591.0385
630000,0.0,100.0,0.0,-0.774,19.802,0.1228,-3.0415,9.8033,0.0632,589.0889
640000,0.0,100.0,0.0,-0.8569,21.8818,0.0744,-3.0446,9.8193,0.0626,587.6265
650000,0.0,100.0,0.0,-0.8221,23.31,0.0909,-3.0456,9.8219,0.0621,586.2445
660000,0.0,100.0,0.0,-0.7789,22.4215,0.1143,-3.0475,9.8308,0.0615,583.8948
670000,0.0,100.0,0.0,-0.8258,21.692,0.0933,-3.0488,9.8351,0.061,584.8829
680000,0.0,100.0,0.0,-0.8581,21.5517,0.0754,-3.0506,9.8432,0.0605,583.0353
690000,0.0,100.0,0.0,-0.7847,22.2222,0.1089,-3.0514,9.8467,0.0597,581.8336
700000,0.0,100.0,0.0,-0.8261,23.5294,0.0918,-3.0525,9.8501,0.0591,581.9477
710000,0.0,100.0,0.0,-0.7681,25.641,0.1128,-3.0536,9.8554,0.0584,582.6327
720000,0.0,100.0,0.0,-0.7936,23.9808,0.1079,-3.0546,9.8573,0.0581,579.0295
730000,0.0,100.0,0.0,-0.7804,24.6305,0.1158,-3.056,9.8631,0.058,581.5288
740000,0.0,100.0,0.0,-0.8056,24.6305,0.101,-3.0579,9.8724,0.057,579.6682
750000,0.0,100.0,0.0,-0.855,27.3973,0.0685,-3.0585,9.874,0.0568,580.7563
760000,0.0,100.0,0.0,-0.783,26.8817,0.1102,-3.0592,9.8746,0.0568,579.6866
770000,0.0,100.0,0.0,-0.8054,27.3973,0.1041,-3.0607,9.8811,0.0561,576.3082
780000,0.0,100.0,0.0,-0.8165,29.4985,0.0767,-3.0622,9.8895,0.0554,573.8118
790000,0.0,100.0,0.0,-0.8076,29.2398,0.0877,-3.0627,9.889,0.055,573.7933
800000,0.0,100.0,0.0,-0.7547,28.7356,0.1178,-3.0642,9.8963,0.0544,574.4271
810000,0.0,100.0,0.0,-0.766,29.0698,0.1076,-3.0648,9.896,0.0543,575.7762
820000,0.0,100.0,0.0,-0.8033,29.6736,0.092,-3.0657,9.9007,0.0535,571.357
830000,0.0,100.0,0.0,-0.8108,29.5858,0.0858,-3.067,9.9045,0.0531,570.4248
840000,0.0,100.0,0.0,-0.8244,32.1543,0.0707,-3.067,9.9036,0.0529,570.4871
850000,0.0,100.0,0.0,-0.7339,30.6748,0.135,-3.0687,9.9124,0.0522,571.8839
860000,0.0,100.0,0.0,-0.7645,32.4675,0.1039,-3.0703,9.9209,0.052,573.4858
870000,0.0,100.0,0.0,-0.7609,33.7838,0.1014,-3.0698,9.9165,0.0515,571.5285
880000,0.0,100.0,0.0,-0.7815,33.0033,0.0924,-3.0716,9.9236,0.0507,571.4954
890000,0.0,100.0,0.0,-0.788,31.8471,0.0955,-3.0713,9.9209,0.0504,570.4249
900000,0.0,100.0,0.0,-0.8365,32.5733,0.0684,-3.0734,9.9331,0.0502,570.9429
910000,0.0,100.0,0.0,-0.8146,33.67,0.0673,-3.0734,9.9311,0.0499,571.1999
920000,0.0,100.0,0.0,-0.7488,36.9004,0.1033,-3.0751,9.9361,0.0495,569.0355
930000,0.0,100.0,0.0,-0.7308,37.8788,0.1174,-3.0751,9.9357,0.0492,568.7446
940000,0.0,100.0,0.0,-0.788,35.7143,0.0821,-3.0766,9.9415,0.0487,565.9263
950000,0.0,100.0,0.0,-0.8202,35.8423,0.0824,-3.0773,9.9451,0.0482,565.3162
960000,0.0,100.0,0.0,-0.7287,36.63,0.1172,-3.0776,9.9453,0.0478,564.082
970000,0.0,100.0,0.0,-0.7904,36.9004,0.0664,-3.078,9.9457,0.0476,563.9569
980000,0.0,100.0,0.0,-0.7513,36.4964,0.0949,-3.0791,9.9515,0.0474,560.2995
990000,0.0,100.0,0.0,-0.7492,39.0625,0.1055,-3.08,9.9541,0.047,563.2883
1000000,0.0,100.0,0.0,-0.7413,37.3134,0.1045,-3.0809,9.9591,0.047,561.2198
1010000,0.0,100.0,0.0,-0.8173,39.6825,0.0595,-3.0809,9.9582,0.0464,561.1303
1020000,0.0,100.0,0.0,-0.7564,34.2466,0.0925,-3.0832,9.9681,0.0463,558.4306
1030000,0.0,100.0,0.0,-0.7696,37.594,0.0789,-3.082,9.9603,0.0458,557.9746
1040000,0.0,100.0,0.0,-0.7334,36.2319,0.1159,-3.0837,9.97,0.0457,556.0854
1050000,0.0,100.0,0.0,-0.7162,41.1523,0.107,-3.0835,9.9646,0.0452,557.4863
1060000,0.0,100.0,0.0,-0.7726,38.1679,0.0802,-3.0849,9.9725,0.0449,556.2227
1070000,0.0,100.0,0.0,-0.7009,40.3226,0.1129,-3.086,9.9793,0.0445,553.7486
1080000,0.0,100.0,0.0,-0.7379,42.3729,0.0805,-3.086,9.9784,0.0444,554.8573
1090000,0.0,100.0,0.0,-0.6641,42.735,0.1239,-3.0868,9.9803,0.044,554.5491
1100000,0.0,100.0,0.0,-0.7268,42.5532,0.0809,-3.0869,9.9805,0.0437,554.2227
1110000,0.0,100.0,0.0,-0.7191,40.0,0.088,-3.0876,9.9843,0.0435,549.7111
1120000,0.0,100.0,0.0,-0.682,42.0168,0.1092,-3.089,9.9908,0.043,548.2927
1130000,0.0,100.0,0.0,-0.6911,44.2478,0.1106,-3.0886,9.9874,0.043,551.5093
1140000,0.0,100.0,0.0,-0.7177,44.2478,0.0841,-3.0887,9.987,0.0426,548.2717
1150000,0.0,100.0,0.0,-0.7019,46.5116,0.0837,-3.0907,9.9975,0.0424,549.5396
1160000,0.0,100.0,0.0,-0.7084,43.1034,0.0905,-3.0901,9.9908,0.0421,547.2582
1170000,0.0,100.0,0.0,-0.725,47.1698,0.0896,-3.0914,9.9982,0.0418,547.7237
1180000,0.0,100.0,0.0,-0.6895,48.5437,0.0922,-3.0916,9.998,0.0415,546.341
1190000,0.0,100.0,0.0,-0.6834,44.843,0.1031,-3.0917,9.9982,0.0412,545.9272
1200000,0.0,100.0,0.0,-0.7358,45.2489,0.0769,-3.0923,10.0009,0.041,544.3882
1210000,0.0,100.0,0.0,-0.6458,45.6621,0.105,-3.0927,10.0032,0.0407,544.1249
1220000,0.0,100.0,0.0,-0.68,48.5437,0.0825,-3.0934,10.0026,0.0405,543.9321
1230000,0.0,100.0,0.0,-0.7383,48.0769,0.0385,-3.0942,10.0102,0.0401,542.0896
1240000,0.0,100.0,0.0,-0.6988,48.0769,0.0769,-3.0946,10.0098,0.0402,545.6224
1250000,0.0,100.0,0.0,-0.6096,44.2478,0.1283,-3.0949,10.0106,0.0396,542.736
1260000,0.0,100.0,0.0,-0.6697,48.3092,0.0918,-3.0946,10.0078,0.0395,541.9058
1270000,0.0,100.0,0.0,-0.7271,45.8716,0.0734,-3.0964,10.017,0.0394,540.5071
1280000,0.0,100.0,0.0,-0.7125,51.5464,0.067,-3.0967,10.0167,0.0391,538.2761
1290000,0.0,100.0,0.0,-0.6996,46.5116,0.0791,-3.0961,10.0126,0.0387,540.1103
1300000,0.0,100.0,0.0,-0.6898,48.5437,0.0534,-3.0975,10.0217,0.0383,539.4373
1310000,0.0,100.0,0.0,-0.6743,46.9484,0.0892,-3.0976,10.0206,0.0383,537.6232
1320000,0.0,100.0,0.0,-0.6627,52.9101,0.0476,-3.0971,10.0163,0.0381,539.3931
1330000,0.0,100.0,0.0,-0.6766,48.0769,0.0721,-3.0984,10.0236,0.038,534.5644
1340000,0.0,100.0,0.0,-0.6425,49.0196,0.0931,-3.1002,10.0337,0.0377,536.1512
1350000,0.0,100.0,0.0,-0.6318,49.0196,0.1078,-3.0978,10.0189,0.0373,536.871
1360000,0.0,100.0,0.0,-0.6453,52.356,0.0681,-3.0995,10.0268,0.0371,535.0672
1370000,0.0,100.0,0.0,-0.7303,51.8135,0.0518,-3.1003,10.0292,0.037,534.5916
1380000,0.0,100.0,0.0,-0.6903,51.8135,0.0725,-3.1015,10.0378,0.037,534.5858
1390000,0.0,100.0,0.0,-0.6348,51.2821,0.0923,-3.1001,10.0272,0.0369,532.9483
1400000,0.0,100.0,0.0,-0.6108,53.1915,0.0798,-3.1014,10.0326,0.0364,533.1905
1410000,0.0,100.0,0.0,-0.6483,54.9451,0.0879,-3.1013,10.0345,0.0361,533.6428
1420000,0.0,100.0,0.0,-0.7035,52.9101,0.0794,-3.1025,10.0387,0.0359,530.3936
1430000,0.0,100.0,0.0,-0.6691,51.2821,0.0667,-3.1022,10.0365,0.0356,531.7346
1440000,0.0,100.0,0.0,-0.6045,57.1429,0.0571,-3.1023,10.0359,0.0356,533.2077
1450000,0.0,100.0,0.0,-0.5626,56.1798,0.118,-3.1028,10.0389,0.0357,532.1299
1460000,0.0,100.0,0.0,-0.7058,52.0833,0.0729,-3.1033,10.0419,0.0354,530.1832
1470000,0.0,100.0,0.0,-0.6524,52.356,0.0628,-3.1041,10.0446,0.0352,530.4526
1480000,0.0,100.0,0.0,-0.601,53.7634,0.1237,-3.104,10.0445,0.035,531.2955
1490000,0.0,100.0,0.0,-0.597,54.0541,0.0703,-3.1036,10.0391,0.0349,529.0743
1500000,0.0,100.0,0.0,-0.5838,57.8035,0.0751,-3.1052,10.0488,0.0345,529.2559
1510000,0.0,100.0,0.0,-0.6213,54.6448,0.0929,-3.1048,10.045,0.0347,527.4013
1520000,0.0,100.0,0.0,-0.6247,56.1798,0.0674,-3.1053,10.0494,0.0342,527.3799
