env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.505,72.8,0.6,-0.8507,6.502,0.0761,1.1269,0.0204,431.8449
20000,0.9419,9.3,1.0,-0.8426,6.5359,0.0804,0.7656,0.019,667.5571
30000,0.8925,17.2,1.0,-0.8109,6.6934,0.0964,0.4733,0.0126,663.9811
40000,0.9313,11.0,1.0,-0.8073,6.7431,0.0984,0.3796,0.0088,664.9132
50000,0.9656,5.5,1.0,-0.7517,6.7159,0.1269,0.3406,0.0069,661.5609
60000,0.9356,10.3,1.0,-0.7553,7.2833,0.1253,0.3219,0.0057,660.758
70000,0.9437,9.0,1.0,-0.7628,7.1327,0.1213,0.3077,0.0048,659.3783
80000,0.9631,5.9,1.0,-0.6826,7.278,0.1623,0.2945,0.0043,656.1631
90000,0.9694,4.9,1.0,-0.7063,7.2674,0.1504,0.2849,0.004,654.5904
100000,0.9425,9.2,1.0,-0.6486,7.1633,0.1798,0.2785,0.0037,653.9494
110000,0.9637,5.8,1.0,-0.5654,7.4349,0.223,0.2739,0.0035,653.1019
120000,0.9581,6.7,1.0,-0.6226,7.2993,0.1934,0.2701,0.0033,653.3138
130000,0.9487,8.2,1.0,-0.587,7.2411,0.2114,0.2669,0.0031,651.0415
140000,0.9387,9.8,1.0,-0.5995,7.3314,0.2053,0.2644,0.0029,646.6562
150000,0.9325,10.8,1.0,-0.5324,7.3855,0.24,0.2626,0.0028,644.8001
160000,0.9606,6.3,1.0,-0.5244,7.7821,0.2444,0.2614,0.0027,643.1874
170000,0.9575,6.8,1.0,-0.4623,7.485,0.2762,0.26,0.0025,642.6943
180000,0.9469,8.5,1.0,-0.4406,7.6687,0.2876,0.2589,0.0024,643.2586
190000,0.9662,5.4,1.0,-0.4215,7.8802,0.2979,0.258,0.0023,640.3523
200000,0.9488,8.2,1.0,-0.3762,8.0257,0.321,0.2571,0.0022,642.7563
210000,0.9494,8.1,1.0,-0.3398,7.6982,0.3395,0.2568,0.0022,639.6513
220000,0.9525,7.6,1.0,-0.3307,7.837,0.344,0.256,0.0021,637.7464
230000,0.9612,6.2,1.0,-0.3067,7.391,0.3562,0.2554,0.002,635.9124
240000,0.9313,11.0,1.0,-0.3225,7.776,0.3476,0.2549,0.002,635.7607
