env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0,46.2963,0.0,0.0022,0.0038,500.3661
20000,0.0,324.0,0.0,0.0,45.2489,0.0,0.0005,0.0,905.8798
30000,0.0,324.0,0.0,0.0,43.29,0.0,0.0005,0.0,919.069
40000,0.0,324.0,0.0,0.0,41.6667,0.0,0.0005,0.0,902.0513
50000,0.0,324.0,0.0,0.0,39.3701,0.0,0.0005,0.0,898.2052
60000,0.0,324.0,0.0,0.0,40.1606,0.0,0.0005,0.0,896.0906
70000,0.0,324.0,0.0,0.0,43.29,0.0,0.0005,0.0,891.3336
80000,0.0,324.0,0.0,0.0,48.5437,0.0,0.0005,0.0,890.6301
90000,0.0,324.0,0.0,0.0,48.7805,0.0,0.0005,0.0,898.0818
100000,0.0,324.0,0.0,0.0,51.0204,0.0,0.0005,0.0,887.823
110000,0.0,324.0,0.0,0.0042,50.2513,0.005,0.0005,0.0,887.7547
120000,0.0,324.0,0.0,0.0,51.5464,0.0,0.0005,0.0,881.6717
130000,0.0,324.0,0.0,0.0,54.6448,0.0,0.0005,0.0,881.4386
140000,0.0,324.0,0.0,0.0,43.1034,0.0,0.0005,0.0,893.7457
150000,0.0,324.0,0.0,0.0,56.8182,0.0,0.0005,0.0,892.8605
160000,0.0,324.0,0.0,0.0044,55.5556,0.0056,0.0005,0.0,889.949
170000,0.0,324.0,0.0,0.0,57.8035,0.0,0.0005,0.0,888.5442
180000,0.0,324.0,0.0,0.0,57.4713,0.0,0.0005,0.0,882.8487
190000,0.0,324.0,0.0,0.0023,51.8135,0.0052,0.0005,0.0,880.9487
200000,0.0,324.0,0.0,0.0044,55.8659,0.0056,0.0005,0.0,868.3456
210000,0.0,227.1,0.0,0.0013,52.0833,0.0052,0.0005,0.0,876.3628
220000,0.0,324.0,0.0,0.0148,45.8716,0.0183,0.0005,0.0,876.528
230000,0.0,260.1,0.0,0.0116,63.2911,0.019,0.0005,0.0,874.1478
240000,0.0,266.4,0.0,0.0,44.6429,0.0,0.0005,0.0,855.8079
250000,0.0,130.6,0.0,0.0026,35.9712,0.0036,0.0005,0.0,854.0555
260000,0.0,195.7,0.0,0.0037,35.8423,0.0072,0.0005,0.0,845.0682
270000,0.0,303.0,0.0,0.0104,45.045,0.0135,0.0005,0.0001,848.0879
280000,0.0,275.3,0.0,0.0,43.29,0.0,0.0005,0.0001,842.7495
290000,0.0,312.5,0.0,0.0145,44.0529,0.0176,0.0005,0.0001,843.9429
