env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,227.5,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0,47.8469,0.0,-0.017,0.0081,0.0016,173.3601
20000,0.0,324.0,0.0,0.0,51.5464,0.0,-0.0064,0.002,0.0,682.1996
30000,0.0,324.0,0.0,0.0,46.2963,0.0,-0.0,0.0,0.0,671.276
40000,0.0,324.0,0.0,0.0,49.2611,0.0,-0.0,0.0,0.0,671.4233
50000,0.0,324.0,0.0,0.0,49.2611,0.0,-0.0,0.0,0.0,677.0941
60000,0.0,324.0,0.0,0.0,49.7512,0.0,-0.0,0.0,0.0,672.66
70000,0.0,324.0,0.0,0.0,53.1915,0.0,-0.0,0.0,0.0,677.1466
80000,0.0,324.0,0.0,0.0,51.0204,0.0,-0.0,0.0,0.0,667.6536
90000,0.0,324.0,0.0,0.0,53.7634,0.0,-0.0,0.0,0.0,663.8983
100000,0.0,324.0,0.0,0.0,60.241,0.0,-0.0,0.0,0.0,661.8601
110000,0.0,324.0,0.0,0.0,64.1026,0.0,-0.0,0.0,0.0,662.0835
120000,0.0,324.0,0.0,0.0,52.9101,0.0,-0.0,0.0,0.0,665.9191
130000,0.0,324.0,0.0,0.0,64.5161,0.0,-0.0,0.0,0.0,667.9384
140000,0.0,2.4,0.0,0.0045,53.7634,0.0054,-0.0,0.0,0.0,657.3264
150000,0.0,324.0,0.0,0.0,45.2489,0.0,-0.0,0.0,0.0,656.2152
160000,0.0,324.0,0.0,0.0,42.5532,0.0,-0.0,0.0,0.0,653.7986
170000,0.0,324.0,0.0,0.0022,44.843,0.0045,-0.0,0.0,0.0,652.5287
180000,0.0,98.9,0.0,0.0027,32.6797,0.0033,-0.0,0.0,0.0,646.9811
190000,0.0,324.0,0.0,0.0024,31.1526,0.0031,-0.0,0.0,0.0,644.9134
200000,0.0,324.0,0.0,0.0015,33.1126,0.0033,-0.0,0.0,0.0,646.1049
210000,0.0,324.0,0.0,0.0059,27.5482,0.0083,-0.0,0.0,0.0,645.2285
220000,0.0,324.0,0.0,0.0054,29.2398,0.0058,-0.0,0.0,0.0,657.6416
230000,0.0,324.0,0.0,0.0056,29.7619,0.006,-0.0,0.0,0.0,656.921
240000,0.0,33.9,0.0,0.0022,25.8398,0.0026,-0.0,0.0,0.0,647.0192
250000,0.0,98.5,0.0,0.0091,25.3165,0.0101,-0.0,0.0,0.0,659.972
260000,0.0,324.0,0.0,0.006,22.5734,0.0068,-0.0,0.0,0.0,644.4151
270000,0.0,34.5,0.0,0.0059,26.3852,0.0106,-0.0,0.0,0.0001,644.8222
280000,0.0,131.4,0.0,0.0057,25.8398,0.0078,-0.0,0.0,0.0001,649.6848
290000,0.0,324.0,0.0,0.0085,25.7069,0.0103,-0.0,0.0,0.0001,640.5107
300000,0.0,324.0,0.0,0.0118,22.779,0.0137,-0.0,0.0,0.0001,643.3278
310000,0.0,324.0,0.0,0.0109,24.0385,0.0144,-0.0001,0.0,0.0001,655.606
320000,0.0,324.0,0.0,0.0114,25.0627,0.0125,-0.0,0.0,0.0001,641.2715
330000,0.0,33.7,0.0,0.0117,24.5098,0.0147,-0.0,0.0,0.0001,644.6654
340000,0.0,66.4,0.0,0.0056,21.1864,0.0064,-0.0,0.0,0.0001,640.5018
350000,0.0,34.1,0.0,0.0221,20.4499,0.0266,-0.0,0.0,0.0001,630.4938
360000,0.0,324.0,0.0,0.0098,25.1889,0.0126,-0.0,0.0,0.0001,643.5087
370000,0.0,131.6,0.0,0.0155,20.7469,0.0207,-0.0001,0.0,0.0001,631.5823
380000,0.0,66.0,0.0,0.0124,21.097,0.0148,-0.0001,0.0,0.0002,639.8395
390000,0.0,34.7,0.0,0.0157,18.5874,0.0186,-0.0001,0.0,0.0002,632.1785
400000,0.0,67.0,0.0,0.0181,19.2308,0.0231,-0.0001,0.0,0.0002,633.0863
410000,0.0,66.0,0.0,0.0069,19.305,0.0077,-0.0001,0.0,0.0002,638.6697
420000,0.0,67.6,0.0,0.0189,23.0415,0.0253,-0.0001,0.0,0.0002,626.8345
430000,0.0,34.5,0.0,0.016,21.322,0.0235,-0.0001,0.0,0.0002,626.6486
440000,0.0,324.0,0.0,0.0115,21.3675,0.015,-0.0001,0.0,0.0002,632.4543
450000,0.0,66.2,0.0,0.0254,19.0114,0.0304,-0.0001,0.0,0.0002,634.7089
460000,0.0,67.0,0.0,0.0281,21.322,0.0341,-0.0001,0.0,0.0003,634.062
470000,0.0,324.0,0.0,0.0232,19.1939,0.0269,-0.0001,0.0,0.0003,627.8332
480000,0.0,34.5,0.0,0.0143,21.7391,0.0174,-0.0001,0.0,0.0003,623.9449
490000,0.0,324.0,0.0,0.0223,21.5517,0.028,-0.0001,0.0,0.0003,634.4577
500000,0.0,131.0,0.0,0.0206,18.6916,0.0243,-0.0001,0.0,0.0003,623.9648
510000,0.0,3.0,0.0,0.0295,21.2314,0.034,-0.0001,0.0,0.0003,623.0246
520000,0.0,131.2,0.0,0.0292,21.1416,0.0381,-0.0002,0.0,0.0003,621.2472
530000,0.0,131.0,0.0,0.0334,20.8768,0.0397,-0.0002,0.0,0.0003,622.4853
540000,0.0,98.9,0.0,0.0213,20.0401,0.024,-0.0002,0.0,0.0004,624.2386
550000,0.0,67.6,0.0,0.014,20.3666,0.0163,-0.0002,0.0,0.0004,634.3046
560000,0.0,324.0,0.0,0.026,20.202,0.0303,-0.0002,0.0,0.0004,642.8421
570000,0.0,34.3,0.0,0.0229,22.8311,0.0297,-0.0002,0.0,0.0004,635.5739
580000,0.0,67.2,0.0,0.0318,20.0803,0.0361,-0.0001,0.0,0.0004,640.8757
590000,0.0,66.6,0.0,0.0249,19.4553,0.0292,-0.0001,0.0,0.0004,630.9724
600000,0.0,324.0,0.0,0.0313,21.0084,0.0378,-0.0002,0.0,0.0004,636.4997
610000,0.0,324.0,0.0,0.0334,20.4918,0.0389,-0.0002,0.0,0.0004,628.451
620000,0.0,324.0,0.0,0.0184,23.2558,0.0233,-0.0002,0.0,0.0004,616.7932
630000,0.0,324.0,0.0,0.0245,23.1481,0.0324,-0.0002,0.0,0.0005,629.1423
640000,0.0,66.6,0.0,0.0281,25.974,0.0338,-0.0002,0.0,0.0004,619.563
650000,0.0,34.9,0.0,0.0371,22.6757,0.0431,-0.0003,0.0,0.0005,613.3417
660000,0.0,66.4,0.0,0.0371,19.1205,0.044,-0.0003,0.0,0.0005,610.2615
670000,0.0,34.7,0.0,0.0302,23.9234,0.0359,-0.0004,0.0,0.0005,626.0616
680000,0.0,130.8,0.0,0.0315,22.0751,0.0397,-0.0003,0.0,0.0005,613.8667
690000,0.0,324.0,0.0,0.0389,20.5761,0.0473,-0.0004,0.0,0.0005,622.9673
700000,0.0,3.0,0.0,0.0132,28.8184,0.0173,-0.0003,0.0,0.0005,620.3188
710000,0.0,34.1,0.0,0.028,17.7305,0.0355,-0.0004,0.0,0.0005,632.1385
720000,0.0,324.0,0.0,0.0351,25.0,0.0425,-0.0003,0.0,0.0006,623.416
730000,0.0,131.2,0.0,0.0387,23.1481,0.0463,-0.0003,0.0,0.0006,611.2983
740000,0.0,67.0,0.0,0.022,23.4742,0.0282,-0.0003,0.0,0.0006,609.8701
750000,0.0,324.0,0.0,0.0376,22.3714,0.0447,-0.0003,0.0,0.0006,620.9785
760000,0.0,98.7,0.0,0.0406,23.4742,0.0516,-0.0003,0.0,0.0006,612.2275
770000,0.0,34.9,0.0,0.0305,22.6757,0.0363,-0.0003,0.0,0.0006,616.4887
780000,0.0,130.8,0.0,0.0338,19.8807,0.0398,-0.0003,0.0,0.0006,608.0761
790000,0.0,35.1,0.0,0.0281,22.6757,0.0363,-0.0003,0.0,0.0006,606.5755
800000,0.0,98.5,0.0,0.0437,23.5294,0.0541,-0.0003,0.0,0.0006,605.0594
810000,0.0,98.7,0.0,0.0236,28.7356,0.0287,-0.0003,0.0,0.0006,603.5748
820000,0.0,67.2,0.0,0.0344,23.0415,0.0392,-0.0003,0.0,0.0006,602.0146
830000,0.0,324.0,0.0,0.027,21.0526,0.0316,-0.0003,0.0,0.0006,602.2876
840000,0.0,35.3,0.0,0.0296,24.7525,0.0371,-0.0003,0.0,0.0006,606.2509
850000,0.0,36.1,0.0,0.0321,26.3852,0.0369,-0.0003,0.0,0.0006,611.6871
860000,0.0,324.0,0.0,0.0492,29.1545,0.0671,-0.0003,0.0,0.0007,617.2476
870000,0.0,98.9,0.0,0.0316,22.0751,0.0397,-0.0004,0.0,0.0006,603.4846
880000,0.0,324.0,0.0,0.0155,26.3852,0.0185,-0.0005,0.0,0.0006,604.4243
890000,0.0,98.7,0.0,0.033,26.1097,0.0418,-0.0006,0.0,0.0007,607.5614
900000,0.0,66.8,0.0,0.0283,26.2467,0.042,-0.0006,0.0,0.0007,607.7567
910000,0.0,99.1,0.0,0.0147,23.8095,0.019,-0.0007,0.0,0.0007,615.2002
920000,0.0,324.0,0.0,0.0306,21.0526,0.04,-0.0007,0.0,0.0007,607.3614
930000,0.0,98.7,0.0,0.0349,27.933,0.0447,-0.0008,0.0,0.0007,606.0564
940000,0.0,35.3,0.0,0.03,29.3255,0.0381,-0.0008,0.0,0.0007,605.2728
950000,0.0,34.9,0.0,0.035,24.0385,0.0481,-0.0008,0.0,0.0007,601.6446
960000,0.0,98.9,0.0,0.0393,26.8097,0.0509,-0.0008,0.0,0.0007,605.9863
970000,0.0,163.9,0.0,0.0236,22.9885,0.0276,-0.0009,0.0,0.0007,611.1445
980000,0.0,67.4,0.0,0.0438,30.03,0.0541,-0.0009,0.0,0.0007,604.6629
990000,0.0,99.9,0.0,0.024,24.4499,0.0342,-0.0009,0.0,0.0007,604.7136
1000000,0.0,65.8,0.0,0.039,28.169,0.0507,-0.0009,0.0,0.0007,600.1638
1010000,0.0,67.2,0.0,0.037,26.9542,0.0485,-0.0008,0.0,0.0007,604.8331
1020000,0.0,67.4,0.0,0.0296,32.5733,0.0391,-0.0008,0.0,0.0007,605.6399
1030000,0.0,66.2,0.0,0.0321,30.303,0.0394,-0.0007,0.0,0.0007,596.9152
1040000,0.0,131.0,0.0,0.0483,31.746,0.0603,-0.0006,0.0,0.0007,612.5158
1050000,0.0,324.0,0.0,0.0211,29.7619,0.0298,-0.0006,0.0,0.0007,604.7461
1060000,0.0,324.0,0.0,0.045,25.2525,0.0556,-0.0007,0.0,0.0007,606.0689
1070000,0.0,67.4,0.0,0.0358,24.3902,0.0439,-0.0007,0.0,0.0007,598.2878
1080000,0.0,66.4,0.0,0.032,24.9377,0.0424,-0.0007,0.0,0.0007,600.0228
1090000,0.0,324.0,0.0,0.021,30.6748,0.0245,-0.0007,0.0,0.0007,603.3784
1100000,0.0,324.0,0.0,0.0415,29.0698,0.0523,-0.0007,0.0,0.0007,609.9839
1110000,0.0,66.2,0.0,0.0336,34.6021,0.0415,-0.0007,0.0,0.0007,599.4358
1120000,0.0,34.7,0.0,0.0384,30.2115,0.0453,-0.0007,0.0,0.0007,596.5021
1130000,0.0,99.3,0.0,0.0266,29.6736,0.0326,-0.0007,0.0,0.0007,615.7992
1140000,0.0,195.0,0.0,0.0316,26.3852,0.0422,-0.0007,0.0,0.0007,595.8061
1150000,0.0,324.0,0.0,0.0272,32.1543,0.0386,-0.0008,0.0,0.0007,595.6725
1160000,0.0,324.0,0.0,0.0384,33.0033,0.0462,-0.0008,0.0,0.0007,593.7258
1170000,0.0,99.1,0.0,0.0143,29.4118,0.0206,-0.0008,0.0,0.0007,588.7991
1180000,0.0,2.2,0.0,0.0267,29.5858,0.0355,-0.0008,0.0,0.0007,589.3972
1190000,0.0,66.4,0.0,0.0188,27.6243,0.0249,-0.0008,0.0,0.0007,590.798
1200000,0.0,66.6,0.0,0.0351,41.1523,0.0494,-0.0008,0.0,0.0007,603.3947
1210000,0.0,324.0,0.0,0.0292,30.3951,0.0426,-0.0008,0.0,0.0007,588.7172
1220000,0.0,67.0,0.0,0.0173,26.3852,0.0237,-0.0009,0.0,0.0007,587.116
1230000,0.0,324.0,0.0,0.0334,31.5457,0.0442,-0.0009,0.0,0.0007,591.7799
1240000,0.0,131.0,0.0,0.0452,34.2466,0.0582,-0.0009,0.0,0.0007,587.681
1250000,0.0,99.3,0.0,0.0432,31.0559,0.0559,-0.0009,0.0,0.0007,594.6706
1260000,0.0,324.0,0.0,0.0535,42.0168,0.084,-0.0009,0.0,0.0007,599.2653
1270000,0.0,34.5,0.0,0.0356,26.8097,0.0456,-0.0009,0.0,0.0008,595.574
1280000,0.0,67.2,0.0,0.0599,32.7869,0.0721,-0.0009,0.0,0.0007,586.4923
1290000,0.0,324.0,0.0,0.0296,38.3142,0.0383,-0.0009,0.0,0.0007,585.6599
1300000,0.0,67.6,0.0,0.0414,36.3636,0.0545,-0.0009,0.0,0.0008,586.2452
