env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,259.4,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0,51.8135,0.0,-0.0218,0.0045,0.0014,154.2932
20000,0.0,324.0,0.0,0.0,43.29,0.0,-0.019,0.0022,0.0,408.9354
30000,0.0,324.0,0.0,0.0,48.5437,0.0,-0.0196,0.0016,0.0,406.9543
40000,0.0,324.0,0.0,0.0,47.8469,0.0,-0.0052,0.0003,0.0,397.6425
50000,0.0,324.0,0.0,0.0,46.9484,0.0,-0.0013,0.0,0.0,399.0193
60000,0.0,324.0,0.0,0.0,43.8596,0.0,-0.0022,0.0,0.0,392.2344
70000,0.0,324.0,0.0,0.0,49.7512,0.0,-0.0023,0.0,0.0,401.8412
80000,0.0,324.0,0.0,0.0,52.6316,0.0,-0.0025,0.0,0.0,405.3084
90000,0.0,324.0,0.0,0.0,47.619,0.0,-0.0029,0.0,0.0,400.3331
100000,0.0,324.0,0.0,0.0,53.4759,0.0,-0.0031,0.0,0.0,393.566
110000,0.0,324.0,0.0,0.0,55.5556,0.0,-0.0033,0.0,0.0,390.1286
120000,0.0,324.0,0.0,0.0,50.0,0.0,-0.0032,0.0,0.0,395.7322
130000,0.0,324.0,0.0,0.0,65.3595,0.0,-0.0033,0.0,0.0,384.3937
140000,0.0,324.0,0.0,0.0,56.4972,0.0,-0.0032,0.0,0.0,392.6843
150000,0.0,324.0,0.0,0.0,68.9655,0.0,-0.0033,0.0,0.0,386.6182
160000,0.0,324.0,0.0,0.0,56.4972,0.0,-0.0033,0.0,0.0,396.5892
170000,0.0,324.0,0.0,0.0,58.8235,0.0,-0.0034,0.0,0.0,395.5148
180000,0.0,324.0,0.0,0.0,64.9351,0.0,-0.0033,0.0,0.0,387.778
190000,0.0,324.0,0.0,0.0,59.1716,0.0,-0.0033,0.0,0.0,389.6852
200000,0.0,324.0,0.0,0.0,71.4286,0.0,-0.0033,0.0,0.0,394.3863
210000,0.0,324.0,0.0,0.0,69.9301,0.0,-0.0034,0.0,0.0,400.8571
220000,0.0,324.0,0.0,0.0,64.9351,0.0,-0.0034,0.0,0.0,386.0972
230000,0.0,324.0,0.0,0.0,90.0901,0.0,-0.0033,0.0,0.0,381.0212
240000,0.0,324.0,0.0,0.0,68.0272,0.0,-0.0034,0.0,0.0,384.1403
250000,0.0,324.0,0.0,0.0,72.9927,0.0,-0.0033,0.0,0.0,382.0265
260000,0.0,324.0,0.0,0.0071,53.7634,0.0108,-0.0034,0.0,0.0,391.8716
270000,0.0,34.5,0.0,0.0123,35.0877,0.014,-0.0033,0.0,0.0,383.6055
280000,0.0,291.9,0.0,0.0041,29.4118,0.0059,-0.0034,0.0,0.0,394.061
290000,0.0,131.4,0.0,0.0063,39.2157,0.0078,-0.0034,0.0,0.0001,400.8256
300000,0.0,324.0,0.0,0.0051,34.2466,0.0103,-0.0033,0.0,0.0001,391.6396
310000,0.0,324.0,0.0,0.0106,39.8406,0.012,-0.0034,0.0,0.0001,385.9031
320000,0.0958,164.1,0.1,0.0311,41.841,0.0418,-0.0034,0.0,0.0002,397.3572
330000,0.0,195.0,0.0,0.0386,39.2157,0.051,-0.0035,0.0,0.0003,380.5137
340000,0.0,324.0,0.0,0.0223,46.729,0.028,-0.0034,0.0,0.0003,384.0018
350000,0.0,324.0,0.0,0.049,117.6471,0.0706,-0.0035,0.0,0.0004,387.4562
360000,0.0,324.0,0.0,0.0302,129.8701,0.0519,-0.0034,0.0,0.0004,399.0325
370000,0.0,324.0,0.0,0.0249,108.6957,0.0326,-0.0034,0.0,0.0006,387.5709
380000,0.0,324.0,0.0,0.0557,151.5152,0.0909,-0.0034,0.0,0.0004,381.2175
390000,0.0,324.0,0.0,0.0968,108.6957,0.1522,-0.0033,0.0,0.0005,382.7005
400000,0.0,324.0,0.0,0.0507,92.5926,0.0833,-0.0033,0.0,0.0005,389.2405
410000,0.0,324.0,0.0,0.1143,109.8901,0.1429,-0.0034,0.0,0.0006,377.269
420000,0.0,324.0,0.0,0.1053,101.0101,0.1313,-0.0033,0.0,0.0007,385.0246
430000,0.0,324.0,0.0,0.0987,91.7431,0.1193,-0.0034,0.0001,0.0007,386.2892
440000,0.0964,292.9,0.1,0.1138,99.0099,0.1584,-0.0033,0.0,0.0007,389.6109
450000,0.0,324.0,0.0,0.1039,90.0901,0.1261,-0.0035,0.0,0.0007,391.7659
460000,0.0,324.0,0.0,0.1468,76.9231,0.1769,-0.0034,0.0001,0.0008,382.4815
470000,0.0942,293.7,0.1,0.1231,94.3396,0.1604,-0.0033,0.0,0.0007,390.646
480000,0.0517,309.0,0.1,0.1672,82.6446,0.2231,-0.0032,0.0001,0.0007,400.5813
490000,0.0964,292.9,0.1,0.1094,78.7402,0.1339,-0.0033,0.0001,0.0007,375.9355
500000,0.3856,199.6,0.4,0.2346,80.0,0.288,-0.0033,0.0001,0.0007,379.1809
510000,0.1906,262.6,0.2,0.3221,63.6943,0.3758,-0.0033,0.0001,0.0008,375.4541
520000,0.285,232.2,0.3,0.3482,71.4286,0.4214,-0.0034,0.0001,0.0011,400.0397
530000,0.095,293.4,0.1,0.3306,62.5,0.4,-0.0035,0.0001,0.0013,400.5667
540000,0.2478,245.6,0.3,0.4118,60.241,0.488,-0.0034,0.0002,0.0016,388.6947
550000,0.545,149.4,0.6,0.3955,61.7284,0.4691,-0.0035,0.0002,0.0018,391.4616
560000,0.2617,240.6,0.3,0.4482,66.2252,0.5232,-0.0034,0.0002,0.0019,373.2558
570000,0.1856,264.4,0.2,0.5047,57.1429,0.5771,-0.0036,0.0002,0.002,384.5453
580000,0.0,324.0,0.0,0.5052,58.8235,0.5941,-0.0034,0.0002,0.0021,385.6906
590000,0.1894,263.0,0.2,0.5771,49.2611,0.6601,-0.0034,0.0003,0.0022,396.9149
600000,0.0961,293.0,0.1,0.5387,53.7634,0.6129,-0.0034,0.0003,0.0023,387.3611
610000,0.2864,231.7,0.3,0.6145,46.729,0.6916,-0.0035,0.0003,0.0023,378.7456
620000,0.6639,110.2,0.7,0.5897,44.2478,0.6549,-0.0033,0.0004,0.0023,379.4348
630000,0.6678,108.8,0.7,0.6151,48.5437,0.6893,-0.0035,0.0004,0.0024,380.8951
640000,0.5642,142.5,0.6,0.6488,51.5464,0.7216,-0.0036,0.0004,0.0024,393.0509
650000,0.7667,76.8,0.8,0.6701,42.735,0.7436,-0.0032,0.0004,0.0025,387.4198
660000,0.575,138.6,0.6,0.679,44.4444,0.7511,-0.0033,0.0004,0.0026,376.8713
670000,0.6667,109.2,0.7,0.6396,44.0529,0.7181,-0.0032,0.0005,0.0026,382.6842
680000,0.3656,206.8,0.4,0.6661,39.5257,0.7273,-0.0035,0.0005,0.0027,381.6794
690000,0.6444,117.2,0.7,0.7099,41.6667,0.7958,-0.0034,0.0005,0.0027,385.5968
700000,0.4489,180.4,0.5,0.7098,39.0625,0.7852,-0.0034,0.0005,0.0027,379.7124
710000,0.5722,139.6,0.6,0.72,42.5532,0.7915,-0.0035,0.0005,0.0028,374.8857
720000,0.4756,142.7,0.5,0.7072,43.1034,0.7845,-0.0035,0.0006,0.0028,370.1884
730000,0.8375,54.9,0.9,0.7261,49.0196,0.8039,-0.0035,0.0006,0.0028,375.2233
740000,0.6689,108.4,0.7,0.7344,45.4545,0.8136,-0.0035,0.0006,0.0029,394.792
750000,0.5542,146.1,0.6,0.7822,40.8163,0.8612,-0.0035,0.0006,0.003,385.9353
760000,0.7578,80.0,0.8,0.7691,39.2157,0.8471,-0.0034,0.0006,0.003,383.9696
770000,0.6625,110.7,0.7,0.7442,38.4615,0.8192,-0.0034,0.0007,0.003,389.7805
780000,0.7639,77.8,0.8,0.7449,39.0625,0.8164,-0.0033,0.0007,0.0031,373.6537
790000,0.7628,78.2,0.8,0.7725,36.1011,0.8412,-0.0035,0.0007,0.0031,368.1296
800000,0.8569,47.9,0.9,0.7498,41.6667,0.8292,-0.0036,0.0008,0.0031,377.2323
810000,0.6514,114.7,0.7,0.7574,39.8406,0.8327,-0.0032,0.0007,0.0031,379.4492
820000,0.5703,140.3,0.6,0.7331,36.9004,0.7934,-0.0033,0.0007,0.0031,369.4261
830000,0.5744,138.8,0.6,0.7903,35.461,0.8546,-0.0034,0.0007,0.0032,383.5659
840000,0.8589,47.2,0.9,0.7827,35.461,0.8546,-0.0036,0.0008,0.0032,385.9378
850000,0.2858,231.9,0.3,0.8064,35.5872,0.879,-0.0037,0.0008,0.0032,371.9524
860000,0.8431,52.9,0.9,0.7998,31.8471,0.8726,-0.0036,0.0008,0.0032,373.924
870000,0.6681,108.7,0.7,0.7627,36.2319,0.8333,-0.0034,0.0008,0.0032,379.1396
880000,0.6669,109.1,0.7,0.7941,34.2466,0.863,-0.0035,0.0008,0.0032,380.1292
890000,0.9389,22.0,1.0,0.8154,31.746,0.8889,-0.0034,0.0009,0.0033,382.4333
900000,0.86,46.8,0.9,0.7879,37.4532,0.8539,-0.0036,0.0008,0.0033,375.7352
910000,0.7639,77.8,0.8,0.8293,34.3643,0.9072,-0.0034,0.0009,0.0033,374.3488
920000,0.9519,17.3,1.0,0.8117,31.4465,0.8836,-0.0034,0.0008,0.0033,385.4579
930000,0.5608,143.7,0.6,0.8017,38.0228,0.8783,-0.0036,0.0009,0.0033,385.3945
940000,0.8503,50.3,0.9,0.8422,32.4675,0.9123,-0.0036,0.0009,0.0034,378.8764
950000,0.5722,139.6,0.6,0.8099,39.2157,0.8824,-0.0037,0.0009,0.0033,368.4987
960000,0.955,16.2,1.0,0.8413,34.2466,0.9144,-0.0034,0.0009,0.0033,378.681
970000,0.7631,78.1,0.8,0.8196,38.4615,0.8923,-0.0033,0.0009,0.0034,367.3702
980000,0.8611,46.4,0.9,0.8342,33.1126,0.904,-0.0035,0.0009,0.0034,361.7859
990000,0.8592,47.1,0.9,0.8302,33.67,0.899,-0.0035,0.0009,0.0034,367.9619
1000000,0.6631,110.5,0.7,0.8073,39.5257,0.8775,-0.0034,0.0009,0.0034,365.3263
1010000,0.8578,47.6,0.9,0.8369,33.7838,0.9088,-0.0033,0.0009,0.0034,383.6862
1020000,0.7539,81.4,0.8,0.8601,29.6736,0.9318,-0.0036,0.0009,0.0034,378.5638
1030000,0.945,19.8,1.0,0.8663,32.5733,0.9446,-0.0036,0.0009,0.0035,372.0101
1040000,0.95,18.0,1.0,0.8248,31.746,0.8921,-0.0035,0.0009,0.0034,364.6652
1050000,0.6586,112.1,0.7,0.8272,35.461,0.9007,-0.0034,0.0009,0.0034,369.5333
1060000,0.7603,79.1,0.8,0.8348,33.7838,0.9054,-0.0035,0.0009,0.0034,363.9518
1070000,0.6558,113.1,0.7,0.8366,28.9855,0.9072,-0.0035,0.001,0.0034,372.4475
1080000,0.9442,20.1,1.0,0.8636,28.8184,0.928,-0.0033,0.0009,0.0034,375.2147
1090000,0.6736,110.3,0.8,0.8804,27.3973,0.9507,-0.0036,0.0009,0.0034,378.3077
1100000,0.9494,18.2,1.0,0.8667,28.4091,0.9375,-0.0036,0.0009,0.0035,378.1078
1110000,0.945,19.8,1.0,0.8681,29.6736,0.9377,-0.0034,0.0009,0.0035,371.2545
1120000,0.9544,16.4,1.0,0.8578,28.0112,0.9216,-0.0035,0.0009,0.0035,367.6936
1130000,0.9578,15.2,1.0,0.8673,28.4091,0.9347,-0.0036,0.001,0.0034,370.2383
1140000,0.8586,47.3,0.9,0.8239,35.8423,0.9068,-0.0035,0.001,0.0053,381.0593
1150000,0.9411,21.2,1.0,0.8724,31.25,0.9437,-0.0034,0.0009,0.0035,368.828
1160000,0.8881,40.3,1.0,0.8782,32.3625,0.9482,-0.0035,0.001,0.0035,369.2517
1170000,0.8611,46.4,0.9,0.8695,29.8507,0.9433,-0.0036,0.0011,0.0034,365.105
1180000,0.8542,48.9,0.9,0.8738,32.0513,0.9487,-0.0036,0.001,0.0034,379.2764
