env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0,44.4444,0.0,-2.1978,4.8974,0.0009,112.1541
20000,0.0,324.0,0.0,0.0009,47.1698,0.0047,-2.3581,5.7179,0.0,213.8735
30000,0.0,324.0,0.0,0.0,53.7634,0.0,-2.3783,5.992,0.0,211.5045
40000,0.0,324.0,0.0,0.0,46.0829,0.0,-2.386,6.0548,0.0,210.8091
50000,0.0,324.0,0.0,0.0,49.2611,0.0,-2.3955,6.1051,0.0,210.8342
60000,0.0,324.0,0.0,0.0,53.1915,0.0,-2.4045,6.143,0.0,210.5065
70000,0.0,324.0,0.0,0.0,52.6316,0.0,-2.4089,6.1584,0.0,209.6664
80000,0.0,324.0,0.0,0.0,59.5238,0.0,-2.41,6.1594,0.0,209.3276
90000,0.0,324.0,0.0,0.0,50.7614,0.0,-2.4107,6.1595,0.0,208.3554
100000,0.0,324.0,0.0,0.0,53.1915,0.0,-2.4113,6.1606,0.0,208.3135
110000,0.0,324.0,0.0,0.0,59.8802,0.0,-2.4146,6.1736,0.0,207.5033
120000,0.0,324.0,0.0,0.0,53.4759,0.0,-2.4155,6.1786,0.0,207.2582
130000,0.0,324.0,0.0,0.0,57.8035,0.0,-2.417,6.1831,0.0,206.9012
140000,0.0,261.0,0.0,0.0,60.6061,0.0,-2.4184,6.1875,0.0,207.1737
150000,0.0,324.0,0.0,0.0,57.8035,0.0,-2.4193,6.1904,0.0,206.5708
160000,0.0,132.4,0.0,0.0023,66.2252,0.0066,-2.4212,6.1979,0.0,206.5012
170000,0.0,102.2,0.0,0.0032,62.5,0.0063,-2.4225,6.2011,0.0,205.9684
180000,0.0,324.0,0.0,0.0,49.505,0.0,-2.4234,6.2032,0.0,205.6781
190000,0.0,324.0,0.0,0.0,51.0204,0.0,-2.4242,6.2058,0.0,206.1278
200000,0.0,324.0,0.0,0.0,46.0829,0.0,-2.4257,6.2123,0.0,205.3702
210000,0.0,165.1,0.0,0.0,41.3223,0.0,-2.4253,6.2066,0.0,206.0583
220000,0.0,324.0,0.0,0.0045,52.9101,0.0106,-2.4266,6.212,0.0,205.8852
230000,0.0,228.5,0.0,0.0,39.3701,0.0,-2.4274,6.2147,0.0,205.9744
240000,0.0,227.7,0.0,0.0055,44.4444,0.0089,-2.4284,6.2198,0.0,205.6658
250000,0.0,100.6,0.0,0.0032,40.8163,0.0041,-2.4288,6.2209,0.0,205.857
260000,0.0,98.8,0.0,0.0066,41.841,0.0084,-2.4299,6.2242,0.0,206.1468
270000,0.0,259.6,0.0,0.0,42.5532,0.0,-2.4302,6.223,0.0,206.0747
280000,0.0,183.9,0.0,0.0068,42.3729,0.0085,-2.4293,6.2227,0.0,206.2191
290000,0.0,99.8,0.0,0.0052,34.7222,0.0069,-2.4304,6.2285,0.0,206.272
300000,0.0,324.0,0.0,0.0,35.9712,0.0,-2.4292,6.2258,0.0,206.5802
310000,0.0,261.8,0.0,0.0092,38.3142,0.0115,-2.4298,6.2264,0.0,206.7856
320000,0.0,228.5,0.0,0.0049,37.1747,0.0074,-2.4286,6.226,0.0,206.5672
330000,0.0,197.6,0.0,0.0033,39.3701,0.0039,-2.4284,6.2278,0.0,206.7656
340000,0.0,229.5,0.0,0.0038,33.4448,0.0067,-2.4289,6.2342,0.0,206.7126
350000,0.0,71.3,0.0,0.0036,45.4545,0.0045,-2.4301,6.2445,0.0,206.7034
360000,0.0,228.8,0.0,0.0033,38.61,0.0039,-2.4277,6.2375,0.0,206.7004
370000,0.0,228.2,0.0,0.0025,37.8788,0.0038,-2.4276,6.2322,0.0,206.9431
380000,0.0,66.0,0.0,0.0078,36.3636,0.0109,-2.4292,6.2482,0.0,207.3072
390000,0.0,164.5,0.0,0.0098,39.2157,0.0118,-2.4311,6.2585,0.0,206.7162
400000,0.0,165.8,0.0,0.0,35.9712,0.0,-2.4298,6.237,0.0,206.9091
410000,0.0,162.6,0.0,0.0063,39.5257,0.0079,-2.4299,6.2441,0.0,206.9041
420000,0.0,228.2,0.0,0.0089,34.6021,0.0104,-2.429,6.2309,0.0,207.1204
430000,0.0,259.5,0.0,0.0097,29.4118,0.0118,-2.4296,6.2303,0.0001,207.0271
440000,0.0,292.0,0.0,0.003,33.4448,0.0033,-2.4303,6.251,0.0001,207.5287
450000,0.0,198.0,0.0,0.0115,35.5872,0.0178,-2.4305,6.2406,0.0,207.6672
460000,0.0,227.7,0.0,0.0187,43.4783,0.0261,-2.4306,6.2466,0.0001,207.49
470000,0.0,262.9,0.0,0.0029,39.5257,0.004,-2.4275,6.22,0.0001,207.4605
