env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,
10000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0004,0.0006,603.7216
20000,0.0,640.0,0.0,0.0,625.0,0.0,0.0001,0.0,759.1546
30000,0.0,640.0,0.0,0.0091,666.6667,0.0667,0.0001,0.0,644.8316
40000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,750.7173
50000,0.0,640.0,0.0,0.0186,625.0,0.0625,0.0004,0.0,751.1403
60000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0,745.5018
70000,0.0,640.0,0.0,0.0509,625.0,0.125,0.0006,0.0,744.4653
80000,0.0,640.0,0.0,0.0505,625.0,0.125,0.0005,0.0,744.0348
90000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0,740.9213
100000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0004,0.0,739.931
110000,0.0,640.0,0.0,0.0329,625.0,0.0625,0.0004,0.0,738.3652
120000,0.0,640.0,0.0,0.0,625.0,0.0,0.0004,0.0,733.2346
130000,0.0,640.0,0.0,0.0066,625.0,0.0625,0.0004,0.0,734.6175
140000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0005,0.0,733.2095
150000,0.0,640.0,0.0,0.0389,588.2353,0.0588,0.0005,0.0,731.2248
160000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0005,0.0,733.0277
170000,0.0,640.0,0.0,0.0,625.0,0.0,0.0005,0.0,720.9998
180000,0.0,640.0,0.0,0.0202,625.0,0.0625,0.0005,0.0,726.66
190000,0.0,640.0,0.0,0.0223,625.0,0.0625,0.0005,0.0,725.2441
200000,0.0,640.0,0.0,0.0129,666.6667,0.0667,0.0005,0.0,723.802
210000,0.0,640.0,0.0,0.0,625.0,0.0,0.0005,0.0,723.2497
220000,0.0,640.0,0.0,0.0,625.0,0.0,0.0005,0.0001,719.9504
230000,0.0,640.0,0.0,0.0629,625.0,0.125,0.0005,0.0,721.208
240000,0.0,640.0,0.0,0.0736,588.2353,0.1765,0.0005,0.0001,715.5468
250000,0.0,640.0,0.0,0.0248,625.0,0.0625,0.0005,0.0001,717.9223
260000,0.0,640.0,0.0,0.0629,625.0,0.125,0.0006,0.0001,715.0729
270000,0.0,640.0,0.0,0.0575,588.2353,0.1176,0.0006,0.0001,713.2893
280000,0.0,640.0,0.0,0.0631,625.0,0.125,0.0006,0.0001,705.6927
290000,0.0,640.0,0.0,0.0571,588.2353,0.1765,0.0006,0.0002,711.4144
