env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,,
10000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.002,0.0012,230.3819
20000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,745.8322
30000,0.0,640.0,0.0,0.0193,625.0,0.0625,-0.0,0.0,0.0,227.537
40000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,739.6575
50000,0.0,640.0,0.0,0.0301,625.0,0.0625,-0.0,0.0,0.0,738.9276
60000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,736.6705
70000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,736.8854
80000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,734.5691
90000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,732.0769
100000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,727.0993
110000,0.0,640.0,0.0,0.0156,625.0,0.0625,-0.0,0.0,0.0,721.5474
120000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,708.605
130000,0.0,640.0,0.0,0.0179,625.0,0.0625,-0.0,0.0,0.0,721.3409
140000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,719.8669
150000,0.0,640.0,0.0,0.0245,625.0,0.0625,-0.0,0.0,0.0,716.809
160000,0.0,640.0,0.0,0.0132,625.0,0.0625,-0.0,0.0,0.0,718.5926
170000,0.0,640.0,0.0,0.0295,625.0,0.125,-0.0,0.0,0.0,716.503
180000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,716.0315
190000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,716.2276
200000,0.0,640.0,0.0,0.0,625.0,0.0,-0.0,0.0,0.0,713.3432
210000,0.0,640.0,0.0,0.0,666.6667,0.0,-0.0,0.0,0.0,708.058
