env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,
10000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0016,0.001,490.697
20000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,749.1724
30000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0002,0.0,745.8476
40000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,743.2055
50000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,744.6825
60000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0002,0.0,738.1276
70000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,739.6503
80000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,736.1488
90000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0002,0.0,735.9911
100000,0.0,640.0,0.0,0.0272,625.0,0.0625,0.0002,0.0,551.4902
110000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,730.6885
120000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0002,0.0,725.0414
130000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,725.9588
140000,0.0,640.0,0.0,0.0252,625.0,0.0625,0.0002,0.0,719.9963
150000,0.0,640.0,0.0,0.035,625.0,0.0625,0.0002,0.0,719.9438
160000,0.0,640.0,0.0,0.0099,625.0,0.0625,0.0002,0.0,722.4515
170000,0.0,640.0,0.0,0.0324,625.0,0.0625,0.0002,0.0,719.993
180000,0.0,640.0,0.0,0.0389,625.0,0.0625,0.0002,0.0,722.0851
190000,0.0,640.0,0.0,0.0231,625.0,0.0625,0.0002,0.0,715.172
200000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,713.4591
210000,0.0,640.0,0.0,0.019,666.6667,0.0667,0.0002,0.0,710.8537
220000,0.0,640.0,0.0,0.0343,588.2353,0.0588,0.0002,0.0,709.1344
230000,0.0,640.0,0.0,0.0411,625.0,0.0625,0.0002,0.0,711.159
240000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0002,0.0,703.4586
250000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,699.3776
260000,0.0,640.0,0.0,0.0283,625.0,0.0625,0.0002,0.0,706.3158
270000,0.0,640.0,0.0,0.0,625.0,0.0,0.0002,0.0,703.9459
280000,0.0,640.0,0.0,0.0,666.6667,0.0,0.0002,0.0,702.9699
290000,0.0,640.0,0.0,0.0092,625.0,0.0625,0.0002,0.0,702.4874
