env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,,
10000,0.0,640.0,0.0,0.0,666.6667,0.0,-1.8871,4.5092,0.0008,199.8778
20000,0.0,640.0,0.0,0.0289,625.0,0.125,-2.0779,5.2372,0.0,197.5511
30000,0.0,640.0,0.0,0.0,625.0,0.0,-2.1244,5.4047,0.0,596.8381
40000,0.0,640.0,0.0,0.0598,625.0,0.125,-2.1462,5.4619,0.0,596.1918
50000,0.0,640.0,0.0,0.0,625.0,0.0,-2.1682,5.5291,0.0,593.0592
60000,0.0,640.0,0.0,0.0137,625.0,0.0625,-2.1851,5.574,0.0,593.4164
70000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.2011,5.6218,0.0,593.2892
80000,0.0,640.0,0.0,0.0063,625.0,0.0625,-2.2137,5.6572,0.0,590.7115
90000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.2279,5.7019,0.0,590.0477
100000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2385,5.7305,0.0,589.0334
110000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2487,5.7603,0.0,587.5477
120000,0.0,640.0,0.0,0.0279,625.0,0.0625,-2.2586,5.792,0.0,586.7926
130000,0.0,640.0,0.0,0.0537,625.0,0.0625,-2.2678,5.8182,0.0,586.4999
140000,0.0,640.0,0.0,0.0164,625.0,0.0625,-2.275,5.8385,0.0,585.0772
150000,0.0,640.0,0.0,0.0505,625.0,0.0625,-2.2831,5.8647,0.0,585.8798
160000,0.0,640.0,0.0,0.0311,625.0,0.0625,-2.2915,5.8927,0.0,583.469
170000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2963,5.9043,0.0,584.1908
180000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3039,5.9294,0.0,575.6796
190000,0.0,640.0,0.0,0.0426,625.0,0.125,-2.3085,5.942,0.0,582.4024
200000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3142,5.9574,0.0,579.8423
210000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3207,5.9805,0.0,579.2344
220000,0.0,640.0,0.0,0.0135,625.0,0.0625,-2.3246,5.9883,0.0,578.8842
230000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3295,6.0036,0.0,579.912
240000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3333,6.0151,0.0,577.0645
250000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3376,6.0287,0.0,575.0888
260000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3415,6.0395,0.0,575.8584
270000,0.0,640.0,0.0,0.042,625.0,0.125,-2.3448,6.0483,0.0,574.9115
280000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3469,6.0556,0.0,572.1388
290000,0.0,640.0,0.0,0.0469,625.0,0.0625,-2.3499,6.0634,0.0,574.5259
300000,0.0,640.0,0.0,0.0487,588.2353,0.1176,-2.3533,6.0722,0.0,572.5445
310000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3571,6.0852,0.0,571.9286
320000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3583,6.0853,0.0,571.811
330000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3613,6.0937,0.0,570.0144
340000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3643,6.1032,0.0,571.232
350000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3661,6.1064,0.0,570.8595
360000,0.0,640.0,0.0,0.03,625.0,0.0625,-2.3686,6.1128,0.0,569.9766
370000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3701,6.1174,0.0,561.9552
380000,0.0,640.0,0.0,0.0324,625.0,0.0625,-2.3722,6.1243,0.0,569.079
