env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,-1.0,3.3,0.0,,,,,,
10000,0.0,144.0,0.0,-0.9938,6.6445,0.0033,0.0009,0.0038,416.7718
20000,0.485,76.0,0.6,-0.9953,6.5488,0.0026,0.0008,0.0009,689.1824
30000,0.6394,56.1,0.9,-0.9936,6.9204,0.0035,0.0006,0.0013,690.4146
40000,0.4963,75.8,0.7,-0.9907,6.993,0.0049,0.0006,0.0018,689.8146
50000,0.6238,60.2,1.0,-0.99,7.57,0.0053,0.0006,0.0018,684.8298
60000,0.7781,35.5,1.0,-0.9799,7.6628,0.0107,0.0007,0.002,684.6007
70000,0.6806,49.5,0.9,-0.9899,7.5988,0.0053,0.0008,0.002,679.8383
80000,0.6638,53.8,1.0,-0.9901,7.6805,0.0054,0.0009,0.0025,680.1898
90000,0.7475,40.4,1.0,-0.9871,7.7519,0.007,0.0009,0.0026,676.6109
100000,0.8012,31.8,1.0,-0.9785,8.1633,0.0114,0.001,0.0025,676.4579
110000,0.6281,59.5,1.0,-0.9781,8.2645,0.0116,0.001,0.0028,673.9268
120000,0.68,49.6,0.9,-0.9712,8.9445,0.0152,0.0011,0.003,671.0527
130000,0.8962,16.6,1.0,-0.9608,9.1158,0.021,0.0011,0.0032,670.802
140000,0.7419,41.3,1.0,-0.9611,9.1324,0.021,0.0011,0.0035,669.5456
150000,0.8769,19.7,1.0,-0.9479,8.6207,0.0276,0.0012,0.0036,663.1722
160000,0.8456,24.7,1.0,-0.9367,9.5785,0.0335,0.0012,0.0041,673.7401
170000,0.8094,30.5,1.0,-0.9393,9.8135,0.0324,0.0012,0.004,675.4543
180000,0.8206,28.7,1.0,-0.91,9.8039,0.048,0.0013,0.0042,676.904
190000,0.8969,16.5,1.0,-0.9158,9.4967,0.0446,0.0013,0.0041,673.261
200000,0.9169,13.3,1.0,-0.8948,9.9701,0.0558,0.0013,0.004,654.3356
210000,0.8525,23.6,1.0,-0.8605,10.0705,0.0745,0.0013,0.0039,653.3803
220000,0.9062,15.0,1.0,-0.8226,10.5932,0.0943,0.0014,0.004,653.4828
230000,0.8975,16.4,1.0,-0.7854,10.3627,0.114,0.0014,0.0036,653.6045
