env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,-1.0,4.9,0.0,,,,,,,
10000,0.3394,99.3,0.6,-0.9897,6.7935,0.0054,-0.0385,0.0265,0.0115,127.0957
20000,0.7944,32.9,1.0,-0.9961,6.6667,0.002,-0.0544,0.0204,0.0028,653.0552
30000,0.45,83.2,0.7,-0.9987,6.7843,0.0007,-0.0687,0.0196,0.0022,656.919
40000,0.6212,59.0,0.9,-0.9908,6.9735,0.0049,-0.0675,0.0191,0.0024,656.9935
50000,0.8031,31.5,1.0,-0.9892,7.1788,0.0057,-0.0691,0.0191,0.0024,652.1521
60000,0.8931,17.1,1.0,-0.9915,7.5358,0.0045,-0.078,0.018,0.003,652.6872
70000,0.8244,28.1,1.0,-0.989,7.3584,0.0059,-0.0821,0.0178,0.003,654.839
80000,0.7638,37.8,1.0,-0.9803,8.1037,0.0105,-0.084,0.0178,0.0032,654.095
90000,0.8756,19.9,1.0,-0.9797,7.7882,0.0109,-0.0849,0.0177,0.0036,645.1819
100000,0.7706,36.7,1.0,-0.9695,8.1699,0.0163,-0.0849,0.0178,0.0037,641.6413
110000,0.8219,28.5,1.0,-0.9726,8.4962,0.0144,-0.0862,0.018,0.0037,643.4117
120000,0.6575,53.2,0.9,-0.961,9.0334,0.0208,-0.0849,0.0181,0.0034,642.3683
130000,0.8469,24.5,1.0,-0.9601,8.7873,0.0211,-0.0853,0.0183,0.0035,640.9519
140000,0.9181,13.1,1.0,-0.9413,9.2593,0.0315,-0.0961,0.0178,0.0033,643.3536
150000,0.8906,17.5,1.0,-0.9328,8.7032,0.0357,-0.1021,0.0179,0.0032,635.0175
160000,0.9069,14.9,1.0,-0.9083,9.5511,0.0487,-0.1066,0.0179,0.0033,635.5232
170000,0.9163,13.4,1.0,-0.9017,9.3897,0.0526,-0.1089,0.0175,0.0031,637.4763
180000,0.8844,18.5,1.0,-0.8871,9.6993,0.0601,-0.1083,0.0176,0.0029,637.7952
190000,0.9219,12.5,1.0,-0.8917,9.9305,0.0576,-0.1053,0.0179,0.003,635.424
200000,0.9113,14.2,1.0,-0.8451,10.02,0.0822,-0.1043,0.0175,0.0031,633.8338
210000,0.9119,14.1,1.0,-0.8581,9.8912,0.0752,-0.1043,0.0174,0.003,632.1946
220000,0.9019,15.7,1.0,-0.8279,10.6838,0.0919,-0.1036,0.0178,0.0029,633.7393
230000,0.9019,15.7,1.0,-0.8317,10.1215,0.0891,-0.0986,0.0179,0.0028,625.9628
240000,0.9231,12.3,1.0,-0.7555,10.3734,0.1297,-0.0965,0.0177,0.0027,624.6591
250000,0.9081,14.7,1.0,-0.8078,10.352,0.1025,-0.0955,0.0178,0.0026,629.9794
260000,0.8731,20.3,1.0,-0.8016,10.4603,0.1056,-0.0944,0.0181,0.0024,623.471
270000,0.9037,15.4,1.0,-0.7482,10.3306,0.1333,-0.0942,0.0178,0.0024,628.2009
280000,0.9163,13.4,1.0,-0.7487,10.4275,0.1335,-0.0942,0.0178,0.0024,620.8608
290000,0.9088,14.6,1.0,-0.7203,10.6838,0.1485,-0.0936,0.0177,0.0024,621.875
