env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,-1.0,6.0,0.0,,,,,,
10000,0.2319,113.3,0.4,-0.9962,6.6711,0.002,0.0884,0.0112,342.0246
20000,-0.1744,117.7,0.2,-0.9937,6.6934,0.0033,0.0889,0.0015,690.888
30000,0.4519,84.5,0.8,-0.9987,6.8966,0.0007,0.0932,0.0015,680.9368
40000,0.5381,72.3,0.9,-0.988,7.0822,0.0064,0.0924,0.0019,681.9165
50000,0.4294,86.5,0.7,-0.9987,6.8918,0.0007,0.0933,0.0027,685.8263
60000,0.3387,79.7,0.7,-0.9903,7.2993,0.0051,0.0942,0.0026,682.2882
70000,0.7106,44.7,0.9,-0.989,7.3584,0.0059,0.093,0.0027,676.1627
80000,0.6369,58.1,1.0,-0.9839,7.8003,0.0086,0.093,0.003,677.8412
90000,0.8269,27.7,1.0,-0.977,7.6805,0.0123,0.0919,0.0031,675.8577
100000,0.4725,82.8,0.9,-0.9897,7.8555,0.0055,0.0935,0.0031,671.9126
110000,0.2194,116.9,0.5,-0.9677,8.0841,0.017,0.0935,0.0036,674.3043
120000,0.43,89.6,0.9,-0.962,8.4674,0.0203,0.0932,0.0042,672.5218
130000,0.8631,21.9,1.0,-0.9546,8.9206,0.0241,0.0939,0.0047,669.0858
140000,0.8412,25.4,1.0,-0.9576,8.4388,0.0228,0.0936,0.0054,663.2571
150000,0.8637,21.8,1.0,-0.9322,8.8261,0.0362,0.0925,0.0045,665.5423
160000,0.845,24.8,1.0,-0.9408,9.3458,0.0318,0.0935,0.0037,663.8276
170000,0.8975,16.4,1.0,-0.9226,9.7847,0.0411,0.0936,0.0031,661.6039
180000,0.8794,19.3,1.0,-0.8779,9.4251,0.065,0.0931,0.003,659.7178
190000,0.8881,17.9,1.0,-0.9091,9.5238,0.0486,0.0929,0.0028,658.1292
200000,0.8519,23.7,1.0,-0.8594,9.8232,0.0747,0.0926,0.0028,658.3184
210000,0.9244,12.1,1.0,-0.8456,9.9602,0.0817,0.0916,0.0028,653.2319
220000,0.9088,14.6,1.0,-0.8158,10.2354,0.0972,0.092,0.0028,655.318
230000,0.9119,14.1,1.0,-0.8607,10.3842,0.0737,0.0917,0.0026,654.1574
240000,0.8981,16.3,1.0,-0.8006,10.3093,0.1062,0.0911,0.0024,652.6944
250000,0.8488,24.2,1.0,-0.8053,10.3306,0.1033,0.0914,0.0023,648.4673
260000,0.9238,12.2,1.0,-0.7854,10.4603,0.114,0.0918,0.0023,649.0918
270000,0.9106,14.3,1.0,-0.7627,10.395,0.1258,0.0907,0.0022,647.5407
280000,0.9006,15.9,1.0,-0.7356,10.3842,0.1402,0.0897,0.0021,644.4194
290000,0.9,16.0,1.0,-0.7381,10.661,0.1386,0.0914,0.0022,644.1811
300000,0.8906,17.5,1.0,-0.72,11.4155,0.1484,0.0902,0.0021,647.5
310000,0.8825,18.8,1.0,-0.7047,11.0132,0.1564,0.0899,0.0021,644.4015
320000,0.9119,14.1,1.0,-0.652,11.534,0.1857,0.0889,0.0021,641.7308
330000,0.8831,18.7,1.0,-0.6696,11.6414,0.1758,0.0899,0.0021,641.6148
340000,0.9156,13.5,1.0,-0.6539,11.2994,0.1831,0.0898,0.0021,643.1797
350000,0.8981,16.3,1.0,-0.5859,12.1212,0.2194,0.0887,0.0021,640.1434
360000,0.8706,20.7,1.0,-0.6127,11.8624,0.2052,0.0892,0.0023,638.6599
370000,0.9062,15.0,1.0,-0.6026,11.919,0.211,0.0891,0.0022,636.8617
380000,0.8931,17.1,1.0,-0.5605,11.7096,0.233,0.0881,0.0022,633.8014
390000,0.8906,17.5,1.0,-0.5375,11.7371,0.2453,0.0888,0.0022,634.7377
400000,0.9225,12.4,1.0,-0.511,12.1655,0.2591,0.0885,0.0022,632.927
410000,0.8769,19.7,1.0,-0.4541,12.4533,0.2889,0.0887,0.0023,636.2444
420000,0.92,12.8,1.0,-0.4728,12.4069,0.2804,0.0879,0.0022,632.5587
430000,0.9013,15.8,1.0,-0.4325,12.4224,0.3006,0.0882,0.0022,631.5939
440000,0.8413,25.4,1.0,-0.3955,12.7065,0.3215,0.0867,0.0023,632.6521
450000,0.9181,13.1,1.0,-0.3912,12.7389,0.3223,0.0864,0.0022,632.9177
460000,0.9119,14.1,1.0,-0.3982,12.285,0.3182,0.0862,0.0022,628.6458
470000,0.8938,17.0,1.0,-0.361,12.3762,0.3379,0.0863,0.0022,628.1511
480000,0.9137,13.8,1.0,-0.3228,12.5313,0.3584,0.0866,0.0022,629.3723
490000,0.9013,15.8,1.0,-0.295,13.2979,0.3737,0.0859,0.0021,627.1217
500000,0.9425,9.2,1.0,-0.3679,12.8205,0.3346,0.0858,0.0021,626.6097
510000,0.935,10.4,1.0,-0.2881,12.6904,0.3769,0.0856,0.0021,622.1509
520000,0.9156,13.5,1.0,-0.2734,12.987,0.3844,0.0852,0.0021,622.7706
530000,0.7562,39.0,1.0,-0.2213,13.0548,0.4112,0.0845,0.0022,624.7023
540000,0.8975,16.4,1.0,-0.24,13.2979,0.4016,0.0855,0.002,624.8533
550000,0.9113,14.2,1.0,-0.2207,13.1579,0.4118,0.0855,0.0021,618.2435
560000,0.9056,15.1,1.0,-0.2016,13.4048,0.4223,0.0844,0.0021,620.5139
570000,0.9031,15.5,1.0,-0.1129,13.624,0.4687,0.0843,0.0021,619.578
580000,0.8975,16.4,1.0,-0.2129,13.21,0.4161,0.0841,0.0021,619.2987
590000,0.8613,22.2,1.0,-0.089,14.0845,0.4831,0.0833,0.002,617.4973
600000,0.9006,15.9,1.0,-0.1033,13.1234,0.4738,0.0834,0.0021,618.207
610000,0.9137,13.8,1.0,-0.0971,13.7174,0.4774,0.0842,0.0021,616.5494
620000,0.9062,15.0,1.0,-0.0668,13.3333,0.4933,0.0844,0.002,616.5531
630000,0.9125,14.0,1.0,-0.056,13.587,0.4973,0.0834,0.002,611.4559
640000,0.9119,14.1,1.0,-0.0798,12.9702,0.4851,0.0833,0.002,615.2804
650000,0.87,20.8,1.0,-0.0437,14.0845,0.5056,0.0827,0.002,615.7671
660000,0.9012,15.8,1.0,-0.0108,13.1062,0.5203,0.0824,0.002,612.6904
670000,0.9181,13.1,1.0,-0.084,13.0039,0.4824,0.0816,0.0021,612.5677
