env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,-1.0,3.8,0.0,,,,,,,
10000,0.0,144.0,0.0,-0.9935,6.7705,0.0034,-1.9865,4.8848,0.0432,118.9137
20000,0.0,144.0,0.0,-0.9912,6.6534,0.0047,-2.1188,5.39,0.0085,673.0614
30000,0.0,144.0,0.0,-0.9935,6.8213,0.0034,-2.1567,5.5286,0.0081,672.7582
40000,0.0794,136.1,0.3,-0.991,6.734,0.0047,-2.1838,5.6198,0.008,667.0676
50000,0.3906,92.7,0.7,-0.9933,7.1788,0.0036,-2.2066,5.7004,0.0082,667.0008
60000,0.0144,124.9,0.2,-0.9838,7.2046,0.0086,-2.2269,5.7607,0.0068,663.4426
70000,0.715,45.6,1.0,-0.9917,7.4349,0.0045,-2.2451,5.8253,0.0077,656.7891
80000,0.7794,35.3,1.0,-0.987,7.6394,0.0069,-2.2606,5.8787,0.006,657.7437
90000,0.5356,71.1,0.8,-0.9896,7.776,0.0054,-2.2717,5.913,0.0066,652.1135
100000,0.2562,112.6,0.6,-0.9914,7.6104,0.0046,-2.2826,5.9443,0.0061,648.9596
110000,0.2575,110.8,0.5,-0.9788,8.658,0.0113,-2.2934,5.9807,0.005,649.8199
120000,0.5975,59.6,0.7,-0.9837,8.7873,0.0088,-2.3039,6.0163,0.0052,646.8151
130000,0.7544,39.3,1.0,-0.9671,9.1996,0.0175,-2.3131,6.046,0.0049,640.0231
140000,0.5119,76.5,0.9,-0.9736,8.7336,0.014,-2.3217,6.0703,0.0048,644.6792
150000,0.5656,69.5,1.0,-0.9554,9.2421,0.024,-2.3316,6.1059,0.0046,641.2313
160000,0.7656,37.5,1.0,-0.9677,9.1659,0.0174,-2.3377,6.1242,0.0044,640.9783
170000,0.7462,40.6,1.0,-0.9442,9.6993,0.0301,-2.3453,6.1504,0.0046,639.4547
180000,0.5456,69.5,0.8,-0.9376,10.142,0.0335,-2.3525,6.1735,0.0049,638.0468
190000,0.6687,53.0,1.0,-0.9336,10.1317,0.0355,-2.3586,6.1926,0.005,633.0248
