env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.7325,39.6,0.8,-0.872,6.4558,0.0652,0.0015,0.0115,432.8828
20000,0.9088,14.6,1.0,-0.8158,6.5789,0.0941,0.0015,0.0078,689.4938
30000,0.875,20.0,1.0,-0.8196,6.5617,0.0919,0.0014,0.0064,687.2896
40000,0.6512,54.2,0.9,-0.8083,6.5703,0.0979,0.0014,0.0063,683.5327
50000,0.4656,79.1,0.6,-0.8095,6.812,0.0974,0.0014,0.0076,682.0369
60000,0.8156,27.9,0.9,-0.8157,7.0872,0.0943,0.0014,0.0093,682.1879
70000,0.8344,26.5,1.0,-0.7962,7.446,0.1042,0.0015,0.0103,681.9584
80000,0.8512,23.8,1.0,-0.7513,7.2674,0.1272,0.0015,0.0105,677.9077
90000,0.81,30.4,1.0,-0.7569,7.5075,0.1246,0.0015,0.0109,673.574
100000,0.6856,48.7,0.9,-0.7577,7.722,0.1243,0.0015,0.0127,669.7129
110000,0.7825,34.8,1.0,-0.7114,7.8125,0.1484,0.0015,0.0163,665.5126
120000,0.6213,59.0,0.9,-0.7316,8.1235,0.1381,0.0015,0.0216,668.6683
130000,0.8962,16.6,1.0,-0.734,7.9936,0.1367,0.0016,0.0284,662.7576
140000,0.8131,29.9,1.0,-0.7806,8.3126,0.1131,0.0016,0.0417,662.365
150000,0.7106,46.3,1.0,-0.7002,7.8864,0.1538,0.0016,0.0606,658.4989
160000,0.8419,25.3,1.0,-0.6611,8.3822,0.1744,0.0016,0.0415,659.9551
170000,0.8825,18.8,1.0,-0.6883,8.3612,0.1605,0.0017,0.0538,658.1489
180000,0.8863,18.2,1.0,-0.5935,8.2576,0.2089,0.0016,0.0284,657.6656
190000,0.7969,32.5,1.0,-0.5949,8.547,0.2085,0.0016,0.0293,655.7967
200000,0.9287,11.4,1.0,-0.5461,8.3893,0.2332,0.0016,0.015,654.3262
210000,0.9094,14.5,1.0,-0.5041,8.2237,0.2558,0.0016,0.0109,649.5082
220000,0.8688,21.0,1.0,-0.4523,8.569,0.2819,0.0015,0.0074,648.9145
230000,0.9456,8.7,1.0,-0.4082,8.1301,0.3041,0.0015,0.0054,646.7684
240000,0.9531,7.5,1.0,-0.3859,8.244,0.3166,0.0015,0.0041,645.7418
250000,0.925,12.0,1.0,-0.3572,8.1301,0.3309,0.0015,0.0035,645.6493
260000,0.9631,5.9,1.0,-0.326,8.3056,0.3463,0.0015,0.004,645.8376
270000,0.9256,11.9,1.0,-0.2805,8.0515,0.3696,0.0015,0.0031,641.5032
280000,0.9581,6.7,1.0,-0.2963,8.2372,0.3624,0.0015,0.0031,641.0909
290000,0.9638,5.8,1.0,-0.2865,8.0128,0.367,0.0015,0.0032,643.1258
300000,0.94,9.6,1.0,-0.2574,8.4034,0.3824,0.0015,0.0033,640.2725
310000,0.9337,10.6,1.0,-0.2388,8.2919,0.3914,0.0015,0.0033,639.6172
320000,0.9419,9.3,1.0,-0.1843,8.244,0.4196,0.0015,0.0039,638.6518
330000,0.93,11.2,1.0,-0.178,8.5034,0.4235,0.0015,0.003,637.4686
340000,0.8119,28.5,0.9,-0.1229,8.4246,0.4516,0.0015,0.0032,637.9935
