env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,,
10000,0.4794,75.3,0.5,-0.8581,6.5189,0.0724,-0.0133,0.0365,0.0234,128.5178
20000,0.9094,14.5,1.0,-0.8517,6.5274,0.0757,-0.0142,0.034,0.0257,657.4922
30000,0.89,17.6,1.0,-0.8199,6.7568,0.0919,-0.0185,0.0334,0.0201,648.3764
40000,0.9506,7.9,1.0,-0.8104,6.6845,0.0969,-0.0255,0.0327,0.0157,645.2214
50000,0.9313,11.0,1.0,-0.7873,6.7522,0.1087,-0.0341,0.0324,0.0116,645.7588
60000,0.895,16.8,1.0,-0.7698,7.148,0.1179,-0.0447,0.0322,0.0091,649.8345
70000,0.9013,15.8,1.0,-0.7497,7.1891,0.128,-0.0597,0.0316,0.0077,643.4796
80000,0.9494,8.1,1.0,-0.7639,7.4294,0.1211,-0.0873,0.0326,0.0081,642.8421
90000,0.9587,6.6,1.0,-0.7442,7.5472,0.1313,-0.1083,0.0278,0.008,639.6614
100000,0.9275,11.6,1.0,-0.7194,7.3964,0.1435,-0.1076,0.0272,0.0053,638.3541
110000,0.94,9.6,1.0,-0.6693,7.4074,0.1696,-0.1081,0.027,0.0055,635.2597
120000,0.9463,8.6,1.0,-0.6534,7.4571,0.1775,-0.1081,0.0267,0.0056,634.7537
130000,0.9119,14.1,1.0,-0.6308,7.8064,0.1897,-0.1077,0.0262,0.0054,635.1458
140000,0.9006,15.9,1.0,-0.6204,7.7101,0.1943,-0.1161,0.0256,0.0055,635.3333
150000,0.8875,18.0,1.0,-0.5948,7.5019,0.2078,-0.134,0.025,0.0053,629.0768
160000,0.93,11.2,1.0,-0.5603,7.8927,0.2257,-0.1389,0.0248,0.005,627.5473
170000,0.9494,8.1,1.0,-0.4893,7.5873,0.2618,-0.1406,0.0243,0.0048,626.8001
180000,0.8975,16.4,1.0,-0.5332,7.6394,0.2399,-0.1407,0.0244,0.0046,629.1635
190000,0.9369,10.1,1.0,-0.4687,8.0257,0.2737,-0.1418,0.0244,0.0044,628.7604
200000,0.9544,7.3,1.0,-0.411,7.9302,0.3029,-0.1425,0.0243,0.0043,630.224
210000,0.9587,6.6,1.0,-0.3777,7.9365,0.3206,-0.1428,0.0237,0.004,622.7284
220000,0.9481,8.3,1.0,-0.405,7.874,0.3055,-0.143,0.0239,0.0038,621.8633
230000,0.9444,8.9,1.0,-0.3695,7.9051,0.3241,-0.144,0.0238,0.0036,620.3573
240000,0.9563,7.0,1.0,-0.3473,8.0972,0.336,-0.1441,0.0238,0.0034,623.8146
250000,0.95,8.0,1.0,-0.291,8.0257,0.3644,-0.1448,0.0239,0.0034,620.1937
260000,0.9581,6.7,1.0,-0.3139,8.1103,0.3528,-0.1442,0.0235,0.0031,620.5023
270000,0.9287,11.4,1.0,-0.1975,7.8003,0.4126,-0.1451,0.0238,0.0031,616.4772
280000,0.9662,5.4,1.0,-0.2437,7.7882,0.3886,-0.1489,0.0236,0.0031,618.5535
290000,0.9481,8.3,1.0,-0.2304,7.8431,0.3953,-0.151,0.0234,0.003,617.5557
300000,0.9388,9.8,1.0,-0.1979,8.2508,0.4125,-0.1518,0.0231,0.003,615.0309
310000,0.95,8.0,1.0,-0.189,8.15,0.4173,-0.1528,0.0232,0.0029,609.833
320000,0.9513,7.8,1.0,-0.1293,8.2102,0.4475,-0.1534,0.0229,0.0028,613.9455
330000,0.9462,8.6,1.0,-0.0538,7.874,0.4858,-0.1525,0.0227,0.0028,611.1893
340000,0.9631,5.9,1.0,-0.0981,7.9239,0.4635,-0.1543,0.0231,0.0028,612.0635
350000,0.9381,9.9,1.0,-0.0586,8.2305,0.4848,-0.1565,0.0229,0.0027,616.3738
360000,0.8688,19.4,0.9,-0.0738,8.5179,0.4761,-0.1567,0.0226,0.0027,608.2605
370000,0.9469,8.5,1.0,-0.0415,8.2713,0.493,-0.1587,0.0227,0.0027,605.5738
380000,0.9181,13.1,1.0,-0.0328,8.5837,0.4979,-0.1585,0.0225,0.0028,609.3578
390000,0.9419,9.3,1.0,-0.0264,8.2237,0.5008,-0.1586,0.0223,0.0028,608.5736
400000,0.9437,9.0,1.0,0.0472,8.1103,0.5377,-0.1597,0.0223,0.0028,601.6956
410000,0.9406,9.5,1.0,0.0312,8.2237,0.5296,-0.1598,0.0222,0.0028,606.3798
420000,0.9525,7.6,1.0,0.0562,8.0257,0.5425,-0.1601,0.0222,0.0028,602.6079
430000,0.9625,6.0,1.0,0.0864,8.5251,0.5592,-0.1614,0.0219,0.0027,607.3658
440000,0.95,8.0,1.0,0.1275,8.0257,0.5795,-0.1612,0.0219,0.0025,599.4868
450000,0.9412,9.4,1.0,0.1722,8.1633,0.6024,-0.1616,0.0216,0.0025,597.1003
460000,0.9525,7.6,1.0,0.1281,7.9936,0.5795,-0.1618,0.0216,0.0024,595.2214
470000,0.9456,8.7,1.0,0.19,8.3822,0.6119,-0.1628,0.0215,0.0024,599.0186
480000,0.8506,22.3,0.9,0.1452,8.0972,0.5887,-0.1616,0.0217,0.0024,598.4253
490000,0.9631,5.9,1.0,0.1793,8.2919,0.6061,-0.1623,0.0214,0.0024,592.5288
500000,0.9494,8.1,1.0,0.1878,8.1301,0.6106,-0.1634,0.0214,0.0024,594.8739
510000,0.9688,5.0,1.0,0.2554,8.244,0.6455,-0.1613,0.0213,0.0026,596.9163
520000,0.95,8.0,1.0,0.2297,7.874,0.6315,-0.1623,0.0213,0.0027,592.2943
530000,0.925,12.0,1.0,0.2278,8.4246,0.6318,-0.1636,0.0211,0.0026,594.8636
540000,0.965,5.6,1.0,0.2645,8.0321,0.6498,-0.1646,0.0211,0.0027,588.7637
550000,0.9494,8.1,1.0,0.3209,8.0257,0.679,-0.1652,0.021,0.0028,595.0415
560000,0.9319,10.9,1.0,0.2787,8.4531,0.6577,-0.1651,0.0214,0.0028,593.7009
570000,0.9669,5.3,1.0,0.2807,8.2305,0.6584,-0.1655,0.021,0.0028,591.1031
580000,0.9525,7.6,1.0,0.3411,8.4459,0.69,-0.1669,0.0208,0.0029,588.094
590000,0.9494,8.1,1.0,0.308,8.1103,0.6723,-0.1664,0.0207,0.0029,590.4652
600000,0.9594,6.5,1.0,0.3992,8.7108,0.7204,-0.1657,0.021,0.0029,590.7577
610000,0.1888,117.0,0.2,0.1915,10.0908,0.6145,-0.1199,0.0335,0.0043,593.3699
620000,0.86,22.4,1.0,-0.185,14.7929,0.426,-0.0642,0.0543,0.0039,596.7271
630000,0.8481,24.3,1.0,-0.0811,13.0548,0.4778,-0.0752,0.051,0.0033,592.7927
640000,0.7831,34.7,1.0,0.0374,12.4533,0.538,-0.0841,0.0481,0.0029,590.0167
650000,0.7744,36.1,1.0,-0.0072,12.8041,0.5134,-0.0872,0.0481,0.0031,588.8116
660000,0.8575,22.8,1.0,0.071,13.8696,0.5576,-0.0931,0.048,0.003,591.3111
670000,0.5763,61.4,0.6,-0.0344,12.7226,0.5013,-0.106,0.0443,0.0035,588.9497
680000,0.8525,23.6,1.0,-0.0359,14.4718,0.5036,-0.1279,0.0433,0.0033,584.4173
690000,0.4881,73.9,0.5,-0.1665,16.4745,0.4316,-0.1521,0.0275,0.0039,591.268
700000,0.5463,66.2,0.6,-0.0369,16.0514,0.4992,-0.1164,0.0264,0.0029,585.2087
710000,0.7019,46.1,0.9,-0.0321,13.9276,0.4986,-0.1134,0.026,0.0033,581.534
720000,0.7175,43.6,0.9,0.0361,14.8588,0.5423,-0.1162,0.035,0.0052,584.0597
730000,0.9313,11.0,1.0,0.1728,12.9534,0.6101,-0.1266,0.0253,0.0043,580.1456
740000,0.9,16.0,1.0,0.2581,11.8064,0.6541,-0.1319,0.0244,0.0033,579.4964
750000,0.8119,30.1,1.0,0.282,11.2486,0.6648,-0.134,0.0239,0.0028,580.7683
760000,0.9344,10.5,1.0,0.3432,10.661,0.6951,-0.1367,0.0235,0.0026,575.9974
770000,0.8331,25.1,0.9,0.3466,10.395,0.6965,-0.1379,0.0233,0.0025,579.0616
780000,0.9156,13.5,1.0,0.3717,10.4822,0.7096,-0.1395,0.0233,0.0025,577.597
790000,0.7494,36.9,0.8,0.3676,10.846,0.7072,-0.1397,0.0228,0.0026,577.8997
800000,0.9319,10.9,1.0,0.4093,10.627,0.7279,-0.1403,0.0228,0.0026,577.9933
810000,0.9375,10.0,1.0,0.4135,9.6618,0.7285,-0.1401,0.0229,0.0026,578.2312
820000,0.9356,10.3,1.0,0.4603,10.6045,0.754,-0.1409,0.0226,0.0025,575.4395
830000,0.9331,10.7,1.0,0.4309,10.3306,0.7386,-0.1407,0.0226,0.0025,575.9894
840000,0.9387,9.8,1.0,0.4255,10.6383,0.7372,-0.1387,0.0224,0.0026,573.329
850000,0.9631,5.9,1.0,0.5003,10.1937,0.7737,-0.1423,0.0222,0.0025,573.9009
860000,0.8625,20.4,0.9,0.5162,10.142,0.7819,-0.1451,0.022,0.0023,574.2203
870000,0.9412,9.4,1.0,0.4542,9.9701,0.7507,-0.1469,0.0215,0.0024,570.8941
880000,0.9394,9.7,1.0,0.4875,10.142,0.7667,-0.1468,0.0217,0.0024,575.7342
890000,0.945,8.8,1.0,0.4474,9.6525,0.7452,-0.1467,0.0214,0.0023,573.3762
900000,0.8569,21.3,0.9,0.5293,10.2775,0.7883,-0.1463,0.0214,0.0024,571.9999
910000,0.8644,20.1,0.9,0.5583,9.5877,0.8035,-0.1478,0.0214,0.0024,574.0463
920000,0.9213,12.6,1.0,0.6082,9.4251,0.8285,-0.1485,0.021,0.0026,565.3597
930000,0.9175,13.2,1.0,0.5502,9.6899,0.7994,-0.1483,0.0211,0.0029,567.0208
940000,0.95,8.0,1.0,0.5864,9.7656,0.8184,-0.1498,0.021,0.0031,568.4653
950000,0.945,8.8,1.0,0.5793,8.8968,0.8132,-0.1504,0.0208,0.0032,564.3297
960000,0.9562,7.0,1.0,0.6131,9.5238,0.8314,-0.151,0.0206,0.0034,568.3149
970000,0.9463,8.6,1.0,0.5804,9.0744,0.814,-0.1477,0.0208,0.004,568.1063
980000,0.9381,9.9,1.0,0.6327,8.5985,0.8392,-0.1496,0.0205,0.0045,565.2308
990000,0.9525,7.6,1.0,0.6684,8.9526,0.8585,-0.1507,0.0202,0.005,565.0973
1000000,0.915,13.6,1.0,0.6419,8.7873,0.8445,-0.1508,0.0202,0.005,566.3012
1010000,0.9488,8.2,1.0,0.6578,8.658,0.8528,-0.1507,0.02,0.0046,564.5162
1020000,0.9631,5.9,1.0,0.6461,8.6655,0.8466,-0.1502,0.0199,0.0042,561.4825
1030000,0.9538,7.4,1.0,0.6744,8.7951,0.861,-0.149,0.0198,0.0041,562.3462
1040000,0.9544,7.3,1.0,0.6767,8.3126,0.8612,-0.1502,0.0196,0.0037,561.8895
1050000,0.9437,9.0,1.0,0.6782,8.4388,0.8624,-0.1505,0.0196,0.0038,562.7894
1060000,0.9619,6.1,1.0,0.6648,8.9526,0.8568,-0.1496,0.0194,0.0042,563.3353
1070000,0.9369,10.1,1.0,0.6533,8.7336,0.8507,-0.1498,0.0194,0.0043,561.5654
1080000,0.9625,6.0,1.0,0.6793,8.7951,0.8637,-0.1471,0.0197,0.0046,561.5814
1090000,0.9488,8.2,1.0,0.7061,8.4459,0.8767,-0.1506,0.0194,0.0045,560.5124
1100000,0.9456,8.7,1.0,0.6272,8.7489,0.8373,-0.1493,0.0191,0.004,560.9366
1110000,0.9331,10.7,1.0,0.6682,9.1324,0.8584,-0.1524,0.019,0.0043,557.9781
1120000,0.9656,5.5,1.0,0.6681,8.2919,0.8566,-0.1531,0.0192,0.0041,558.9465
1130000,0.9481,8.3,1.0,0.6796,8.8183,0.8642,-0.1534,0.0188,0.0038,559.8767
1140000,0.9381,9.9,1.0,0.7021,8.285,0.8741,-0.1544,0.0187,0.0036,558.5831
1150000,0.945,8.8,1.0,0.7155,8.8261,0.8826,-0.1541,0.0187,0.0035,558.4518
1160000,0.9463,8.6,1.0,0.7467,8.4034,0.8975,-0.153,0.0189,0.0038,558.0108
1170000,0.9469,8.5,1.0,0.6977,8.7032,0.8729,-0.1543,0.0182,0.0037,556.6177
1180000,0.9719,4.5,1.0,0.7231,8.3682,0.8854,-0.154,0.0184,0.0037,555.3621
1190000,0.9412,9.4,1.0,0.7001,8.9127,0.8743,-0.1537,0.0183,0.004,556.3764
1200000,0.965,5.6,1.0,0.6971,8.5985,0.8727,-0.1529,0.0182,0.0039,557.806
1210000,0.9381,9.9,1.0,0.7164,8.3472,0.8815,-0.1526,0.0183,0.0037,554.9235
1220000,0.945,8.8,1.0,0.6924,8.4674,0.8696,-0.1507,0.0183,0.0037,552.3189
1230000,0.965,5.6,1.0,0.7326,8.1699,0.8897,-0.1526,0.0179,0.0035,554.8435
1240000,0.9544,7.3,1.0,0.7344,8.4246,0.8913,-0.1521,0.0182,0.0036,554.8086
1250000,0.9344,10.5,1.0,0.7312,8.3195,0.8894,-0.1553,0.0179,0.0034,553.6828
1260000,0.96,6.4,1.0,0.7419,8.643,0.8954,-0.1543,0.0179,0.0034,554.8736
1270000,0.9381,9.9,1.0,0.7391,8.3612,0.893,-0.1515,0.0179,0.0033,552.305
1280000,0.9481,8.3,1.0,0.7313,8.3264,0.8893,-0.1532,0.0175,0.0034,552.869
1290000,0.935,10.4,1.0,0.7686,8.3264,0.9084,-0.1527,0.0176,0.0034,552.3171
1300000,0.9519,7.7,1.0,0.7637,8.6957,0.907,-0.1529,0.0174,0.0034,551.4076
1310000,0.9587,6.6,1.0,0.7475,8.3752,0.8978,-0.1529,0.0175,0.0033,551.5155
1320000,0.9338,10.6,1.0,0.753,8.1967,0.9,-0.1522,0.0174,0.0034,549.511
1330000,0.96,6.4,1.0,0.7583,8.6356,0.9041,-0.1523,0.0175,0.0035,549.8433
1340000,0.9419,9.3,1.0,0.7747,8.5251,0.9122,-0.1543,0.0173,0.0033,547.1308
1350000,0.9581,6.7,1.0,0.7535,8.2305,0.9004,-0.1546,0.017,0.0033,548.3219
1360000,0.9594,6.5,1.0,0.7313,8.244,0.8887,-0.1555,0.0168,0.0034,547.7774
1370000,0.9531,7.5,1.0,0.7515,8.6059,0.9002,-0.157,0.0168,0.0033,548.3354
1380000,0.9356,10.3,1.0,0.7762,8.3403,0.9124,-0.1586,0.0166,0.0032,545.0776
1390000,0.9506,7.9,1.0,0.7602,8.4388,0.9046,-0.1578,0.0166,0.0033,546.8308
1400000,0.9519,7.7,1.0,0.7375,8.0451,0.8914,-0.1587,0.0165,0.0033,546.5906
1410000,0.9619,6.1,1.0,0.7695,8.1235,0.9082,-0.1565,0.0163,0.0034,545.8626
1420000,0.9437,9.0,1.0,0.7481,8.1699,0.8971,-0.1586,0.0163,0.0036,540.374
1430000,0.9712,4.6,1.0,0.7821,8.1037,0.9149,-0.1598,0.0163,0.0034,546.4301
1440000,0.9256,11.9,1.0,0.7932,8.0451,0.9204,-0.1593,0.0162,0.0033,544.1485
1450000,0.9369,10.1,1.0,0.7661,8.7489,0.9081,-0.1625,0.0161,0.0033,544.6355
1460000,0.9656,5.5,1.0,0.7788,8.3333,0.9133,-0.1619,0.0163,0.0034,542.7
1470000,0.9256,11.9,1.0,0.7836,8.0645,0.9153,-0.1626,0.016,0.0034,541.2351
1480000,0.9525,7.6,1.0,0.7786,7.8003,0.9119,-0.1631,0.0158,0.0034,544.2943
1490000,0.9581,6.7,1.0,0.7777,8.2919,0.9129,-0.1622,0.0158,0.0035,542.162
1500000,0.9625,6.0,1.0,0.7815,8.3963,0.9152,-0.1598,0.0161,0.0036,543.1033
1510000,0.9563,7.0,1.0,0.7731,8.2237,0.9104,-0.162,0.0157,0.0035,541.0677
1520000,0.9431,9.1,1.0,0.8013,8.6281,0.9258,-0.1638,0.0157,0.0033,540.7472
1530000,0.9594,6.5,1.0,0.7432,8.1103,0.8946,-0.1615,0.0158,0.0033,539.7928
1540000,0.9262,11.8,1.0,0.7728,8.0451,0.9099,-0.164,0.0157,0.0033,543.0658
1550000,0.9481,8.3,1.0,0.7942,8.6505,0.9221,-0.1646,0.0156,0.0035,540.8454
1560000,0.9437,9.0,1.0,0.7748,8.3333,0.9117,-0.1636,0.0155,0.0034,543.1681
1570000,0.9394,9.7,1.0,0.7887,7.8802,0.9173,-0.164,0.0157,0.0032,540.5107
1580000,0.9675,5.2,1.0,0.7856,7.9365,0.9159,-0.1614,0.0154,0.0031,540.0998
1590000,0.9313,11.0,1.0,0.804,8.285,0.9263,-0.1634,0.0152,0.0031,538.1297
1600000,0.9125,14.0,1.0,0.7773,8.3126,0.9127,-0.1636,0.0155,0.0033,538.7951
1610000,0.9606,6.3,1.0,0.7607,9.3023,0.907,-0.1702,0.0198,0.0047,539.7758
1620000,0.9531,7.5,1.0,0.7753,9.1659,0.9138,-0.1827,0.0177,0.0043,541.787
1630000,0.95,8.0,1.0,0.7945,8.9445,0.9231,-0.156,0.0157,0.0037,541.3316
1640000,0.9344,10.5,1.0,0.779,9.3371,0.916,-0.1475,0.0148,0.0033,539.835
