env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,-0.3019,44.0,0.2,,,,,,
10000,0.8694,20.9,1.0,-0.8681,6.6622,0.0673,0.1258,0.023,351.4973
20000,0.84,25.6,1.0,-0.8643,6.7843,0.0692,0.1304,0.0205,681.4698
30000,0.8812,19.0,1.0,-0.8239,6.6489,0.0898,0.1332,0.0186,678.8747
40000,0.9,16.0,1.0,-0.8247,6.6845,0.0896,0.136,0.0161,676.8221
50000,0.9094,14.5,1.0,-0.7932,6.9396,0.1055,0.1371,0.0132,675.611
60000,0.9544,7.3,1.0,-0.805,7.1994,0.0994,0.1386,0.0105,673.7147
70000,0.8088,29.0,0.9,-0.7544,7.3046,0.1256,0.1368,0.0094,672.2419
80000,0.9137,13.8,1.0,-0.7777,7.3421,0.1138,0.1377,0.0092,667.2842
90000,0.915,13.6,1.0,-0.7018,7.4906,0.1528,0.1384,0.0084,666.3577
100000,0.9287,11.4,1.0,-0.7472,7.1994,0.1296,0.14,0.0088,663.6658
110000,0.9275,11.6,1.0,-0.6926,7.7042,0.1579,0.1388,0.0085,663.8896
120000,0.9363,10.2,1.0,-0.6957,7.657,0.1562,0.1387,0.0082,661.0816
130000,0.9369,10.1,1.0,-0.6592,7.6805,0.1751,0.1385,0.0071,661.1469
140000,0.9075,14.8,1.0,-0.6269,7.716,0.1914,0.1383,0.0067,659.5455
150000,0.9237,12.2,1.0,-0.6164,7.3475,0.1969,0.1384,0.0064,654.714
160000,0.9069,14.9,1.0,-0.5788,8.3264,0.2165,0.1381,0.0061,654.2328
170000,0.8812,19.0,1.0,-0.5434,7.6394,0.2345,0.139,0.0057,650.8135
180000,0.9406,9.5,1.0,-0.5279,7.8309,0.2428,0.1392,0.0052,652.1126
190000,0.9463,8.6,1.0,-0.5333,7.9428,0.2399,0.1391,0.0049,652.4634
200000,0.95,8.0,1.0,-0.4326,7.9428,0.2915,0.1389,0.0046,650.9334
210000,0.9463,8.6,1.0,-0.5006,8.1301,0.2569,0.1402,0.0044,647.0312
220000,0.9413,9.4,1.0,-0.3586,7.9114,0.3291,0.1392,0.0042,645.7172
230000,0.9388,9.8,1.0,-0.4218,8.15,0.2975,0.1395,0.0042,644.873
240000,0.9231,12.3,1.0,-0.4151,8.0515,0.3003,0.1381,0.0041,643.4321
250000,0.9488,8.2,1.0,-0.4125,8.673,0.3027,0.1372,0.0041,638.4141
260000,0.9369,10.1,1.0,-0.3766,8.1967,0.3205,0.1383,0.004,640.4929
270000,0.9306,11.1,1.0,-0.3456,8.0064,0.3363,0.136,0.004,636.6028
280000,0.95,8.0,1.0,-0.3269,8.285,0.3463,0.1367,0.0037,638.786
290000,0.9194,12.9,1.0,-0.3565,8.6059,0.3313,0.1374,0.0039,637.667
300000,0.9413,9.4,1.0,-0.3022,8.3264,0.3589,0.1361,0.0036,632.8684
310000,0.9062,15.0,1.0,-0.3188,8.6881,0.351,0.1365,0.0036,635.4455
320000,0.9575,6.8,1.0,-0.2602,8.4746,0.3805,0.1363,0.0034,634.0663
330000,0.8838,18.6,1.0,-0.1958,8.6806,0.4141,0.1342,0.0036,632.3003
340000,0.9506,7.9,1.0,-0.1652,8.7951,0.4301,0.1356,0.0038,625.5511
350000,0.9363,10.2,1.0,-0.1987,8.8417,0.4129,0.1361,0.0038,628.9858
360000,0.9187,13.0,1.0,-0.1554,9.0253,0.435,0.1345,0.0036,631.0575
370000,0.9088,14.6,1.0,-0.1541,8.8261,0.436,0.1331,0.0035,628.2548
380000,0.8744,20.1,1.0,-0.147,8.9928,0.4388,0.1339,0.0035,628.8418
390000,0.9012,15.8,1.0,-0.1343,8.569,0.4456,0.1339,0.0035,628.1692
400000,0.9269,11.7,1.0,-0.0694,9.2678,0.4801,0.1323,0.0034,625.3365
410000,0.9556,7.1,1.0,-0.0549,9.5969,0.4875,0.1318,0.0034,626.5685
420000,0.9338,10.6,1.0,0.0067,9.2937,0.5195,0.1324,0.0034,623.9062
430000,0.8925,17.2,1.0,0.0133,9.3809,0.5225,0.1321,0.004,622.8668
440000,0.9119,14.1,1.0,-0.0478,9.311,0.4916,0.1311,0.0033,620.8722
450000,0.8681,21.1,1.0,-0.0179,8.9767,0.5063,0.1304,0.0031,618.5882
460000,0.9506,7.9,1.0,-0.0711,9.7276,0.4805,0.1292,0.0032,619.5274
470000,0.9163,13.4,1.0,-0.0798,9.8619,0.4753,0.1294,0.0033,618.3268
480000,0.9119,14.1,1.0,0.0386,8.9928,0.5351,0.1292,0.0034,617.7603
490000,0.9225,12.4,1.0,0.0483,9.2851,0.5404,0.1285,0.0033,615.468
500000,0.9556,7.1,1.0,-0.0105,10.0908,0.5116,0.1299,0.0037,617.6675
510000,0.9125,14.0,1.0,0.017,10.101,0.5253,0.1288,0.0037,614.1543
520000,0.7612,35.0,0.8,0.033,9.7943,0.5328,0.1296,0.0037,612.7721
530000,0.8781,19.5,1.0,0.0366,10.5263,0.5358,0.1302,0.0036,610.992
540000,0.9144,13.7,1.0,0.0977,9.6899,0.5669,0.1278,0.0033,613.0837
550000,0.9481,8.3,1.0,0.178,9.7561,0.6078,0.128,0.0033,614.4971
560000,0.8806,19.1,1.0,0.1348,10.5263,0.5863,0.1262,0.0033,610.981
570000,0.8812,19.0,1.0,0.0654,10.4493,0.5507,0.1271,0.0039,609.0535
580000,0.9206,12.7,1.0,0.1467,10.4603,0.5931,0.1258,0.0031,609.1788
590000,0.9338,10.6,1.0,0.1524,10.5597,0.5956,0.1253,0.0032,609.9649
600000,0.5825,62.0,0.7,0.1589,10.6838,0.5994,0.1253,0.0032,608.3107
610000,0.9412,9.4,1.0,0.1207,10.7991,0.5799,0.1238,0.0032,605.7833
620000,0.9319,10.9,1.0,0.1974,10.0705,0.6173,0.1229,0.0032,607.7829
630000,0.9,16.0,1.0,0.1418,11.5741,0.5914,0.1218,0.0034,606.3373
640000,0.8969,16.5,1.0,0.2187,10.5708,0.63,0.1224,0.0034,603.9874
650000,0.8606,22.3,1.0,0.1905,10.0503,0.6141,0.1219,0.0034,605.3003
660000,0.9525,7.6,1.0,0.2641,10.917,0.6539,0.1214,0.0033,603.2793
670000,0.9056,15.1,1.0,0.1775,10.1729,0.6083,0.1209,0.0032,599.8484
680000,0.8738,20.2,1.0,0.2397,10.627,0.6419,0.121,0.0032,603.9239
690000,0.9631,5.9,1.0,0.2167,10.661,0.6301,0.1197,0.0032,603.9105
700000,0.9069,14.9,1.0,0.2672,10.7759,0.6552,0.1194,0.0032,600.0465
710000,0.9194,12.9,1.0,0.2511,10.3199,0.646,0.1175,0.0033,598.5007
720000,0.9381,9.9,1.0,0.255,10.5263,0.6484,0.1189,0.0035,598.7137
730000,0.8925,17.2,1.0,0.2897,9.7087,0.665,0.1177,0.003,596.1276
740000,0.9319,10.9,1.0,0.287,10.7991,0.6652,0.1158,0.0032,597.4863
750000,0.9019,15.7,1.0,0.3301,10.9649,0.6886,0.1168,0.0033,599.4725
760000,0.9406,9.5,1.0,0.3441,10.7643,0.6954,0.1153,0.0033,597.8824
770000,0.845,24.8,1.0,0.3393,10.4603,0.6914,0.1162,0.0032,597.1407
780000,0.935,10.4,1.0,0.3426,10.2881,0.6934,0.1154,0.0032,596.3563
790000,0.9469,8.5,1.0,0.3409,10.5597,0.6927,0.1148,0.0032,597.0768
800000,0.8344,26.5,1.0,0.3864,10.7527,0.7172,0.1152,0.0032,595.5735
810000,0.9463,8.6,1.0,0.4245,10.6045,0.737,0.1132,0.0031,596.2604
820000,0.9169,13.3,1.0,0.3383,11.4155,0.6941,0.1136,0.0037,595.0343
830000,0.9113,14.2,1.0,0.4078,10.582,0.728,0.1134,0.0032,593.9369
840000,0.9319,10.9,1.0,0.3587,11.236,0.7034,0.1123,0.0032,591.3557
850000,0.7956,31.1,0.9,0.4559,11.274,0.7542,0.112,0.0032,592.6896
860000,0.9419,9.3,1.0,0.4236,10.8814,0.7367,0.1113,0.0031,593.1799
870000,0.9469,8.5,1.0,0.4115,10.7875,0.7303,0.1113,0.0031,591.3086
880000,0.9062,15.0,1.0,0.4314,10.5485,0.7395,0.11,0.0033,592.3285
890000,0.8781,19.5,1.0,0.4306,10.7759,0.7403,0.1096,0.0032,590.6503
900000,0.9319,10.9,1.0,0.4005,11.6009,0.7262,0.1093,0.0032,586.4902
910000,0.955,7.2,1.0,0.4541,11.3507,0.7537,0.109,0.0031,588.7652
920000,0.9306,11.1,1.0,0.4916,11.919,0.7747,0.1082,0.0031,589.5354
930000,0.9256,11.9,1.0,0.4853,11.4155,0.7694,0.1091,0.0031,587.3514
940000,0.6462,51.8,0.7,0.4703,11.6959,0.7626,0.1083,0.0031,586.7494
950000,0.8306,27.1,1.0,0.4493,11.5473,0.7506,0.1076,0.0033,586.4388
960000,0.9344,10.5,1.0,0.4594,11.3766,0.7565,0.1073,0.0032,583.2718
970000,0.8944,16.9,1.0,0.4635,11.5741,0.7581,0.1061,0.0032,586.2378
980000,0.87,20.8,1.0,0.53,12.2549,0.7953,0.1056,0.0031,584.3569
990000,0.9619,6.1,1.0,0.5481,11.8906,0.8038,0.1054,0.0032,582.0283
1000000,0.9,16.0,1.0,0.5034,11.9617,0.7799,0.1053,0.0032,584.6088
1010000,0.9494,8.1,1.0,0.447,11.3507,0.7503,0.1045,0.0032,584.265
1020000,0.9506,7.9,1.0,0.5123,11.1732,0.7832,0.1046,0.0032,580.9993
1030000,0.8456,24.7,1.0,0.5476,11.325,0.8018,0.1039,0.0032,580.1857
1040000,0.8456,23.1,0.9,0.3325,15.0602,0.6928,0.1047,0.0038,580.9252
1050000,0.7606,35.1,0.8,0.2716,17.0068,0.665,0.1054,0.0033,583.6007
1060000,0.9475,8.4,1.0,0.348,16.4474,0.7007,0.1033,0.0032,580.1881
1070000,0.6287,54.6,0.7,0.4247,13.6612,0.7404,0.1021,0.0035,578.4552
1080000,0.8669,21.3,1.0,0.3766,15.3846,0.7169,0.1032,0.0035,578.2192
1090000,0.9519,7.7,1.0,0.3701,15.8983,0.7138,0.1018,0.0037,579.0503
1100000,0.9488,8.2,1.0,0.4166,14.1443,0.7383,0.1033,0.0035,577.6053
1110000,0.6381,54.7,0.8,0.4588,14.0449,0.7612,0.1034,0.0034,576.1727
1120000,0.8456,23.1,0.9,0.368,15.748,0.7118,0.1021,0.0034,577.0794
1130000,0.6981,45.1,0.8,0.3831,15.8479,0.7211,0.1004,0.0031,575.9251
1140000,0.9194,12.9,1.0,0.3294,18.0505,0.6968,0.1023,0.003,574.7885
1150000,0.9363,10.2,1.0,0.3181,18.1488,0.6897,0.1007,0.0031,575.7208
