env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,-0.6019,1.7,0.2,,,,,,,
10000,0.0,144.0,0.0,-0.8502,6.7613,0.0764,-2.3045,6.5499,0.1038,119.0692
20000,0.0,144.0,0.0,-0.8718,6.6007,0.0653,-2.569,7.7233,0.1003,670.7583
30000,0.0,144.0,0.0,-0.8753,6.8399,0.0636,-2.6396,8.0682,0.0987,668.0908
40000,0.0,144.0,0.0,-0.86,7.1023,0.0717,-2.6572,8.1265,0.0964,664.9317
50000,0.0,144.0,0.0,-0.8475,7.2202,0.078,-2.7489,8.6951,0.094,665.8192
60000,0.0,144.0,0.0,-0.8416,7.5188,0.0812,-2.8258,9.0945,0.0929,662.1798
70000,0.0,144.0,0.0,-0.8486,7.7042,0.0778,-2.8486,9.1977,0.0918,666.7611
80000,0.0,144.0,0.0,-0.8566,7.8927,0.0734,-2.8665,9.2687,0.0913,651.7678
90000,0.0,144.0,0.0,-0.8652,8.1301,0.0691,-2.8823,9.332,0.0902,655.9064
100000,0.0,144.0,0.0,-0.8454,8.569,0.0797,-2.8969,9.3936,0.0896,652.852
110000,0.0,144.0,0.0,-0.864,8.19,0.0696,-2.9115,9.4548,0.0888,645.3972
120000,0.0,144.0,0.0,-0.8684,8.8574,0.0673,-2.923,9.5,0.0875,646.0558
130000,0.0,144.0,0.0,-0.8588,8.8028,0.0722,-2.9352,9.5539,0.0864,652.9387
140000,0.0,144.0,0.0,-0.8555,8.9606,0.0744,-2.9075,9.3694,0.0854,642.1813
150000,0.0,144.0,0.0,-0.8467,9.3633,0.0787,-2.8353,8.8354,0.0843,644.291
160000,0.0,144.0,0.0,-0.874,9.6712,0.0648,-2.8512,8.8992,0.0833,641.9061
170000,0.0,144.0,0.0,-0.8853,10.1626,0.0589,-2.8602,8.9363,0.0827,635.0219
180000,0.0,144.0,0.0,-0.8697,10.3413,0.0672,-2.8679,8.9683,0.0813,634.0053
190000,0.0,144.0,0.0,-0.8762,10.3413,0.0641,-2.8743,8.9924,0.0805,633.0506
200000,0.0,144.0,0.0,-0.8402,10.5374,0.0822,-2.8811,9.0179,0.0798,634.649
210000,0.0,144.0,0.0,-0.8667,11.2613,0.0687,-2.887,9.0414,0.0791,633.3477
220000,0.0,144.0,0.0,-0.861,10.7066,0.0717,-2.8928,9.0623,0.0781,627.2359
