env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0006,0.0006,572.4014
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,758.247
30000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,758.6802
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,758.3505
50000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,754.8955
60000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,752.2681
70000,0.0,270.0,0.0,0.0104,270.2703,0.0541,0.0005,0.0,631.8159
80000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,739.9212
90000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,740.5465
100000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,737.9479
110000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,735.167
120000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,734.612
130000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,732.2617
140000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,730.1698
150000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,727.9827
160000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,725.6017
170000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,725.7295
180000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,721.8592
190000,0.0,270.0,0.0,0.0139,263.1579,0.0263,0.0005,0.0,723.4727
200000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,717.1069
210000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,720.8197
220000,0.0,270.0,0.0,0.0078,270.2703,0.027,0.0005,0.0,721.9319
230000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,715.4344
240000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,716.3112
250000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,710.9497
260000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,712.5307
270000,0.0,270.0,0.0,0.0028,270.2703,0.027,0.0005,0.0,711.4479
280000,0.0,270.0,0.0,0.0182,263.1579,0.0526,0.0005,0.0,712.4653
290000,0.0,270.0,0.0,0.0147,263.1579,0.0263,0.0005,0.0,708.0843
300000,0.0,270.0,0.0,0.0095,270.2703,0.027,0.0005,0.0,706.5263
310000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,709.3085
320000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,709.0636
330000,0.0,270.0,0.0,0.0207,263.1579,0.0526,0.0005,0.0,707.4352
340000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,705.0727
350000,0.0,270.0,0.0,0.0242,270.2703,0.0541,0.0005,0.0,705.79
360000,0.0,270.0,0.0,0.0161,263.1579,0.0263,0.0005,0.0,701.2963
370000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0006,0.0,700.7385
380000,0.0,270.0,0.0,0.0175,263.1579,0.0526,0.0006,0.0,698.5871
390000,0.0,270.0,0.0,0.0325,263.1579,0.0526,0.0006,0.0,696.0685
400000,0.0,270.0,0.0,0.0692,256.4103,0.1282,0.0006,0.0,693.3765
410000,0.0,270.0,0.0,0.048,256.4103,0.1026,0.0006,0.0,691.4421
420000,0.0,270.0,0.0,0.061,256.4103,0.1026,0.0006,0.0,693.96
430000,0.0,270.0,0.0,0.0488,256.4103,0.1026,0.0006,0.0001,693.038
440000,0.0,270.0,0.0,0.1217,238.0952,0.2381,0.0006,0.0001,693.9073
450000,0.0,270.0,0.0,0.2021,222.2222,0.3556,0.0006,0.0001,692.9691
460000,0.0,270.0,0.0,0.2582,204.0816,0.3878,0.0006,0.0002,687.7132
470000,0.1893,219.2,0.2,0.2693,200.0,0.42,0.0006,0.0002,689.2649
480000,0.2837,193.9,0.3,0.3928,172.4138,0.6379,0.0006,0.0004,688.3202
490000,0.565,118.5,0.6,0.4333,158.7302,0.5873,0.0007,0.0007,686.4232
500000,0.187,219.9,0.2,0.3943,166.6667,0.5333,0.0007,0.0009,678.4602
510000,0.4717,143.5,0.5,0.4452,153.8462,0.6154,0.0007,0.0011,694.3193
520000,0.4633,146.0,0.5,0.4115,166.6667,0.5833,0.0007,0.0013,693.087
530000,0.1857,220.3,0.2,0.3613,175.4386,0.5263,0.0007,0.0014,682.9888
540000,0.1817,221.5,0.2,0.3802,172.4138,0.4828,0.0008,0.0013,671.3902
550000,0.1857,220.3,0.2,0.4017,166.6667,0.55,0.0008,0.0013,675.3504
560000,0.277,195.9,0.3,0.4812,142.8571,0.6571,0.0008,0.0013,675.5519
570000,0.4617,146.5,0.5,0.5858,117.6471,0.7882,0.0008,0.0013,689.0893
580000,0.1877,219.7,0.2,0.485,147.0588,0.6912,0.0008,0.0014,690.2066
590000,0.458,147.6,0.5,0.6232,106.383,0.8085,0.0008,0.0014,671.6237
600000,0.631,101.7,0.7,0.6497,101.0101,0.8485,0.0008,0.0015,668.9165
610000,0.553,122.1,0.6,0.7485,72.9927,0.9416,0.0008,0.0016,665.7628
620000,0.4407,152.8,0.5,0.7363,77.5194,0.9457,0.0009,0.0018,666.9752
630000,0.8237,49.9,0.9,0.7836,64.5161,0.9806,0.0009,0.002,658.9441
640000,0.8127,53.2,0.9,0.8018,59.5238,0.9881,0.0009,0.002,661.2722
650000,0.9053,28.4,1.0,0.8177,53.4759,0.9786,0.0009,0.0021,658.9043
660000,0.822,50.4,0.9,0.8326,50.0,0.99,0.0009,0.0022,652.9374
670000,0.729,75.3,0.8,0.8453,45.8716,0.9862,0.001,0.0022,652.2703
680000,0.7313,74.6,0.8,0.8257,52.0833,0.9896,0.001,0.0022,650.1407
690000,0.53,129.0,0.6,0.8298,50.5051,0.9848,0.001,0.0022,647.4137
700000,0.4557,148.3,0.5,0.8321,50.5051,1.0,0.001,0.0022,642.4424
710000,0.4387,153.4,0.5,0.84,47.619,0.9905,0.001,0.0022,643.5277
720000,0.631,101.7,0.7,0.8397,47.8469,0.9904,0.001,0.0023,644.1131
730000,0.895,31.5,1.0,0.8516,44.2478,0.9912,0.0011,0.0022,640.596
740000,0.8193,51.2,0.9,0.852,44.2478,0.9956,0.0011,0.0023,638.6696
750000,0.9047,28.6,1.0,0.8547,43.4783,0.9957,0.0011,0.0023,638.7607
760000,0.823,50.1,0.9,0.8473,46.5116,1.0,0.0011,0.0023,634.4701
770000,0.713,80.1,0.8,0.8407,46.9484,0.9953,0.0011,0.0024,633.1841
780000,0.8923,32.3,1.0,0.8411,47.1698,0.9858,0.0011,0.0024,634.1145
790000,0.898,30.6,1.0,0.8566,42.9185,0.9957,0.0011,0.0023,633.1095
800000,0.6133,107.0,0.7,0.8527,44.2478,1.0,0.0011,0.0023,629.7833
810000,0.624,103.8,0.7,0.8322,50.2513,0.995,0.0011,0.0024,630.8464
820000,0.7373,72.8,0.8,0.846,45.8716,0.9954,0.0012,0.0024,629.5312
830000,0.8147,52.6,0.9,0.8409,47.619,0.9905,0.0012,0.0024,625.9765
840000,0.63,102.0,0.7,0.8516,44.4444,1.0,0.0012,0.0024,628.0414
850000,0.9067,28.0,1.0,0.8486,45.4545,0.9955,0.0012,0.0024,628.5632
860000,0.736,73.2,0.8,0.8518,44.0529,0.9956,0.0012,0.0024,626.6235
870000,0.9163,25.1,1.0,0.8622,41.4938,0.9959,0.0012,0.0024,625.6233
880000,0.8133,53.0,0.9,0.8647,40.3226,0.996,0.0012,0.0024,624.3159
890000,0.807,54.9,0.9,0.8675,39.6825,1.0,0.0012,0.0024,623.747
900000,0.8997,30.1,1.0,0.8663,40.1606,0.996,0.0012,0.0023,623.319
910000,0.839,48.3,1.0,0.865,40.3226,1.0,0.0012,0.0024,623.4959
920000,0.8183,51.5,0.9,0.865,40.4858,1.0,0.0012,0.0024,620.4642
930000,0.7377,72.7,0.8,0.8688,39.3701,1.0,0.0012,0.0025,619.6037
940000,0.903,29.1,1.0,0.8765,37.3134,1.0,0.0012,0.0024,618.6665
950000,0.864,40.8,1.0,0.8738,37.4532,0.9963,0.0012,0.0024,618.0783
960000,0.7357,76.3,0.9,0.8699,38.9105,0.9961,0.0012,0.0025,621.3259
970000,0.9177,24.7,1.0,0.875,37.4532,0.9963,0.0012,0.0024,614.1238
980000,0.7853,61.4,0.9,0.8773,36.7647,1.0,0.0012,0.0024,618.683
990000,0.8083,54.5,0.9,0.883,35.0877,1.0,0.0012,0.0024,619.6712
1000000,0.8213,50.6,0.9,0.8745,37.594,0.9962,0.0013,0.0024,616.4539
1010000,0.9233,23.0,1.0,0.8876,33.67,1.0,0.0013,0.0024,614.8269
1020000,0.8173,51.8,0.9,0.8846,34.7222,1.0,0.0013,0.0024,613.0951
1030000,0.9167,25.0,1.0,0.8886,33.3333,1.0,0.0013,0.0024,614.3915
1040000,0.917,24.9,1.0,0.8899,33.0033,1.0,0.0013,0.0024,613.9828
1050000,0.8307,47.8,0.9,0.8781,36.4964,0.9964,0.0013,0.0025,613.3449
1060000,0.8097,54.1,0.9,0.8839,34.8432,1.0,0.0013,0.0024,612.8329
1070000,0.9247,22.6,1.0,0.8939,31.8471,1.0,0.0013,0.0024,611.9194
1080000,0.912,26.4,1.0,0.8932,32.0513,1.0,0.0013,0.0024,612.7625
1090000,0.9103,26.9,1.0,0.8941,31.746,1.0,0.0013,0.0024,611.7059
1100000,0.9263,22.1,1.0,0.8917,32.4675,1.0,0.0013,0.0024,609.4226
1110000,0.8903,32.9,1.0,0.8936,31.9489,1.0,0.0013,0.0025,613.015
1120000,0.9133,26.0,1.0,0.8911,32.6797,1.0,0.0013,0.0024,611.607
1130000,0.9143,25.7,1.0,0.8991,30.2115,1.0,0.0013,0.0024,612.0266
1140000,0.897,30.9,1.0,0.8945,31.6456,1.0,0.0013,0.0024,608.3655
1150000,0.9227,23.2,1.0,0.8938,31.746,0.9968,0.0013,0.0024,608.6629
1160000,0.9173,24.8,1.0,0.8923,32.3625,1.0,0.0013,0.0024,610.6511
1170000,0.789,60.3,0.9,0.8967,30.8642,0.9969,0.0013,0.0024,606.9162
1180000,0.9143,25.7,1.0,0.8934,32.0513,1.0,0.0013,0.0024,610.7722
1190000,0.9177,24.7,1.0,0.8971,31.0559,1.0,0.0013,0.0024,608.0538
1200000,0.9153,25.4,1.0,0.8965,30.7692,1.0,0.0013,0.0024,609.4413
1210000,0.9167,25.0,1.0,0.901,29.7619,1.0,0.0013,0.0025,610.0026
1220000,0.9113,26.6,1.0,0.8997,30.03,1.0,0.0013,0.0024,607.7243
1230000,0.9193,24.2,1.0,0.9042,28.8184,1.0,0.0013,0.0024,609.9171
1240000,0.9143,25.7,1.0,0.9036,28.8184,0.9971,0.0013,0.0023,606.3589
