env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0015,0.0008,228.5581
20000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0001,0.0,736.6861
30000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0001,0.0,735.8258
40000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0001,0.0,738.0981
50000,0.0,270.0,0.0,0.0141,270.2703,0.0541,-0.0,0.0001,0.0,223.8835
60000,0.0,270.0,0.0,0.0029,270.2703,0.027,-0.0,0.0001,0.0,731.5971
70000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0001,0.0,723.5075
80000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0001,0.0,728.989
90000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,723.1196
100000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,726.5636
110000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,721.26
120000,0.0,270.0,0.0,0.0041,270.2703,0.027,-0.0,0.0,0.0,716.7348
130000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,720.1099
140000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,716.5749
150000,0.0,270.0,0.0,0.0122,263.1579,0.0263,-0.0,0.0,0.0,712.2718
160000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,711.9381
170000,0.0,270.0,0.0,0.0038,270.2703,0.027,-0.0,0.0,0.0,711.0008
180000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,713.1871
190000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,707.7811
200000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,706.7209
210000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0,0.0,704.385
220000,0.0,270.0,0.0,0.0062,270.2703,0.027,-0.0,0.0,0.0,707.6208
