env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0011,0.0013,502.9208
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,760.3509
30000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,746.0438
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,754.8351
50000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,748.8608
60000,0.0,270.0,0.0,0.0028,270.2703,0.027,0.0002,0.0,741.3364
70000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,554.8534
80000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,741.6454
90000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,738.1306
100000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,729.8111
110000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,731.3315
120000,0.0,270.0,0.0,0.0049,270.2703,0.027,0.0002,0.0,729.1435
130000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,731.0179
140000,0.0,270.0,0.0,0.0088,270.2703,0.027,0.0002,0.0,723.7655
150000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,725.8541
160000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,725.3499
170000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,721.7789
180000,0.0,270.0,0.0,0.0139,263.1579,0.0263,0.0002,0.0,725.0231
190000,0.0,270.0,0.0,0.0146,270.2703,0.0541,0.0002,0.0,716.8119
200000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,714.576
210000,0.0,270.0,0.0,0.0033,263.1579,0.0263,0.0002,0.0,713.6708
220000,0.0,270.0,0.0,0.0368,263.1579,0.0789,0.0002,0.0,718.0306
230000,0.0,270.0,0.0,0.0146,270.2703,0.027,0.0002,0.0,713.8
240000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,709.2741
250000,0.0,270.0,0.0,0.0044,270.2703,0.027,0.0002,0.0,713.4848
260000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,709.1524
270000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0002,0.0,706.739
280000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,707.6572
290000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,707.7643
300000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,702.8829
