env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,-1.8203,4.204,0.0018,215.0981
20000,0.0,270.0,0.0,0.0059,270.2703,0.027,-2.0124,4.9263,0.0,197.6359
30000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.063,5.1074,0.0,589.5678
40000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.0876,5.1809,0.0,596.4155
50000,0.0,270.0,0.0,0.005,270.2703,0.027,-2.1081,5.2421,0.0,595.3259
60000,0.0,270.0,0.0,0.0152,270.2703,0.027,-2.1244,5.2835,0.0,593.9976
70000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.1391,5.3234,0.0,593.7006
80000,0.0,270.0,0.0,0.0196,263.1579,0.0526,-2.1525,5.3621,0.0,591.0365
90000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.1652,5.3969,0.0,589.7288
100000,0.0,270.0,0.0,0.0029,270.2703,0.027,-2.1761,5.4269,0.0,588.1817
110000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.1863,5.4582,0.0,586.2682
120000,0.0,270.0,0.0,0.0054,270.2703,0.027,-2.1947,5.4828,0.0,584.8681
130000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2045,5.5093,0.0,585.0254
140000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2123,5.5318,0.0,584.0565
150000,0.0,270.0,0.0,0.0125,263.1579,0.0263,-2.2199,5.5563,0.0,582.9882
160000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2268,5.5755,0.0,582.2772
170000,0.0,270.0,0.0,0.0099,270.2703,0.027,-2.233,5.5935,0.0,581.5978
180000,0.0,270.0,0.0,0.003,270.2703,0.027,-2.2393,5.6122,0.0,579.4513
190000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2449,5.6292,0.0,579.1459
200000,0.0,270.0,0.0,0.0181,263.1579,0.0263,-2.2492,5.6426,0.0,579.6316
210000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2553,5.6576,0.0,578.6731
220000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2597,5.6697,0.0,576.9717
230000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2641,5.6842,0.0,575.3222
240000,0.0,270.0,0.0,0.0,270.2703,0.0,-2.2672,5.6909,0.0,574.9867
