env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,227.9,0.0,0.0,47.8469,0.0,-1.8285,4.1952,0.0011,115.4253
20000,0.0,324.0,0.0,0.0,51.0204,0.0,-2.0052,4.857,0.0,596.2647
30000,0.0,324.0,0.0,0.0,50.7614,0.0,-2.0484,5.0097,0.0,594.8939
40000,0.0,324.0,0.0,0.0,54.0541,0.0,-2.0723,5.0738,0.0,591.9513
50000,0.0,324.0,0.0,0.0,47.8469,0.0,-2.0892,5.1134,0.0,588.1023
60000,0.0,324.0,0.0,0.0,47.8469,0.0,-2.1074,5.1645,0.0,587.6883
70000,0.0,324.0,0.0,0.0,48.0769,0.0,-2.1241,5.2174,0.0,585.6566
80000,0.0,228.0,0.0,0.0,59.8802,0.0,-2.1398,5.2716,0.0,585.1125
90000,0.0,324.0,0.0,0.0,64.1026,0.0,-2.1517,5.3121,0.0,584.1593
100000,0.0,293.7,0.0,0.0,55.5556,0.0,-2.1644,5.3496,0.0,578.7733
110000,0.0,324.0,0.0,0.0,55.8659,0.0,-2.1754,5.3853,0.0,577.0663
120000,0.0,324.0,0.0,0.0,58.4795,0.0,-2.1864,5.4151,0.0,569.29
130000,0.0,324.0,0.0,0.0,62.5,0.0,-2.1945,5.4444,0.0,576.5882
140000,0.0,260.2,0.0,0.0,60.241,0.0,-2.2023,5.4655,0.0,573.569
150000,0.0,292.8,0.0,0.0,65.7895,0.0,-2.2101,5.4912,0.0,573.9516
160000,0.0,324.0,0.0,0.0,64.9351,0.0,-2.2175,5.5113,0.0,570.9158
170000,0.0,294.0,0.0,0.0,70.922,0.0,-2.2245,5.5303,0.0,571.5953
180000,0.0,324.0,0.0,0.0,62.5,0.0,-2.2315,5.5543,0.0,569.4384
190000,0.0,324.0,0.0,0.0,63.6943,0.0,-2.236,5.5708,0.0,566.4692
200000,0.0,200.4,0.0,0.0,60.9756,0.0,-2.2421,5.5858,0.0,566.9774
210000,0.0,214.2,0.0,0.0,72.9927,0.0,-2.2475,5.6015,0.0,566.618
220000,0.0,262.0,0.0,0.0,64.5161,0.0,-2.2519,5.6156,0.0,564.9621
230000,0.0,292.1,0.0,0.0,67.5676,0.0,-2.2559,5.6276,0.0,565.1434
240000,0.0,324.0,0.0,0.0,70.4225,0.0,-2.2606,5.6429,0.0,562.0681
250000,0.0,324.0,0.0,0.0,68.0272,0.0,-2.2651,5.6574,0.0,564.5408
260000,0.0,324.0,0.0,0.0,66.6667,0.0,-2.2691,5.6669,0.0,562.8488
270000,0.0,260.0,0.0,0.0,54.3478,0.0,-2.2731,5.6801,0.0,560.5473
280000,0.0,324.0,0.0,0.0,70.922,0.0,-2.276,5.6913,0.0,562.0532
290000,0.0,324.0,0.0,0.0,59.8802,0.0,-2.2788,5.696,0.0,560.572
300000,0.0,324.0,0.0,0.0,70.4225,0.0,-2.2826,5.7072,0.0,562.319
310000,0.0,324.0,0.0,0.0,67.1141,0.0,-2.2855,5.7188,0.0,559.9216
320000,0.0,163.0,0.0,0.0,67.1141,0.0,-2.2867,5.7204,0.0,558.6855
330000,0.0,324.0,0.0,0.0017,58.4795,0.0058,-2.2905,5.7311,0.0,557.1264
340000,0.0,228.0,0.0,0.0,35.9712,0.0,-2.293,5.7357,0.0,556.4749
350000,0.0,35.0,0.0,0.0024,48.5437,0.0049,-2.2958,5.7459,0.0,557.4553
360000,0.0,228.0,0.0,0.0,42.735,0.0,-2.2978,5.7521,0.0,555.5152
370000,0.0,260.0,0.0,0.0,45.4545,0.0,-2.3005,5.7583,0.0,556.9061
380000,0.0,34.4,0.0,0.0057,61.7284,0.0062,-2.3026,5.7647,0.0,554.5598
390000,0.0,261.0,0.0,0.0066,38.9105,0.0078,-2.3032,5.7647,0.0,550.6973
400000,0.0,324.0,0.0,0.0021,37.3134,0.0037,-2.3056,5.7723,0.0,553.8712
410000,0.0,162.9,0.0,0.004,44.843,0.0045,-2.3072,5.7758,0.0,554.1672
420000,0.0,292.1,0.0,0.0091,36.63,0.011,-2.3097,5.7838,0.0,551.459
430000,0.0,324.0,0.0,0.0099,44.2478,0.0133,-2.3099,5.7828,0.0,554.4165
440000,0.0,259.6,0.0,0.0073,44.2478,0.0088,-2.3139,5.7965,0.0,552.3374
450000,0.1839,13.7,0.2,0.0114,37.8788,0.0152,-2.3131,5.7886,0.0,551.4351
460000,0.0,105.2,0.0,0.0128,33.2226,0.0166,-2.3159,5.8009,0.0,549.6971
470000,0.0,228.3,0.0,0.0,40.1606,0.0,-2.3175,5.8042,0.0,550.224
480000,0.0,324.0,0.0,0.0032,38.61,0.0039,-2.3185,5.8062,0.0,550.9916
490000,0.0,229.4,0.0,0.0027,34.7222,0.0035,-2.3203,5.8122,0.0,548.7363
500000,0.0,230.5,0.0,0.0055,38.7597,0.0078,-2.3215,5.8155,0.0,550.5919
510000,0.0,165.0,0.0,0.0095,37.7358,0.0151,-2.3215,5.8152,0.0,550.0024
520000,0.0,69.1,0.0,0.0047,36.63,0.0073,-2.3231,5.8195,0.0,548.631
530000,0.0,199.6,0.0,0.0031,33.3333,0.0033,-2.3252,5.8252,0.0,548.9448
540000,0.0,229.5,0.0,0.0073,53.7634,0.0108,-2.326,5.8272,0.0,550.1041
550000,0.0,163.3,0.0,0.0076,36.9004,0.0111,-2.3271,5.8298,0.0,550.0601
560000,0.0,262.1,0.0,0.0135,38.9105,0.0156,-2.3279,5.8306,0.0,550.1319
570000,0.0,67.9,0.0,0.0064,41.1523,0.0082,-2.3295,5.8355,0.0001,546.6919
580000,0.0,69.1,0.0,0.0088,37.3134,0.0112,-2.3307,5.8401,0.0,549.1159
590000,0.0,199.4,0.0,0.0037,48.5437,0.0049,-2.3306,5.8387,0.0,530.8715
600000,0.0,324.0,0.0,0.0104,45.6621,0.0137,-2.3318,5.8401,0.0001,546.3275
610000,0.0,135.1,0.0,0.0056,47.619,0.0095,-2.3329,5.8454,0.0001,547.3703
620000,0.0,291.9,0.0,0.009,55.2486,0.0166,-2.3341,5.8483,0.0001,546.9472
630000,0.0,324.0,0.0,0.0293,49.2611,0.0394,-2.3339,5.8452,0.0001,546.0872
640000,0.0,261.0,0.0,0.0042,56.8182,0.0057,-2.3364,5.8558,0.0001,547.4911
650000,0.0,163.3,0.0,0.0112,38.0228,0.0152,-2.3362,5.8542,0.0001,546.61
660000,0.0,66.4,0.0,0.021,47.8469,0.0239,-2.3372,5.8566,0.0001,543.6254
670000,0.0,36.3,0.0,0.0366,34.3643,0.0447,-2.3379,5.8565,0.0002,542.081
680000,0.0,132.6,0.0,0.0263,35.5872,0.0356,-2.3382,5.8581,0.0002,544.116
690000,0.0,101.7,0.0,0.0264,32.0513,0.0353,-2.3391,5.8595,0.0003,544.6001
700000,0.0,68.6,0.0,0.0343,38.3142,0.046,-2.34,5.8618,0.0004,541.8859
710000,0.0,260.4,0.0,0.0309,37.1747,0.0372,-2.3409,5.864,0.0003,543.7304
720000,0.0,66.2,0.0,0.0228,31.5457,0.0347,-2.3407,5.8613,0.0004,542.2034
730000,0.0,165.6,0.0,0.0332,34.965,0.042,-2.3422,5.8669,0.0004,540.5781
740000,0.0,292.5,0.0,0.0265,30.581,0.0306,-2.3424,5.866,0.0004,541.4869
750000,0.0,163.7,0.0,0.0378,28.2486,0.0452,-2.3431,5.8682,0.0006,539.6301
760000,0.0,68.1,0.0,0.0453,30.8642,0.0556,-2.3434,5.8682,0.0006,540.6048
770000,0.0,324.0,0.0,0.0398,38.7597,0.0504,-2.3435,5.866,0.0006,541.8321
780000,0.0933,43.7,0.1,0.0297,45.4545,0.0364,-2.3436,5.867,0.0006,541.8008
790000,0.0933,200.1,0.1,0.0652,49.0196,0.0784,-2.3446,5.8693,0.0008,542.4356
