env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0,46.729,0.0,0.0009,0.0009,266.6974
20000,0.0,324.0,0.0,0.0,44.843,0.0,0.0002,0.0,431.4501
30000,0.0,324.0,0.0,0.0,50.5051,0.0,0.0002,0.0,420.2441
40000,0.0,324.0,0.0,0.0,48.0769,0.0,0.0003,0.0,439.0724
50000,0.0,324.0,0.0,0.0,43.4783,0.0,0.0003,0.0,443.8416
60000,0.0,324.0,0.0,0.0,41.1523,0.0,0.0003,0.0,427.3488
70000,0.0,324.0,0.0,0.0,48.0769,0.0,0.0002,0.0,422.9213
80000,0.0,324.0,0.0,0.0,48.5437,0.0,0.0002,0.0,409.1783
90000,0.0,324.0,0.0,0.0,51.0204,0.0,0.0002,0.0,422.3197
100000,0.0,324.0,0.0,0.0048,58.4795,0.0058,0.0002,0.0,420.9155
110000,0.0,324.0,0.0,0.0,51.8135,0.0,0.0002,0.0,418.1004
120000,0.0,324.0,0.0,0.0021,51.5464,0.0052,0.0002,0.0,418.4096
130000,0.0,324.0,0.0,0.0,52.356,0.0,0.0002,0.0,421.2623
140000,0.0,324.0,0.0,0.0075,55.2486,0.011,0.0002,0.0,416.0177
150000,0.0,324.0,0.0,0.0,53.1915,0.0,0.0002,0.0001,402.9613
160000,0.0,324.0,0.0,0.0046,56.8182,0.0057,0.0002,0.0001,422.9327
170000,0.0,324.0,0.0,0.004,53.4759,0.0053,0.0002,0.0001,397.6449
180000,0.0,324.0,0.0,0.0038,52.9101,0.0053,0.0002,0.0001,413.9684
190000,0.0,324.0,0.0,0.0,53.4759,0.0,0.0002,0.0001,398.622
200000,0.0,324.0,0.0,0.0046,51.8135,0.0052,0.0002,0.0002,402.4722
210000,0.0,324.0,0.0,0.0039,50.0,0.005,0.0002,0.0002,390.8941
220000,0.0,324.0,0.0,0.0103,52.0833,0.0208,0.0003,0.0002,377.7829
230000,0.0,324.0,0.0,0.0089,56.8182,0.0114,0.0003,0.0002,398.1705
240000,0.0,324.0,0.0,0.0366,74.0741,0.0667,0.0003,0.0003,409.1134
250000,0.0,324.0,0.0,0.0566,70.4225,0.0775,0.0003,0.0003,416.6071
260000,0.0,324.0,0.0,0.0311,63.2911,0.038,0.0003,0.0005,415.8552
270000,0.0,324.0,0.0,0.04,58.8235,0.0529,0.0003,0.0006,406.7046
280000,0.0,324.0,0.0,0.0442,55.5556,0.0556,0.0003,0.0008,372.9044
290000,0.0883,295.8,0.1,0.0375,58.1395,0.0523,0.0004,0.001,404.324
300000,0.1878,263.6,0.2,0.0366,55.5556,0.0444,0.0004,0.0011,405.3891
310000,0.0958,293.1,0.1,0.0411,63.2911,0.057,0.0004,0.001,403.3961
320000,0.0,324.0,0.0,0.0644,71.4286,0.0857,0.0004,0.0009,406.3354
330000,0.0,324.0,0.0,0.06,67.5676,0.0743,0.0004,0.001,419.1963
340000,0.0911,294.8,0.1,0.0771,64.1026,0.1026,0.0005,0.001,424.1759
350000,0.1908,262.5,0.2,0.127,68.0272,0.1565,0.0005,0.0011,413.3281
360000,0.0228,319.4,0.1,0.1248,62.5,0.15,0.0005,0.0012,412.9362
370000,0.1158,289.5,0.2,0.0904,67.5676,0.1149,0.0005,0.0013,409.1958
380000,0.0961,293.0,0.1,0.1322,58.8235,0.1588,0.0005,0.0014,371.6924
390000,0.0956,293.2,0.1,0.0805,65.7895,0.0987,0.0005,0.0015,380.2571
400000,0.0,324.0,0.0,0.1268,71.4286,0.1571,0.0006,0.0015,369.3297
410000,0.0,324.0,0.0,0.0678,72.4638,0.087,0.0006,0.0016,381.3448
420000,0.0942,293.7,0.1,0.0977,87.7193,0.1404,0.0006,0.0016,400.4086
430000,0.0,324.0,0.0,0.1344,94.3396,0.1792,0.0006,0.0016,399.5762
440000,0.1308,284.1,0.2,0.1459,79.3651,0.1825,0.0006,0.0016,399.5609
450000,0.2819,233.3,0.3,0.122,80.6452,0.1532,0.0006,0.0016,384.398
460000,0.1878,263.6,0.2,0.1099,84.7458,0.1441,0.0006,0.0015,395.8304
470000,0.0,324.0,0.0,0.1948,69.9301,0.2378,0.0006,0.0016,387.2766
480000,0.0464,310.9,0.1,0.1401,88.4956,0.177,0.0006,0.0015,399.113
490000,0.0961,293.0,0.1,0.1293,82.6446,0.157,0.0006,0.0015,401.5409
