env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0038,47.1698,0.0047,0.0037,0.0013,213.4602
20000,0.0,324.0,0.0,0.0,51.2821,0.0,0.0003,0.0003,424.5655
30000,0.0,324.0,0.0,0.0032,49.505,0.005,0.0002,0.0003,428.7786
40000,0.0,324.0,0.0,0.0,43.8596,0.0,0.0002,0.0002,426.9307
50000,0.0,324.0,0.0,0.0,51.8135,0.0,0.0002,0.0002,428.2069
60000,0.0,324.0,0.0,0.0,47.1698,0.0,0.0002,0.0002,423.2298
70000,0.0,324.0,0.0,0.0026,46.2963,0.0046,0.0002,0.0002,421.8016
80000,0.0,324.0,0.0,0.0024,42.735,0.0043,0.0002,0.0002,422.5137
90000,0.0,324.0,0.0,0.0,62.5,0.0,0.0002,0.0002,421.5062
100000,0.0,324.0,0.0,0.004,58.1395,0.0058,0.0002,0.0003,399.2118
110000,0.0,324.0,0.0,0.0046,58.1395,0.0058,0.0002,0.0003,440.6046
120000,0.0,324.0,0.0,0.0099,63.2911,0.0127,0.0002,0.0006,404.5663
130000,0.0,324.0,0.0,0.0033,60.241,0.006,0.0003,0.0006,415.4792
140000,0.0,324.0,0.0,0.0,55.5556,0.0,0.0003,0.0005,412.0305
150000,0.0,324.0,0.0,0.0088,56.8182,0.0114,0.0002,0.0007,412.6677
160000,0.0,324.0,0.0,0.0,64.1026,0.0,0.0002,0.0008,410.6833
170000,0.0,324.0,0.0,0.0039,62.8931,0.0063,0.0002,0.0011,408.6096
180000,0.0,324.0,0.0,0.0234,60.6061,0.0303,0.0003,0.0015,413.4419
190000,0.0,324.0,0.0,0.0144,63.2911,0.0253,0.0003,0.0015,412.768
200000,0.0,324.0,0.0,0.0151,52.6316,0.0211,0.0003,0.0012,425.7295
210000,0.0961,293.0,0.1,0.0235,57.4713,0.0345,0.0004,0.001,422.7932
