env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,291.7,0.0,,,,,,,
10000,0.0,34.9,0.0,0.0,51.2821,0.0,-0.0106,0.0042,0.0008,68.3146
20000,0.0,35.4,0.0,0.0,43.1034,0.0,-0.0159,0.0023,0.0,275.5119
30000,0.0,324.0,0.0,0.0018,47.3934,0.0047,-0.0165,0.002,0.0,266.9384
40000,0.0,130.8,0.0,0.0052,31.1526,0.0062,-0.0006,0.0001,0.0,265.8934
50000,0.0,98.7,0.0,0.0,33.8983,0.0,-0.0001,0.0001,0.0,286.4302
60000,0.0,34.9,0.0,0.0,33.7838,0.0,-0.0001,0.0001,0.0,283.1462
70000,0.0,324.0,0.0,0.0,35.7143,0.0,-0.0001,0.0,0.0,264.5677
80000,0.0,34.9,0.0,0.0024,39.2157,0.0039,-0.0,0.0,0.0,316.9402
90000,0.0,324.0,0.0,0.0,44.843,0.0,-0.0,0.0,0.0,303.0099
100000,0.0,324.0,0.0,0.0024,41.1523,0.0041,-0.0,0.0,0.0,273.6659
110000,0.0,324.0,0.0,0.0,42.0168,0.0,-0.0,0.0,0.0,260.5317
120000,0.0,324.0,0.0,0.0,48.3092,0.0,-0.0,0.0,0.0,257.3761
130000,0.0,324.0,0.0,0.003,41.1523,0.0041,-0.0,0.0,0.0,265.628
140000,0.0,324.0,0.0,0.003,42.1941,0.0042,-0.0001,0.0001,0.0,272.6157
150000,0.0,99.7,0.0,0.0101,35.0877,0.014,-0.0002,0.0,0.0,269.9822
160000,0.0,324.0,0.0,0.0105,44.6429,0.0134,-0.0008,0.0001,0.0001,269.8842
170000,0.0,324.0,0.0,0.003,53.4759,0.0053,-0.0004,0.0,0.0001,245.8717
180000,0.0,324.0,0.0,0.0,61.3497,0.0,-0.0002,0.0,0.0001,242.4311
190000,0.0,324.0,0.0,0.0,55.5556,0.0,-0.0002,0.0,0.0001,241.2162
200000,0.0,324.0,0.0,0.0,67.1141,0.0,-0.0002,0.0,0.0001,253.2257
210000,0.0,324.0,0.0,0.0,71.4286,0.0,-0.0003,0.0,0.0001,268.5774
220000,0.0,324.0,0.0,0.0117,72.4638,0.0217,-0.0004,0.0,0.0001,261.5155
230000,0.0,324.0,0.0,0.0152,86.9565,0.0261,-0.0002,0.0,0.0001,262.092
240000,0.0,324.0,0.0,0.009,74.0741,0.0148,-0.0002,0.0,0.0002,239.9871
250000,0.0,324.0,0.0,0.0017,74.0741,0.0074,-0.0002,0.0,0.0002,258.3243
260000,0.0,324.0,0.0,0.0152,84.7458,0.0254,-0.0002,0.0,0.0002,264.038
270000,0.0,324.0,0.0,0.0127,72.9927,0.0219,-0.0001,0.0,0.0002,276.2409
280000,0.0,324.0,0.0,0.013,80.0,0.024,-0.0001,0.0,0.0002,265.5388
290000,0.0,324.0,0.0,0.044,84.7458,0.0678,-0.0001,0.0,0.0002,287.5107
300000,0.1317,283.8,0.2,0.0837,71.9424,0.1079,-0.0001,0.0,0.0003,271.7341
310000,0.0,324.0,0.0,0.0709,82.6446,0.0909,-0.0001,0.0,0.0005,239.6889
320000,0.1928,261.8,0.2,0.1024,79.3651,0.1429,-0.0001,0.0,0.0005,259.8044
330000,0.095,293.4,0.1,0.0811,87.7193,0.1053,-0.0001,0.0001,0.0007,240.5006
340000,0.0931,294.1,0.1,0.1791,68.9655,0.2138,-0.0001,0.0001,0.0008,273.6823
350000,0.1833,265.2,0.2,0.116,58.8235,0.1529,-0.0001,0.0001,0.0009,256.7213
360000,0.0947,293.5,0.1,0.1351,68.0272,0.1633,-0.0001,0.0001,0.001,265.4146
370000,0.2844,232.4,0.3,0.2004,66.6667,0.24,-0.0001,0.0001,0.001,288.8155
380000,0.0839,297.4,0.1,0.1395,63.2911,0.1709,-0.0001,0.0001,0.0011,288.2696
390000,0.0925,294.3,0.1,0.1801,60.241,0.2229,-0.0002,0.0001,0.0011,285.4833
400000,0.0,324.0,0.0,0.19,66.6667,0.22,-0.0002,0.0001,0.0012,265.6564
410000,0.0,324.0,0.0,0.2277,58.1395,0.2674,-0.0002,0.0001,0.0013,265.3244
420000,0.1914,262.3,0.2,0.2648,71.4286,0.3286,-0.0003,0.0001,0.0013,269.6496
430000,0.0906,295.0,0.1,0.291,63.6943,0.3503,-0.0003,0.0001,0.0014,253.4488
440000,0.3808,201.3,0.4,0.3367,57.8035,0.3931,-0.0003,0.0002,0.0015,278.577
450000,0.1911,262.4,0.2,0.2709,63.6943,0.3312,-0.0004,0.0002,0.0016,313.7777
460000,0.2822,233.2,0.3,0.371,55.8659,0.4358,-0.0005,0.0002,0.0017,264.5173
470000,0.4742,171.3,0.5,0.4108,52.9101,0.4762,-0.0005,0.0002,0.0018,242.8046
480000,0.3811,201.2,0.4,0.4539,57.4713,0.5287,-0.0006,0.0002,0.002,244.1213
490000,0.4619,175.7,0.5,0.406,52.9101,0.4709,-0.0007,0.0002,0.002,282.2576
500000,0.5764,138.1,0.6,0.4998,55.5556,0.5722,-0.0008,0.0002,0.0021,279.9469
510000,0.5622,143.2,0.6,0.4617,60.241,0.5301,-0.0009,0.0003,0.0023,273.4636
520000,0.3583,209.4,0.4,0.4805,45.8716,0.5505,-0.001,0.0003,0.0023,248.9757
530000,0.4753,170.9,0.5,0.4892,54.6448,0.5683,-0.0011,0.0003,0.0024,234.2194
540000,0.3822,200.8,0.4,0.5255,49.505,0.5891,-0.0012,0.0003,0.0025,248.2626
550000,0.2867,231.6,0.3,0.4965,52.6316,0.5684,-0.0013,0.0004,0.0025,260.428
560000,0.3625,207.9,0.4,0.5144,48.7805,0.5902,-0.0013,0.0004,0.0025,260.769
570000,0.5739,139.0,0.6,0.5358,52.9101,0.6138,-0.0014,0.0004,0.0026,260.8684
580000,0.2828,233.0,0.3,0.5599,50.5051,0.6313,-0.0016,0.0004,0.0027,260.8673
590000,0.1886,263.3,0.2,0.5538,44.0529,0.63,-0.0016,0.0004,0.0026,261.3475
600000,0.3808,201.3,0.4,0.5755,58.8235,0.6588,-0.0017,0.0005,0.0027,258.5178
610000,0.3794,201.8,0.4,0.5747,49.505,0.6386,-0.0018,0.0005,0.0028,259.8169
620000,0.7647,77.5,0.8,0.606,43.4783,0.6739,-0.0018,0.0005,0.0027,257.0319
630000,0.4375,184.5,0.5,0.6196,48.7805,0.6927,-0.0019,0.0005,0.0028,258.8721
640000,0.5689,140.8,0.6,0.6028,51.2821,0.6872,-0.002,0.0005,0.0029,258.6142
650000,0.7664,76.9,0.8,0.6477,46.2963,0.7222,-0.0021,0.0005,0.0029,259.6135
660000,0.5656,142.0,0.6,0.6811,47.3934,0.7678,-0.0021,0.0005,0.0029,258.6396
670000,0.6617,111.0,0.7,0.6542,52.0833,0.7344,-0.0022,0.0005,0.0029,257.7916
680000,0.7653,77.3,0.8,0.6568,45.8716,0.7294,-0.0023,0.0006,0.0029,259.7401
690000,0.5272,155.8,0.6,0.6112,46.2963,0.6898,-0.0024,0.0006,0.003,256.001
700000,0.7628,78.2,0.8,0.6859,47.3934,0.7583,-0.0023,0.0006,0.003,255.4088
710000,0.8519,49.7,0.9,0.6934,47.3934,0.7725,-0.0025,0.0006,0.003,249.5084
720000,0.6547,113.5,0.7,0.665,46.2963,0.75,-0.0025,0.0006,0.0031,254.9126
730000,0.645,117.0,0.7,0.7025,49.2611,0.7833,-0.0026,0.0007,0.0031,276.1483
740000,0.6564,112.9,0.7,0.6716,42.9185,0.7425,-0.0027,0.0006,0.0031,264.0754
750000,0.6669,109.1,0.7,0.7203,42.5532,0.7957,-0.0026,0.0007,0.0031,265.4038
760000,0.6669,109.1,0.7,0.7238,47.1698,0.8255,-0.0028,0.0007,0.0031,259.5918
770000,0.6611,111.2,0.7,0.6955,46.5116,0.7721,-0.0028,0.0007,0.0033,278.6688
780000,0.7608,78.9,0.8,0.7228,45.2489,0.8054,-0.0029,0.0007,0.0031,263.6384
790000,0.6675,108.9,0.7,0.7214,43.4783,0.7957,-0.0029,0.0007,0.0031,289.4727
800000,0.7589,79.6,0.8,0.7516,44.2478,0.8319,-0.003,0.0007,0.0031,247.6731
810000,0.5681,141.1,0.6,0.7596,40.4858,0.8381,-0.003,0.0008,0.0031,247.4792
820000,0.6631,110.5,0.7,0.7566,42.5532,0.8298,-0.003,0.0008,0.0032,250.7264
830000,0.6708,107.7,0.7,0.7726,42.735,0.8547,-0.0031,0.0007,0.0032,246.0423
