env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,
10000,0.164,33.6,0.2,0.009,39.8406,0.0279,0.001,0.0008,517.2048
20000,0.082,36.8,0.1,0.0148,39.5257,0.0435,0.0002,0.0007,779.3927
30000,0.0,40.0,0.0,0.0112,39.5257,0.0277,0.0003,0.0016,776.5367
40000,0.0,40.0,0.0,0.0073,39.8406,0.0199,0.0006,0.0021,772.8047
50000,0.0,40.0,0.0,0.0219,39.2157,0.0431,0.0009,0.0029,773.1091
60000,0.0,40.0,0.0,0.0094,39.6825,0.0238,0.0011,0.0039,773.3215
70000,0.0,40.0,0.0,0.0161,39.3701,0.0315,0.0013,0.0053,764.616
80000,0.0,40.0,0.0,0.0055,39.8406,0.0199,0.0014,0.0072,765.034
90000,0.0,40.0,0.0,0.0131,39.6825,0.0357,0.0016,0.0068,766.9707
100000,0.0595,37.8,0.1,0.0269,39.0625,0.0664,0.0018,0.0028,759.2591
110000,0.01,40.0,0.1,0.0208,39.3701,0.0551,0.0018,0.0015,758.7164
120000,0.1875,33.0,0.3,0.0223,39.2157,0.051,0.0017,0.0012,753.597
130000,0.0,40.0,0.0,0.014,39.5257,0.0356,0.0017,0.001,754.0612
140000,0.1325,35.0,0.2,0.014,39.5257,0.0356,0.0017,0.0009,748.291
150000,0.3515,26.6,0.5,0.04,38.61,0.0772,0.0016,0.0008,752.8813
160000,0.4268,23.7,0.6,0.0668,37.594,0.1504,0.0016,0.0007,748.2421
170000,0.4515,22.6,0.6,0.0951,36.7647,0.2169,0.0016,0.0009,740.7097
180000,0.4853,21.1,0.6,0.1365,35.2113,0.2817,0.0016,0.0011,738.3421
190000,0.5367,19.7,0.8,0.1468,34.7222,0.2917,0.0016,0.0013,733.7849
200000,0.5413,19.5,0.8,0.1235,35.8423,0.2796,0.0016,0.0014,731.6711
210000,0.5403,19.1,0.7,0.1494,34.6021,0.3045,0.0016,0.0014,725.7275
220000,0.5232,20.3,0.8,0.181,33.67,0.3636,0.0017,0.0015,724.0595
230000,0.721,12.4,1.0,0.2006,32.8947,0.4145,0.0017,0.0017,720.4366
240000,0.6367,15.7,0.9,0.214,32.2581,0.4065,0.0017,0.0019,716.233
250000,0.6583,14.3,0.8,0.2129,32.3625,0.4013,0.0017,0.0021,711.3157
260000,0.6178,16.1,0.8,0.2264,31.8471,0.4236,0.0018,0.0023,711.7934
270000,0.6683,14.3,0.9,0.2472,31.0559,0.4752,0.0018,0.0024,706.6581
280000,0.4872,21.9,0.8,0.2729,30.1205,0.488,0.0018,0.0026,703.2165
290000,0.5727,18.1,0.8,0.2597,30.6748,0.5061,0.0018,0.0028,703.1158
300000,0.6962,13.5,1.0,0.2906,29.4985,0.5487,0.0019,0.003,698.1647
310000,0.6278,16.1,0.9,0.2786,29.8507,0.4866,0.0019,0.0032,699.8525
320000,0.621,16.4,0.9,0.2936,29.2398,0.5263,0.0019,0.0033,695.2957
330000,0.721,12.4,1.0,0.2763,30.03,0.5135,0.0019,0.0035,696.0658
