env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,,
10000,0.0,40.0,0.0,0.0079,39.8406,0.0199,-0.0,0.0012,0.0006,134.571
20000,0.0,40.0,0.0,0.0122,39.5257,0.0237,-0.0008,0.0002,0.0003,765.0167
30000,0.0,40.0,0.0,0.0167,39.5257,0.0395,-0.0008,0.0,0.0005,760.4506
40000,0.0,40.0,0.0,0.0238,39.0625,0.0547,-0.0005,0.0,0.0006,761.1439
50000,0.0,40.0,0.0,0.0272,39.0625,0.0625,-0.0005,0.0001,0.0008,757.7621
60000,0.0,40.0,0.0,0.0268,39.2157,0.0745,-0.0004,0.0001,0.001,754.0188
70000,0.4988,20.5,0.6,0.0747,37.3134,0.1567,-0.0005,0.0002,0.0014,748.4179
80000,0.8313,7.5,1.0,0.0978,36.63,0.2234,-0.0008,0.0003,0.002,737.1877
90000,0.7358,11.3,0.9,0.159,34.6021,0.3633,-0.0011,0.0004,0.0025,731.3635
100000,0.8335,7.4,1.0,0.1739,33.8983,0.3797,-0.0017,0.0006,0.0028,717.6522
110000,0.8245,7.8,1.0,0.1714,34.1297,0.3891,-0.0025,0.0009,0.0027,711.6735
120000,0.8267,7.7,1.0,0.2282,32.0513,0.4968,-0.0033,0.001,0.0029,708.6967
130000,0.838,7.2,1.0,0.2572,30.9598,0.5325,-0.0036,0.0011,0.0033,699.719
140000,0.838,7.2,1.0,0.2753,30.581,0.63,-0.0045,0.0013,0.0037,697.523
150000,0.8673,5.9,1.0,0.3261,28.5714,0.6857,-0.0054,0.0015,0.0038,690.6368
160000,0.838,7.2,1.0,0.339,27.933,0.6872,-0.0058,0.0018,0.004,687.97
170000,0.8493,6.7,1.0,0.3729,26.738,0.738,-0.006,0.0021,0.0042,682.0372
180000,0.847,6.8,1.0,0.401,25.7069,0.7969,-0.007,0.0023,0.0045,684.0793
190000,0.8335,7.4,1.0,0.4272,24.6914,0.8123,-0.0079,0.0026,0.0046,679.7292
200000,0.8448,6.9,1.0,0.4605,23.3645,0.8738,-0.0085,0.0028,0.0045,680.296
210000,0.8403,7.1,1.0,0.4751,22.7273,0.8636,-0.0099,0.0031,0.0047,677.5786
220000,0.82,8.0,1.0,0.4945,21.978,0.8857,-0.0101,0.0035,0.0048,671.5174
230000,0.8245,7.8,1.0,0.5127,21.1864,0.9025,-0.011,0.0037,0.0054,669.5373
240000,0.847,6.8,1.0,0.5534,19.5312,0.9297,-0.0122,0.0041,0.0052,670.2269
250000,0.865,6.0,1.0,0.5462,19.8807,0.9364,-0.0125,0.0043,0.0054,667.3705
260000,0.8583,6.3,1.0,0.5793,18.4843,0.9519,-0.0129,0.0045,0.0053,664.1604
270000,0.8313,7.5,1.0,0.5841,18.315,0.9615,-0.0139,0.0049,0.0056,665.1109
280000,0.8313,7.5,1.0,0.5996,17.6678,0.9717,-0.0156,0.0051,0.0056,663.0192
290000,0.829,7.6,1.0,0.6216,16.6945,0.9699,-0.0169,0.0054,0.0058,658.6419
300000,0.829,7.6,1.0,0.6159,16.9492,0.9712,-0.0172,0.0054,0.0054,663.5387
